Category	Term	Count	PValue	Genes	Fold_Enrichment	Benjamini	Cluster 
GOTERM_CC_DIRECT	GO:0005829~cytosol	124	7.52E-10	"MEF2C, NT5C3B, LSM7, RANGAP1, SHB, EIF4EBP1, HTRA2, SPRED2, RAB24, SMOX, EDARADD, YARS, CARS, CHAC1, NUDT14, EEF2, OPTN, DDIT3, VAMP8, EIF2S2, AKAP1, NEK6, ADD1, ARFGAP1, CHKA, EIF4E3, SNX5, CHKB, ARFRP1, GIPC1, RIOK1, RRAGD, RILPL1, ISYNA1, EIF3B, FBXO6, EIF3M, ARHGDIA, AP2M1, ARHGDIB, XPOT, ODC1, ABR, SMAD6, TGFBR2, GARS, BPGM, SMYD2, UAP1L1, NOTCH3, CBLB, UBA2, GLMP, BET1L, WDR1, SAT1, IMPA2, TOLLIP, PPARG, PPIP5K1, AKT1, PRMT1, PLCB3, HSF1, SHC1, FAM129B, MYC, IMPDH2, PSMD9, KHDRBS1, STX6, PPP2R1A, IRAK1, EXOSC9, ARHGEF1, AIFM2, ARHGEF7, SNUPN, EXOSC4, NADSYN1, UBE2I, CDK4, HMGA1, LDLRAP1, VASP, GAK, MFN2, PPM1F, EIF4A3, EIF4A1, NGFR, RAP1GAP, PLBD1, TRIB3, RPL36, ASNS, CYTH3, VARS, STUB1, EZR, ATIC, RBSN, LSG1, PPP3CC, EXOC3, NFATC4, RASA3, TRIP10, DUS3L, CEP131, CREB3, ALYREF, STRADA, GYG1, POLR3C, UBE2Q1, TUBGCP2, SIRT2, NAE1, PSMG2, MAP1S, PHGDH, VPS28, PSAT1"	1.69	3.10E-07	Winter_high
GOTERM_CC_DIRECT	GO:0016020~membrane	89	1.53E-08	"AKNA, SLC27A1, ATL2, ALG1, HEXA, FERMT3, HPS4, RCE1, CHPF2, ELOVL1, BZW2, PLCB3, FAM49B, HTRA2, WWP2, DDX24, SPRED2, NECAP2, RAB24, SLC4A2, CREB3L3, IMPDH2, KHDRBS1, PPP2R1A, EFTUD2, FLOT2, PTBP1, EEF2, MFGE8, CLIC1, HNRNPU, EML4, GAK, VEGFB, EIF4A3, ADRM1, MED16, VAMP8, IPO4, EIF4A1, ARL8A, AKAP8, RUVBL1, BIN1, AKAP1, MATR3, CLN6, HLA-DRB1, RAP1GAP, MFSD5, LMF2, ARFRP1, NUP93, RPL36, SFXN4, GIPC1, ARF6, CD74, DCHS1, EXOSC10, SFT2D1, CD9, SLC11A1, EZR, SLC35B2, LRG1, ATIC, NELFCD, LSG1, HLA-DPB1, VMP1, CC2D1A, ARHGDIB, MGAT4B, ABR, CREB3, RRBP1, ALYREF, NTPCR, FADS3, ILF3, GYG1, TUBGCP2, HNRNPA1, RAB32, CYBA, SLC16A5, BET1L, CLCN5"	1.83	3.15E-06	Winter_high
GOTERM_MF_DIRECT	GO:0005515~protein binding	256	3.41E-08	"MEF2C, FAM20A, LSM7, HIRA, RANGAP1, ZGPAT, SHB, SFSWAP, INTS8, BRPF1, HTRA2, WWP2, MED27, RAB24, RAB26, CREB3L3, YARS, PCID2, NUDT14, ANKS3, PTBP1, PIM1, USHBP1, OPTN, VEGFB, MED16, EIF2S2, ARL8A, CMIP, MAD2L2, BIN1, FASTKD5, NEK6, SH3GL1, FUS, CRTC1, PABPC4, ARF6, BOP1, RCC1, CD74, HADHA, HADHB, VRK2, FBXO6, SUPV3L1, TCF3, DHX57, ODC1, OSBPL2, NOC4L, SMAD6, TGFBR2, S100A11, S100A10, SKI, TMEM110, SMYD2, CD63, PRPSAP1, HNRNPA1, NOTCH3, CBLB, ETS2, UBA2, CRYM, TOLLIP, GAR1, PPARG, DMAP1, HSF1, NSMCE1, IL4R, MYC, CSDC2, STX6, ARHGEF1, EXOSC9, SLC25A4, ARHGEF7, EXOSC4, FLOT2, ERLIN1, CLIC1, LDLRAP1, NOC2L, GTF2H1, EIF4A3, EIF4A1, RUVBL1, CTDP1, WDR43, GRAMD1A, CLN6, RAP1GAP, MFSD5, SF3B4, ITM2C, NAGPA, EZR, GNPTAB, RBSN, MLLT1, EXOC3, PPP3CC, AATF, VMP1, CC2D1A, MLLT6, TRIP10, MANBAL, ETV5, CEP131, TBX2, TRIM28, HSPG2, STRADA, ILF3, POLR3C, SF3A2, SF3A1, MICALL1, NAE1, RAB32, RPS6KA4, UBTF, COG7, SFPQ, SVIL, ARSA, PXYLP1, NT5C3B, RBM3, MMP2, ELOVL1, EIF4EBP1, FAM49B, SPRED2, EDARADD, CARS, CHAC1, EFTUD2, SLC22A23, MTA1, FAM118A, EEF2, TMSB10, HNRNPU, DDIT3, ADRM1, TNS3, VAMP8, PRCC, AKAP8, AKAP1, CRACR2B, ARFGAP1, SNX5, ARFRP1, GIPC1, RIOK1, RRAGD, PAQR5, TIMP1, ISYNA1, EIF3B, SMARCB1, METTL1, SLC30A2, LRFN4, ARHGDIA, EIF3M, ARHGDIB, AP2M1, PTPN3, PTPN2, CD276, TOMM40, KAT5, FOXP4, ATF4, ULK3, YIPF2, CPNE2, TRIP6, SAT1, RITA1, IMPA2, ATL2, HPS4, SAT2, BCAM, SH2D4A, AKT1, PRMT1, JADE3, PAK4, SHC1, TIE1, MAPKBP1, KMT5A, IMPDH2, PHC2, PSMD9, RAMP3, KHDRBS1, IRAK1, PPP2R1A, NADSYN1, TMEM248, UBE2I, CDK4, DAPK2, HMGA1, VASP, GAK, CCNL2, PPM1F, MFN2, CD82, IPO4, NGFR, ZFPM1, MATR3, PMEPA1, PPP4R1, LMF2, NUP93, TRIB3, ASNS, PLVAP, CYTH3, VARS, STUB1, EXOSC10, CD9, TNFRSF1B, NELFCD, PLEKHO1, NFATC4, PINX1, CREB3, PTPA, ALYREF, GDPD5, GYG1, TUBGCP2, UBE2Q1, SIRT2, CYBA, PSMG2, MAP1S, SETD6, EVI5L, VPS28, TBL1X"	1.26	2.13E-05	Winter_high
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	104	3.85E-08	"MEF2C, RBM3, LSM7, HIRA, INTS8, BRPF1, EIF4EBP1, SLC25A22, MED27, EFTUD2, PTBP1, MTA1, OPTN, TATDN2, DDIT3, HNRNPU, ADRM1, MED16, GTF2IRD1, AKAP8, MAD2L2, NEK6, ADD1, FUS, TNRC18, CRTC1, NTMT1, BOP1, RIOK1, RCC1, RILPL1, EIF3B, SMARCB1, METTL1, TCF3, XPOT, NOC4L, PCIF1, PTPN2, GARS, TOMM40, SKI, SMYD2, KAT5, HNRNPA1, HNRNPA0, NOTCH3, CBLB, ATF4, UBA2, ETS2, GAR1, PPARG, PPIP5K1, DMAP1, AKT1, PRMT1, PLCB3, HSF1, NSMCE1, FAM129B, MYC, KMT5A, PHC2, PSMD9, KHDRBS1, EXOSC9, EXOSC4, UBE2I, CDK4, HMGA1, GTF2H1, NOC2L, CCNL2, EIF4A3, ZMIZ1, ZFPM1, RUVBL1, NGFR, WDR43, CTDP1, PMEPA1, MATR3, TRIB3, STUB1, SF3B4, EXOSC10, NELFCD, MLLT1, TRIP10, ETV5, PTPA, ALYREF, TRIM28, STRADA, ILF3, SF3A2, POLR3C, TUBGCP2, SF3A1, RPS6KA4, UBTF, SFPQ, TBL1X"	1.69	5.28E-06	Winter_high
GOTERM_MF_DIRECT	GO:0044822~poly(A) RNA binding	55	2.47E-07	"GAR1, RBM3, LSM14B, PRMT1, DDX24, PTBP2, KHDRBS1, YARS, ARHGEF1, EXOSC9, EFTUD2, PTBP1, UBE2I, EEF2, HNRNPU, NOC2L, EIF4A3, EIF4A1, EIF2S2, DNTTIP2, AKAP8, AKAP1, FASTKD5, WDR43, MATR3, ADD1, FUS, PABPC4, RPL36, BOP1, SF3B4, PUS7, HADHB, EXOSC10, EZR, AATF, SUPV3L1, DUS3L, DHX57, NOC4L, PPAN-P2RY11, RRBP1, ALYREF, NTPCR, TRIM28, ILF3, CSRP1, SF3A2, HNRNPA1, SF3A1, HNRNPA0, UBTF, SFPQ, MEX3D, TRIP6"	2.11	7.72E-05	Winter_high
GOTERM_CC_DIRECT	GO:0005913~cell-cell adherens junction	21	3.53E-05	"SNX5, FLOT2, S100A11, GIPC1, EEF2, RANGAP1, CLIC1, VASP, MICALL1, BZW2, NOTCH3, PLCB3, EZR, ATIC, PAK4, EXOC3, FAM129B, RUVBL1, CC2D1A, SH3GL1, ADD1"	2.94	3.63E-03	Winter_high
GOTERM_MF_DIRECT	GO:0098641~cadherin binding involved in cell-cell adhesion	20	4.60E-05	"SNX5, S100A11, GIPC1, EEF2, RANGAP1, CLIC1, VASP, MICALL1, BZW2, NOTCH3, PLCB3, EZR, ATIC, PAK4, EXOC3, FAM129B, RUVBL1, CC2D1A, SH3GL1, ADD1"	2.99	9.55E-03	Winter_high
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	151	9.22E-05	"MEF2C, NT5C3B, RBM3, GNA11, RANGAP1, EIF4EBP1, BRPF1, COLCA2, WWP2, MED27, SMOX, YARS, CARS, EFTUD2, PIM1, MTA1, EEF2, TMSB10, OPTN, TATDN2, ANKRD13A, DDIT3, TNS3, ADRM1, VAMP8, GTF2IRD1, EIF2S2, CMIP, ARL8A, MAD2L2, BIN1, NEK6, CRACR2B, SH3GL1, EIF4E3, TNRC18, PAFAH2, CRTC1, PABPC4, GIPC1, NTMT1, BOP1, RRAGD, RCC1, RILPL1, ISYNA1, VRK2, EIF3B, METTL1, FBXO6, SLC30A2, TCF3, ARHGDIA, ARHGDIB, XPOT, ODC1, CRIP1, PTPN3, SMAD6, S100A11, GARS, TOMM40, SKI, SMYD2, HNRNPA1, NOTCH3, ATF4, CBLB, ETS2, ULK3, WDR1, CPNE2, TRIP6, RFLNB, CRYM, RITA1, IMPA2, TOLLIP, HPS4, SAT2, PPIP5K1, TTC28, DMAP1, CAMKK2, SH2D4A, BZW2, AKT1, PRMT1, HSF1, TUBB6, FAM129B, FAM83H, PPP1R14B, IMPDH2, KMT5A, CSDC2, PSMD9, IRAK1, ARHGEF1, EXOSC9, AIFM2, EXOSC4, SNUPN, NADSYN1, UBE2I, CLIC1, DAPK2, RFTN1, VASP, EML4, NOC2L, EIF4A3, ZFAND2A, IPO4, ZMIZ1, EIF4A1, RUVBL1, ZFPM1, CTDP1, TRIOBP, RPL36, STUB1, FEM1A, EXOSC10, EZR, PLIN4, LSG1, PLEKHO1, MLLT1, AATF, NFATC4, CC2D1A, RASA3, TRIP10, SPATA5, PINX1, CREB3, PTPA, STRADA, ILF3, TUBGCP2, SIRT2, NAE1, FSD1, RPS6KA4, MAP1S, SVIL, SFPQ, SETD6, VPS28, PSAT1"	1.31	7.57E-03	Winter_high
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	91	1.25E-04	"GNPTG, SGSH, FAM20A, TOLLIP, GNA11, HEXA, FERMT3, SAT2, HIRA, ACOT2, BCAM, TOR3A, FAM49B, WWP2, TUBB6, CETP, ESAM, FAM129B, IMPDH2, IDUA, PPP2R1A, SCAMP3, EXOSC9, APCS, NUDT14, SNUPN, FLOT2, CHTF8, PTBP1, MTA1, EEF2, MFGE8, CLIC1, RFTN1, VASP, CST6, VAMP8, CD82, EIF4A1, ARL8A, RUVBL1, HLA-DRB1, GIPC1, ARF6, PLVAP, STUB1, ITM2C, CD74, HADHB, TIMP1, SERINC2, CD9, SERINC5, EZR, EIF3B, LRG1, ATIC, RBSN, PPP3CC, CC2D1A, TRIP10, ARHGDIA, AP2M1, ARHGDIB, PTPA, ALYREF, TMC4, NTPCR, CD276, GARS, S100A11, HSPG2, TOMM40, S100A10, BPGM, NID1, CSRP1, MXRA8, GYG1, CD63, HNRNPA1, FBLN2, PHGDH, ARSA, MARCKS, WDR1, CPNE2, VPS28, PSAT1, CLEC14A, CRYM"	1.46	8.53E-03	Winter_high
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	18	1.99E-04	"SNX5, S100A11, EEF2, RANGAP1, GIPC1, VASP, MICALL1, BZW2, NOTCH3, PLCB3, ATIC, PAK4, EXOC3, FAM129B, RUVBL1, CC2D1A, SH3GL1, ADD1"	2.87	3.30E-01	Winter_high
