term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0001889,"liver development",0.023%, 1.461, 1.719,3.471,-2.9788,0.912,0.000,1889,0
GO:0006364,"rRNA processing",0.952%, 0.590,-6.821,5.087,-13.8297,0.715,0.000,6364,0
GO:0006888,"ER to Golgi vesicle-mediated transport",0.125%, 2.396,-3.233,4.204,-3.6615,0.912,0.000,6888,0
GO:0006986,"response to unfolded protein",0.037%, 2.585, 6.264,3.677,-5.3152,0.877,0.000,6986,0
GO:0008152,"metabolic process",75.387%, 0.082, 0.093,6.986,-5.3107,0.996,0.000,8152,0
GO:0042632,"cholesterol homeostasis",0.019%, 4.012, 2.671,3.381,-5.8539,0.874,0.000,42632,0
GO:0098609,"cell-cell adhesion",0.251%, 0.406, 1.023,4.507,-3.7011,0.982,0.000,98609,0
GO:0032259,"methylation",3.103%, 0.299, 0.791,5.600,-2.3747,0.966,0.017,32259,0
GO:0009058,"biosynthetic process",31.611%, 0.804, 0.053,6.608,-4.8297,0.965,0.030,9058,0
GO:0006457,"protein folding",0.903%, 0.236,-0.086,5.064,-3.7190,0.948,0.035,6457,0
GO:0035338,"long-chain fatty-acyl-CoA biosynthetic process",0.003%,-1.722,-0.486,2.534,-4.7471,0.873,0.039,35338,0
GO:0030212,"hyaluronan metabolic process",0.008%,-3.183,-0.465,3.006,-3.6861,0.891,0.082,30212,0
GO:0006695,"cholesterol biosynthetic process",0.012%,-6.399, 0.026,3.173,-8.3595,0.701,0.121,6695,0
GO:0006629,"lipid metabolic process",3.522%,-4.817, 1.247,5.655,-5.0726,0.838,0.127,6629,0
GO:0006473,"protein acetylation",0.181%, 1.555,-3.088,4.366,-3.0921,0.886,0.128,6473,0
GO:0035562,"negative regulation of chromatin binding",0.002%, 3.359, 1.854,2.365,-2.0496,0.924,0.129,35562,0
GO:0031325,"positive regulation of cellular metabolic process",1.004%, 5.051, 2.440,5.110,-3.6819,0.816,0.191,31325,0
GO:0006569,"tryptophan catabolic process",0.083%,-7.008,-1.423,4.027,-5.7190,0.683,0.198,6569,0
GO:0000050,"urea cycle",0.003%,-6.063, 0.383,2.624,-2.4034,0.816,0.204,50,0
GO:0006361,"transcription initiation from RNA polymerase I promoter",0.008%,-0.243,-5.375,3.015,-2.1385,0.849,0.219,6361,0
GO:0003333,"amino acid transmembrane transport",0.475%, 1.832,-2.499,4.785,-3.2541,0.882,0.238,3333,0
GO:0009411,"response to UV",0.054%, 2.008, 5.604,3.837,-2.3840,0.917,0.239,9411,0
GO:0040008,"regulation of growth",0.172%, 3.757, 2.182,4.343,-2.1296,0.914,0.241,40008,0
