gene,state,log2FC_ashr,wald_padj
ENSSTOG00000034702,Ar_vs_Ent,-1.3646850211688704,6.307055781941334e-9
G13022,Ar_vs_Ent,-1.3142678308794127,2.7614142895049994e-4
MIR138-2_containing,Ar_vs_Ent,-0.5327791513458158,8.580348450985847e-4
G14950,Ar_vs_Ent,-0.6911694038411272,2.11540305505089e-4
G16444,Ar_vs_Ent,-0.8636841339561827,6.268330655749783e-5
G16448,Ar_vs_Ent,-0.9445725834733495,7.489020938906869e-5
G18650,Ar_vs_Ent,-1.1921570474104304,9.243766233202007e-8
MIR219A2_containing,Ar_vs_Ent,-1.578618159273555,1.4922124024914826e-20
MIR124-2HG_containing,Ar_vs_Ent,-0.6454999342788318,2.6745134064071003e-11
G3182,Ar_vs_Ent,-0.48136411198095486,4.358097914500963e-5
MIR29B2CHG_containing_G39119,Ar_vs_Ent,-1.5031283103427466,2.0804642796175417e-13
MIR101-1_containing,Ar_vs_Ent,-1.340339679739865,1.5148384589147667e-11
MIRLET7D_containing,Ar_vs_Ent,-2.72687781223325,6.731876197626979e-53
Znf644,Ar_vs_Ent,-0.49041873613090514,6.34560997622142e-6
Ireb2,Ar_vs_Ent,-0.3066177518603427,9.069794120733497e-6
Cbl,Ar_vs_Ent,-0.21058252319682894,3.5047031933391545e-4
Ugt8,Ar_vs_Ent,-0.6890877575887483,5.230703547970769e-4
Epc1,Ar_vs_Ent,-0.19729077317182042,4.8687856580631895e-4
Clp1,Ar_vs_Ent,-0.37720127088388067,5.046219925124483e-4
CUNH14orf28,Ar_vs_Ent,-0.4543994125743121,8.580348450985847e-4
Pdk4,Ar_vs_Ent,-0.6106782127019743,2.3461853430106742e-4
Lrp6,Ar_vs_Ent,-0.5808433673153744,2.0742904982596105e-11
PTPRS_containing,Ar_vs_Ent,-0.8880473242736254,7.412564954059385e-4
Zeb2,Ar_vs_Ent,-0.24549067075066805,1.254703850791836e-4
MIR656_containing,Ar_vs_Ent,-4.0614365853011325,1.887395967477449e-81
Cldn12,Ar_vs_Ent,-0.3743584300914373,4.0481390664105137e-4
Kcnj2,Ar_vs_Ent,-0.8220975734124236,3.7214016929598548e-9
Zbtb8a,Ar_vs_Ent,-0.5147175732525552,2.3461853430106742e-4
Snip1,Ar_vs_Ent,-0.3784689415391458,2.2612017465204975e-5
LINC00599_containing,Ar_vs_Ent,-0.46849184321292586,4.038060137367287e-4
Nup58,Ar_vs_Ent,-0.2680744184283497,3.9207229502145e-4
ZNF724_containing_gene20909,Ar_vs_Ent,-0.4862672246887633,8.580348450985847e-4
Heg1,Ar_vs_Ent,-0.3690893842755034,1.7819080398237845e-4
Rnf130,Ar_vs_Ent,-0.2520754017984661,1.2740166474097936e-6
Sall1,Ar_vs_Ent,-0.4579081326568849,1.2345507490312618e-6
Tet2,Ar_vs_Ent,-0.6387601564889702,4.424128955213697e-6
ZNF43_containing,Ar_vs_Ent,-0.5937563967324808,1.0252627455544412e-5
Tppp,Ar_vs_Ent,-0.36653471247286745,4.424128955213697e-6
Slitrk6,Ar_vs_Ent,-0.8582775968174071,2.3654525623061963e-4
Tmem170a,Ar_vs_Ent,-0.43222979841708625,7.412564954059385e-4
KMT2E-AS1_like,Ar_vs_Ent,-0.6916022968792737,4.135079513631832e-6
Tjp1,Ar_vs_Ent,-0.6562902354600404,2.9579792395196775e-18
Lins1,Ar_vs_Ent,-0.7114646439131523,3.205631514059428e-9
Flrt3,Ar_vs_Ent,-0.36186370420690134,3.235869816735612e-5
Tnrc6b,Ar_vs_Ent,-0.29594358082924177,8.538078758941406e-4
Ttc21b,Ar_vs_Ent,-0.39376926509319726,2.11540305505089e-4
Mex3c,Ar_vs_Ent,-0.6379831834149726,3.36270600316042e-7
Xylt1,Ar_vs_Ent,-0.3425559465341557,1.554058202348951e-5
Vldlr,Ar_vs_Ent,-0.19065219518141222,6.869068651867447e-4
CUNH21orf91,Ar_vs_Ent,-0.7829754745254422,3.664725761581316e-5
Slitrk2,Ar_vs_Ent,-0.2991182036159832,2.591821035377276e-4
