gene,state,log2FC_ashr,wald_padj
Gadd45b,Ar_vs_Ent,0.5834843349621772,2.4359551014259086e-6
Csrnp1,Ar_vs_Ent,0.7547185339173552,8.804605469762076e-6
Dusp1,Ar_vs_Ent,0.7635731775352916,4.424128955213697e-6
Rpl10,Ar_vs_Ent,0.17138332657447644,9.359636438652155e-4
Taldo1,Ar_vs_Ent,0.1950891343301331,5.475683558523597e-4
Trim28,Ar_vs_Ent,0.19535090551108503,3.7135969421412947e-4
Puf60,Ar_vs_Ent,0.17057521995435673,1.8295924059756716e-4
Fos,Ar_vs_Ent,0.9024569824460438,4.503520499595179e-4
Uba1,Ar_vs_Ent,0.2118902453519322,9.46074117172072e-5
SCP2,Ar_vs_Ent,0.7421958252562354,2.1004145821634123e-5
SNHG14_containing,Ar_vs_Ent,1.041458004585943,1.0620142152179628e-7
