gene,state,log2FC_ashr,wald_padj
FAM120C,Ar_vs_SpD,-0.3642656300458004,4.3763865714232256e-5
ZNF112,Ar_vs_SpD,-0.4218168749414795,1.5814911801873667e-5
MIR138-1,Ar_vs_SpD,-1.426390691635984,1.0896707395567613e-8
ENSSTOG00000021438,Ar_vs_SpD,-0.9110180064084757,1.4644019406459444e-7
ENSSTOG00000029362,Ar_vs_SpD,-0.5477010777440182,1.5411675643421317e-7
ENSSTOG00000034702,Ar_vs_SpD,-2.6259498756767523,3.2396420744674274e-33
G10810,Ar_vs_SpD,-0.3931850404534725,5.935200827404847e-4
G10915,Ar_vs_SpD,-0.5914786932769518,6.423265331432403e-4
MIR4453HG_containing,Ar_vs_SpD,-0.28331756914444073,1.1396475930634924e-4
G13022,Ar_vs_SpD,-2.127294534023963,2.3634661414836217e-9
G13329,Ar_vs_SpD,-0.4123557592186285,5.027925846796618e-4
MIR138-2_containing,Ar_vs_SpD,-0.9782755062174879,1.3905365438912404e-10
G14950,Ar_vs_SpD,-1.1728933665682588,6.038036398730839e-12
COPG2IT1_containing,Ar_vs_SpD,-0.44655208753329456,6.171804410428218e-5
G16353,Ar_vs_SpD,-0.7742419879297414,4.840066310890405e-7
G16444,Ar_vs_SpD,-1.1402288524701671,5.460190176064017e-9
G16448,Ar_vs_SpD,-1.5142675463666946,2.859548814330621e-12
G17128,Ar_vs_SpD,-0.4370415860444167,3.5895913886733827e-6
AACSP1_containing,Ar_vs_SpD,-0.823484777122228,4.574774604713077e-9
G18650,Ar_vs_SpD,-1.761660795336076,8.77825550783198e-18
G21219,Ar_vs_SpD,-0.5649530334946588,4.3575614414717443e-4
MIR219A2_containing,Ar_vs_SpD,-1.8792175035634915,1.233180102656845e-30
KATNBL1_containing,Ar_vs_SpD,-0.4350277354211645,5.935200827404847e-4
ZCCHC3,Ar_vs_SpD,-0.7254583804865876,1.3409592212881933e-11
G2995,Ar_vs_SpD,-0.6782534346847008,2.6847489636129356e-4
TSHZ2_G30132,Ar_vs_SpD,-0.7471220595816297,9.096184784923684e-7
G30823,Ar_vs_SpD,-0.939228427231342,3.347457654539781e-11
MIR124-2HG_containing,Ar_vs_SpD,-0.5967286979111921,2.4305703513646234e-11
G3182,Ar_vs_SpD,-0.5725364498841679,1.4869098268771582e-8
G32348,Ar_vs_SpD,-0.868775723208537,1.2253631122180077e-4
G32610,Ar_vs_SpD,-0.4282933808370059,5.935200827404847e-4
G34888,Ar_vs_SpD,-0.6547514085637017,1.312431576440272e-5
DUSP7_G34889,Ar_vs_SpD,-0.5445090736717489,2.5930612120811057e-5
G35407,Ar_vs_SpD,-0.4752135301309837,8.606260964520632e-4
PTCHD4_containing,Ar_vs_SpD,-0.5119765097246285,1.8512590373251172e-4
PRR18_containing,Ar_vs_SpD,-0.45408374015528136,5.505124178264051e-4
G3859,Ar_vs_SpD,-1.2565753000864892,3.3108939412688876e-5
G3860,Ar_vs_SpD,-0.858150749887087,1.1627705359358149e-8
MIR29B2CHG_containing_G39119,Ar_vs_SpD,-3.336047048922792,3.152621587528634e-73
ZBTB37_like,Ar_vs_SpD,-0.5875088965607504,2.926545563765166e-6
G40490,Ar_vs_SpD,-0.6126734300811134,4.031155449257705e-11
G5386,Ar_vs_SpD,-0.7858534860995721,7.264868837518449e-5
G5644,Ar_vs_SpD,-0.4993373135724179,8.962919659785934e-4
MIR101-1_containing,Ar_vs_SpD,-2.020293854930892,1.2582111505828592e-27
G7659,Ar_vs_SpD,-0.3303217881823325,6.212240154895602e-4
G8062,Ar_vs_SpD,-0.7098856330987834,4.50573537425092e-5
SOX11_G8196,Ar_vs_SpD,-0.6235171657005036,6.17900761180023e-6
G8970,Ar_vs_SpD,-0.8122599895299886,1.2445320959235592e-5
G8982,Ar_vs_SpD,-1.135009064440162,3.6043308729035655e-11
ZNF738_containing_G9078,Ar_vs_SpD,-0.6449379428018219,6.9215351664903105e-6
G9083,Ar_vs_SpD,-0.30136362356538493,9.128674296085584e-4
MIRLET7D_containing,Ar_vs_SpD,-3.112491846575716,8.622539405533039e-71
G9747,Ar_vs_SpD,-0.7649513545896,8.342881176718053e-4
G9749,Ar_vs_SpD,-0.9171265964423009,2.712957872349755e-4
G9756,Ar_vs_SpD,-0.8910757382060237,7.434247281541905e-5
Spty2d1,Ar_vs_SpD,-0.45396794912993615,1.1363711553571911e-7
Rras2,Ar_vs_SpD,-0.5760530046880491,1.4573920578905509e-6
Pkp4,Ar_vs_SpD,-0.21754243271665896,4.707961452995825e-4
Tub,Ar_vs_SpD,-0.3596449848212794,1.3142975781668018e-12
Thsd4,Ar_vs_SpD,-0.4764605111103548,1.396049807839774e-5
Rassf1,Ar_vs_SpD,-0.38652463027045614,6.064612776150665e-5
Dcaf1,Ar_vs_SpD,-0.26621803839908886,1.3638529402510395e-4
Aste1,Ar_vs_SpD,-0.3674147810283248,2.1256183745604264e-4
Pmepa1,Ar_vs_SpD,-0.3320027723197466,3.605685087051622e-4
Ubn1,Ar_vs_SpD,-0.28112630433509356,9.400053240287583e-4
Sec14l5,Ar_vs_SpD,-0.8277191074275162,1.4486519839570468e-6
Egr1,Ar_vs_SpD,-1.0023345368415852,2.1214946829059855e-5
Hivep1,Ar_vs_SpD,-0.3312359170262695,2.789738480088833e-4
Rreb1,Ar_vs_SpD,-0.7917225387977741,6.0034156137416225e-9
