gene,state,log2FC_ashr,wald_padj
RPL10A,Ar_vs_SpD,0.3248672206209822,7.788071435345039e-4
ENSSTOG00000032137,Ar_vs_SpD,0.49277855557634886,1.0274600993203402e-5
LINC01578_containing,Ar_vs_SpD,0.34411897351534637,2.9289475806636785e-4
G1404,Ar_vs_SpD,0.8561695353134425,4.0696336991059555e-7
BTF3,Ar_vs_SpD,0.3405570092288913,2.8028518611847433e-4
G31355,Ar_vs_SpD,0.34260960538160523,3.7010191068924614e-4
G32880,Ar_vs_SpD,0.46751150183600765,6.103800156355814e-7
TMSB4X_G3417,Ar_vs_SpD,0.3011056263052043,7.215077583322011e-4
RBBP7,Ar_vs_SpD,0.22138083755356955,5.505124178264051e-4
CTPS2_like,Ar_vs_SpD,0.3190953816459742,5.323307790152241e-4
NPM1_G37307,Ar_vs_SpD,0.32272324895449,5.10976524096058e-4
RSL24D1_G38276,Ar_vs_SpD,0.32793442546651164,1.6133035386149827e-4
G613,Ar_vs_SpD,0.41654529167159804,4.358305591000196e-4
G6360,Ar_vs_SpD,0.36570853423377764,9.584096336558853e-5
Tsg101,Ar_vs_SpD,0.2521332494269052,2.545886999756803e-5
Ldha,Ar_vs_SpD,0.3881263256649153,5.978955020305884e-6
Rps13,Ar_vs_SpD,0.274472608097748,2.9191328699497806e-4
CUNH11orf58,Ar_vs_SpD,0.2775088718023594,9.844868344192032e-5
Psma1,Ar_vs_SpD,0.267621038776483,5.935200827404847e-4
Dkk3,Ar_vs_SpD,0.20007792048134343,9.792598058897886e-4
Tmem9b,Ar_vs_SpD,0.25952163781034104,1.5393148183735506e-4
Rpl27a,Ar_vs_SpD,0.30819054500718024,2.511974102921217e-4
RPSAP58,Ar_vs_SpD,0.38806596287305134,4.5380645654043817e-4
Usp4,Ar_vs_SpD,0.2808521244521779,8.26263036801178e-6
Rhoa,Ar_vs_SpD,0.3279666986040321,8.557662477076875e-8
Gnai2,Ar_vs_SpD,0.2697474993985724,5.488262377520578e-7
Tex264,Ar_vs_SpD,0.25791888326709483,8.163247797820258e-4
Hexa,Ar_vs_SpD,0.20953649550341846,4.9543963590041136e-5
Rpl29,Ar_vs_SpD,0.26700212899124814,1.3638529402510395e-4
Acad11,Ar_vs_SpD,0.287812395521059,1.6446142591195476e-4
Uba5,Ar_vs_SpD,0.22913465467771282,8.709395109565162e-4
TF,Ar_vs_SpD,0.7050489498075823,4.814597428729308e-6
Srprb,Ar_vs_SpD,0.2119789993520631,7.828463777485463e-5
Vapb,Ar_vs_SpD,0.22409653554078918,8.342881176718053e-4
Litaf,Ar_vs_SpD,0.39383839220553135,2.5930612120811057e-5
Reep5,Ar_vs_SpD,0.2379740064103194,6.849331770653892e-5
Hspa9,Ar_vs_SpD,0.3225538500920166,3.100136433914785e-5
Ctnna1,Ar_vs_SpD,0.21522718372067184,2.3647061910351793e-4
Sil1,Ar_vs_SpD,0.4177597320949147,1.0319567928575531e-4
Acp1,Ar_vs_SpD,0.3235759356886203,2.5133214500752786e-7
Fbxo3,Ar_vs_SpD,0.23119424623324059,2.7098558329946543e-4
Ppcdc,Ar_vs_SpD,0.4128997496634714,5.413325774276946e-5
TUBB2A,Ar_vs_SpD,0.29003859832493445,5.984907346342357e-4
Commd4,Ar_vs_SpD,0.2661321827178936,6.171804410428218e-5
Rab33b,Ar_vs_SpD,0.3429085400829249,3.969384458758357e-4
Tspan3,Ar_vs_SpD,0.2852784292413058,6.970518646710344e-6
Lyrm9,Ar_vs_SpD,0.28868574458259916,1.6628241220699503e-5
Prpf8,Ar_vs_SpD,0.2756782080385248,3.873738364005307e-5
Idh3a,Ar_vs_SpD,0.2701111324202536,1.8552157881733553e-5
Dusp3,Ar_vs_SpD,0.2824442589742395,1.7876125915400308e-6
Gfap,Ar_vs_SpD,0.44415870161497834,2.1256183745604264e-4
Ccdc47,Ar_vs_SpD,0.31412823486951497,3.991718312558884e-8
Cep112,Ar_vs_SpD,0.4715306310062187,3.131991697374498e-5
Zpr1,Ar_vs_SpD,0.2023503427639858,4.5455214713746795e-4
Arcn1,Ar_vs_SpD,0.20515784043809152,4.085867821612926e-5
Nipa2,Ar_vs_SpD,0.27636088843131834,7.075461212332342e-5
Rps25,Ar_vs_SpD,0.2862509604306917,4.18562664164272e-4
Pop7,Ar_vs_SpD,0.41506551874055164,3.969147614176629e-6
Mdh2,Ar_vs_SpD,0.23454723554951512,5.861631073961835e-4
Sbds,Ar_vs_SpD,0.4454953683879799,5.185917655177145e-9
Tmem248,Ar_vs_SpD,0.19585657821939398,2.1872679797457106e-5
Chchd2,Ar_vs_SpD,0.32644061735718544,1.4562111177142718e-5
