gene,state,log2FC_ashr,wald_padj
MIR219A2_containing,Ent_vs_LT,1.1317585751048402,1.4439313787527847e-11
MIR29B2CHG_containing_G39119,Ent_vs_LT,2.678061363397609,3.2132803561898974e-38
MIR101-1_containing,Ent_vs_LT,0.9524620858574229,1.1897159217814079e-6
MIRLET7D_containing,Ent_vs_LT,2.477898297242634,1.5501870663620514e-47
Znf644,Ent_vs_LT,0.3491483005126502,7.723645043658475e-4
Znf830,Ent_vs_LT,0.5110478049493417,3.52949314811853e-5
Amd1,Ent_vs_LT,0.36798046611782853,6.216517434347353e-4
Epc1,Ent_vs_LT,0.2606254302878576,1.9278016986140146e-5
Clp1,Ent_vs_LT,0.5727255928568807,5.1319625509036e-7
MIR656_containing,Ent_vs_LT,3.525445017216222,2.327340514449037e-67
Cldn12,Ent_vs_LT,0.44349270521544676,5.862010454149906e-5
Kcnj2,Ent_vs_LT,0.6601938516346761,2.0355869038240805e-6
Cdc42ep3,Ent_vs_LT,0.31482429809732954,4.932946139357888e-4
Snip1,Ent_vs_LT,0.3853502331853288,2.2842225588911967e-5
Rsbn1,Ent_vs_LT,0.39897324973556236,9.257896357690667e-5
Tet2,Ent_vs_LT,0.47308156638169563,3.7523251475435186e-4
Znf12,Ent_vs_LT,0.2770689022270369,7.749940125067158e-4
ZNF43_containing,Ent_vs_LT,0.46092243879789013,3.4890150295619474e-4
Pdp2,Ent_vs_LT,0.2214307557389797,9.630627763501816e-4
Usp51,Ent_vs_LT,0.563347444394163,3.386036901569036e-6
Cmtr2,Ent_vs_LT,0.4986183547695896,2.73949120202101e-4
Tjp1,Ent_vs_LT,0.3760405532711018,2.7528401602906773e-6
Lins1,Ent_vs_LT,0.7018254618610333,3.1518258737535346e-9
Arid4a,Ent_vs_LT,0.29604624755812015,5.108175187581771e-4
Mex3c,Ent_vs_LT,0.5803079098527535,2.0355869038240805e-6
CUNH21orf91,Ent_vs_LT,0.8063209122605157,1.546196183769847e-5
