gene,state,log2FC_ashr,wald_padj
ENSSTOG00000029362,Ent_vs_SpD,-0.3584411443864236,2.458485184213871e-4
ENSSTOG00000034702,Ent_vs_SpD,-0.9965120933526833,1.6275629822078166e-6
ZCCHC3,Ent_vs_SpD,-0.6919647229481802,1.0866635319990011e-9
MIR29B2CHG_containing_G39119,Ent_vs_SpD,-1.7494455753036573,2.608210611993182e-21
G40490,Ent_vs_SpD,-0.460815616954835,1.0911841329321357e-6
G8982,Ent_vs_SpD,-0.6702927971527822,5.532984624881102e-5
Spty2d1,Ent_vs_SpD,-0.29772055344313536,2.7740345117509545e-4
Tub,Ent_vs_SpD,-0.1989728319001686,3.002360863143685e-4
Ifrd2,Ent_vs_SpD,-0.27726065721464105,7.198335567887853e-4
Rassf1,Ent_vs_SpD,-0.4357523605535488,1.580374215752276e-5
Egr1,Ent_vs_SpD,-0.6778137218623352,7.46059771761337e-4
Ntsr2,Ent_vs_SpD,-0.2970589993292869,5.454466962768917e-4
Rreb1,Ent_vs_SpD,-0.37510303900341396,8.953443695990638e-4
Ssh2,Ent_vs_SpD,-0.2304795791310452,9.853020037767844e-4
Arl4d,Ent_vs_SpD,-0.892726588583649,6.975169574991809e-7
Map3k14,Ent_vs_SpD,-0.6199064226406342,1.5910683586746244e-7
ACE_like,Ent_vs_SpD,-0.31019355447958913,9.172426882807973e-4
Bud13,Ent_vs_SpD,-0.41284096534002246,6.597076872703935e-4
Lig4,Ent_vs_SpD,-0.6826447829323052,1.1654954676948376e-7
Mylip,Ent_vs_SpD,-0.3684998308812003,1.1079029079509371e-4
Mogs,Ent_vs_SpD,-0.4745722765224899,2.792058877288912e-6
Tp53inp2,Ent_vs_SpD,-0.3369357422976551,3.282124131797296e-5
Mcf2l2,Ent_vs_SpD,-0.35194321107737997,6.216049860248703e-4
Ppp1r15b,Ent_vs_SpD,-0.2236033140178635,9.853020037767844e-4
Btg2,Ent_vs_SpD,-2.305504352968341,1.9134102051671615e-30
