gene,state,log2FC_ashr,wald_padj
G1404,Ent_vs_SpD,0.6074854399977367,1.7860825822628383e-4
RNA45SN5,Ent_vs_SpD,1.8787520978320764,2.0478324360016719e-4
Ldha,Ent_vs_SpD,0.37044868325313607,1.4055007991258388e-5
Rplp1,Ent_vs_SpD,0.2556137877201942,4.379383896481518e-4
Rhoa,Ent_vs_SpD,0.2816834586352452,5.083565570575867e-6
Acad11,Ent_vs_SpD,0.2589161847770023,5.442332554125833e-4
Hspa9,Ent_vs_SpD,0.256585210878037,7.258331421904585e-4
Tspan3,Ent_vs_SpD,0.23739938057842644,2.489815388866283e-4
Ccdc47,Ent_vs_SpD,0.27878735387939657,1.4873927818800858e-6
Sbds,Ent_vs_SpD,0.32808574584651834,1.3184245109548395e-5
Tmed2,Ent_vs_SpD,0.2554688547691183,1.725641226016626e-5
Ift81,Ent_vs_SpD,0.5024305236632701,1.449220733478942e-4
Bclaf1,Ent_vs_SpD,0.2610230781088655,1.0006263747171702e-4
Hmgb1,Ent_vs_SpD,0.2925639321396387,1.2028264122671587e-4
Mdm4,Ent_vs_SpD,0.26557734742867634,5.298651462484534e-4
Resp18,Ent_vs_SpD,0.28112265186158714,5.454466962768917e-4
Hspb6,Ent_vs_SpD,0.5260680902882073,3.2504129686566636e-4
Psenen,Ent_vs_SpD,0.2919980718390889,6.049968082846542e-4
Saraf,Ent_vs_SpD,0.23600017314188182,4.5505168513024646e-5
Etfdh,Ent_vs_SpD,0.3188535112812033,1.2040661932105044e-4
Mgst1,Ent_vs_SpD,0.6595197605364816,1.6772895269544496e-8
Pdcd10,Ent_vs_SpD,0.2551643312058736,7.339695144435925e-4
Setd3,Ent_vs_SpD,0.19376533566558007,9.310197446173354e-4
Npm1,Ent_vs_SpD,0.28885736372772186,1.2040661932105044e-4
Cdc42,Ent_vs_SpD,0.20418721781121987,2.041051633500028e-4
Eif5,Ent_vs_SpD,0.21308459405273844,7.460725133492798e-4
Lzic,Ent_vs_SpD,0.31613217751055345,6.489911774020962e-6
Eif2s3,Ent_vs_SpD,0.25136757559577433,3.002360863143685e-4
Pcnp,Ent_vs_SpD,0.30025044203760054,7.364340217526961e-5
Msn,Ent_vs_SpD,0.3596929624521936,1.394386647484217e-4
Hoga1,Ent_vs_SpD,0.463570805922329,6.597076872703935e-4
Arpc3,Ent_vs_SpD,0.313860750438341,1.2686928739866246e-5
Sar1b,Ent_vs_SpD,0.2654379513058,3.112775343809477e-4
Vdac1,Ent_vs_SpD,0.17357749291297442,9.197675152815731e-4
Ptp4a2,Ent_vs_SpD,0.2431146259694362,2.569738583443884e-4
Ftl,Ent_vs_SpD,0.5574710057933496,1.3849697015905956e-4
Rplp0,Ent_vs_SpD,0.28575330309526276,4.005525130126142e-5
Tubb4b,Ent_vs_SpD,0.3160961916925139,2.3956547804189458e-4
Sdccag3,Ent_vs_SpD,0.25536410041699636,1.5107256258840127e-4
Txndc17,Ent_vs_SpD,0.3809997500406073,1.5257075727261277e-4
LOC106145277,Ent_vs_SpD,0.4185795071274835,1.8889673231913917e-4
Ybx1,Ent_vs_SpD,0.3650705948347868,1.6040649651825787e-6
Gnai3,Ent_vs_SpD,0.34300285181712575,6.72775951335082e-5
Snrpd2,Ent_vs_SpD,0.21861487030239654,7.258331421904585e-4
Cetn2,Ent_vs_SpD,0.3094486453864887,8.047816311363482e-5
Micu2,Ent_vs_SpD,0.4351044587920553,1.2750199554174206e-4
Selenof,Ent_vs_SpD,0.2813079638705357,3.021859996996345e-4
