gene,state,log2FC_ashr,wald_padj
RPL10A,IBA_vs_Ar,-0.33605136311583944,6.237211269588873e-4
LINC00672,IBA_vs_Ar,-0.3108577763622094,1.6985846577333163e-4
COX6B1_like,IBA_vs_Ar,-0.3623571860837918,6.95356356188363e-4
COX6B1_ENSSTOG00000032450,IBA_vs_Ar,-0.32700577926029745,3.6636919568810664e-5
G12941,IBA_vs_Ar,-0.3333291692633427,6.01776309600153e-5
G1404,IBA_vs_Ar,-0.4627536365273896,7.601145749561335e-4
ARL6IP5_like,IBA_vs_Ar,-0.3524485983901573,9.995441299225707e-4
G22579,IBA_vs_Ar,-0.27075481802644347,3.328958682416239e-4
G23600,IBA_vs_Ar,-0.32074715127671305,3.135518471945637e-4
RPL41_G28914,IBA_vs_Ar,-0.41822514498531804,2.253876862135586e-6
G32880,IBA_vs_Ar,-0.3759990445374095,4.7424535022013406e-5
TMSB4X_G3417,IBA_vs_Ar,-0.36992395966975894,3.721836841047344e-5
PIR_like,IBA_vs_Ar,-0.526534857946369,2.2543436113833185e-5
RPL27A_containing_G5064,IBA_vs_Ar,-0.3112507810333636,4.8740240160758763e-4
G5304,IBA_vs_Ar,-0.298789949275928,1.5473069268255257e-4
G83,IBA_vs_Ar,-0.6028832994556613,1.759566873433939e-4
G924,IBA_vs_Ar,-0.3143298413143245,6.991670941828615e-5
Rplp1,IBA_vs_Ar,-0.33688915004919595,4.039892374178499e-6
Rps13,IBA_vs_Ar,-0.34444707370938954,4.663902293796971e-6
Dkk3,IBA_vs_Ar,-0.23136454873819892,1.2371063304397737e-4
Tmem9b,IBA_vs_Ar,-0.25443052620114026,2.2077194169232246e-4
Rpl27a,IBA_vs_Ar,-0.4307035663379975,3.1962024782026776e-7
Gnai2,IBA_vs_Ar,-0.20559396734979093,1.8013391316308613e-4
Tusc2,IBA_vs_Ar,-0.2166797442376566,2.1081850000817336e-4
Gpr62,IBA_vs_Ar,-0.41361234694624843,6.234225494666038e-4
Rpl29,IBA_vs_Ar,-0.24683382094993428,4.8079421656516114e-4
Nek11,IBA_vs_Ar,-0.6107389580281831,5.104008473677973e-7
Acad11,IBA_vs_Ar,-0.286173835646362,1.9033367726367588e-4
Anapc13,IBA_vs_Ar,-0.38160181057420783,6.267075240720701e-4
Pccb,IBA_vs_Ar,-0.3208229400424228,8.532687438945841e-5
Vapb,IBA_vs_Ar,-0.2634472438473465,7.689705941854981e-5
Npepl1,IBA_vs_Ar,-0.3355132989026819,9.949437487483499e-4
Nelfcd,IBA_vs_Ar,-0.2798912917389836,5.1352167987626114e-6
Atp5e,IBA_vs_Ar,-0.336719095131065,4.768400117320461e-5
Nubp1,IBA_vs_Ar,-0.34201937273992106,5.790295782002494e-4
Fbxl17,IBA_vs_Ar,-0.36637246914522587,6.052914453221017e-5
Fer,IBA_vs_Ar,-0.3514275179442057,7.931354881813882e-4
Sil1,IBA_vs_Ar,-0.6020946008329541,1.492361990002537e-7
Tmem18,IBA_vs_Ar,-0.4091540123430348,6.075707446026531e-5
Rps7,IBA_vs_Ar,-0.38818509202249585,9.89666758465692e-6
Id2,IBA_vs_Ar,-0.5092926015791264,1.8662368872737167e-7
Fars2,IBA_vs_Ar,-0.5061270357951161,1.218874282919943e-6
Commd4,IBA_vs_Ar,-0.3952861290682627,1.287999969991677e-9
Ndufb4,IBA_vs_Ar,-0.3276315536816069,1.7590391146690446e-4
Rabl3,IBA_vs_Ar,-0.40488983643769394,2.494405108626667e-4
Dpyd,IBA_vs_Ar,-0.40739457361531695,5.154071881707785e-6
Alg14,IBA_vs_Ar,-0.3279503254240221,1.3180553713429695e-4
Omg,IBA_vs_Ar,-0.4292902752661538,9.56439699466692e-7
Wsb1,IBA_vs_Ar,-0.34580061572225085,7.019424697786585e-5
Lyrm9,IBA_vs_Ar,-0.39143196816165327,3.2492445098143537e-9
Rpl23a,IBA_vs_Ar,-0.3422856872866447,5.802488393503775e-5
Xrcc4,IBA_vs_Ar,-0.4101641497981518,2.238968066419838e-4
Chst2,IBA_vs_Ar,-0.33804227499076644,2.6527408508338758e-5
Gfap,IBA_vs_Ar,-0.39939829178187786,8.909424894199997e-4
Cep112,IBA_vs_Ar,-0.6169879290775133,2.3047596449535025e-7
Atp5l,IBA_vs_Ar,-0.28504080434406565,7.728591378161306e-4
Ift46,IBA_vs_Ar,-0.27320432375430664,6.027756842148873e-5
Rps25,IBA_vs_Ar,-0.43113656441857073,9.14274907798621e-8
