gene,state,log2FC_ashr,wald_padj
G10765,IBA_vs_Ent,-0.3681529665009537,9.180035523633072e-5
G22579,IBA_vs_Ent,-0.2598952750815731,4.983317413618519e-4
RNA45SN5,IBA_vs_Ent,-2.107358445825186,4.458056183048559e-6
PIR_like,IBA_vs_Ent,-0.4397113265561382,1.8643908217858414e-4
G5304,IBA_vs_Ent,-0.2896256909166755,2.0178803116697357e-4
RNA45SN3_containing,IBA_vs_Ent,-1.1261934576956107,2.3297667062648937e-4
Rplp1,IBA_vs_Ent,-0.37435754255992987,2.6621926847279304e-7
Rpl27a,IBA_vs_Ent,-0.29646708964819235,4.0739351739630156e-4
Gpr62,IBA_vs_Ent,-0.4174278477352643,3.6209772375533797e-4
Nek11,IBA_vs_Ent,-0.765872098550556,8.129158094806671e-10
Acad11,IBA_vs_Ent,-0.2796839526039848,2.2436130109119583e-4
Pccb,IBA_vs_Ent,-0.2849057120421705,4.2794557445723796e-4
Rab22a,IBA_vs_Ent,-0.2263309616739584,4.7019712419936216e-4
Atp5e,IBA_vs_Ent,-0.3400014167659748,3.1171887258496705e-5
Fer,IBA_vs_Ent,-0.42363843855728295,3.774294160621866e-5
Sil1,IBA_vs_Ent,-0.48548837557370444,1.0049882562618761e-5
Id2,IBA_vs_Ent,-0.3373379024143597,3.6209772375533797e-4
Fam219b,IBA_vs_Ent,-0.3356515952355006,1.955962661079832e-4
Nrn1,IBA_vs_Ent,-0.30383713347704444,5.1898992437334045e-5
Fars2,IBA_vs_Ent,-0.5557594339816986,1.2225022761690995e-7
Gap43,IBA_vs_Ent,-0.2771691936354315,2.7666620289037606e-4
Rabl3,IBA_vs_Ent,-0.3567133322419193,8.106625235861145e-4
Dpyd,IBA_vs_Ent,-0.44523719917218296,6.416264318856473e-7
Nf1,IBA_vs_Ent,-0.26991674402948457,2.3480406383478348e-4
Evi2a,IBA_vs_Ent,-0.7072260891480923,6.1276044501354036e-6
Omg,IBA_vs_Ent,-0.4111539800590839,2.459105112453563e-6
Wsb1,IBA_vs_Ent,-0.3601132831661809,2.540549420786653e-5
Lyrm9,IBA_vs_Ent,-0.3033952225018638,5.645287057932666e-6
Xrcc4,IBA_vs_Ent,-0.44249309422597083,5.045196669508656e-5
Ywhae,IBA_vs_Ent,-0.19043954728514215,1.4513064029134318e-4
Ptprd,IBA_vs_Ent,-0.23900586444224764,3.035101375167426e-4
Psip1,IBA_vs_Ent,-0.2106656495973348,2.259680844864243e-4
Chst2,IBA_vs_Ent,-0.26587448472044667,9.354852460075743e-4
Slc9a9,IBA_vs_Ent,-0.4932941506134328,6.501191817981678e-5
Cep112,IBA_vs_Ent,-0.477812985336725,2.1890825400337985e-5
ABCA8,IBA_vs_Ent,-0.4627158685197446,5.711138459068132e-4
Rps25,IBA_vs_Ent,-0.2675806523849319,9.610082370129979e-4
JHY,IBA_vs_Ent,-0.5120115445546356,3.0396047031355104e-9
Wwp1,IBA_vs_Ent,-0.2593530491517416,6.861875617476197e-6
Nbn,IBA_vs_Ent,-0.3042663747082558,3.6209772375533797e-4
Tmem5,IBA_vs_Ent,-0.4076991706997468,2.6693199892779293e-6
Ispd,IBA_vs_Ent,-0.3530776884208015,8.904600787827298e-4
Taf9b,IBA_vs_Ent,-0.2975888169577695,5.220356749276539e-4
Tceal7,IBA_vs_Ent,-0.36099699616399306,1.392224892147947e-4
BEX1,IBA_vs_Ent,-0.2253313758493643,8.206415044967319e-4
Pyroxd1,IBA_vs_Ent,-0.444049447394961,4.73754160325757e-4
Slco1a2,IBA_vs_Ent,-0.6749162518776716,4.482400088898326e-6
Vcan,IBA_vs_Ent,-0.5531381545105242,2.735471805450069e-7
Arsb,IBA_vs_Ent,-0.21805034235162699,9.020431087448247e-4
Acat1,IBA_vs_Ent,-0.35302457760991723,1.2447885880675606e-5
Cntn5,IBA_vs_Ent,-0.3790667657337145,2.2036201963698902e-4
Pcdh9,IBA_vs_Ent,-0.5368511635749672,9.743922155859582e-17
Lrrtm4,IBA_vs_Ent,-0.40233316100919153,9.782622055847789e-5
Tatdn3,IBA_vs_Ent,-0.45723127239450645,1.9503467354460897e-5
Ift81,IBA_vs_Ent,-0.4737253843294855,7.527066901133737e-5
Acad10,IBA_vs_Ent,-0.35568035562293876,8.287807843218848e-4
Gtf3a,IBA_vs_Ent,-0.2403190773854935,3.6209772375533797e-4
Bclaf1,IBA_vs_Ent,-0.3185530384209507,1.7239260298389489e-6
Larp7,IBA_vs_Ent,-0.3900991453684729,3.571926178268606e-6
Ank2,IBA_vs_Ent,-0.14917190500960578,2.451963348970098e-4
Cab39l,IBA_vs_Ent,-0.2623855587976671,2.0520612338920187e-5
Ttc14,IBA_vs_Ent,-0.26560180161430225,2.9745401380403826e-5
Ccdc169,IBA_vs_Ent,-0.6472009794582345,6.195097001865133e-7
Alg5,IBA_vs_Ent,-0.32920439279929503,5.339947624683186e-4
Pop4,IBA_vs_Ent,-0.43089454233447116,1.3936137879494456e-6
Erich3,IBA_vs_Ent,-0.4395603071886677,3.956591198943064e-7
Tyw3,IBA_vs_Ent,-0.3580239036699466,2.2364208977498212e-4
Slc44a5,IBA_vs_Ent,-0.43387236977791716,4.2136949754577714e-4
Ntm,IBA_vs_Ent,-0.24591298790402322,2.6540814104136687e-5
Ddx25,IBA_vs_Ent,-0.24939228696608112,3.152720118567317e-4
Map6d1,IBA_vs_Ent,-0.6774903872729467,3.3740174836715864e-10
EXOC4_like_gene13945,IBA_vs_Ent,-0.27335567515283393,3.225133772998144e-4
Copg2,IBA_vs_Ent,-0.29097475461802425,1.4512911778605714e-5
Fth1,IBA_vs_Ent,-0.2222077575819488,8.904600787827298e-4
Tbc1d5,IBA_vs_Ent,-0.3615128905177442,6.023187698108878e-8
