gene,state,log2FC_ashr,wald_padj
ZNF112,IBA_vs_LT,0.5545732202390609,4.307116953972841e-8
ZBED8,IBA_vs_LT,0.353114935498882,8.089903575328731e-4
ENSSTOG00000029362,IBA_vs_LT,0.42856136092995106,3.6651408226570324e-5
ENSSTOG00000034702,IBA_vs_LT,2.041091794824944,6.441928622635567e-22
G10915,IBA_vs_LT,0.7097219815577014,1.7790898235641781e-4
MIR138-2_containing,IBA_vs_LT,0.576967473387137,2.8535515874121683e-5
G14485,IBA_vs_LT,0.44859439123048017,1.6701997327024635e-4
G14950,IBA_vs_LT,1.0642677850601612,7.776691258929721e-11
RYBP_like,IBA_vs_LT,0.43943880560414617,5.164209952661457e-6
G16353,IBA_vs_LT,0.4547519553854753,8.649453642539059e-4
G16448,IBA_vs_LT,0.8610973632648676,5.461712045000943e-6
G17128,IBA_vs_LT,0.3360280553045812,3.5314704294814943e-4
AACSP1_containing,IBA_vs_LT,0.8874881881466393,6.130112464869944e-11
SRSF3_G17416,IBA_vs_LT,0.4135194849146414,2.571951432039129e-4
G18650,IBA_vs_LT,1.224505685831508,1.4997380809869767e-10
ZNF699_like_G19270,IBA_vs_LT,0.507782180294293,1.6119569759320335e-4
G19629,IBA_vs_LT,0.41759105104884076,6.738175640044138e-5
G20768,IBA_vs_LT,0.5260667774096262,2.5269393829119064e-4
G21808,IBA_vs_LT,0.5034922416168979,3.7772640036688533e-7
MIR219A2_containing,IBA_vs_LT,1.1149787706228043,5.531220845047738e-13
G23925,IBA_vs_LT,0.46749591870453866,9.25856464555389e-4
KATNBL1_containing,IBA_vs_LT,0.5443170297540172,1.0200898614632241e-4
ZCCHC3,IBA_vs_LT,0.7202071338675841,2.5835048252041835e-11
G30823,IBA_vs_LT,0.6100432155957448,4.054418408309854e-6
G3182,IBA_vs_LT,0.5355132475250928,1.3395655926094115e-7
G32712,IBA_vs_LT,0.29288827571744863,8.835441923893861e-4
G32912,IBA_vs_LT,0.4163682441913859,3.834757947877096e-6
G34888,IBA_vs_LT,0.4756523993324072,7.709536995969974e-4
DUSP7_G34889,IBA_vs_LT,0.5980407674837388,1.0639930529427618e-5
G36203,IBA_vs_LT,0.3877626678787663,1.9984490147377661e-4
G3860,IBA_vs_LT,0.5219845109627551,1.1508940534148074e-4
MIR29B2CHG_containing_G39119,IBA_vs_LT,4.533379365293662,3.914745933714564e-123
ZBTB37_like,IBA_vs_LT,0.4262804497431096,4.252834069933005e-4
G40000,IBA_vs_LT,0.7701994640251671,1.7505538022331667e-6
G40490,IBA_vs_LT,0.8256142223765328,1.7587119858433495e-18
MIR101-1_containing,IBA_vs_LT,1.6494121922369047,1.0188741669736451e-20
SOX11_G8196,IBA_vs_LT,0.5847065301139357,2.4644932029951017e-5
