gene,state,log2FC_ashr,wald_padj
TSHZ2_G30132,IBA_vs_SA,-0.7973618205908326,6.495164343440537e-7
G4773,IBA_vs_SA,-0.3437586402714199,3.1682226904801544e-4
Tcp11l1,IBA_vs_SA,-0.16970171990713906,3.735624421100764e-4
Fam219b,IBA_vs_SA,-0.29183818564354286,7.524030331195859e-4
Nrn1,IBA_vs_SA,-0.29503641635168765,6.760652111592299e-5
Fars2,IBA_vs_SA,-0.3252329150844733,8.197569337350333e-4
Gap43,IBA_vs_SA,-0.2752647121132621,2.0348052811801394e-4
Acvr1c,IBA_vs_SA,-0.5772018945425558,2.7880437748090564e-5
KIAA1107_like,IBA_vs_SA,-0.3418638765360728,6.32292674325864e-5
Hfm1,IBA_vs_SA,-0.5894909387495946,1.7159921643900396e-4
Evi2a,IBA_vs_SA,-0.4873356584101479,6.99728822738636e-4
Wsb1,IBA_vs_SA,-0.36953957809554605,1.8328724606605442e-5
Proca1,IBA_vs_SA,-0.40852938229505675,2.1262402107398025e-4
Faim,IBA_vs_SA,-0.31511440769058185,1.2876775635603809e-4
Dnaja4,IBA_vs_SA,-0.21359984953574504,1.6690210475094175e-4
Chst2,IBA_vs_SA,-0.33468071812821254,2.3202010861273004e-5
Bdnf,IBA_vs_SA,-0.47113665306724267,2.0348052811801394e-4
Hdac5,IBA_vs_SA,-0.31035844473864316,3.2938498437585405e-4
Atxn7l3,IBA_vs_SA,-0.25009298795334234,2.1988634010107784e-6
Hexim1,IBA_vs_SA,-0.23649910101768146,4.609670073461263e-4
Map3k14,IBA_vs_SA,-0.46836177827389064,1.0593958822735e-5
ABCA8,IBA_vs_SA,-0.4752193665618082,7.944599240015536e-4
Rps25,IBA_vs_SA,-0.3320218211934657,2.9732716673412113e-5
H2AFX_containing,IBA_vs_SA,-0.2397197327588459,9.934780583393033e-4
JHY,IBA_vs_SA,-0.340110769919544,6.074902526588487e-5
Calb1,IBA_vs_SA,-0.38085405503656555,1.2664779755304452e-4
Pdp1,IBA_vs_SA,-0.37438092444191384,6.243766328913012e-4
Vcan,IBA_vs_SA,-0.5997535523255626,4.1083563150773217e-7
Homer1,IBA_vs_SA,-0.6349847808799332,1.4401536964315946e-5
Cables1,IBA_vs_SA,-0.3568183862205921,2.7111968463722767e-4
Ccdc168,IBA_vs_SA,-0.6356014737856822,3.3837500800950243e-4
Dync2h1,IBA_vs_SA,-0.38547934514465704,2.6968484316932295e-4
Cntn5,IBA_vs_SA,-0.4254514391748332,7.24932920548883e-5
Dtnbp1,IBA_vs_SA,-0.39675429286415864,9.167977792110584e-8
Pcdh9,IBA_vs_SA,-0.5091889278035426,2.95687217437485e-14
Gpc5,IBA_vs_SA,-0.46047025852577295,6.446454527630452e-4
Sgk1,IBA_vs_SA,-0.5561777121812996,1.675106316500605e-4
CUNH11orf49,IBA_vs_SA,-0.2878353012959437,6.209227431848396e-5
Cdadc1,IBA_vs_SA,-0.33003466863234765,9.545804926353005e-4
Mcf2l2,IBA_vs_SA,-0.6483780238743441,1.8221161729517238e-7
Ttc14,IBA_vs_SA,-0.23588335764139776,1.9940578050938696e-4
Ccdc169,IBA_vs_SA,-0.4134455787066228,5.977853179915575e-4
Prelp,IBA_vs_SA,-0.6602329360749113,2.8468406436704868e-5
Kcnc2,IBA_vs_SA,-0.3505040383008405,9.326257968723967e-6
Csrp2,IBA_vs_SA,-0.3028308760741389,1.8995572690484565e-4
Erich3,IBA_vs_SA,-0.30463970704528626,2.7135428465826264e-4
Dusp4,IBA_vs_SA,-0.3961046793949847,7.927904541644003e-4
Sncaip,IBA_vs_SA,-0.3081874478699734,7.654611829351574e-4
Cntn6,IBA_vs_SA,-0.32005026853882346,9.800301358562117e-4
Bcl6,IBA_vs_SA,-0.3471584676735762,1.0944512066262003e-4
Map6d1,IBA_vs_SA,-0.3950239324496832,1.1744456995459128e-4
Copg2,IBA_vs_SA,-0.2533796017482736,1.4491303428841213e-4
Mest,IBA_vs_SA,-0.4789964147539185,2.138535002229984e-6
Pmvk,IBA_vs_SA,-0.3393665496207292,5.876425346073879e-5
Paqr6,IBA_vs_SA,-0.6026143729584756,1.3883916585976184e-8
Asrgl1,IBA_vs_SA,-0.3770308011568762,2.297391770494559e-5
Galnt15,IBA_vs_SA,-0.7745013770273054,9.264312489018937e-6
Tbc1d5,IBA_vs_SA,-0.32766524311960277,1.1364656255961426e-6
Ypel4,IBA_vs_SA,-0.2506456053571583,4.6677996498570735e-4
Adgrl3,IBA_vs_SA,-0.3808999316070435,5.76727947156644e-6
Togaram1,IBA_vs_SA,-0.23483601229493564,1.3675116116407986e-4
Ppp1r9a,IBA_vs_SA,-0.36290979660220646,3.769790756227795e-5
Igfbp5,IBA_vs_SA,-0.5048637683636337,2.799259173862374e-4
Xrcc5,IBA_vs_SA,-0.43084638407202863,8.705490160031332e-6
Mbd3,IBA_vs_SA,-0.23798176369926863,4.192736526903982e-4
Mpnd,IBA_vs_SA,-0.18715896670613746,4.031036698175364e-4
Gpr85,IBA_vs_SA,-0.42566607946986035,1.4234048310720639e-8
EGFEM1P_containing_gene15217,IBA_vs_SA,-0.8502184056856499,3.018163957962195e-8
Ndel1,IBA_vs_SA,-0.2794315777946105,9.98891669498593e-6
Mobp,IBA_vs_SA,-0.9481784639778994,9.456795982594089e-8
Myrip,IBA_vs_SA,-0.26490551395250755,1.590998832060491e-4
Dnah9,IBA_vs_SA,-0.401082949135703,5.276801718134354e-5
Tmie,IBA_vs_SA,-0.5447019430467195,7.88912671447154e-5
Aldh3b1,IBA_vs_SA,-0.5077839708507514,8.639774555216926e-5
Banf1,IBA_vs_SA,-0.22795497773217474,5.857393624067161e-4
Mgea5,IBA_vs_SA,-0.264559987823531,5.563175119372315e-4
Plekhm2,IBA_vs_SA,-0.2599346152906283,9.168742259250932e-4
Grm7,IBA_vs_SA,-0.36770813905965394,2.1988634010107784e-6
Ak7,IBA_vs_SA,-0.6933149015572625,1.6010890623084124e-4
Lingo2,IBA_vs_SA,-0.6520469025148327,9.634763195611901e-8
LOC110599226,IBA_vs_SA,-0.6139938944103333,2.0520854109338323e-4
Lrp1b,IBA_vs_SA,-0.5154184756987551,1.2886512107883273e-5
PRODH_like,IBA_vs_SA,-0.27441630116105004,2.9306258194120113e-5
Camta1,IBA_vs_SA,-0.17777858985875172,6.859928338460567e-4
Utrn,IBA_vs_SA,-0.38091547605773457,1.935543305026032e-5
Filip1l,IBA_vs_SA,-0.4966843948661336,1.5925795994735435e-4
Creb1,IBA_vs_SA,-0.36711334465112333,4.341262529785679e-6
Sept8,IBA_vs_SA,-0.15537571227570746,2.4339430955156943e-4
Glt1d1,IBA_vs_SA,-0.5829577762535483,1.4234048310720639e-8
Znf10,IBA_vs_SA,-0.20562367101964224,5.256535957734803e-4
Dact3,IBA_vs_SA,-0.36224087770059565,5.139457094018915e-6
Ca11,IBA_vs_SA,-0.3416473341157253,2.036399459289752e-6
Riox2,IBA_vs_SA,-0.3291296181353565,7.078657236797854e-4
CUNH12orf43,IBA_vs_SA,-0.6323762023028531,4.1083563150773217e-7
Nrsn1,IBA_vs_SA,-0.3233926426883443,4.0904861428954244e-5
ZNF391_containing,IBA_vs_SA,-0.3782337424171453,3.2909573751675706e-5
Scg5,IBA_vs_SA,-0.19185460176872732,9.315092691453867e-4
Fat3,IBA_vs_SA,-0.43527998952146585,7.0338357526149506e-6
OGA,IBA_vs_SA,-0.2887166931656184,1.081479348989107e-5
Vstm2a,IBA_vs_SA,-0.4034873799842529,1.5502586685565678e-6
Ntrk2,IBA_vs_SA,-0.20247855788527752,5.7653894821362486e-5
Atg4c,IBA_vs_SA,-0.29505695816290084,3.1721204500610977e-4
Alcam,IBA_vs_SA,-0.25773104857778145,8.871224594047975e-4
Nlgn1,IBA_vs_SA,-0.3739558937284421,2.7880437748090564e-5
GSTM4_like_gene20552,IBA_vs_SA,-0.4193626228694766,2.1912914309268985e-6
