gene,state,log2FC_ashr,wald_padj
G32912,IBA_vs_SA,0.2849512243444133,6.859928338460567e-4
ATF6_containing,IBA_vs_SA,0.24357936048810516,4.0929378313207706e-4
Gtf2h1,IBA_vs_SA,0.21744561952480734,7.027893411235144e-4
Qrich1,IBA_vs_SA,0.2771321710099018,6.263740384102116e-4
Hexa,IBA_vs_SA,0.1827441015221798,5.567742710490222e-4
Alas1,IBA_vs_SA,0.3402343277823421,8.913165849482489e-10
Topbp1,IBA_vs_SA,0.38249644618999795,2.1988634010107784e-6
Rae1,IBA_vs_SA,0.28779834558394113,1.7047650062625065e-5
Cd276,IBA_vs_SA,0.3286386116896462,3.51265775584303e-4
Zc3h7a,IBA_vs_SA,0.20639609238846932,3.1548715332663224e-4
Rsl1d1,IBA_vs_SA,0.23445396943977054,5.9734158654427006e-5
Gspt1,IBA_vs_SA,0.22568590133738667,5.182205972341614e-4
Brd8,IBA_vs_SA,0.2534066767833839,1.1078780331262824e-4
Hspa9,IBA_vs_SA,0.2565992098893814,6.35472366834354e-4
Cd44,IBA_vs_SA,0.8338809959132527,4.979490365352956e-6
Cstf3,IBA_vs_SA,0.37035317512612176,9.264312489018937e-6
Cnn3,IBA_vs_SA,0.3144645416808965,2.6061291249310002e-5
F3,IBA_vs_SA,0.6110698499136592,1.2361485363911901e-5
Prpf8,IBA_vs_SA,0.23537222966403298,3.735624421100764e-4
Wdr81,IBA_vs_SA,0.5026933390785261,9.491092385551038e-7
Cluh,IBA_vs_SA,0.2939281966107402,6.638062430426521e-6
Ireb2,IBA_vs_SA,0.23597504995704996,3.407767683860169e-4
Dhx8,IBA_vs_SA,0.24459510568129247,1.0530344255653427e-4
Plcd3,IBA_vs_SA,0.315624327655419,6.263740384102116e-4
Dcaf7,IBA_vs_SA,0.1756283012325939,8.112518670925965e-5
Ddx42,IBA_vs_SA,0.17667034356441394,6.243766328913012e-4
Zpr1,IBA_vs_SA,0.2716897708008571,1.5622201636529267e-6
Cyfip1,IBA_vs_SA,0.2395565099995036,3.661817753184792e-4
Tbcel,IBA_vs_SA,0.24794951568384255,5.751416631855052e-5
Baz1b,IBA_vs_SA,0.18392285704706007,2.799259173862374e-4
Tbl2,IBA_vs_SA,0.3031224375873477,4.356263488453143e-6
Gusb,IBA_vs_SA,0.32881626556701277,1.417549566110463e-4
Lamp1,IBA_vs_SA,0.2785197727507907,2.3659692484426363e-6
Cul4a,IBA_vs_SA,0.19080274519733856,1.744890533156767e-4
Pcid2,IBA_vs_SA,0.24297596022420068,1.6972089119856882e-4
Znf366,IBA_vs_SA,0.48795352242148876,1.7047650062625065e-5
Riok3,IBA_vs_SA,0.24419814340375798,5.209618774097897e-4
Npc1,IBA_vs_SA,0.5043339473487027,4.287926878668282e-8
NPAT,IBA_vs_SA,0.2662704908960639,7.514295098090344e-4
Nup153,IBA_vs_SA,0.33240917059468394,9.194012484629003e-8
Hr,IBA_vs_SA,0.4456382541515266,3.9347772876332246e-4
Slc41a1,IBA_vs_SA,0.28334990262060356,9.007824573392816e-4
Dhx37,IBA_vs_SA,0.3686258589237757,1.6450735494155408e-4
Atp6v0a2,IBA_vs_SA,0.2221749017215749,9.76985500627245e-4
Brap,IBA_vs_SA,0.3699625686562243,4.1083563150773217e-7
Naa25,IBA_vs_SA,0.24357772405004452,1.6376971456967716e-4
Fbxo21,IBA_vs_SA,0.23249253391065094,1.415027768243215e-4
Fbxw8,IBA_vs_SA,0.25344689331516695,1.2901742807846088e-4
Snx30,IBA_vs_SA,0.21539655288203136,5.273924247577189e-4
Fnbp4,IBA_vs_SA,0.2692151446849599,3.637042837078667e-4
Klhl12,IBA_vs_SA,0.21371520092011934,1.9281642895243034e-5
Cnppd1,IBA_vs_SA,0.3559053116741664,9.393877596471362e-7
Hspb6,IBA_vs_SA,0.6794636171898323,1.4401536964315946e-5
Gramd2b,IBA_vs_SA,0.22735427090166982,9.800301358562117e-4
Gnl3,IBA_vs_SA,0.27565278573054125,7.61617461580751e-5
Psmd2,IBA_vs_SA,0.19864513553550792,6.35472366834354e-4
Aph1a,IBA_vs_SA,0.30617844767663943,7.721323902144387e-6
Glmp,IBA_vs_SA,0.357008679638223,1.744890533156767e-4
Nes,IBA_vs_SA,0.38809787786491307,7.944599240015536e-4
Ddb1,IBA_vs_SA,0.21620338514474616,5.751416631855052e-5
Nceh1,IBA_vs_SA,0.2406798614949908,5.190197856586329e-4
Endov,IBA_vs_SA,0.3912776154223266,4.8798258389801065e-4
Smarcc1,IBA_vs_SA,0.37756740621752005,2.5987202240506575e-5
Ncan,IBA_vs_SA,0.3428920821350016,2.925519077411596e-4
Sugp2,IBA_vs_SA,0.19495317478193103,9.985591944084878e-4
Mpv17l2,IBA_vs_SA,0.3651449908882145,3.3966163902232957e-4
Kiaa2013,IBA_vs_SA,0.2733317147396535,3.4248104011710826e-4
Ppfia1,IBA_vs_SA,0.22056979268846996,3.713372096950497e-4
Cpt1a,IBA_vs_SA,0.3681443932657445,2.1028334674949903e-4
Pdpn,IBA_vs_SA,0.5531947113673272,8.755321727500743e-6
Pcnx3,IBA_vs_SA,0.36736022323628686,6.694823359598523e-5
Map3k11,IBA_vs_SA,0.325195129690266,2.987718960260629e-4
Ldb1,IBA_vs_SA,0.2706271480319546,1.0944512066262003e-4
Ide,IBA_vs_SA,0.23062836067025252,2.0007165942286423e-4
Tmem43,IBA_vs_SA,0.6239699745450309,4.1083563150773217e-7
Slc6a6,IBA_vs_SA,0.6276538588320797,9.455961469495914e-8
Setd5,IBA_vs_SA,0.3199583185861128,5.751416631855052e-5
Hnrnpf,IBA_vs_SA,0.2660593435401798,1.4835005624870986e-7
Smpd4,IBA_vs_SA,0.30413420347726755,7.321516619980568e-7
Rars,IBA_vs_SA,0.2643338702197871,8.087583107429352e-4
Afg3l2,IBA_vs_SA,0.2235179360736893,4.3202850262310513e-4
Cep76,IBA_vs_SA,0.4624880291777331,1.6811424728824646e-5
Ice1,IBA_vs_SA,0.2318156787485256,1.590998832060491e-4
Msn,IBA_vs_SA,0.3395998715697532,2.7642926998326157e-4
Psmd6,IBA_vs_SA,0.22551419304256426,4.845572036798893e-5
Piezo1,IBA_vs_SA,0.5301236768933182,6.074902526588487e-5
Ctu2,IBA_vs_SA,0.22470754070719912,7.654611829351574e-4
Mvd,IBA_vs_SA,0.4052043798572267,3.2370288078562487e-4
Zcchc14,IBA_vs_SA,0.29494491631214503,7.940888317246887e-4
Mbtps1,IBA_vs_SA,0.17165214679183133,5.824084359343627e-4
Cd63,IBA_vs_SA,0.6569630243755515,3.2302088355387163e-9
Sar1b,IBA_vs_SA,0.31928317655270355,1.4410448210652276e-5
Acsl6,IBA_vs_SA,0.2529193481964405,3.0182318858115926e-4
Hps4,IBA_vs_SA,0.2880781468167636,1.6345861952357855e-4
ZNF266_containing,IBA_vs_SA,0.2777714894495449,1.3675116116407986e-4
Gcdh,IBA_vs_SA,0.29166650863421484,2.2990945004333852e-4
Ddx39a,IBA_vs_SA,0.3070372339884054,2.660827525742542e-5
Ankle2,IBA_vs_SA,0.29734874244472714,3.886877824890516e-6
Golga3,IBA_vs_SA,0.296002130819093,6.433287772881441e-5
Plekhg2,IBA_vs_SA,0.6874483803247038,5.990062102197285e-6
Zbtb8a,IBA_vs_SA,0.45249314108898275,5.876425346073879e-5
Ppp1r15a,IBA_vs_SA,0.31924326817505455,9.985591944084878e-4
Ndor1,IBA_vs_SA,0.337101610979293,1.0482294930117178e-4
Ssna1,IBA_vs_SA,0.3061620417668571,1.7129804961900714e-6
Pmpca,IBA_vs_SA,0.25771103024275005,1.2707598420653856e-6
Sdccag3,IBA_vs_SA,0.2792039696268257,2.9262681474655317e-5
Surf4,IBA_vs_SA,0.2086296917768921,1.9281642895243034e-5
Lama4,IBA_vs_SA,0.5783290306571794,1.1387923644329785e-4
Pabpc4,IBA_vs_SA,0.24301856134296962,2.4462981870097074e-4
Ncapd3,IBA_vs_SA,0.27195706697139777,5.392214431096087e-4
Shisa2,IBA_vs_SA,0.9125865663498371,5.08624189812024e-9
Flywch2,IBA_vs_SA,0.35151718315060665,5.671527538603319e-6
Unkl,IBA_vs_SA,0.24334335167945528,8.264127840727721e-4
Ybx1,IBA_vs_SA,0.31900886368412373,2.4572747404748095e-5
P3h1,IBA_vs_SA,0.27690573926226675,5.182205972341614e-4
Fermt2,IBA_vs_SA,0.3042872888170427,2.006600403834883e-4
Kdm4a,IBA_vs_SA,0.32425611316631797,3.046858436248601e-7
Nop2,IBA_vs_SA,0.32423625001396905,1.211688788591931e-4
Ash2l,IBA_vs_SA,0.20851428387915824,5.703514135952031e-4
Usp39,IBA_vs_SA,0.19234111177060284,3.713372096950497e-4
Hectd3,IBA_vs_SA,0.3182613753327134,1.5044669362798875e-4
Nop9,IBA_vs_SA,0.3021711774460331,2.0625249363252608e-4
Ipo4,IBA_vs_SA,0.45080168994578507,3.206006624812736e-8
Rnf31,IBA_vs_SA,0.3827562345336676,1.4427189725759953e-4
C4a,IBA_vs_SA,0.5687806631821501,3.3966163902232957e-4
Lrrc47,IBA_vs_SA,0.28538188996413844,1.4164750199669232e-4
Ccnl2,IBA_vs_SA,0.2786235535939453,6.413523476087597e-4
Ints11,IBA_vs_SA,0.2421240176120852,7.41582633514418e-4
Ube2j2,IBA_vs_SA,0.1915792112199849,6.934212602683626e-4
Sqstm1,IBA_vs_SA,0.23924977383165102,4.066845333750433e-6
Smcr8,IBA_vs_SA,0.2469780327488949,3.1302445094306123e-4
Stt3a,IBA_vs_SA,0.24896054639928383,4.928645899920292e-4
Stard7,IBA_vs_SA,0.2000730959149621,7.654611829351574e-4
Aimp2,IBA_vs_SA,0.36107987632178784,6.760652111592299e-5
Znf655,IBA_vs_SA,0.2533369954041477,4.0929378313207706e-4
MT1E_like,IBA_vs_SA,0.4738509127970166,3.5648917777855455e-4
Nono,IBA_vs_SA,0.17728997552204612,4.7256584567702324e-4
Cetp,IBA_vs_SA,0.7224339371611311,2.0273137939242802e-5
Usp30,IBA_vs_SA,0.20194230942766253,7.570629563638796e-4
Kctd10,IBA_vs_SA,0.24164780615834366,9.326373705379246e-4
Ankrd13a,IBA_vs_SA,0.32467022582488003,1.3936688391022602e-6
Adgrg1,IBA_vs_SA,0.3796082147510856,1.1353219150828306e-5
Tmem87b,IBA_vs_SA,0.29708447248755654,1.1808923599184871e-7
Slc20a1,IBA_vs_SA,0.3257135401229055,2.2576532760761463e-5
Nadsyn1,IBA_vs_SA,0.34107763686267906,9.545804926353005e-4
Acad9,IBA_vs_SA,0.3194586546730695,1.1451617114150118e-4
Sec61a1,IBA_vs_SA,0.3471558936559261,3.961481162174623e-5
Lpcat1,IBA_vs_SA,0.32654200081386,5.7724136321462295e-5
Pdcd6,IBA_vs_SA,0.23572620520541795,1.3675116116407986e-4
Ctsd,IBA_vs_SA,0.32292728178616503,3.3966163902232957e-4
Eif3b,IBA_vs_SA,0.20690627284765,7.737971110646316e-4
CUNH16orf70,IBA_vs_SA,0.24436801561602167,3.3966163902232957e-4
Smpd1,IBA_vs_SA,0.3513716106662434,2.1265375676024103e-5
Rnf115,IBA_vs_SA,0.1917285459386617,5.640245784942689e-4
Polr3c,IBA_vs_SA,0.2482514729128447,9.539801469052863e-4
Chd8,IBA_vs_SA,0.22247863707169346,3.2370288078562487e-4
Pnpla2,IBA_vs_SA,0.287744647010679,7.944599240015536e-4
Atxn1l,IBA_vs_SA,0.26882177252687123,2.584469151899282e-5
LOC110597191,IBA_vs_SA,0.8492132141232904,3.934801886711162e-6
MCM10,IBA_vs_SA,0.38259125781742664,1.270979318266262e-4
Slc35b2,IBA_vs_SA,0.2561862598836397,1.4427189725759953e-4
Polh,IBA_vs_SA,0.3244120158021173,6.209227431848396e-5
Xpo5,IBA_vs_SA,0.30250696828545526,2.1988634010107784e-6
Zfand3,IBA_vs_SA,0.2075963026157393,4.4650567069405984e-4
Acox3,IBA_vs_SA,0.4147921203378943,5.977853179915575e-4
Rnf4,IBA_vs_SA,0.3649076347732694,4.2097106628965495e-13
Tmem161b,IBA_vs_SA,0.3738261962040613,2.0950112573727775e-4
Rala,IBA_vs_SA,0.2197334236209516,6.179378954231571e-4
