gene,state,log2FC_ashr,wald_padj
G27537,IBA_vs_SpD,0.37800486354824736,6.674805592078174e-4
Ldha,IBA_vs_SpD,0.35998067516779897,2.4011383355783527e-5
Gtf2h1,IBA_vs_SpD,0.2960384065162434,4.413490924208058e-6
Alas1,IBA_vs_SpD,0.3026717024015597,4.486789340543764e-8
Srprb,IBA_vs_SpD,0.20783679570917526,1.3205926880512818e-4
CUNH16orf72,IBA_vs_SpD,0.2295930235309747,1.794076266430033e-4
Litaf,IBA_vs_SpD,0.3646173884570886,7.937747315463449e-5
Rsl1d1,IBA_vs_SpD,0.29354464834048155,4.5221092835270476e-7
Gspt1,IBA_vs_SpD,0.25853420184540926,7.554496186248827e-5
Hspa9,IBA_vs_SpD,0.2974799754953551,9.685723978121207e-5
Cd44,IBA_vs_SpD,0.7807733202878414,1.8519829452727497e-5
Usp38,IBA_vs_SpD,0.37312160418473095,6.320588217768342e-5
Cnn3,IBA_vs_SpD,0.3068175998172726,4.558710000275782e-5
Ireb2,IBA_vs_SpD,0.2730041289639726,3.807601319255221e-5
Dhx8,IBA_vs_SpD,0.2363609573145522,2.0888340244005148e-4
Dcaf7,IBA_vs_SpD,0.23386544421161545,7.251016503606715e-8
Zpr1,IBA_vs_SpD,0.2357168530319557,3.807601319255221e-5
Arcn1,IBA_vs_SpD,0.2133433963420728,2.4027067860548417e-5
Baz1b,IBA_vs_SpD,0.222276425844326,9.17514123167861e-6
Tbl2,IBA_vs_SpD,0.4210220963462642,4.824217157882339e-10
Tpst1,IBA_vs_SpD,0.28124363957426607,5.7367168284841386e-5
Cul4a,IBA_vs_SpD,0.17542884265546496,6.893599984923196e-4
Utp15,IBA_vs_SpD,0.2798484097158635,9.414066663336999e-4
Znf366,IBA_vs_SpD,0.6346852291526969,1.2311291499580455e-7
Serinc5,IBA_vs_SpD,0.3685371480120065,1.469278237813791e-6
Riok3,IBA_vs_SpD,0.24454182267115723,6.173008772243111e-4
Npc1,IBA_vs_SpD,0.39682561362775587,4.477248447593768e-6
Nup153,IBA_vs_SpD,0.3782068645422677,1.044270574192709e-9
Rwdd4,IBA_vs_SpD,0.3527348671160191,2.326554679080278e-4
Slc41a1,IBA_vs_SpD,0.35213570690088775,6.885263421466798e-5
Atp6v0a2,IBA_vs_SpD,0.3410080668288781,4.5221092835270476e-7
Tmed2,IBA_vs_SpD,0.25664286000628617,1.6674026884574424e-5
Psmd9,IBA_vs_SpD,0.31536526241619217,1.6858317784013273e-5
Brap,IBA_vs_SpD,0.25268438183852565,4.439561912343413e-4
Naa25,IBA_vs_SpD,0.24858551706213808,1.4144697536462464e-4
Fbxo21,IBA_vs_SpD,0.21201614582348266,6.354974811902312e-4
Pole3,IBA_vs_SpD,0.3208349728517869,6.255555716435729e-4
Ugcg,IBA_vs_SpD,0.33386631624169416,5.4567772403802324e-5
Rad23b,IBA_vs_SpD,0.1904458647573972,6.764460077832266e-4
Ifngr1,IBA_vs_SpD,0.3578160861032187,2.649047304857446e-4
Rprd1b,IBA_vs_SpD,0.2450692883944584,9.584531291868568e-4
Slc7a1,IBA_vs_SpD,0.26915344976956007,7.139597354222479e-4
Sec24b,IBA_vs_SpD,0.21375485975875314,9.751586540135817e-4
Fndc3a,IBA_vs_SpD,0.25235413687665265,6.015094419565629e-4
Klhl12,IBA_vs_SpD,0.17287574665398842,7.634222818251234e-4
Hspb6,IBA_vs_SpD,0.47266652434005435,4.2132491373893266e-4
Lsm14a,IBA_vs_SpD,0.2535182096567661,2.326554679080278e-4
Gnl3,IBA_vs_SpD,0.29603911506602776,2.6039022110530037e-5
Ube2h,IBA_vs_SpD,0.21728183078098467,1.3020506611121702e-4
Cdc42se1,IBA_vs_SpD,0.24586132194981175,9.584531291868568e-4
Rfx5,IBA_vs_SpD,0.35725912735077164,2.4171254000239427e-4
Slc39a1,IBA_vs_SpD,0.24204259761603442,2.994455108000543e-4
Ubap2l,IBA_vs_SpD,0.2886062010024111,2.824930718012963e-4
Kiaa0907,IBA_vs_SpD,0.2562789102234677,9.584531291868568e-4
Glmp,IBA_vs_SpD,0.31667713817640036,6.511606949809312e-4
Cct3,IBA_vs_SpD,0.2505717889701829,1.1998591590988969e-4
Ddb1,IBA_vs_SpD,0.1874812751226914,6.354974811902312e-4
Mgst1,IBA_vs_SpD,0.39520824995370885,7.745276822106257e-5
Wbp11,IBA_vs_SpD,0.2307688201139523,6.354974811902312e-4
Thop1,IBA_vs_SpD,0.35089595017904857,1.1998591590988969e-4
Sec14l1,IBA_vs_SpD,0.20726357425363193,4.2379537377461974e-4
Eif4a3,IBA_vs_SpD,0.23117040923053825,8.485264088720716e-4
Mpv17l2,IBA_vs_SpD,0.3481132203631972,5.268187576904282e-4
Arl10,IBA_vs_SpD,0.276367400634606,2.45346117113743e-4
