gene,state,log2FC_ashr,wald_padj
ZNF112,LT_vs_SpD,-0.33718087611704173,4.5995644382964483e-4
ENSSTOG00000029362,LT_vs_SpD,-0.46148998957048637,1.9084046624250747e-5
PANTR1_containing,LT_vs_SpD,-0.689327292423907,3.10081745830824e-4
ENSSTOG00000034702,LT_vs_SpD,-2.049254959414704,2.5653436786324565e-21
G13022,LT_vs_SpD,-1.0278104459979092,1.3250592265410125e-4
MIR138-2_containing,LT_vs_SpD,-0.6540786673112229,1.259482036447754e-5
G14950,LT_vs_SpD,-0.7031135550871014,1.9764179226975108e-5
G16353,LT_vs_SpD,-0.7469901212951011,2.1895416396238486e-6
G16444,LT_vs_SpD,-0.6178076545599277,4.121545617486539e-4
G16448,LT_vs_SpD,-0.8446264378011663,1.642153316485579e-5
G17128,LT_vs_SpD,-0.3354549012183708,2.903037453216071e-4
AACSP1_containing,LT_vs_SpD,-0.4718111689419559,2.924413928155472e-4
G18650,LT_vs_SpD,-0.9393216449886981,6.263621022150174e-7
G21808,LT_vs_SpD,-0.33397386715674826,4.3482505959364443e-4
MIR219A2_containing,LT_vs_SpD,-1.4394605815688455,5.29371615273926e-20
G26032,LT_vs_SpD,-0.49052211485194214,4.376152831375457e-6
G2612,LT_vs_SpD,-0.4574303352781838,1.0339373939950002e-4
KATNBL1_containing,LT_vs_SpD,-0.5439375154303431,2.397533675221306e-4
ZCCHC3,LT_vs_SpD,-0.8240996358301591,4.7399976519943237e-14
TSHZ2_G30132,LT_vs_SpD,-0.5095753155717857,4.5455143316636793e-4
G30823,LT_vs_SpD,-0.8350994490271849,2.325898992760811e-9
G3182,LT_vs_SpD,-0.3560879691161682,2.5701607172496315e-4
G34888,LT_vs_SpD,-0.6259003584080375,9.254843156234583e-5
DUSP7_G34889,LT_vs_SpD,-0.5362677314668408,1.359810955451779e-4
PTCHD4_containing,LT_vs_SpD,-0.6287661286677116,7.862838723903612e-5
G3860,LT_vs_SpD,-0.6579636985640056,1.1461418385926155e-5
MIR29B2CHG_containing_G39119,LT_vs_SpD,-4.440445277394515,1.7809313515290573e-118
ZBTB37_like,LT_vs_SpD,-0.4897825828466,1.4508245459051553e-4
G40490,LT_vs_SpD,-0.7190915641753475,1.0854823199766663e-13
MIR101-1_containing,LT_vs_SpD,-1.6903057795097924,1.9497913201863488e-20
SOX11_G8196,LT_vs_SpD,-0.6070781786270371,4.2352908210121404e-5
G8970,LT_vs_SpD,-0.5796378068092045,8.690682586992015e-4
G8982,LT_vs_SpD,-1.0391815933551865,3.8912848486328214e-10
ZNF208_containing_G9075,LT_vs_SpD,-0.28374590773038005,9.624256650230155e-4
ZNF738_containing_G9078,LT_vs_SpD,-0.5906861963469326,9.455510401092976e-5
MIRLET7D_containing,LT_vs_SpD,-2.8551369239745066,1.7608113586197925e-65
Spty2d1,LT_vs_SpD,-0.6068500880642537,5.621543288103165e-11
Sergef,LT_vs_SpD,-0.24803660071757974,9.130374002303682e-5
Rras2,LT_vs_SpD,-0.6630243933939611,4.6405569007331824e-7
Tub,LT_vs_SpD,-0.1974991208778398,1.9401775396589877e-4
Ifrd2,LT_vs_SpD,-0.39804701479823895,6.042982775207593e-6
Rassf1,LT_vs_SpD,-0.41647927212432456,3.607105803112746e-5
Egr1,LT_vs_SpD,-0.8532166394831873,1.3081214008059332e-4
