gene,state,log2FC_ashr,wald_padj
G1404,LT_vs_SpD,0.707592588687805,2.856420729316959e-5
Ldha,LT_vs_SpD,0.42463611538306817,1.7052310931854797e-6
Usp4,LT_vs_SpD,0.2316853417213602,2.3962491399258975e-4
Rhoa,LT_vs_SpD,0.2943855514600983,1.14262217978998e-6
Acad11,LT_vs_SpD,0.3083462996174684,3.607105803112746e-5
Tmem108,LT_vs_SpD,0.3616726267898483,5.264542377464803e-4
TF,LT_vs_SpD,0.7315592660783359,8.3619719657261e-6
Neo1,LT_vs_SpD,0.23474189814526164,6.402327958228253e-5
Hspa9,LT_vs_SpD,0.3428053749544845,8.06759690942489e-6
Sil1,LT_vs_SpD,0.41082540664139067,2.6982042448872655e-4
Myo1d,LT_vs_SpD,0.5173754359901344,3.4051545883173763e-4
Kiaa0100,LT_vs_SpD,0.17330749422473485,2.053965110071999e-5
Prpf8,LT_vs_SpD,0.34297054074950667,1.6730123730585522e-7
Mdh2,LT_vs_SpD,0.22780425816548971,7.289040132013822e-4
Sbds,LT_vs_SpD,0.25187539604039244,9.031629429631841e-4
Tmem248,LT_vs_SpD,0.16984243092065573,3.306370182840095e-4
Chchd2,LT_vs_SpD,0.25217237765926714,7.260580272372651e-4
Nipsnap2,LT_vs_SpD,0.16785999200039423,3.4448518744152417e-4
Lamp1,LT_vs_SpD,0.3150988370338252,4.90675514711238e-8
Btf3,LT_vs_SpD,0.26240956335916465,3.6884686551857574e-4
Map1b,LT_vs_SpD,0.3159401468819456,4.309753864809667e-8
Eva1a,LT_vs_SpD,0.42724400350747194,5.21420058064025e-4
Tmed2,LT_vs_SpD,0.28779896402925786,5.902672770057473e-7
Nfs1,LT_vs_SpD,0.37897014917442945,4.3874233185806354e-4
Trpc4ap,LT_vs_SpD,0.1918073329294956,4.451298920753701e-4
Mdm4,LT_vs_SpD,0.4444857058705319,3.309987805154761e-8
Resp18,LT_vs_SpD,0.45196601278749327,2.7944179239360267e-7
Hspb6,LT_vs_SpD,0.7124838762511622,9.811986631989673e-6
Pdcd5,LT_vs_SpD,0.27600902105925446,7.936749483825636e-4
Pop4,LT_vs_SpD,0.3279643645184378,1.9089344350348112e-4
Etfdh,LT_vs_SpD,0.33238410046723366,8.954557998544328e-5
Eif4g1,LT_vs_SpD,0.23655461817345674,3.597232634114926e-5
Psmb4,LT_vs_SpD,0.24032150201050276,4.5519084951770766e-4
Ddb1,LT_vs_SpD,0.19062811759970621,4.39331452722139e-4
Mgst1,LT_vs_SpD,0.5545284412019573,6.746504376623037e-7
Bsg,LT_vs_SpD,0.37393410619159045,2.0645490165506246e-6
Plin3,LT_vs_SpD,0.4461817716667815,7.539969196882081e-4
Tubb4a,LT_vs_SpD,0.4785276404996479,1.321989909336293e-4
Mrps7,LT_vs_SpD,0.2652154463071984,7.936749483825636e-4
Mtor,LT_vs_SpD,0.20125605079272307,2.6610303866355544e-4
Spock1,LT_vs_SpD,0.18356064207323278,7.439275397118028e-4
Gstp1,LT_vs_SpD,0.2888129838364353,4.646043950079197e-4
Pla2g16,LT_vs_SpD,0.403992038506467,8.26874590106246e-4
SCD_containing_gene16210,LT_vs_SpD,0.4054186068527451,9.633607240872302e-4
Wars,LT_vs_SpD,0.353969287557009,4.163782859597477e-7
