gene,state,log2FC_ashr,wald_padj
FAM120C,SA_vs_Ar,0.368234333263633,4.41067427062331e-5
ZNF112,SA_vs_Ar,0.6189824630184957,1.701549778719864e-9
ZBED8,SA_vs_Ar,0.5539960046158438,4.878836247985429e-7
MIR138-1,SA_vs_Ar,1.2527394476532818,2.460147636962162e-7
ENSSTOG00000021438,SA_vs_Ar,0.5789556769112799,1.2608157348374937e-4
ENSSTOG00000029362,SA_vs_Ar,0.614821453388629,1.0950221232887632e-8
ENSSTOG00000029690,SA_vs_Ar,0.5457318286995854,1.4207752710419783e-4
ENSSTOG00000032437,SA_vs_Ar,0.5417142660447597,9.834730739475657e-5
ENSSTOG00000034702,SA_vs_Ar,2.362515537524608,4.173852517053908e-27
G10915,SA_vs_Ar,0.9549181786498001,6.527739760271661e-6
G13022,SA_vs_Ar,1.2502277833383473,1.974893812016113e-5
G13329,SA_vs_Ar,0.5287742159423816,3.5218279163210256e-5
MIR138-2_containing,SA_vs_Ar,0.6184709403957949,8.624388596346705e-6
G14485,SA_vs_Ar,0.45426423516835135,1.0767831460251465e-4
G14950,SA_vs_Ar,1.2052858749819584,1.1238171104070674e-12
RYBP_like,SA_vs_Ar,0.46324100631940573,1.2430915970282906e-6
COPG2IT1_containing,SA_vs_Ar,0.44909177622889657,8.270900097579397e-5
G16353,SA_vs_Ar,0.5900141526083974,3.655647267410691e-5
CCDC71L_like,SA_vs_Ar,0.4776595770618504,8.353966899008175e-4
G16444,SA_vs_Ar,1.0483197489703446,3.666828225552111e-8
G16448,SA_vs_Ar,1.490934252852293,9.558210381350517e-12
G17128,SA_vs_Ar,0.4132247257845145,1.4690353729736972e-5
AACSP1_containing,SA_vs_Ar,1.0436146558905166,1.1091798047754147e-13
HRK_containing,SA_vs_Ar,0.5782269312327541,4.595582800628299e-4
G18108,SA_vs_Ar,0.469031988057983,4.2559802926965616e-4
G18650,SA_vs_Ar,1.7965661213700228,5.772053153465742e-18
G19629,SA_vs_Ar,0.48318371258530224,4.475756802789376e-6
