gene,state,log2FC_ashr,wald_padj
G1404,SA_vs_Ent,-0.7816316125188226,3.539058133871092e-6
G22494,SA_vs_Ent,-0.35445636477110637,6.223467495889489e-4
ATF6_containing,SA_vs_Ent,-0.27404607629934796,9.451687878989593e-5
Qrich1,SA_vs_Ent,-0.2952336284083332,4.5072463094829963e-4
Rhoa,SA_vs_Ent,-0.3023856481496641,9.998020489446767e-7
Acad11,SA_vs_Ent,-0.2571661934889495,6.512466983981043e-4
Topbp1,SA_vs_Ent,-0.3124059596258385,1.0521502841300021e-4
Brd8,SA_vs_Ent,-0.2969242274894919,6.820112596130199e-6
Sil1,SA_vs_Ent,-0.4095469204189577,2.779887645935612e-4
Ldlrad3,SA_vs_Ent,-0.41455540434103705,2.1270539007328173e-6
Eci2,SA_vs_Ent,-0.4371957028677403,7.367834003518614e-4
TUBB2A,SA_vs_Ent,-0.3625832495745534,2.516815834941717e-5
Cd200,SA_vs_Ent,-0.33115171411317895,2.118586300045982e-4
Tspan3,SA_vs_Ent,-0.2646242024265603,3.314429749174326e-5
Etfa,SA_vs_Ent,-0.37083110655051027,6.304192635894326e-4
Prpf8,SA_vs_Ent,-0.22637965304712165,7.285341916178486e-4
Gfap,SA_vs_Ent,-0.5850262599163197,1.4920891499668945e-5
Ccdc47,SA_vs_Ent,-0.2702361187867224,3.174362950981566e-6
Tbcel,SA_vs_Ent,-0.2127676617100398,6.505720469834011e-4
Pop7,SA_vs_Ent,-0.3018543950355592,7.773743824069577e-4
Sbds,SA_vs_Ent,-0.2868758129764924,1.8461959941276168e-4
Crcp,SA_vs_Ent,-0.2951506371822207,2.1758176586088274e-4
Gusb,SA_vs_Ent,-0.30755394519129736,4.8162282316017454e-4
Nipsnap2,SA_vs_Ent,-0.16847917875753207,3.200622391691539e-4
Itgam,SA_vs_Ent,-0.656233790527771,8.640170303556079e-9
Lamp1,SA_vs_Ent,-0.3361459804503149,1.065975199418032e-8
Tceal7,SA_vs_Ent,-0.3841685888388775,1.0393221215156302e-4
Prpf40a,SA_vs_Ent,-0.300523682426959,2.90581266613071e-4
R3hcc1,SA_vs_Ent,-0.29070231340133607,5.424499537310084e-5
Ift81,SA_vs_Ent,-0.5017039588669358,1.225409419873608e-4
Brap,SA_vs_Ent,-0.30885080303170404,2.2670761216696706e-5
Txn,SA_vs_Ent,-0.25380819109438335,7.700641402335334e-4
Bclaf1,SA_vs_Ent,-0.3013990405100209,6.758625916895028e-6
Hmgb1,SA_vs_Ent,-0.2806124950391156,2.91257106419836e-4
Larp7,SA_vs_Ent,-0.36933060011034746,1.9329887661731816e-5
Nhlrc3,SA_vs_Ent,-0.287601788793333,5.778546269520928e-4
Alg5,SA_vs_Ent,-0.37659260448746723,1.4543647967632745e-4
Tyrobp,SA_vs_Ent,-0.486878717252595,1.3012068329973698e-4
Hspb6,SA_vs_Ent,-0.726836717548348,4.149811369678626e-6
Uri1,SA_vs_Ent,-0.3394119579525301,1.284119126337714e-4
Pop4,SA_vs_Ent,-0.3608103256432078,7.330701083993292e-5
Saraf,SA_vs_Ent,-0.19537321782778855,6.904962199283211e-4
Gramd2b,SA_vs_Ent,-0.23759294145841925,6.505720469834011e-4
Etfdh,SA_vs_Ent,-0.3053179363312914,3.326595789324637e-4
