gene,state,log2FC_ashr,wald_padj
ZNF112,SA_vs_LT,0.5504735349678389,1.1146965037184559e-7
ZBED8,SA_vs_LT,0.4657010697734794,2.2543961485148928e-5
ENSSTOG00000029362,SA_vs_LT,0.5216401961462782,1.3649912725060202e-6
ENSSTOG00000029690,SA_vs_LT,0.5975646854107038,9.294016997530414e-5
PANTR1_containing,SA_vs_LT,0.6666952178099212,2.918975804860983e-4
ENSSTOG00000034702,SA_vs_LT,1.7443219565783294,1.0804514581139523e-16
G13329,SA_vs_LT,0.43099721069629676,6.300165795548783e-4
G14485,SA_vs_LT,0.49848063606859555,5.522554713947964e-5
G14950,SA_vs_LT,0.7376635369955874,4.3377243167989525e-6
RYBP_like,SA_vs_LT,0.4805514150866065,1.0808319340316012e-6
G16353,SA_vs_LT,0.5665279491767037,1.0694785770263513e-4
G16444,SA_vs_LT,0.5355273099838239,9.108681714161887e-4
G16448,SA_vs_LT,0.8097762526345755,2.2939014334780265e-5
G17128,SA_vs_LT,0.32000751707034397,6.57935163556339e-4
AACSP1_containing,SA_vs_LT,0.7213556137641927,1.387483305645395e-7
SRSF3_G17416,SA_vs_LT,0.49596828251726727,2.6289645610352887e-5
HRK_containing,SA_vs_LT,0.8414470809090601,1.3265705177766443e-5
G18650,SA_vs_LT,0.9759425800472342,2.917815699725397e-7
G19629,SA_vs_LT,0.48014708445739224,9.708184904141256e-6
G21808,SA_vs_LT,0.5513720850438512,6.442680548575679e-8
MIR219A2_containing,SA_vs_LT,1.3047682011815669,8.343389837486874e-17
MOSMO_G239,SA_vs_LT,0.4564131246228832,4.7081653295541194e-4
G26032,SA_vs_LT,0.451726985269312,1.300271424591988e-5
G26683,SA_vs_LT,0.5285930205994388,5.494334775945521e-7
KATNBL1_containing,SA_vs_LT,0.6502471550616784,1.232588900050523e-5
ZCCHC3,SA_vs_LT,0.8233363139038652,5.535222630185192e-14
G30823,SA_vs_LT,0.6384580926468878,3.114219107785722e-6
G3182,SA_vs_LT,0.5029181009274625,1.0808319340316012e-6
G34888,SA_vs_LT,0.5056552961571493,5.407573433597096e-4
DUSP7_G34889,SA_vs_LT,0.4981649683589415,2.0528825924237377e-4
PTCHD4_containing,SA_vs_LT,0.505744547897825,4.8385796826673244e-4
G3860,SA_vs_LT,0.6325967512111914,1.0782516020479213e-5
MIR29B2CHG_containing_G39119,SA_vs_LT,4.5534059631821915,3.447279048121315e-123
G40490,SA_vs_LT,0.8376186807392981,1.3015241619637463e-18
MIR101-1_containing,SA_vs_LT,1.501170270590729,4.2786871720664236e-17
SOX11_G8196,SA_vs_LT,0.6918182372776098,2.232617809064266e-6
POU3F3,SA_vs_LT,0.2992935232372088,8.690828476217913e-4
G8982,SA_vs_LT,0.8612188730329481,2.147262545691795e-7
ZNF208_containing_G9075,SA_vs_LT,0.4162329527692803,4.2082508503489575e-6
ZNF738_containing_G9078,SA_vs_LT,0.6591451477740027,9.668721129375193e-6
MIRLET7D_containing,SA_vs_LT,2.7993227760672257,5.050263828387526e-62
G9747,SA_vs_LT,1.1164146184414447,1.2240436439409964e-4
G9749,SA_vs_LT,1.316985977050871,1.2490444094192185e-5
G9756,SA_vs_LT,1.3889034961254956,5.3640819204810875e-8
Spty2d1,SA_vs_LT,0.8439960324706969,2.7992534497138488e-21
Sergef,SA_vs_LT,0.29265897707824395,4.273755366897465e-6
Tle3,SA_vs_LT,0.37226151287264103,1.6914496557952539e-4
Rras2,SA_vs_LT,0.6674551348447884,1.8263757226178163e-7
Btbd10,SA_vs_LT,0.24043266637298108,7.699769084212431e-4
Ifrd2,SA_vs_LT,0.4476611913301748,5.240398058499724e-7
Rassf1,SA_vs_LT,0.42939935699453946,2.0857369411041928e-5
Msl2,SA_vs_LT,0.3199368539683864,3.6229970737493183e-7
Ttpal,SA_vs_LT,0.2647874335169668,9.351683458047862e-5
Ubn1,SA_vs_LT,0.3746915524832556,1.3246377533891868e-5
Fam53c,SA_vs_LT,0.3060980916826341,1.9584910203054174e-5
Egr1,SA_vs_LT,0.8980609447935156,6.537167015999042e-5
Rreb1,SA_vs_LT,0.43997849771481323,4.0119460805995694e-4
Otud4,SA_vs_LT,0.49085280665474224,6.431728958341153e-8
Usp38,SA_vs_LT,0.3913321441917298,6.863234334680681e-5
Setd7,SA_vs_LT,0.35240286071589205,4.117060624516358e-6
Naa15,SA_vs_LT,0.22000511864571623,3.37911997770418e-4
Boc,SA_vs_LT,0.4063861008443616,3.1730931427862975e-4
Usf3,SA_vs_LT,0.45334074851359996,2.0434656628856994e-4
Ptpn9,SA_vs_LT,0.34736666963308127,5.225044572712698e-6
Mtf2,SA_vs_LT,0.2641948253523582,7.34861416136374e-5
Znf644,SA_vs_LT,0.5200150894514567,7.901680771500435e-8
Lrrc8c,SA_vs_LT,0.2616945934767787,2.4880120207432726e-4
Znf830,SA_vs_LT,0.6669767607562334,6.157802068110247e-9
Nufip2,SA_vs_LT,0.3462250944456022,4.4556666926848564e-5
Kiaa2026,SA_vs_LT,0.2546895356603533,4.75153926615338e-4
Ireb2,SA_vs_LT,0.25152025766376523,1.9334953327145824e-4
U2surp,SA_vs_LT,0.2215677832702955,3.612990563617243e-4
Arl4d,SA_vs_LT,1.2538074072423524,6.064408526074835e-13
Atxn7l3,SA_vs_LT,0.1952791664694341,2.618088889988094e-4
Hexim1,SA_vs_LT,0.3195823044537099,2.935632974931878e-6
Map3k14,SA_vs_LT,0.7809744166422476,2.0039813268946213e-12
TACO1_containing,SA_vs_LT,0.36694833942232374,9.668721129375193e-6
Smurf2,SA_vs_LT,0.26986871311796384,5.407573433597096e-4
Bud13,SA_vs_LT,0.9895819746240884,7.267218530228423e-12
H2AFX_containing,SA_vs_LT,0.27110372065460053,2.872894966973095e-4
Cbl,SA_vs_LT,0.27678454636189553,4.293881383556575e-6
Sorl1,SA_vs_LT,0.2706828512634836,1.472972475521469e-4
Znf3,SA_vs_LT,0.32744750116211163,2.8935874155418695e-5
Prkrip1,SA_vs_LT,0.3731757896585128,7.859995857111203e-6
Rcc1l,SA_vs_LT,0.6832212066937314,7.920675463164456e-8
Calb1,SA_vs_LT,0.3302843144019815,9.90356317400147e-4
Tmem64,SA_vs_LT,0.42975706738289865,5.524787362719756e-4
Runx1t1,SA_vs_LT,0.460323808965466,4.481164510889945e-6
Rbm12b,SA_vs_LT,0.45382299306972124,2.567202266573904e-5
Ppm1h,SA_vs_LT,0.3047684549133733,5.514433041850402e-4
Lemd3,SA_vs_LT,0.31058015993400023,3.606813644256515e-4
Mdm1,SA_vs_LT,0.48735085813563794,3.6414156866003183e-4
Cpm,SA_vs_LT,0.4882817489712929,7.963432987150922e-4
Ahr,SA_vs_LT,0.3901684275374371,7.265723593369113e-5
Twistnb,SA_vs_LT,0.8924396488992135,1.935936222258005e-12
ATL2_containing,SA_vs_LT,0.29089766785488735,5.441304142702895e-4
Ing1,SA_vs_LT,0.21952055968587245,6.745756911292189e-4
Slco1c1,SA_vs_LT,0.605113765785188,5.441304142702895e-4
Lig4,SA_vs_LT,1.2429370646160112,2.0541862772058077e-24
Esco1,SA_vs_LT,0.5699249510241174,3.390945041336143e-11
Cables1,SA_vs_LT,0.4576885167707793,1.6420177275605913e-5
Msantd4,SA_vs_LT,0.47454507297463555,7.513491720807805e-5
Birc3,SA_vs_LT,0.8376245590955298,1.602219468008385e-11
Gfod1,SA_vs_LT,0.4526491930418967,1.1126593925321374e-4
Dtnbp1,SA_vs_LT,0.2923855431628828,5.45476279276783e-5
Mylip,SA_vs_LT,0.7707686338772669,8.81087340118112e-13
Irf2,SA_vs_LT,0.36018698003841637,6.288034757359163e-7
Ing2,SA_vs_LT,0.6081513438496154,2.366884604309666e-5
Cdkn2aip,SA_vs_LT,0.6063711309006371,8.062340976521196e-13
Npy5r,SA_vs_LT,0.8301610199654045,3.753473071964435e-7
Stk24,SA_vs_LT,0.1950916666540145,5.842366113373103e-4
Mob1a,SA_vs_LT,0.34138908445022575,2.0359098229107695e-5
Mogs,SA_vs_LT,0.5818926701245851,1.4944032770164077e-8
Angel2,SA_vs_LT,0.3845640779777018,3.820301513156539e-5
Yod1,SA_vs_LT,0.8910338367465782,1.2740063059525663e-27
Dyrk3,SA_vs_LT,0.4900332536096551,5.254922782700744e-4
Rassf5,SA_vs_LT,0.5779135304127422,7.567419178995565e-6
Rbbp5,SA_vs_LT,0.272716825546846,1.9912405429023625e-4
Atp6v0a2,SA_vs_LT,0.29319748023484393,1.8464047420882266e-5
Tgds,SA_vs_LT,0.5948455339765943,6.871052858962397e-6
Kmt5a,SA_vs_LT,0.3643082763478668,2.2116939473685156e-5
Mphosph9,SA_vs_LT,0.2628148214861755,8.106961315256346e-4
Sh2b3,SA_vs_LT,0.5499448592993378,1.0638006367189995e-7
Slc31a2,SA_vs_LT,0.37608624575123883,9.880720136222852e-4
Rasl11a,SA_vs_LT,0.8568815982629983,2.533004458514407e-5
Tbpl1,SA_vs_LT,0.3140777286738727,1.3088746056353788e-4
Top1,SA_vs_LT,0.4586059750939436,2.4672089389463118e-8
Rprd1b,SA_vs_LT,0.3050938266014673,5.9372785742093955e-5
Lrp4,SA_vs_LT,0.26709904009015223,4.0281247465254855e-4
Sesn1,SA_vs_LT,0.33975554933767155,4.2082508503489575e-6
Stard13,SA_vs_LT,0.3625482657084839,2.11172156556463e-4
Amd1,SA_vs_LT,0.9605213114582201,5.822396296116085e-22
Proser1,SA_vs_LT,0.39561637444042824,1.9313103943564418e-4
Ppp1r15b,SA_vs_LT,0.48500052443346214,5.777408987603464e-13
Zc3h11a,SA_vs_LT,0.30953814443863514,9.406095871028788e-7
Prelp,SA_vs_LT,0.7465596436382753,3.851564234514144e-6
Btg2,SA_vs_LT,1.9734988290642645,2.7747319412484712e-22
Kdm5b,SA_vs_LT,0.4704261839474086,8.34161793803264e-5
Rfxap,SA_vs_LT,0.510201788001583,1.6032561136461463e-6
Znf281,SA_vs_LT,0.5260400427165699,1.4894570046679923e-7
Tbc1d15,SA_vs_LT,0.3185156559475511,9.169906858570938e-4
Usp37,SA_vs_LT,0.3956757119800119,1.1364571955707856e-5
Znf142,SA_vs_LT,0.3712266235103486,7.929705019448323e-4
Znf507,SA_vs_LT,0.334841964084073,8.711152903351806e-5
Zzz3,SA_vs_LT,0.31857306097461324,4.975754497492301e-5
Mettl6,SA_vs_LT,0.6635580994139287,8.325745770588939e-7
Dusp4,SA_vs_LT,0.5625457660459611,3.3441363653485e-5
Epc1,SA_vs_LT,0.3006952222404938,2.7748516497429347e-7
Sncaip,SA_vs_LT,0.3738878533448923,1.6832205592374504e-4
Map3k13,SA_vs_LT,0.5654011213093466,1.1172473532057062e-9
Ephb3,SA_vs_LT,0.6697873549209374,9.692298574833512e-6
Dcp1a,SA_vs_LT,0.3092432913364369,1.297676619419328e-4
Gabpb2,SA_vs_LT,0.33994320622274593,6.619676885477434e-4
Arhgef3,SA_vs_LT,0.4869382749486316,4.723403166744111e-7
Pygo2,SA_vs_LT,0.513783471200814,3.441819297528104e-9
Smg5,SA_vs_LT,0.28622666413795345,3.8847281743646726e-4
Etv3,SA_vs_LT,0.4691280235614057,1.1911287385512475e-9
Clp1,SA_vs_LT,0.95271013019828,5.944421022979482e-20
Ythdc1,SA_vs_LT,0.4327746479834128,1.995001600237098e-9
CUNH14orf28,SA_vs_LT,0.6154139846619584,1.173403607260246e-6
Nr1d2,SA_vs_LT,0.4121861082681841,5.419577688740302e-5
Pdk4,SA_vs_LT,1.7230306730408507,4.999454046431566e-31
Tmem169,SA_vs_LT,0.550821448589386,3.967722848146882e-6
Lrp6,SA_vs_LT,0.5143101234359663,1.506758553292627e-10
Midn,SA_vs_LT,0.45103239994517963,7.281941733257919e-5
Mex3d,SA_vs_LT,0.6121533664670444,4.5463665590100736e-5
Mknk2,SA_vs_LT,0.37091554946420807,7.590661506964517e-5
Mllt1,SA_vs_LT,0.2651291803663773,8.35268146558783e-5
Bmt2,SA_vs_LT,0.4226133308672649,4.1670238421690186e-4
Kdm7a,SA_vs_LT,0.46388074747940444,1.297676619419328e-4
Kiaa1147,SA_vs_LT,0.3791814236622251,1.2417560689918758e-6
