gene,state,log2FC_ashr,wald_padj
ZNF112,Ar_vs_SpD,-0.48642276964391123,2.163316534974174e-6
MIR138-1,Ar_vs_SpD,-1.4443594225223413,6.159357183407798e-38
ZNF146_ENSSTOG00000029664,Ar_vs_SpD,-0.4200770574980613,1.535970385456264e-4
PANTR1_containing,Ar_vs_SpD,-0.6471060040698281,3.739785151105405e-4
ABCF1_containing,Ar_vs_SpD,-0.6493267312165648,4.17590902937888e-6
ENSSTOG00000031411,Ar_vs_SpD,-0.8416596654389176,1.7788943537759473e-9
ENSSTOG00000034702,Ar_vs_SpD,-2.024693206449465,2.688221810790638e-39
G10915,Ar_vs_SpD,-0.8901749638391476,6.68610571683872e-7
MIR4453HG_containing,Ar_vs_SpD,-0.2700383619430265,5.746125351886664e-4
PGRMC2_like_G11440,Ar_vs_SpD,-0.16489304795964022,5.751589735515902e-4
G13329,Ar_vs_SpD,-0.6628878813777872,3.5184110726844263e-7
MIR138-2_containing,Ar_vs_SpD,-0.8360842302674414,6.430666530493048e-14
G14485,Ar_vs_SpD,-0.34092458451581803,4.8647416213603185e-4
G14950,Ar_vs_SpD,-1.0854562258079214,3.464122981311219e-34
RYBP_like,Ar_vs_SpD,-0.3816607243193744,1.1400584893770044e-8
G16214,Ar_vs_SpD,-0.5056482978225826,5.390602670570442e-4
G16353,Ar_vs_SpD,-0.758007890827127,2.0457210404838288e-14
G16444,Ar_vs_SpD,-1.034396882291029,3.0349805441708316e-15
G16448,Ar_vs_SpD,-1.2853124352561378,1.3076017797425742e-17
HRK_containing,Ar_vs_SpD,-0.3690299857179616,9.925658763467886e-6
G18650,Ar_vs_SpD,-1.706989890528344,1.9435931624593079e-38
G18683,Ar_vs_SpD,-0.48791851108873147,4.934679131125647e-6
G21219,Ar_vs_SpD,-0.3206610395010212,7.992115843891763e-4
G22451,Ar_vs_SpD,-0.21145468382274743,2.034525272071952e-6
G22714,Ar_vs_SpD,-0.4843144920953816,8.266771245888089e-6
KIAA1958_containing,Ar_vs_SpD,-0.5098833933973604,6.304488230029886e-5
MIR219A2_containing,Ar_vs_SpD,-1.3666221347041605,4.4989155130209294e-9
MOSMO_G239,Ar_vs_SpD,-0.29666009394695075,2.0283472756340957e-4
G25309,Ar_vs_SpD,-0.3253664828758334,1.2674681796396523e-4
KCNA1_like,Ar_vs_SpD,-0.3158202885533313,2.2617244513504142e-4
G26032,Ar_vs_SpD,-0.2855986416981816,1.6986558547546545e-5
G26731,Ar_vs_SpD,-0.43845964632418305,1.564688476486761e-5
G27318,Ar_vs_SpD,-0.6964368182593363,5.673095490195025e-5
G27324,Ar_vs_SpD,-0.645927267752879,7.705487245270304e-5
G29246,Ar_vs_SpD,-2.390777685513933,1.4805611003577099e-52
ZCCHC3,Ar_vs_SpD,-0.683039214779721,7.749596806754953e-12
TSHZ2_G30132,Ar_vs_SpD,-0.7688149007602119,6.035816598983274e-11
MIR124-2HG_containing,Ar_vs_SpD,-0.8030668822796659,2.2690783060769297e-28
G3182,Ar_vs_SpD,-0.6563501884920718,4.5405683537070455e-13
G32610,Ar_vs_SpD,-0.3670604502899501,3.0436680866872967e-4
GLRA2_like,Ar_vs_SpD,-0.24841940225891437,3.7681051517359047e-4
CDKL5_containing,Ar_vs_SpD,-0.2911465228699968,6.348379361759944e-10
G34984,Ar_vs_SpD,-0.5824820761582518,2.794302898724703e-5
G38115,Ar_vs_SpD,-0.8713161508844874,2.2851584192857525e-11
G3859,Ar_vs_SpD,-1.5392004032652393,5.500637233608112e-17
G3860,Ar_vs_SpD,-1.1480824889561951,8.826102895765297e-17
G3868,Ar_vs_SpD,-0.3376686291578459,2.1117824046860094e-4
MIR29B2CHG_containing_G39119,Ar_vs_SpD,-3.157298537226691,2.490212791151979e-38
ZBTB37_like,Ar_vs_SpD,-0.5021726464131884,6.312780604449167e-6
G40490,Ar_vs_SpD,-0.6763351337152618,1.935664278729339e-15
G41041,Ar_vs_SpD,-0.3519963695040974,6.570437399254335e-4
G4123,Ar_vs_SpD,-0.5487331646523327,1.863863645719734e-5
G6222,Ar_vs_SpD,-0.5322946454574013,3.3917033468505224e-5
MIR101-1_containing,Ar_vs_SpD,-2.4262301333738283,9.640349640485924e-37
G8062,Ar_vs_SpD,-0.5512303202790776,2.4830581044791786e-4
SOX11_G8196,Ar_vs_SpD,-0.5515631188122745,2.205138962911703e-10
POU3F3,Ar_vs_SpD,-0.4301442882748973,8.418784596537265e-8
G8970,Ar_vs_SpD,-0.9732092326935007,6.035816598983274e-11
G8982,Ar_vs_SpD,-0.635539664319569,2.163408457880382e-6
ZNF208_containing_G9075,Ar_vs_SpD,-0.34464500910669776,6.883601344582733e-7
MIRLET7D_containing,Ar_vs_SpD,-3.6110452467720506,4.685608227885982e-80
SHC3_containing,Ar_vs_SpD,-0.20212447042345522,5.207428650021035e-5
PDE4D_like,Ar_vs_SpD,-0.5377089126827608,5.529782014127339e-9
Spty2d1,Ar_vs_SpD,-0.6388047005256569,2.1288794376626754e-13
Rras2,Ar_vs_SpD,-0.4113409573858927,5.673095490195025e-5
Wee1,Ar_vs_SpD,-0.34039573477109486,7.360405917877737e-4
Rassf1,Ar_vs_SpD,-0.2994739614051454,5.248221788437282e-5
Ppm1m,Ar_vs_SpD,-0.3844218396330221,8.144855565270489e-5
Adpgk,Ar_vs_SpD,-0.22882825858135714,8.68888216520573e-4
Hcn4,Ar_vs_SpD,-0.6399742728541604,9.303364260081385e-13
Pmepa1,Ar_vs_SpD,-0.40599027013693734,3.5184110726844263e-7
GNAS_gene10323,Ar_vs_SpD,-0.16344032654233231,6.46729683030465e-4
Pml,Ar_vs_SpD,-0.2673733446701312,4.872757710304068e-4
Islr2,Ar_vs_SpD,-0.26331250088449193,4.847910602742808e-5
Nrep,Ar_vs_SpD,-0.6227109260989604,2.081369333192907e-9
Lrrtm2,Ar_vs_SpD,-0.270230193414523,5.42442981317087e-6
Igip,Ar_vs_SpD,-0.22279359421777037,1.64617635186918e-7
Fam110c,Ar_vs_SpD,-0.32756492768447687,5.098798634713167e-4
Myt1l,Ar_vs_SpD,-0.17618234344884423,3.7223760928684416e-4
Ntsr2,Ar_vs_SpD,-0.49180954365225393,1.6854204354500293e-6
Nedd9,Ar_vs_SpD,-0.3104442590996361,6.014454138455268e-4
Otud4,Ar_vs_SpD,-0.2604040658793478,7.555984486035831e-5
Usp38,Ar_vs_SpD,-0.4917298248425009,3.0355086826943874e-10
Inpp4b,Ar_vs_SpD,-0.442534803855418,8.683642223211582e-7
Setd7,Ar_vs_SpD,-0.7519051978973035,7.596496356139419e-20
Usf3,Ar_vs_SpD,-0.28906436304876376,8.878453900967939e-4
