gene,state,log2FC_ashr,wald_padj
H1F0_ENSSTOG00000014808,Ar_vs_SpD,0.4782270987921868,9.004568799180995e-5
CD82_like,Ar_vs_SpD,0.6210708924411772,1.7685156048508597e-8
LINC01578_containing,Ar_vs_SpD,0.31836511468512074,9.129877982215865e-7
RPS12,Ar_vs_SpD,0.22881591967795703,8.878453900967939e-4
G1404,Ar_vs_SpD,0.6514263583869818,1.2785718695113707e-5
G15443,Ar_vs_SpD,0.44844038417540116,2.9673487369276388e-5
G17390,Ar_vs_SpD,0.4227773040473608,1.052662760233322e-4
G17952,Ar_vs_SpD,0.2644633885233979,5.591209969504741e-4
G32880,Ar_vs_SpD,0.41871736912122537,7.024393658003594e-5
TMSB4X_G3417,Ar_vs_SpD,0.17255574514225785,5.730037331146596e-4
PIR_like,Ar_vs_SpD,0.3569945542232404,4.7310394386414944e-4
RBBP7,Ar_vs_SpD,0.31024859755383616,6.071762832501019e-12
CTPS2_like,Ar_vs_SpD,0.2679914132089554,1.092107078772726e-5
NPM1_G37307,Ar_vs_SpD,0.2569086900850855,1.3300030361586784e-7
ATF6_containing,Ar_vs_SpD,0.4192498162981686,1.9961987462378373e-15
G924,Ar_vs_SpD,0.2135527209107725,4.6054240768527886e-4
PTP4A2_like,Ar_vs_SpD,0.3520732175148954,1.3627537405650249e-5
Tsg101,Ar_vs_SpD,0.22064754058386232,1.067621546190255e-5
Ldha,Ar_vs_SpD,0.4779992791973241,3.1665979968299254e-9
CUNH11orf58,Ar_vs_SpD,0.15199931698856559,8.095676863300091e-4
Trex1,Ar_vs_SpD,0.33200934187434106,7.653009750833162e-4
RPSAP58,Ar_vs_SpD,0.30667335491182224,1.07857910053e-4
Wdr6,Ar_vs_SpD,0.18815578521749426,1.1952024154606835e-4
Qrich1,Ar_vs_SpD,0.2595631365295809,1.9709867023628195e-6
Usp4,Ar_vs_SpD,0.2751932660514358,1.2371173974935133e-5
Rhoa,Ar_vs_SpD,0.3070069284442228,6.220332720113145e-14
Gnai2,Ar_vs_SpD,0.19437487993164168,4.871776126957401e-6
Tex264,Ar_vs_SpD,0.1915451562815948,7.374660775832596e-4
Hexa,Ar_vs_SpD,0.2943024258768544,1.2811132048757998e-11
Parp3,Ar_vs_SpD,0.6125353858077842,9.23722564384422e-5
Acad11,Ar_vs_SpD,0.23930050470204797,3.374556157532199e-5
TF,Ar_vs_SpD,0.9093566253534787,6.493905906426226e-9
Neo1,Ar_vs_SpD,0.1874793336783263,3.570326812613513e-5
Rae1,Ar_vs_SpD,0.22638122490314336,3.562598075284376e-5
Vapb,Ar_vs_SpD,0.1835379276050614,6.555834918632338e-5
Npepl1,Ar_vs_SpD,0.22177375745700542,2.55260862124725e-4
Prelid3b,Ar_vs_SpD,0.2369398740953492,1.043500590008309e-5
Hspa9,Ar_vs_SpD,0.3163520666951711,8.949058531256794e-13
Ctnna1,Ar_vs_SpD,0.18250300953027154,8.725575362226129e-4
Sil1,Ar_vs_SpD,0.37320187248165365,2.415784533207335e-6
Ube2d2,Ar_vs_SpD,0.1491690622361232,4.1189864044234256e-4
Ik,Ar_vs_SpD,0.1365940823614953,7.500379995798881e-4
Acp1,Ar_vs_SpD,0.23439230602937866,1.160020071639809e-6
Trappc12,Ar_vs_SpD,0.18872531833861714,2.1763040817343675e-6
Odc1,Ar_vs_SpD,0.2644913723460397,5.207428650021035e-5
Cd44,Ar_vs_SpD,0.5334134620814919,3.897954560168627e-10
Tmem14c,Ar_vs_SpD,0.18406525200022575,4.484248631218552e-5
Eci2,Ar_vs_SpD,0.3888586587091906,1.0972408587993142e-4
TUBB2A,Ar_vs_SpD,0.22508313680917297,1.619255568443051e-4
Commd4,Ar_vs_SpD,0.2454650155996722,1.3599100886711886e-4
Rpl5,Ar_vs_SpD,0.2441708395084348,9.17223626972224e-5
Tspan3,Ar_vs_SpD,0.11757610150552797,2.650212246204969e-5
Myo1d,Ar_vs_SpD,0.43344804730801456,6.170934976018527e-5
Etfa,Ar_vs_SpD,0.24921027888815286,7.87985905226622e-5
SEPT9_like,Ar_vs_SpD,0.2346772472199944,4.861822842374012e-4
Inpp5k,Ar_vs_SpD,0.1640897197742165,6.858372457348141e-4
Prpf8,Ar_vs_SpD,0.3229593567010345,2.0489194365980166e-17
Psma4,Ar_vs_SpD,0.18609067534015764,2.582466245588613e-6
Dusp3,Ar_vs_SpD,0.16083777855342216,1.0690645507416385e-5
Grn,Ar_vs_SpD,0.31063960614509084,1.485335899918216e-5
Ccdc47,Ar_vs_SpD,0.15668429478667745,4.9235109730095404e-5
Psmd12,Ar_vs_SpD,0.20011390998869275,4.552064654195127e-6
Cep112,Ar_vs_SpD,0.4038326662455896,3.2060169603112724e-5
Cyfip1,Ar_vs_SpD,0.21677089919619386,4.420159826315968e-4
Vps11,Ar_vs_SpD,0.1985462118208584,4.168519368231914e-6
Nlrx1,Ar_vs_SpD,0.3520701780632487,7.405276544608762e-4
Rnf26,Ar_vs_SpD,0.2550501407459483,1.6644820486379021e-4
Pop7,Ar_vs_SpD,0.26900699818988433,2.9053752960907e-4
Trim56,Ar_vs_SpD,0.2602838216919434,3.027864720298731e-7
Mdh2,Ar_vs_SpD,0.1686156165347856,4.576690599963503e-5
POR_like,Ar_vs_SpD,0.2014649643456707,1.449607296899076e-4
Eif4h,Ar_vs_SpD,0.12924161965149839,1.1128400136455033e-5
Gtf2ird1,Ar_vs_SpD,0.26455974673829435,3.299110197681069e-7
Sbds,Ar_vs_SpD,0.23767213902009818,5.720355363197891e-7
Tmem248,Ar_vs_SpD,0.2206478649149382,1.5736683394453134e-9
Chchd2,Ar_vs_SpD,0.23636600950101144,4.649163134158705e-6
Osgin2,Ar_vs_SpD,0.2928789092033394,1.3887531941088197e-4
Lamp1,Ar_vs_SpD,0.32127938806634404,1.0941322413409905e-16
Xpot,Ar_vs_SpD,0.19073303278833106,1.693763964140051e-5
Cul4a,Ar_vs_SpD,0.16802535054163256,6.219647014483711e-4
Gns,Ar_vs_SpD,0.1725006230549046,3.813649816816357e-5
Bzw2,Ar_vs_SpD,0.2798186945777518,6.064963426754376e-4
Sh3bgrl,Ar_vs_SpD,0.19402041485665258,6.476841746302431e-4
Nsa2,Ar_vs_SpD,0.2965783779373001,1.097774853765646e-4
Btf3,Ar_vs_SpD,0.2899964764366706,1.0582637817673867e-9
Tbca,Ar_vs_SpD,0.21756119530881535,1.4285785138069525e-6
Dcun1d5,Ar_vs_SpD,0.22064657407017133,5.1395627916782524e-6
Slc25a4,Ar_vs_SpD,0.2114180376738142,5.678387858019339e-9
Prpf40a,Ar_vs_SpD,0.25494109774105683,1.810713260450474e-6
Ppp3cc,Ar_vs_SpD,0.31001299431362883,1.676118451069812e-5
R3hcc1,Ar_vs_SpD,0.25532410545733875,8.122659434790133e-4
Dguok,Ar_vs_SpD,0.3777150996638241,3.0308499916769564e-6
Mthfd2,Ar_vs_SpD,0.44359496132809456,5.619321545812936e-6
Tatdn3,Ar_vs_SpD,0.3150443093662339,8.900926351503042e-4
Slc41a1,Ar_vs_SpD,0.3926642036476914,6.382748499287598e-13
Ubc,Ar_vs_SpD,0.3127027933478128,3.466854538366556e-12
Gtf2h3,Ar_vs_SpD,0.23698769265347733,2.928836122465635e-4
Cdk2ap1,Ar_vs_SpD,0.21178849502219296,9.298435756424994e-5
Ift81,Ar_vs_SpD,0.38808004953813524,1.871213683692154e-5
Mapkapk5,Ar_vs_SpD,0.32288851373587246,1.108910858620982e-6
Erp29,Ar_vs_SpD,0.22780149711196718,5.2222588893714506e-8
Pole3,Ar_vs_SpD,0.23432497096242316,5.934431005304757e-4
Snx30,Ar_vs_SpD,0.22153857416854125,1.014909300497705e-5
Txn,Ar_vs_SpD,0.25216086681983946,5.267910506894234e-7
Klf4,Ar_vs_SpD,0.5030431801291291,9.503143643247899e-5
Usp12,Ar_vs_SpD,0.19862114992393243,7.689952187776348e-4
Stx7,Ar_vs_SpD,0.17863680847390995,4.8499492409946837e-4
Rps12,Ar_vs_SpD,0.19313525186794378,6.647254995503987e-4
Eya4,Ar_vs_SpD,0.35572231655489234,1.9436897251052412e-4
Bclaf1,Ar_vs_SpD,0.17080209167069135,6.233050347484962e-4
Kiaa1755,Ar_vs_SpD,0.37547507775001776,3.227186757079517e-4
Rpn2,Ar_vs_SpD,0.14084262607119646,5.891589562061778e-4
Romo1,Ar_vs_SpD,0.306839027893506,3.210432182900077e-4
Eif6,Ar_vs_SpD,0.21482136668726004,4.698954701255256e-4
Trpc4ap,Ar_vs_SpD,0.1751463397243933,6.40362671435852e-10
Gss,Ar_vs_SpD,0.27700632419162674,6.41594199431849e-5
Hmgb1,Ar_vs_SpD,0.1648116397382839,7.201145028249544e-4
Ndufs3,Ar_vs_SpD,0.1818195848838159,5.934431005304757e-4
Mcub,Ar_vs_SpD,0.5366307850425313,3.997773946426766e-5
Ostm1,Ar_vs_SpD,0.21146274731532086,9.181636535484002e-4
Mical1,Ar_vs_SpD,0.4247240996727057,1.902165824808251e-6
Cab39l,Ar_vs_SpD,0.2615501604993918,6.621370487223138e-5
Spryd7,Ar_vs_SpD,0.21384021545721144,1.3757342998883508e-4
Cog6,Ar_vs_SpD,0.18348338800468292,4.316859658019706e-4
Mdm4,Ar_vs_SpD,0.40470422395791017,8.953133520766334e-10
