gene,state,log2FC_ashr,wald_padj
MIR138-1,Ent_vs_Ar,0.6937531368747636,1.5522919506284768e-8
ENSSTOG00000031411,Ent_vs_Ar,0.712522377884838,4.324387954709131e-6
ENSSTOG00000034702,Ent_vs_Ar,0.9952632662850155,4.710925404730412e-9
MIR138-2_containing,Ent_vs_Ar,0.6468160112462483,4.862940678402818e-8
G14950,Ent_vs_Ar,0.4771891679592338,1.5138631285478432e-6
G16448,Ent_vs_Ar,0.6525957672038087,9.133903175207162e-5
G18650,Ent_vs_Ar,0.8674518661402622,1.3349084451914872e-9
MIR219A2_containing,Ent_vs_Ar,1.3198683652841174,9.058660782345136e-7
G29246,Ent_vs_Ar,2.077724238718785,8.694446198448822e-39
MIR124-2HG_containing,Ent_vs_Ar,0.5623001318791685,1.1076517647254843e-13
MIR29B2CHG_containing_G39119,Ent_vs_Ar,1.0282506316402236,2.016833117277678e-4
MIR101-1_containing,Ent_vs_Ar,1.5532735747957733,1.9518310902293597e-14
MIRLET7D_containing,Ent_vs_Ar,3.0301191872963775,1.1374819107925183e-54
Setd7,Ent_vs_Ar,0.3453311189127484,2.016833117277678e-4
Znf644,Ent_vs_Ar,0.4642190878203433,2.3469613343118887e-10
Ireb2,Ent_vs_Ar,0.249731116414198,2.527412861792208e-4
Twistnb,Ent_vs_Ar,0.5612064638959872,3.107686213798382e-6
Gpr6,Ent_vs_Ar,0.911482461516368,8.538669248578815e-9
Amd1,Ent_vs_Ar,0.38278659837593615,1.337321338784797e-4
Clp1,Ent_vs_Ar,0.4684476811300378,6.299395200949092e-4
Lrp6,Ent_vs_Ar,0.32894769221388664,1.128163132780145e-5
Zbtb7a,Ent_vs_Ar,0.3492264234382981,6.326766393453706e-5
Bmt2,Ent_vs_Ar,0.48107945628712673,1.198073710802148e-6
Ppp1r3c,Ent_vs_Ar,0.40486114476290874,5.795867547295775e-4
MIR656_containing,Ent_vs_Ar,3.4673253972782594,1.099460543637396e-194
Cldn12,Ent_vs_Ar,0.3974278318643476,4.656328781814119e-6
Kcnj2,Ent_vs_Ar,0.7937493997960042,5.460588164396405e-9
Dyrk1b,Ent_vs_Ar,0.2620296098533778,9.802421515349758e-4
LINC00599_containing,Ent_vs_Ar,0.5101375063192761,4.428561501303268e-12
Fam43a,Ent_vs_Ar,0.5254501357932166,1.7636253842591632e-5
Tesk2,Ent_vs_Ar,0.7315793339293252,2.772472241303199e-6
Sass6,Ent_vs_Ar,0.5866941864248284,2.8237019970136536e-4
Tet2,Ent_vs_Ar,0.5814922046857323,2.2056115478591093e-7
Pcdh18,Ent_vs_Ar,0.5879323332287779,1.180743095540816e-4
Tppp,Ent_vs_Ar,0.38920227495714405,3.068853309094027e-7
Slitrk6,Ent_vs_Ar,1.0615121805554066,3.071988205006955e-4
Tmem170a,Ent_vs_Ar,0.47315845628257847,7.30185132531769e-5
Myadm,Ent_vs_Ar,0.3684057169737808,2.3729163245384064e-4
Rbpj,Ent_vs_Ar,0.28369528863984195,9.802421515349758e-4
LINC00461_gene35,Ent_vs_Ar,0.602239712711858,3.4759514477011674e-10
Pde4d,Ent_vs_Ar,0.43043306487787353,3.952772730385525e-5
Tjp1,Ent_vs_Ar,0.5708067206489098,3.335580876484665e-13
Lins1,Ent_vs_Ar,0.8560074117477596,9.011663336512002e-18
B3galnt2,Ent_vs_Ar,0.3124653466188751,8.677537922112822e-5
Fgfr2,Ent_vs_Ar,0.5321074227953714,2.0434270380999284e-8
KRT222,Ent_vs_Ar,0.38248527049259,1.574479699534078e-4
Mex3c,Ent_vs_Ar,0.7218587969430119,5.2508719110978355e-9
Vldlr,Ent_vs_Ar,0.27501771756867094,5.629378763433648e-7
Dusp6,Ent_vs_Ar,0.5164451832472995,2.448839607451016e-4
Nfe2l2,Ent_vs_Ar,0.28629637269831987,2.3729163245384064e-4
Lca5,Ent_vs_Ar,0.39886397609260704,2.389348277086619e-5
Prickle1,Ent_vs_Ar,0.5540828456097073,1.1443755431879401e-7
Slc38a2,Ent_vs_Ar,0.32226309319301705,4.2254900602259484e-4
Slitrk2,Ent_vs_Ar,0.3333442789203874,3.793550968140177e-5
Zbtb46,Ent_vs_Ar,0.41060059597173226,2.025975275566528e-4
Lifr,Ent_vs_Ar,0.24369763634082156,8.293070448014022e-4
Znf282,Ent_vs_Ar,0.4475160309456663,5.895686949806274e-6
