gene,state,log2FC_ashr,wald_padj
G20363,Ent_vs_LT,-0.33649146462078966,7.901825036227949e-5
Dusp1,Ent_vs_LT,-0.532277208794527,5.644142825617334e-4
Junb,Ent_vs_LT,-0.9709757357519281,1.1812909644314945e-8
Zfp36,Ent_vs_LT,-1.467331190850228,6.838494044376113e-16
Cdc42bpb,Ent_vs_LT,-0.16163927936232542,3.9398647618045485e-4
Fos,Ent_vs_LT,-1.4382992270949195,6.508580509347686e-7
G21802,Ent_vs_LT,-3.546922452216187,1.482676697804313e-24
SNHG14_containing,Ent_vs_LT,-1.5656734893371933,1.3765794122292154e-13
ENSSTOG00000021167,Ent_vs_LT,-4.017896053043635,2.555078230770147e-35
MIR493_containing,Ent_vs_LT,-3.481696061416311,2.6022412955937854e-43
HIST2H2BE_containing_gene13999,Ent_vs_LT,-0.9585446790696074,6.803676746662492e-9
Fosb,Ent_vs_LT,-1.6603814621744624,8.020123316532778e-5
