gene,state,log2FC_ashr,wald_padj
MIR138-1,Ent_vs_LT,0.42597149869877726,4.854242537196402e-4
ENSSTOG00000034702,Ent_vs_LT,0.5898080515303127,1.5780754376729206e-4
MIR138-2_containing,Ent_vs_LT,0.553944034934235,1.8831408977815563e-6
MIR219A2_containing,Ent_vs_LT,1.3268883412862629,2.3302640308635362e-6
G29246,Ent_vs_LT,2.3627317667899823,1.8423101501935456e-47
MIR29B2CHG_containing_G39119,Ent_vs_LT,1.2694271034418831,2.3388512782065843e-5
MIR101-1_containing,Ent_vs_LT,0.9793404296609883,1.8621983755981703e-6
MIRLET7D_containing,Ent_vs_LT,3.4005969390361726,1.5447518427718985e-58
Znf644,Ent_vs_LT,0.39295627017626156,1.7112670393574679e-7
Rffl,Ent_vs_LT,0.4420642229087742,6.479652569840977e-6
Ern1,Ent_vs_LT,0.3421021747553506,1.6452475618496304e-6
Ca2,Ent_vs_LT,0.4084525899292645,9.496121784564135e-5
Twistnb,Ent_vs_LT,0.41734897825395684,5.163063398746478e-4
Gpr6,Ent_vs_LT,0.7501088792928806,1.2276882772613677e-6
Amd1,Ent_vs_LT,0.36834213830946716,2.89265514588123e-4
Fam124a,Ent_vs_LT,0.3269965044100925,2.3942900886258822e-4
Clp1,Ent_vs_LT,0.4801949917733732,2.755462347880625e-4
Pdk4,Ent_vs_LT,0.7525610407586608,5.844808960865234e-5
Lrp6,Ent_vs_LT,0.3542700283426006,2.056681971921059e-6
Bmt2,Ent_vs_LT,0.34417071205816946,8.874480961817531e-4
MIR656_containing,Ent_vs_LT,3.3203964248448803,7.559440518201782e-198
Cldn12,Ent_vs_LT,0.35899830429139257,5.844808960865234e-5
Kcnj2,Ent_vs_LT,0.6798927674324401,3.997368214738781e-7
LINC00599_containing,Ent_vs_LT,0.39949308164317643,1.8161257159266546e-7
Nup58,Ent_vs_LT,0.40564535245499583,6.508580509347686e-7
Tet2,Ent_vs_LT,0.5464828414582004,6.508580509347686e-7
Hbp1,Ent_vs_LT,0.27381017931053747,4.854242537196402e-4
LINC00461_gene35,Ent_vs_LT,0.4676551312003845,1.2980483946593217e-6
Tjp1,Ent_vs_LT,0.44660104361223485,3.200843594965369e-8
Lins1,Ent_vs_LT,0.7254487516298653,1.0398290531513497e-13
Fgfr2,Ent_vs_LT,0.422034184330044,1.468589081541613e-5
Rps6kb1,Ent_vs_LT,0.3892935378258434,5.528825494351076e-5
Washc4,Ent_vs_LT,0.3511132601028507,8.020123316532778e-5
Mex3c,Ent_vs_LT,0.4883430247422659,7.566113846474139e-5
Vldlr,Ent_vs_LT,0.26337687676022314,4.715801437093237e-6
CUNH21orf91,Ent_vs_LT,0.4975807739479299,2.113325086571399e-4
Nfe2l2,Ent_vs_LT,0.3164564015940898,7.566113846474139e-5
Prickle1,Ent_vs_LT,0.4246657416522301,7.566113846474139e-5
Slc38a2,Ent_vs_LT,0.33865550385808857,3.146487138038942e-4
Znf282,Ent_vs_LT,0.3582172341399107,3.9398647618045485e-4
