gene,state,log2FC_ashr,wald_padj
MIR138-1,Ent_vs_SpD,-0.6668390462553868,1.400312690683602e-10
ENSSTOG00000034702,Ent_vs_SpD,-0.88605801190318,2.6663080154304348e-11
PGRMC2_like_G11440,Ent_vs_SpD,-0.18911131305974907,6.094814865032905e-5
G13329,Ent_vs_SpD,-0.5109792621704583,3.624156177954723e-5
G14950,Ent_vs_SpD,-0.553242683806486,5.873277489257723e-10
RYBP_like,Ent_vs_SpD,-0.22443426889791382,4.0307549209547545e-4
G16353,Ent_vs_SpD,-0.4330141945472146,4.013092702858618e-6
G16444,Ent_vs_SpD,-0.444839961656954,1.2270715091774442e-4
G16448,Ent_vs_SpD,-0.4284958765764922,3.2316791362386094e-4
SRSF3_G17416,Ent_vs_SpD,-0.3517212553629395,9.368845472108091e-4
HRK_containing,Ent_vs_SpD,-0.27504564308042334,4.023282557566108e-4
G18650,Ent_vs_SpD,-0.7319066658911944,7.1192996343192e-10
G22451,Ent_vs_SpD,-0.21102458074632127,2.3401769816336487e-6
G22714,Ent_vs_SpD,-0.38404983884611316,1.6584783781443624e-4
G26032,Ent_vs_SpD,-0.27516229945844484,2.6405541697290396e-5
G26731,Ent_vs_SpD,-0.359868629054761,1.9184374179189391e-4
ZCCHC3,Ent_vs_SpD,-0.3861492563888136,1.982093243522696e-5
TSHZ2_G30132,Ent_vs_SpD,-0.7220698089820752,8.809973490029287e-10
CDKL5_containing,Ent_vs_SpD,-0.17443446357340847,2.0867255879023796e-4
G38079,Ent_vs_SpD,-0.6919423044489762,3.7484663190502815e-5
G38115,Ent_vs_SpD,-0.34396484671988775,7.607493208973926e-4
G3859,Ent_vs_SpD,-0.7225426097096121,7.301371145329728e-6
G3860,Ent_vs_SpD,-0.5214032583836958,2.852858575026926e-5
G3868,Ent_vs_SpD,-0.40982074062000995,2.3599258600961715e-5
MIR29B2CHG_containing_G39119,Ent_vs_SpD,-1.9254392066750114,5.688272036951594e-14
G40490,Ent_vs_SpD,-0.3258956800317963,2.307889119482231e-5
G6222,Ent_vs_SpD,-0.3805813165908686,8.179758903703593e-4
MIR101-1_containing,Ent_vs_SpD,-0.6754196429211681,1.670969182021493e-5
SOX11_G8196,Ent_vs_SpD,-0.42173695876390016,5.85750011234432e-7
POU3F3,Ent_vs_SpD,-0.25392249015919355,5.146719532266552e-4
G8970,Ent_vs_SpD,-0.6575299151845422,5.022269494059266e-6
G8982,Ent_vs_SpD,-0.596463303156179,1.0186848129775893e-5
MIRLET7D_containing,Ent_vs_SpD,-0.46989359649269064,3.816547215861443e-5
Spty2d1,Ent_vs_SpD,-0.610777497456395,4.925660502769311e-12
Rassf1,Ent_vs_SpD,-0.3325260168926167,9.83158340822656e-6
Hcn4,Ent_vs_SpD,-0.27732291031213363,2.9344996073931025e-4
Pmepa1,Ent_vs_SpD,-0.2771888433467241,1.957153584578005e-4
Nrep,Ent_vs_SpD,-0.37206916487958147,8.296643146780382e-5
Egr1,Ent_vs_SpD,-0.7134269000804254,1.1722456353978011e-4
Lrrtm2,Ent_vs_SpD,-0.2348518502526424,6.094814865032905e-5
Igip,Ent_vs_SpD,-0.16816359228169334,1.0679632174918978e-4
Myt1l,Ent_vs_SpD,-0.17959894238159932,2.6387292182186706e-4
Ntsr2,Ent_vs_SpD,-0.4831576929270008,4.2394523247009715e-6
Setd7,Ent_vs_SpD,-0.3134134912871043,3.614687730006218e-5
Plppr4,Ent_vs_SpD,-0.27605479014963624,8.591505691192601e-7
Mtf2,Ent_vs_SpD,-0.1907844832575646,6.720901811238032e-4
Znf644,Ent_vs_SpD,-0.23442659911351468,1.7800087321214372e-4
Nufip2,Ent_vs_SpD,-0.25165754925581024,5.399605768984346e-5
Ssh2,Ent_vs_SpD,-0.27912671777796855,3.134498744607631e-8
Doc2b,Ent_vs_SpD,-0.19143111963301745,4.4024520669627275e-4
Kdm4c,Ent_vs_SpD,-0.38023634304329623,9.742492916819083e-8
Mras,Ent_vs_SpD,-0.20723417876427677,9.494962922894197e-7
Pik3cb,Ent_vs_SpD,-0.23458057013082576,2.852858575026926e-5
Clstn2,Ent_vs_SpD,-0.46805628968754714,4.899864435690928e-8
Mpp2,Ent_vs_SpD,-0.16957234844441338,4.184181326916308e-4
Hdac5,Ent_vs_SpD,-0.2171602062141025,6.909694671967397e-4
Fzd2,Ent_vs_SpD,-0.5757292154822257,2.4434321132573556e-5
Adam11,Ent_vs_SpD,-0.20976063038160894,3.4310687324365613e-4
Hexim1,Ent_vs_SpD,-0.21267614504775656,5.2179824710771594e-5
Map3k14,Ent_vs_SpD,-0.49493603206693565,6.2651301954485055e-6
TACO1_containing,Ent_vs_SpD,-0.30449999367324027,3.427402491610157e-5
Bud13,Ent_vs_SpD,-0.5537092281134535,5.445735125491981e-6
MIR100HG_like,Ent_vs_SpD,-0.36812729397301847,5.822335302538124e-4
Gramd1b,Ent_vs_SpD,-0.20808510543744976,4.972370236541006e-4
Eln,Ent_vs_SpD,-0.4279301956726124,1.1055030478490948e-6
Ca2,Ent_vs_SpD,-0.2976694169419939,2.6196270237443967e-4
Cpsf6,Ent_vs_SpD,-0.24000744846160463,4.769620675180337e-6
Bex4,Ent_vs_SpD,-0.44146500580308884,5.5475726052378643e-8
Lig4,Ent_vs_SpD,-0.48992090601785343,2.852858575026926e-5
Esco1,Ent_vs_SpD,-0.27908426640998507,9.791344105616335e-5
Abhd3,Ent_vs_SpD,-0.24379812850559948,3.0148933739142117e-4
Mylip,Ent_vs_SpD,-0.38424234083816844,7.394407406705613e-5
Atxn1,Ent_vs_SpD,-0.20046734807897162,3.95699412302685e-4
Nalcn,Ent_vs_SpD,-0.1954678678498932,6.766445811866758e-5
Dmd,Ent_vs_SpD,-0.2863523622415211,1.1708713506597706e-9
Ing2,Ent_vs_SpD,-0.4283704411481706,1.1637527391695014e-4
Cdkn2aip,Ent_vs_SpD,-0.24821243711869184,2.473001726388768e-4
Mogs,Ent_vs_SpD,-0.3399297152544957,1.4543580511621823e-5
Dzip1,Ent_vs_SpD,-0.21391053572912802,7.820285094112621e-7
Yod1,Ent_vs_SpD,-0.5216205040243269,4.857136954541309e-9
Camkk2,Ent_vs_SpD,-0.2925790241691589,5.312554617329904e-5
Fam109a,Ent_vs_SpD,-0.37177559971514745,1.576920733080442e-4
Slitrk5,Ent_vs_SpD,-0.25828671672196507,1.6856956797560257e-6
Cited2,Ent_vs_SpD,-0.3219724528182065,6.752225821594364e-5
Tp53inp2,Ent_vs_SpD,-0.47904409980095725,1.8749042669064414e-4
Lrp4,Ent_vs_SpD,-0.25753294656733866,7.435002215326693e-6
Ap1ar,Ent_vs_SpD,-0.28263197255214245,4.753286365133768e-7
Gpr6,Ent_vs_SpD,-0.3599438789459812,7.885862226156593e-4
Amd1,Ent_vs_SpD,-0.3015456757192543,1.4937662365173873e-4
Proser1,Ent_vs_SpD,-0.29399906972513024,1.5222865699738468e-5
Mcf2l2,Ent_vs_SpD,-0.3665457749647723,1.2508762491203738e-7
Ttc14,Ent_vs_SpD,-0.22052557957550756,1.945785610916924e-5
Btg2,Ent_vs_SpD,-0.9086931785825767,9.742492916819083e-8
Kdm5b,Ent_vs_SpD,-0.237158249203479,2.465527640841576e-4
Zbtb41,Ent_vs_SpD,-0.2338629015465723,8.645072700730279e-4
Rabggtb,Ent_vs_SpD,-0.19200472486212827,2.4849628083389316e-4
Fubp1,Ent_vs_SpD,-0.22250483708792912,3.4310687324365613e-4
Nmt2,Ent_vs_SpD,-0.1582342216416452,1.8534558604807008e-4
Itpr1,Ent_vs_SpD,-0.3219464917289195,1.2198438143285097e-6
Eif4a2,Ent_vs_SpD,-0.21329292124380353,1.362192819261328e-5
Ece2,Ent_vs_SpD,-0.3321641515555484,7.372531577325595e-7
Klhl24,Ent_vs_SpD,-0.2394998901425089,1.3640156214298502e-4
Wdr91,Ent_vs_SpD,-0.1927079449836751,3.055792913909155e-4
Nrf1,Ent_vs_SpD,-0.2992775888263862,5.816307221808756e-5
Ube2q1,Ent_vs_SpD,-0.14216496992430364,2.478406384010014e-4
Pygo2,Ent_vs_SpD,-0.2217589938795462,8.539138413980428e-4
Ubqln4,Ent_vs_SpD,-0.17289629839442724,9.47783175463839e-4
Slc25a44,Ent_vs_SpD,-0.18929737414966138,5.311529041510301e-4
Paqr6,Ent_vs_SpD,-0.5299864006140864,1.3684499279825443e-6
Bcan,Ent_vs_SpD,-0.24654253484550553,2.6998455082868987e-4
Etv3,Ent_vs_SpD,-0.2952179972116067,8.650956139281709e-6
Lrrc55,Ent_vs_SpD,-0.2617895075316309,5.147386417159005e-6
Ythdc1,Ent_vs_SpD,-0.26396191039410133,4.260182160862054e-6
Nr1d2,Ent_vs_SpD,-0.3114460751533804,1.4565468955645086e-4
Glcci1,Ent_vs_SpD,-0.23688137975125337,4.2290599117005484e-4
Onecut3,Ent_vs_SpD,-0.45226839836265914,3.3676662624708277e-6
Jmjd6,Ent_vs_SpD,-0.4284302865725378,9.051067061412327e-6
Srsf2,Ent_vs_SpD,-0.229752999723634,1.0186848129775893e-5
Phf23,Ent_vs_SpD,-0.23405865567504444,2.784008078279289e-5
Zbtb4,Ent_vs_SpD,-0.1851476212891558,8.023292758869415e-4
Fxr2,Ent_vs_SpD,-0.14353259881081817,5.09409647554897e-4
Kdm6b,Ent_vs_SpD,-0.24188658066743063,1.014484416619939e-4
Ndel1,Ent_vs_SpD,-0.23268178382487859,6.772245045869279e-7
Fyco1,Ent_vs_SpD,-0.2235232262424109,1.315009092010907e-4
ZNF709_containing_gene15731,Ent_vs_SpD,-0.23795201574145414,8.724691811816991e-5
ZNF709_containing_gene15736,Ent_vs_SpD,-0.696422372783775,1.0505138272486894e-11
Simc1,Ent_vs_SpD,-0.30570671859934334,1.4533788201682104e-4
PRDM2_like_gene1607,Ent_vs_SpD,-0.4140286017801348,4.84361679820508e-5
Spen,Ent_vs_SpD,-0.20109246942982434,3.493864051473933e-5
Slc6a11,Ent_vs_SpD,-0.446974768220914,1.423064774722853e-10
Brpf1,Ent_vs_SpD,-0.2161170477592343,6.085924926352079e-4
Gskip,Ent_vs_SpD,-0.20902595709545718,5.270415599036396e-4
MEG3_containing,Ent_vs_SpD,-0.25609187234504327,9.99245354758899e-6
MIR656_containing,Ent_vs_SpD,-0.4796002956338448,1.1708713506597706e-9
Cadps2,Ent_vs_SpD,-0.19907942423854738,1.0905906915038023e-4
Kcnd2,Ent_vs_SpD,-0.22722045104550762,3.3451824554978416e-5
CACNA1C_containing,Ent_vs_SpD,-0.6357577447760829,4.8699214315686e-7
Fbxl14,Ent_vs_SpD,-0.16945364893590367,8.836043895415943e-4
Bicd1,Ent_vs_SpD,-0.3236844635072717,7.2030972309581e-7
Adgrl2,Ent_vs_SpD,-0.23613562483916284,2.079553125322259e-6
Ppp2r1b,Ent_vs_SpD,-0.2254431860841174,4.8226572036648676e-5
HSPA14_like,Ent_vs_SpD,-0.6045038823202287,2.7838072968295518e-8
Slc7a2,Ent_vs_SpD,-0.291365975503526,2.420486183209607e-5
Agpat5,Ent_vs_SpD,-0.19462874356794524,1.0506682134644039e-4
LOC110599226,Ent_vs_SpD,-0.5117579946957319,3.8198401959735215e-4
Rasgef1a,Ent_vs_SpD,-0.16386348343598098,4.3364050866906087e-4
Znf22,Ent_vs_SpD,-0.27887815707848507,3.0211812162879556e-4
Col19a1,Ent_vs_SpD,-0.7570547963834356,6.677194752420259e-9
Ypel1,Ent_vs_SpD,-0.2620754818760683,3.8492946823398615e-6
Gzf1,Ent_vs_SpD,-0.22537948241656056,1.937392076527326e-5
Krit1,Ent_vs_SpD,-0.24826976668724696,1.7314663587089237e-4
Luzp1,Ent_vs_SpD,-0.2306721179389538,2.071488316041011e-5
Errfi1,Ent_vs_SpD,-0.26893138011504536,1.675465902173582e-4
