gene,state,log2FC_ashr,wald_padj
H1F0_ENSSTOG00000014808,IBA_vs_Ar,-0.5846638769340112,6.736072342103867e-6
G10765,IBA_vs_Ar,-0.4250190332499548,2.230072405725032e-7
G13788,IBA_vs_Ar,-0.39188883324301094,2.70236415185549e-4
G15124,IBA_vs_Ar,-0.33282997900630146,1.003952734985781e-4
G17390,IBA_vs_Ar,-0.9139094325563499,1.6346195628675227e-13
G20363,IBA_vs_Ar,-0.47647155938487507,4.102720700572975e-10
G21460,IBA_vs_Ar,-0.4608981252604994,2.019160532725629e-10
G24079,IBA_vs_Ar,-0.5126097115003518,5.492938241900397e-6
NR2F1,IBA_vs_Ar,-0.6286066307413646,1.047153286490791e-6
TMSB4X_G3417,IBA_vs_Ar,-0.1747213594301173,5.261919167667272e-4
ZRSR2_containing,IBA_vs_Ar,-0.3906815099728065,3.404878135724432e-5
PIR_like,IBA_vs_Ar,-0.7124571768284278,2.6317796005601693e-9
ID4,IBA_vs_Ar,-0.6017170882408944,1.2502275047229035e-10
G3940,IBA_vs_Ar,-0.28680104780069543,4.329323312842066e-6
MIGA1_containing,IBA_vs_Ar,-0.21536177218515976,1.9899070490643343e-4
ZZZ3_containing,IBA_vs_Ar,-0.22580185298139682,7.837846922397069e-4
G8579,IBA_vs_Ar,-0.5133462649274072,5.330096817219564e-5
Ptpn5,IBA_vs_Ar,-0.19465290200659133,2.328485214726084e-4
Sbf2,IBA_vs_Ar,-0.1998756184194923,8.652779436840361e-4
Trim66,IBA_vs_Ar,-0.45146007346859646,1.2672154754875055e-8
Shisa5,IBA_vs_Ar,-0.20026198411518228,5.242840498746794e-4
Col7a1,IBA_vs_Ar,-0.4407124556158571,3.163151564408586e-5
Impdh2,IBA_vs_Ar,-0.17227473684875125,9.736582748555378e-5
Klhdc8b,IBA_vs_Ar,-0.26853344678028274,6.318617480638961e-4
Apeh,IBA_vs_Ar,-0.1923306194573748,1.0084079368672498e-4
Slc38a3,IBA_vs_Ar,-0.2888203309268335,1.569445405927147e-5
CUNH3orf18,IBA_vs_Ar,-0.3491525721157483,6.283292051246346e-6
Nek11,IBA_vs_Ar,-0.5659351405626635,1.0775757107771017e-7
LOC110598330,IBA_vs_Ar,-0.42862737047192373,2.8791227311775604e-4
Acad11,IBA_vs_Ar,-0.2155691723783057,2.855090251270476e-4
TF,IBA_vs_Ar,-0.48445022287845924,4.275314777314992e-4
Amotl2,IBA_vs_Ar,-0.46869178159719566,8.737575865995293e-6
Cep63,IBA_vs_Ar,-0.5340145769528684,8.202038359654384e-10
Pccb,IBA_vs_Ar,-0.20072490140827792,2.4128501206862284e-4
Neo1,IBA_vs_Ar,-0.19161175744146605,3.1073849682564134e-5
Vapb,IBA_vs_Ar,-0.16150348094398254,5.787680411107207e-4
Stx16,IBA_vs_Ar,-0.18290383693663828,3.624647382845057e-8
Npepl1,IBA_vs_Ar,-0.22586459607627432,3.020372800486973e-4
Edn3,IBA_vs_Ar,-0.6395009260367314,6.174177253069415e-7
Ptprt,IBA_vs_Ar,-0.33464159684311107,1.047447249785734e-6
Fbxl17,IBA_vs_Ar,-0.3699791261902831,1.3769557022973694e-10
Sil1,IBA_vs_Ar,-0.7029453610559752,7.802796832358985e-16
Psd2,IBA_vs_Ar,-0.32621500704544504,2.690926552131714e-11
Tmem18,IBA_vs_Ar,-0.437510996337204,7.051876339337627e-5
Id2,IBA_vs_Ar,-0.7017713129367861,3.6972574099848696e-9
Trim44,IBA_vs_Ar,-0.13401099728465743,2.746920777490412e-4
Pamr1,IBA_vs_Ar,-0.4040528975791914,3.9760883316525825e-5
Fars2,IBA_vs_Ar,-0.618769396806231,9.453721299804483e-10
Commd4,IBA_vs_Ar,-0.28191503444789645,2.2233044987178047e-5
Spice1,IBA_vs_Ar,-0.24264687418574518,7.167554871795255e-4
Rabl3,IBA_vs_Ar,-0.2745951551740683,1.0272096361752715e-4
Stxbp5l,IBA_vs_Ar,-0.25940660865215154,1.721157302276399e-4
Cspg4,IBA_vs_Ar,-0.49688773396453617,6.363086259084619e-7
Dpyd,IBA_vs_Ar,-0.4762286675578245,1.1822304823710359e-11
Hfm1,IBA_vs_Ar,-0.42076952345867613,2.094341427158121e-5
Myo1d,IBA_vs_Ar,-0.39550070515011887,2.926006399828025e-4
Nf1,IBA_vs_Ar,-0.25146570821934255,7.828847665741238e-7
Omg,IBA_vs_Ar,-0.2614918490985492,1.0244043899810543e-4
Wsb1,IBA_vs_Ar,-0.42987789893735173,3.3941413089189924e-8
Lyrm9,IBA_vs_Ar,-0.24773984428566223,2.3510625979741908e-6
Unc119,IBA_vs_Ar,-0.20471964800801282,6.752373542515757e-6
Coro6,IBA_vs_Ar,-0.3431777107208961,6.518060414027896e-6
Xrcc4,IBA_vs_Ar,-0.4368306066556271,4.6238101008479555e-5
Prpf8,IBA_vs_Ar,-0.14072068173572735,3.991809288188915e-4
Ermp1,IBA_vs_Ar,-0.17409620236724538,8.194263424327307e-4
Il33,IBA_vs_Ar,-0.3597419619596936,7.174765604380176e-4
Mpdz,IBA_vs_Ar,-0.15999900008978377,6.821317647742083e-5
Cep112,IBA_vs_Ar,-0.6367855295104855,4.980859611719668e-9
Ift46,IBA_vs_Ar,-0.17041617859450364,3.428341375739719e-4
Usp2,IBA_vs_Ar,-0.3304235623701934,2.621135095967486e-4
Nyap1,IBA_vs_Ar,-0.15462261708517105,5.257951328938865e-4
Fzd9,IBA_vs_Ar,-0.5110075285001201,5.475619256631868e-6
Eln,IBA_vs_Ar,-0.5141846791816934,9.397269830240997e-9
Eif4h,IBA_vs_Ar,-0.10941950009172276,2.620807890764823e-4
Gas6,IBA_vs_Ar,-0.16909559748267097,4.369109160953675e-6
Psph,IBA_vs_Ar,-0.2913915967702935,3.499714042529491e-7
CUNH16orf58,IBA_vs_Ar,-0.1910746388011447,5.389909856295391e-5
Decr1,IBA_vs_Ar,-0.21973420827681214,8.363382162137658e-4
Dpy19l4,IBA_vs_Ar,-0.26862606770274217,3.1104347303856296e-4
Lamp1,IBA_vs_Ar,-0.13702811909934698,7.241314274009603e-4
Tmem5,IBA_vs_Ar,-0.292288230303646,1.4080359579815097e-4
Dgkb,IBA_vs_Ar,-0.3245437802174043,1.5035916542179081e-5
Col4a2,IBA_vs_Ar,-0.3041564395438051,1.5223832045186345e-5
Pyroxd1,IBA_vs_Ar,-0.3721867569599103,5.623316138963787e-4
Plekha5,IBA_vs_Ar,-0.42452155699699223,1.3798009201053577e-8
Arglu1,IBA_vs_Ar,-0.18269752271595505,3.9473503041491674e-4
Zbed3,IBA_vs_Ar,-0.28761503784870407,3.1351861970788005e-4
Osbpl1a,IBA_vs_Ar,-0.251346199559921,1.9557736178061548e-5
Impact,IBA_vs_Ar,-0.21970047996284525,6.870342997193196e-5
Znf521,IBA_vs_Ar,-0.24028074049988055,4.0455224088405524e-4
