gene,state,log2FC_ashr,wald_padj
ZNF112,IBA_vs_Ar,0.41528041686594563,4.921467422188926e-5
ZBED8,IBA_vs_Ar,0.38228182916346376,4.091856909669403e-5
MIR138-1,IBA_vs_Ar,1.3331560802049656,9.449416324012055e-32
5S_rRNA_ENSSTOG00000024681,IBA_vs_Ar,0.7338724220233878,3.587542118469627e-4
U1_ENSSTOG00000027312,IBA_vs_Ar,1.646642706996165,7.235364101295371e-5
ZNF146_ENSSTOG00000029664,IBA_vs_Ar,0.48626054875982694,4.0461451058553034e-5
ENSSTOG00000031411,IBA_vs_Ar,0.46393449461565994,2.5067684566316154e-4
MEF2D_containing,IBA_vs_Ar,0.2660619117123765,4.161583823162785e-4
ENSSTOG00000034702,IBA_vs_Ar,1.8588180621644843,5.122757170476413e-33
G10915,IBA_vs_Ar,1.284848036620473,7.703562141465961e-12
G1274,IBA_vs_Ar,0.2891624781950459,6.548747939083748e-5
MIR138-2_containing,IBA_vs_Ar,0.5309196496864477,1.2358765449659773e-6
G14485,IBA_vs_Ar,0.7415905391108445,2.0512936030907245e-11
G14901,IBA_vs_Ar,0.4108180697294013,6.900108856233581e-4
G14950,IBA_vs_Ar,1.2484958507626565,6.242795357253936e-44
PPP4R2_G15164,IBA_vs_Ar,0.37808617642551917,7.057788173499593e-4
RYBP_like,IBA_vs_Ar,0.5071524052006059,1.7496069826919398e-13
G16353,IBA_vs_Ar,0.4210484251772274,1.2171179814313439e-5
G16444,IBA_vs_Ar,1.0074201614336113,1.0967756647394887e-14
G16448,IBA_vs_Ar,1.3486097303316922,3.7182198732012465e-19
AACSP1_containing,IBA_vs_Ar,1.1865221503947976,1.1061759641166782e-16
SRSF3_G17416,IBA_vs_Ar,0.6558825631316072,1.306388103020266e-7
G18650,IBA_vs_Ar,1.7056700232180293,2.829414905507778e-38
G18884,IBA_vs_Ar,0.3403287185785948,4.944400930340773e-4
G21808,IBA_vs_Ar,0.4648976589779743,1.5750073143482424e-5
MIR219A2_containing,IBA_vs_Ar,1.2791675878283069,1.2867049028119434e-8
MOSMO_G239,IBA_vs_Ar,0.3285938577878127,8.662088552508945e-5
G25309,IBA_vs_Ar,0.3805251565854906,2.342199829468796e-5
KCNA1_like,IBA_vs_Ar,0.4806401840473568,2.9784667331356925e-7
TUG1_G2581,IBA_vs_Ar,0.3184154212727149,2.2914299462347434e-4
G27324,IBA_vs_Ar,0.581901497208468,2.328485214726084e-4
G29246,IBA_vs_Ar,2.5775685564522592,2.7057209792643435e-60
ZCCHC3,IBA_vs_Ar,0.6641205929153157,2.6043887948722657e-11
MIR124-2HG_containing,IBA_vs_Ar,0.2809335691004019,8.478234470210374e-5
G3182,IBA_vs_Ar,0.8149815453898602,8.906317880335364e-20
G32610,IBA_vs_Ar,0.624965488861375,4.967782627120568e-8
CDKL5_containing,IBA_vs_Ar,0.3250593332693044,1.4401086213370362e-11
SERP1,IBA_vs_Ar,0.21458029715343913,3.910132120949215e-4
NAA50_G35781,IBA_vs_Ar,0.46830388745098006,5.8114934968844696e-6
G36203,IBA_vs_Ar,0.3021550239663701,6.158434642775573e-4
NUDT11,IBA_vs_Ar,0.24620082539129423,2.926006399828025e-4
G38115,IBA_vs_Ar,1.0772037175345122,2.923116732952695e-16
G3859,IBA_vs_Ar,1.1405230290220592,9.958788403559319e-11
G3860,IBA_vs_Ar,0.8363264415713823,5.570553995066655e-10
MIR29B2CHG_containing_G39119,IBA_vs_Ar,3.1957033696178594,2.0047759434237853e-38
ZBTB37_like,IBA_vs_Ar,0.596571342007126,2.2430731745315017e-7
G40490,IBA_vs_Ar,0.8111994414948044,6.071284460611786e-22
MIR101-1_containing,IBA_vs_Ar,2.4724456122294574,1.7175959919814641e-37
SOX11_G8196,IBA_vs_Ar,0.36026996060366157,2.2507907048674305e-5
G8970,IBA_vs_Ar,0.8032636660547522,2.7373862803073433e-8
ZNF208_containing_G9075,IBA_vs_Ar,0.46515369791198813,1.5238437050817556e-10
MIRLET7D_containing,IBA_vs_Ar,3.464208323850542,1.98028924103865e-71
G9747,IBA_vs_Ar,0.6859790125053306,1.810759371725582e-4
G9749,IBA_vs_Ar,0.6149607961304429,4.4825094400650494e-4
G9756,IBA_vs_Ar,0.6275213005371885,1.0582418211513736e-4
Spty2d1,IBA_vs_Ar,0.7514788809007031,2.936646849471913e-18
Tle3,IBA_vs_Ar,0.35886787612481746,3.4174684105665724e-8
Rras2,IBA_vs_Ar,0.4069223118595129,1.184125371212304e-4
Tead1,IBA_vs_Ar,0.24943571626704275,1.069700460692406e-4
Ctr9,IBA_vs_Ar,0.22472240939741375,3.2097903945047044e-4
Wee1,IBA_vs_Ar,0.4296162999035181,9.971393068384112e-5
Tub,IBA_vs_Ar,0.22247685932139225,3.5650326276500808e-9
Ip6k2,IBA_vs_Ar,0.24405336367253286,3.829294048249221e-6
Prkar2a,IBA_vs_Ar,0.25840323642100704,5.2424901921208935e-9
Bsn,IBA_vs_Ar,0.18694475340620273,9.98594233400049e-4
TWF2,IBA_vs_Ar,0.25393965335995167,3.428341375739719e-4
Ppm1m,IBA_vs_Ar,0.49527646620017574,2.480549334673636e-6
Arih1,IBA_vs_Ar,0.28679212375270235,7.841633177312262e-7
Cdv3,IBA_vs_Ar,0.2585376133998844,2.3544828922462895e-10
Adpgk,IBA_vs_Ar,0.3369114141779472,2.7320646198647213e-6
Hcn4,IBA_vs_Ar,0.40338194851390674,4.465511698128005e-6
Pmepa1,IBA_vs_Ar,0.4494609428669686,4.316392175618316e-8
Ttpal,IBA_vs_Ar,0.23733464713687868,2.738870668898325e-4
Srsf6,IBA_vs_Ar,0.2505723026543581,2.272818845148465e-5
Ubn1,IBA_vs_Ar,0.3577987406573969,1.5104805401482993e-6
CUNH16orf72,IBA_vs_Ar,0.37647251416244315,1.6488297373471806e-8
Grin2a,IBA_vs_Ar,0.315246261013463,4.913700327522422e-4
Rsl1d1,IBA_vs_Ar,0.1570672146832865,8.305331443017367e-4
Pml,IBA_vs_Ar,0.3129628753622631,1.0693469757470003e-4
Fam53c,IBA_vs_Ar,0.20801003154548742,9.502410692758729e-5
Etf1,IBA_vs_Ar,0.13074978334809068,5.924512343967436e-4
Pura,IBA_vs_Ar,0.2543452921066399,9.421995793864381e-4
HARS2_like,IBA_vs_Ar,0.33893420480518704,9.883197907169422e-8
Fam110c,IBA_vs_Ar,0.3499044484663023,4.546981459195784e-4
Nat10,IBA_vs_Ar,0.23740926266466814,2.738870668898325e-4
Caprin1,IBA_vs_Ar,0.2130985711472776,8.63252978681823e-5
Hipk3,IBA_vs_Ar,0.35012881796792816,6.459820181809278e-11
Dnajc24,IBA_vs_Ar,0.45631424026021944,2.4267742368005444e-5
GCNT2_like_gene10637,IBA_vs_Ar,0.3224431822118443,2.6942759787784433e-5
Otud4,IBA_vs_Ar,0.414120209004073,2.0487580997209284e-9
Abce1,IBA_vs_Ar,0.20384394215139987,8.654431837579422e-5
Usp38,IBA_vs_Ar,0.914724474970537,3.252140870200498e-32
Setd7,IBA_vs_Ar,0.5886744680682894,8.959309240358957e-13
Naa15,IBA_vs_Ar,0.3542574398210941,1.1408563750312043e-6
Boc,IBA_vs_Ar,0.4934040547733238,6.914872912114338e-5
Usf3,IBA_vs_Ar,0.3761067721783432,6.397485435857734e-5
Plppr4,IBA_vs_Ar,0.4143467597601369,7.604526767734182e-13
Cnn3,IBA_vs_Ar,0.27518416119622396,4.394920041057913e-5
Arhgap29,IBA_vs_Ar,0.3976787426010056,7.373795588519638e-6
Gclm,IBA_vs_Ar,0.3079268645302382,1.6272965832394313e-5
Peak1,IBA_vs_Ar,0.26651485405327324,1.5659530059623737e-4
Mtf2,IBA_vs_Ar,0.3184265530961245,4.588988483943118e-8
Znf644,IBA_vs_Ar,0.824460422188365,4.2202065538234716e-33
Znf326,IBA_vs_Ar,0.3497567646171768,6.463043627953518e-6
Lrrc8c,IBA_vs_Ar,0.420843261199447,2.244564652684279e-8
Rffl,IBA_vs_Ar,0.4246454661032531,1.1819722767354256e-6
Znf830,IBA_vs_Ar,0.3674060529985325,4.8035651634306664e-5
Nlk,IBA_vs_Ar,0.2293897429376706,1.6931616221894412e-5
Fam222b,IBA_vs_Ar,0.8943670391064198,4.3191982439435985e-26
Nufip2,IBA_vs_Ar,0.45156456870045375,6.8160805848711e-12
Abhd15,IBA_vs_Ar,0.3033699050396936,9.624201819246546e-4
Ankrd13b,IBA_vs_Ar,0.2876072818059416,1.3957083289397665e-7
Ssh2,IBA_vs_Ar,0.3205402892766174,4.2341459439650855e-10
Fbxo22,IBA_vs_Ar,0.31958999159783713,2.4003853516340154e-6
Blmh,IBA_vs_Ar,0.40358758432590414,1.767771609410624e-6
Cpd,IBA_vs_Ar,0.3890235966273974,8.485191723716989e-7
Gemin4,IBA_vs_Ar,0.380733447054882,3.9760883316525825e-5
Fam57a,IBA_vs_Ar,0.7543045424780522,7.183776169116273e-16
Crk,IBA_vs_Ar,0.2669285227260887,3.7398883539940354e-8
Slc43a2,IBA_vs_Ar,0.19173017293535236,8.560001833875934e-4
Mettl16,IBA_vs_Ar,0.22775905793631507,8.496963777851266e-6
Ireb2,IBA_vs_Ar,0.5343649128954014,3.2454150181559836e-18
Mrps22,IBA_vs_Ar,0.41395184555893366,5.672398849441728e-5
Ccdc43,IBA_vs_Ar,0.2894234382806014,3.41013784753944e-6
Plekhm1,IBA_vs_Ar,0.36287479226257363,2.405140087007971e-10
Ctsh,IBA_vs_Ar,0.2776285358717592,4.340578680338644e-4
LOC101960968,IBA_vs_Ar,0.4383836169967767,8.582146802265321e-9
Dcaf7,IBA_vs_Ar,0.24194173186955278,8.860606646951866e-10
TACO1_containing,IBA_vs_Ar,0.6454978575216413,7.750764954640127e-16
Ftsj3,IBA_vs_Ar,0.2522905184303226,4.29878572821374e-6
Ern1,IBA_vs_Ar,0.47050461819677736,1.7496069826919398e-13
Smurf2,IBA_vs_Ar,0.26269754788884764,8.673884134298283e-4
Kpna2,IBA_vs_Ar,0.47886831142961434,1.1822304823710359e-11
Kiaa1024,IBA_vs_Ar,0.35069839406139547,7.967508638696435e-4
Helz,IBA_vs_Ar,0.24729590442582294,6.239914870158323e-7
Bud13,IBA_vs_Ar,1.0015595182491637,3.502969387892206e-15
Bace1,IBA_vs_Ar,0.25840956594193926,2.1632164344551145e-10
Kmt2a,IBA_vs_Ar,0.24291258159568432,1.3632136414259284e-6
Ddx6,IBA_vs_Ar,0.2244362458350169,1.4564689489784018e-6
Cbl,IBA_vs_Ar,0.27669573870578734,3.294425683981684e-7
Sc5d,IBA_vs_Ar,0.3088195090284595,1.2323176837977267e-6
MIR100HG_like,IBA_vs_Ar,0.624023422742442,4.4894966251113573e-7
Gramd1b,IBA_vs_Ar,0.22030364906215924,4.4580005909969177e-4
Znf202,IBA_vs_Ar,0.26758668593116564,9.136923193401119e-4
Zkscan1,IBA_vs_Ar,0.2596819504957036,7.621878457048431e-8
Znf3,IBA_vs_Ar,0.4953751175334683,4.780545633929123e-8
Agfg2,IBA_vs_Ar,0.2783408373812347,7.851627864871629e-6
Cux1,IBA_vs_Ar,0.23042129730895874,2.9367214591915542e-5
Prkrip1,IBA_vs_Ar,0.39533182783358267,1.3744736524101754e-9
Pom121c,IBA_vs_Ar,0.16382650015778535,5.516268231226764e-4
Nsun5,IBA_vs_Ar,0.6114299447914193,2.331969207921334e-10
Bcl7b,IBA_vs_Ar,0.32468123539253124,1.369515608364741e-5
Tbl2,IBA_vs_Ar,0.5052877149738771,9.979706903553648e-25
Rcc1l,IBA_vs_Ar,0.5572582775691619,2.2054802017988178e-9
Castor2,IBA_vs_Ar,0.37103846826060466,2.9570850673815954e-7
Vkorc1l1,IBA_vs_Ar,0.21249294445649217,2.7350479675345092e-6
Ca2,IBA_vs_Ar,0.5145175793464425,1.9729368060551354e-8
Otud6b,IBA_vs_Ar,0.2991211295538239,1.2603323506035636e-6
