gene,state,log2FC_ashr,wald_padj
ENSSTOG00000029825,IBA_vs_LT,-0.24529978289177776,9.945336421601633e-4
G10765,IBA_vs_LT,-0.36710992562538447,4.201093934721255e-6
G13788,IBA_vs_LT,-0.454462981525429,3.269939811067755e-5
G1404,IBA_vs_LT,-0.48797404443728437,3.294548978081812e-4
G15124,IBA_vs_LT,-0.30403274745965375,2.7905707464034586e-4
PDZRN3_like,IBA_vs_LT,-0.4107943395026281,2.1274486766117434e-5
G17390,IBA_vs_LT,-0.8059503299864365,5.1450053359916985e-11
G20363,IBA_vs_LT,-0.48269920956119766,1.5201321645186064e-10
G21460,IBA_vs_LT,-0.4586624561836788,1.3725516508525603e-10
G22579,IBA_vs_LT,-0.23217044177155496,2.299631912063794e-4
G24079,IBA_vs_LT,-0.45889765325734533,2.7432892701397884e-5
NR2F1,IBA_vs_LT,-0.775151792220025,2.1030778454832223e-9
G29420,IBA_vs_LT,-0.3348276911063926,1.7965955480711576e-4
PIR_like,IBA_vs_LT,-0.5869138795314757,5.884066314201475e-7
PHKA2_like,IBA_vs_LT,-0.24866254499580476,7.427244213813254e-5
ID4,IBA_vs_LT,-0.6527348521150533,2.918402391849518e-12
FOXC1,IBA_vs_LT,-0.48075811145733427,3.482437966167442e-4
G38373,IBA_vs_LT,-0.5411752116438,4.180804028361856e-4
G3940,IBA_vs_LT,-0.3403782608714435,3.9745292543534395e-8
G8456,IBA_vs_LT,-0.43515712671116286,2.3144966458875526e-4
G8576,IBA_vs_LT,-0.3400474974791763,4.0310455204631935e-4
G8579,IBA_vs_LT,-0.46937014531601745,1.3925244594721945e-4
G8958,IBA_vs_LT,-0.4002333109382742,3.307836125746394e-4
SHC3_containing,IBA_vs_LT,-0.21183798583685315,2.9057909509725356e-5
Ptpn5,IBA_vs_LT,-0.2753423248784107,1.2326363149954162e-7
Abcc8,IBA_vs_LT,-0.41292665681085905,1.9661330286525093e-5
Dennd5a,IBA_vs_LT,-0.2328738376671095,6.816710182698135e-5
Trim66,IBA_vs_LT,-0.5516019819127999,3.942605183275204e-12
Thsd4,IBA_vs_LT,-0.5456061896799288,1.1459298497097853e-4
Col7a1,IBA_vs_LT,-0.5355277033951767,6.476989020369086e-7
Klhdc8b,IBA_vs_LT,-0.2640774826589414,7.267095132790256e-4
Apeh,IBA_vs_LT,-0.22563769600648867,4.038946263808609e-6
Rnf123,IBA_vs_LT,-0.2354592307344502,1.739527741035105e-7
Slc38a3,IBA_vs_LT,-0.3823804261441342,1.143295892104937e-8
Nat6,IBA_vs_LT,-0.3499108931776806,4.252859279662716e-5
CUNH3orf18,IBA_vs_LT,-0.306925499691334,5.193493763155454e-5
