gene,state,log2FC_ashr,wald_padj
ZNF112,IBA_vs_LT,0.5324435577251584,4.14592385742388e-7
ZBED8,IBA_vs_LT,0.31256490980055734,4.4632192085829924e-4
MIR138-1,IBA_vs_LT,1.0795349428722092,8.527499920244769e-24
U1_ENSSTOG00000027312,IBA_vs_LT,1.1377200329221304,1.5159100525836806e-4
ZNF146_ENSSTOG00000029664,IBA_vs_LT,0.4385289334000029,1.1676808502390638e-4
ENSSTOG00000034702,IBA_vs_LT,1.5109121091626254,1.834061724197273e-25
G10915,IBA_vs_LT,1.3627289408040906,9.9182014564526e-14
G1274,IBA_vs_LT,0.27362122085159735,1.3205708141922958e-4
MIR138-2_containing,IBA_vs_LT,0.46161447346336454,1.301840481684587e-5
G14485,IBA_vs_LT,0.6667325376721448,8.14890731901945e-10
G14950,IBA_vs_LT,1.0425244754290148,9.509647124999133e-33
RYBP_like,IBA_vs_LT,0.4435549031472463,5.652496187895841e-11
G16444,IBA_vs_LT,0.8279644102694247,5.949376973294891e-11
G16448,IBA_vs_LT,0.886968597691718,1.1013453198587255e-10
AACSP1_containing,IBA_vs_LT,1.034384782181926,4.662965664888444e-14
SRSF3_G17416,IBA_vs_LT,0.8489480682206815,1.757333784363561e-11
G18650,IBA_vs_LT,1.2453453651175936,1.7414633811194565e-24
G21808,IBA_vs_LT,0.5244148609454745,1.2789940759073652e-6
MIR219A2_containing,IBA_vs_LT,1.179580457111457,1.8832533219684487e-8
MOSMO_G239,IBA_vs_LT,0.3010943669785685,2.4387105752396007e-4
G27318,IBA_vs_LT,0.5843238449194136,2.860280160300932e-4
G27324,IBA_vs_LT,0.6439205140709874,6.350027419206888e-5
G29246,IBA_vs_LT,2.8650909028238525,2.1259609798497416e-70
ZCCHC3,IBA_vs_LT,0.6027557801446719,6.374976002867732e-10
G3182,IBA_vs_LT,0.7821567868270511,1.3050960074708827e-18
G32610,IBA_vs_LT,0.48896880701408574,7.004417770497482e-6
CDKL5_containing,IBA_vs_LT,0.25892404061820556,4.445920463189557e-8
SERP1,IBA_vs_LT,0.27861512344104084,3.4982307604731916e-6
NAA50_G35781,IBA_vs_LT,0.5759526494153328,4.086623344245743e-8
G36065,IBA_vs_LT,0.3511763434022309,5.355924711538791e-4
NUDT11,IBA_vs_LT,0.23828018070451512,4.256985449297233e-4
