gene,state,log2FC_ashr,wald_padj
ENSSTOG00000031635,IBA_vs_SA,-0.6324838950553977,4.4245770229697854e-4
ENSSTOG00000034809,IBA_vs_SA,-0.35918561222712747,3.3616968866983707e-4
G10765,IBA_vs_SA,-0.2996189239951204,8.636995170965146e-5
G1437,IBA_vs_SA,-0.36911961341130684,7.694194818347903e-5
G16213,IBA_vs_SA,-0.45837815507873847,3.670664254465619e-4
G16214,IBA_vs_SA,-0.6904344105884553,2.59759421947148e-5
EPS15_like,IBA_vs_SA,-0.44331233543934523,1.748981144332283e-4
G22451,IBA_vs_SA,-0.2979056462186124,2.129685256708221e-11
NR2F1,IBA_vs_SA,-0.5359990253047181,2.638225243143248e-5
G27632,IBA_vs_SA,-0.8520494864901872,1.0495432121322225e-4
G29420,IBA_vs_SA,-0.3210698733147446,1.85404837957452e-4
TSHZ2_G30132,IBA_vs_SA,-0.5331750895435614,4.442717704576035e-6
ARHGAP6_G3421,IBA_vs_SA,-0.36283440205635237,5.149286203124727e-5
GPM6B_like,IBA_vs_SA,-0.30563015077533084,1.9217058576479024e-6
PHKA2_like,IBA_vs_SA,-0.21804736726958232,3.8040615429659315e-4
ID4,IBA_vs_SA,-0.4333084376795584,2.342487960770914e-6
HCG11_G36502,IBA_vs_SA,-0.14338284910782048,6.248184634886915e-4
G3940,IBA_vs_SA,-0.25973079272321986,1.8866320430081407e-5
RPL27A_containing_G5064,IBA_vs_SA,-0.17991128417029795,4.334059782883772e-5
SOX11_G8196,IBA_vs_SA,-0.38329103237250345,1.8520351194235004e-6
G8456,IBA_vs_SA,-0.5282155657825264,2.6819268022023245e-5
Ptpn5,IBA_vs_SA,-0.2059484172262097,7.838550705922499e-5
Sbf2,IBA_vs_SA,-0.2141325911767355,2.584575947329943e-4
Pkp4,IBA_vs_SA,-0.2410167149835423,3.70036822872622e-4
Dennd5a,IBA_vs_SA,-0.21042926659546568,2.5203002361298346e-4
Plxnb1,IBA_vs_SA,-0.2272950983281064,3.64674935026777e-4
Amt,IBA_vs_SA,-0.32284013565085645,2.2218778443167938e-4
ACY1_like,IBA_vs_SA,-0.5668081759619402,2.0583220440249897e-11
Nek11,IBA_vs_SA,-0.32030395368696263,5.831519455714078e-4
Amotl2,IBA_vs_SA,-0.3051242216430518,9.623426888177514e-4
Stx16,IBA_vs_SA,-0.18385949580724875,4.1925523008886134e-8
Ptprt,IBA_vs_SA,-0.2738916362562506,3.228649586196741e-5
