gene,state,log2FC_ashr,wald_padj
CYSTM1,IBA_vs_SA,0.2706689869846402,8.423035039896594e-4
U1_ENSSTOG00000027312,IBA_vs_SA,0.6058399603824091,5.006309893231441e-4
G14485,IBA_vs_SA,0.33394211177054467,3.6618204235871945e-4
G15443,IBA_vs_SA,0.332378722360184,7.40401021796836e-4
AACSP1_containing,IBA_vs_SA,0.6437429146605278,2.1979692450081477e-6
G27537,IBA_vs_SA,0.3476197889916332,5.007011092398114e-4
RBBP7,IBA_vs_SA,0.19404424068904627,2.507045801225378e-5
ATF6_containing,IBA_vs_SA,0.19435311934221572,2.642279252695964e-4
Ldha,IBA_vs_SA,0.4201402087277011,1.919354364905741e-7
Gtf2h1,IBA_vs_SA,0.24752664095782428,1.2096231884768949e-6
CUNH11orf58,IBA_vs_SA,0.18984314236028688,2.5913740298109168e-5
Psma1,IBA_vs_SA,0.21406685890912588,1.6446040134792416e-5
Ampd3,IBA_vs_SA,0.1837570339629278,1.0541643036069232e-4
Tub,IBA_vs_SA,0.15942642412695518,3.947942527541592e-5
Prkar2a,IBA_vs_SA,0.17360900476960464,1.0395503040648575e-4
Mapkapk3,IBA_vs_SA,0.36239282838617065,3.749595933907783e-4
Hexa,IBA_vs_SA,0.18805347767361316,2.7148493255596766e-5
Alas1,IBA_vs_SA,0.20939282983572333,4.32562695273343e-4
TWF2,IBA_vs_SA,0.33546244415193344,2.254828477068771e-6
Cdv3,IBA_vs_SA,0.1488357493938415,4.1952589379262283e-4
Rae1,IBA_vs_SA,0.3280629441130446,2.569677412268578e-9
Rsl1d1,IBA_vs_SA,0.33002328220235083,1.1596077792122562e-12
Etf1,IBA_vs_SA,0.19765120802496966,1.2474117446136896e-7
Hspa9,IBA_vs_SA,0.3050312903465134,9.462516902351719e-12
Mboat2,IBA_vs_SA,0.197560040765841,2.970570870062846e-4
Nol10,IBA_vs_SA,0.32469200530958625,6.314653049831555e-4
Nat10,IBA_vs_SA,0.25332996074155945,6.356884999647228e-5
Fam162a,IBA_vs_SA,0.30907381788563915,8.26461588354516e-5
Cnn3,IBA_vs_SA,0.21443915119071355,9.669914625700405e-4
Gclm,IBA_vs_SA,0.2809704592884962,4.024482837333362e-5
Psmd11,IBA_vs_SA,0.17109762353307267,3.882898227618641e-4
Poldip2,IBA_vs_SA,0.21558330501332973,3.1791535535856178e-6
Etfa,IBA_vs_SA,0.23526656707050073,1.694324088633613e-4
Fbxo22,IBA_vs_SA,0.2330048204568979,2.970570870062846e-4
Blmh,IBA_vs_SA,0.2649024765774215,5.380035193782531e-4
Timm22,IBA_vs_SA,0.2381646581298219,9.623426888177514e-4
Cluh,IBA_vs_SA,0.18315844181283736,2.8001861513778734e-6
Psma4,IBA_vs_SA,0.1424081194900223,5.167379098945859e-4
Armc8,IBA_vs_SA,0.2134802240094367,9.38775719315409e-6
Wdr61,IBA_vs_SA,0.2434550027207018,3.323816987475553e-5
Ctsh,IBA_vs_SA,0.3179320399525957,3.690571056826176e-5
Gosr2,IBA_vs_SA,0.21949467146785465,4.743662615492161e-6
Cdc27,IBA_vs_SA,0.15590348576449356,9.314303466793478e-4
