gene,state,log2FC_ashr,wald_padj
ENSSTOG00000029825,IBA_vs_SpD,-0.2415935164189057,9.605344413632559e-4
LINC00672,IBA_vs_SpD,-0.2061833997713289,3.3587245879353997e-4
ABCF1_containing,IBA_vs_SpD,-0.47975942165749846,9.872056539892849e-5
ENSSTOG00000031812,IBA_vs_SpD,-0.5295415086377104,1.9311975443194382e-4
G10765,IBA_vs_SpD,-0.31333830313884287,4.812684805722302e-5
G1437,IBA_vs_SpD,-0.3265590608516151,2.6400668523887915e-4
G16309,IBA_vs_SpD,-0.6594962070617775,2.109804195381653e-10
MAGI2_G16473,IBA_vs_SpD,-0.2984635576247999,2.47066803705711e-4
G21460,IBA_vs_SpD,-0.36393194586995814,1.743129851805621e-7
G22451,IBA_vs_SpD,-0.2564562085005111,1.0842937011213209e-8
G26032,IBA_vs_SpD,-0.2634336954079351,8.582223687149753e-5
G2633,IBA_vs_SpD,-0.570009659816552,3.6729243013820715e-6
NR2F1,IBA_vs_SpD,-0.505596872027134,2.0131269734598427e-5
G27632,IBA_vs_SpD,-0.788203056303301,9.134043225022451e-5
G29420,IBA_vs_SpD,-0.4608662745597713,3.5381266828687974e-7
TSHZ2_G30132,IBA_vs_SpD,-0.7091361421134437,1.6738186861215169e-9
MIR124-2HG_containing,IBA_vs_SpD,-0.4573809593689269,1.2054041528614658e-10
GLRA2_like,IBA_vs_SpD,-0.4626848928710036,6.543977451641523e-10
GPM6B_like,IBA_vs_SpD,-0.28959266066295347,6.386405376683545e-6
CBLN4,IBA_vs_SpD,-0.6222631195127919,2.37040738006748e-6
PHKA2_like,IBA_vs_SpD,-0.33784749547335385,5.712802984185629e-8
ID4,IBA_vs_SpD,-0.6022518801309812,1.3631469577219378e-10
HCG11_G36502,IBA_vs_SpD,-0.18038686384159652,1.1888287662522909e-5
G3940,IBA_vs_SpD,-0.3502168163750843,1.3409841404879383e-8
G4123,IBA_vs_SpD,-0.3692654144373141,6.738953038047936e-4
