gene,state,log2FC_ashr,wald_padj
CD82_like,LT_vs_SpD,0.5413983949744725,1.080077498728852e-6
ENSSTOG00000032022,LT_vs_SpD,0.2985157481542094,4.828508905729788e-4
G1404,LT_vs_SpD,0.8037535520270284,2.9942479044125597e-7
G32880,LT_vs_SpD,0.39206280138279376,2.1296888443760102e-4
RBBP7,LT_vs_SpD,0.19069399236546147,2.787871491429999e-5
NPM1_G37307,LT_vs_SpD,0.2365240188714397,8.548978702965061e-7
G38749,LT_vs_SpD,0.3452168904279649,1.33127429849679e-4
ATF6_containing,LT_vs_SpD,0.3013026866872526,7.453643620569188e-9
G8576,LT_vs_SpD,0.31495275840902776,5.829430212616857e-4
Ldha,LT_vs_SpD,0.48883085397307646,3.856030160251479e-9
Wdr6,LT_vs_SpD,0.20776215466015843,1.5925467643936837e-5
Qrich1,LT_vs_SpD,0.22953973021379506,2.0482462525479313e-5
Usp4,LT_vs_SpD,0.26085288686527025,2.599231431909474e-5
Rhoa,LT_vs_SpD,0.2326684725047362,1.32830037784094e-8
Hexa,LT_vs_SpD,0.2648988716051423,7.917302553171627e-10
Vapb,LT_vs_SpD,0.19515246692685084,1.6443397150811158e-5
Hspa9,LT_vs_SpD,0.2248486408824392,3.6026114577184045e-7
Sil1,LT_vs_SpD,0.25923498960046887,5.208788599471373e-4
Acp1,LT_vs_SpD,0.18349390287253492,1.4802923406234675e-4
Trappc12,LT_vs_SpD,0.1744419168991665,1.0683013759698946e-5
Snrnp48,LT_vs_SpD,0.2093953518429798,6.37682856327352e-4
Ccdc80,LT_vs_SpD,0.4798691495998857,3.2655497344959925e-5
Tspan3,LT_vs_SpD,0.12534453662673334,7.128390562532192e-6
Etfa,LT_vs_SpD,0.32113566968683815,3.9568982903138615e-7
ABR,LT_vs_SpD,0.15532937833911672,8.565469021056012e-6
Prpf8,LT_vs_SpD,0.26037106004116206,6.738007326968847e-12
Cluh,LT_vs_SpD,0.13194287072478997,7.80678228443735e-4
