gene,state,log2FC_ashr,wald_padj
ZNF112,SA_vs_Ar,0.5280051510080555,3.689941050852987e-7
ZBED8,SA_vs_Ar,0.5346755616913687,1.7885921050699286e-8
MIR138-1,SA_vs_Ar,1.3411082143390651,6.111630427522599e-33
5S_rRNA_ENSSTOG00000024681,SA_vs_Ar,0.8872829513660853,1.1931208987010707e-4
PANTR1_containing,SA_vs_Ar,0.8875771815093089,1.784786918682297e-5
ABCF1_containing,SA_vs_Ar,0.41722846429804605,6.878238958730316e-4
ENSSTOG00000031411,SA_vs_Ar,0.7734153197613097,2.3240651786537623e-8
ENSSTOG00000032437,SA_vs_Ar,0.37327994224697736,2.0671750559926103e-4
ENSSTOG00000034702,SA_vs_Ar,2.0001170739970475,8.987094309457456e-39
G10915,SA_vs_Ar,1.0472291923555597,1.0069257779897048e-8
PGRMC2_like_G11440,SA_vs_Ar,0.1898010304619038,6.076162242233984e-5
G13329,SA_vs_Ar,0.6597109245058423,3.29141061849015e-7
MIR138-2_containing,SA_vs_Ar,0.7066560051100106,1.8686752047307696e-10
G14950,SA_vs_Ar,1.2390680986234006,2.6648613601721434e-44
PPP4R2_G15164,SA_vs_Ar,0.3620563514606323,6.600684625335193e-4
RYBP_like,SA_vs_Ar,0.443661782174315,5.0542142334878904e-11
G16213,SA_vs_Ar,0.4333614069830838,5.430720831854676e-4
G16214,SA_vs_Ar,0.9786854035924869,1.6736378617769732e-8
G16353,SA_vs_Ar,0.5958366563991401,1.1796487346929243e-9
G16444,SA_vs_Ar,1.1053686746023688,2.898479757604326e-17
G16448,SA_vs_Ar,1.3803677037976065,2.947224619726211e-20
SRSF3_G17416,SA_vs_Ar,0.4571366134914244,7.540704770465821e-5
HRK_containing,SA_vs_Ar,0.3943370580775756,2.7372400843404128e-6
G18650,SA_vs_Ar,1.6069597360891545,2.3224991689344214e-34
G18683,SA_vs_Ar,0.5040544198548176,2.6078794954962617e-6
G21808,SA_vs_Ar,0.3808690412533854,1.4571959283155592e-4
G22451,SA_vs_Ar,0.25760204561110905,5.0318369333674875e-9
G22714,SA_vs_Ar,0.4633021061776202,1.553792644028803e-5
KIAA1958_containing,SA_vs_Ar,0.7983167969268354,8.326440213980933e-9
MIR219A2_containing,SA_vs_Ar,1.6486417721508602,5.177575159512093e-12
MOSMO_G239,SA_vs_Ar,0.3174069688771108,8.308785934608614e-5
G2612,SA_vs_Ar,0.2752806307984989,7.3642140629103e-4
G26683,SA_vs_Ar,0.378524295099076,3.238505490488808e-4
G26731,SA_vs_Ar,0.3933774407356538,6.97803331945393e-5
G27318,SA_vs_Ar,0.8816877151233448,1.7120939780643934e-6
G27324,SA_vs_Ar,0.8637921621755781,8.930955216175553e-7
G29246,SA_vs_Ar,2.517331906460349,5.505167538880205e-59
ZCCHC3,SA_vs_Ar,0.6894009537630502,3.768983463589694e-12
G2995,SA_vs_Ar,0.46325426050704843,9.493990987564346e-4
TSHZ2_G30132,SA_vs_Ar,0.5942937713612336,2.4405349522157137e-7
MIR124-2HG_containing,SA_vs_Ar,0.5199197401949993,1.2409117136321473e-12
G3182,SA_vs_Ar,0.7257960304455717,5.640706313334545e-16
G32348,SA_vs_Ar,0.6102210474545514,8.574038184122459e-4
G32610,SA_vs_Ar,0.768153889289758,3.240149160884666e-11
ARHGAP6_G3421,SA_vs_Ar,0.3163376961935608,2.4883448959101196e-4
CDKL5_containing,SA_vs_Ar,0.1999339717658398,3.046825789729764e-5
G34984,SA_vs_Ar,0.8589562881903248,6.000562729154711e-9
G35463,SA_vs_Ar,0.8212752743976779,2.088827661709684e-6
PTCHD4_containing,SA_vs_Ar,0.4387734459909799,2.3330440167234929e-4
G38115,SA_vs_Ar,0.8939844953393727,6.854375824078817e-12
G3859,SA_vs_Ar,1.5729435583594256,5.299653942158074e-18
G3860,SA_vs_Ar,1.1817109891499489,7.425311037519589e-18
G3868,SA_vs_Ar,0.3058628274465712,6.821999451569103e-4
MIR29B2CHG_containing_G39119,SA_vs_Ar,3.390322760742637,2.6648613601721434e-44
ZBTB37_like,SA_vs_Ar,0.6288149821921186,4.566867880150764e-8
G40490,SA_vs_Ar,0.6967590291209507,1.556004005106887e-16
G41041,SA_vs_Ar,0.3520653054605807,6.795827001555091e-4
G4123,SA_vs_Ar,0.44809530822555976,2.0214142297117827e-4
RPL27A_containing_G5064,SA_vs_Ar,0.15352091399422915,4.405431850139637e-4
MIR101-1_containing,SA_vs_Ar,2.478751723486697,1.0556240118202939e-38
G8062,SA_vs_Ar,0.6478551241909538,4.7910955316940226e-5
SOX11_G8196,SA_vs_Ar,0.8299474463253784,3.701641793494568e-22
POU3F3,SA_vs_Ar,0.3247360456972945,2.5212105539496398e-5
POU3F3_like,SA_vs_Ar,0.3093857829202894,1.5516771194235698e-4
G8970,SA_vs_Ar,0.6514841148894056,4.4148256683386345e-6
G8982,SA_vs_Ar,0.4845876997079433,9.945175220005555e-5
ZNF208_containing_G9075,SA_vs_Ar,0.5291276559482853,1.3095794745245268e-13
MIRLET7D_containing,SA_vs_Ar,3.7187104767121997,4.267913581196878e-85
PDE4D_like,SA_vs_Ar,0.5747272289556228,4.953207504120124e-10
G9747,SA_vs_Ar,1.2539141826144158,1.7219184224923583e-8
G9748,SA_vs_Ar,1.1586721396548065,8.272383736226361e-9
G9749,SA_vs_Ar,1.1897030309863583,4.860819609477936e-8
G9756,SA_vs_Ar,1.2288332964593704,4.8126108088810184e-11
Igsf22,SA_vs_Ar,0.32475523023352243,1.36618845800738e-4
Spty2d1,SA_vs_Ar,0.8215296324291183,5.7857347770714045e-22
Tle3,SA_vs_Ar,0.2412499733565343,1.286512712530649e-4
Rras2,SA_vs_Ar,0.4940895595207811,3.5017738371803722e-6
Tead1,SA_vs_Ar,0.2896354562265342,4.0829046476831e-6
Wee1,SA_vs_Ar,0.4771785497552881,1.4091952738720266e-5
Rassf1,SA_vs_Ar,0.42141511659836495,3.790516490449265e-8
ACY1_like,SA_vs_Ar,0.4644664145915341,6.1471168452028814e-9
Ppm1m,SA_vs_Ar,0.4973706876236897,1.4075325001395157e-6
Aste1,SA_vs_Ar,0.38453004000877794,9.836113757509408e-6
Msl2,SA_vs_Ar,0.22642166522205134,3.376105639998105e-4
Nck1,SA_vs_Ar,0.3134061561354374,4.487046196673172e-4
Hcn4,SA_vs_Ar,0.4739082942716082,5.331799269556903e-8
Pmepa1,SA_vs_Ar,0.44760463777812953,2.5992988048963877e-8
Srsf6,SA_vs_Ar,0.2700449687622556,3.335886201368132e-6
Ubn1,SA_vs_Ar,0.27612536692580975,1.0637971091739844e-4
CUNH16orf72,SA_vs_Ar,0.2645406520271478,3.893146509456434e-5
Grin2a,SA_vs_Ar,0.32342676996150016,2.0789670567268264e-4
Pml,SA_vs_Ar,0.2917064546052081,1.6309597788692162e-4
Fam13b,SA_vs_Ar,0.20848175423113013,9.89028113723013e-5
Fam53c,SA_vs_Ar,0.24307609338714978,2.9364729157918126e-6
Kcnf1,SA_vs_Ar,0.2725182606069221,6.106239259092907e-4
Ntsr2,SA_vs_Ar,0.3131142659795965,7.956768910392072e-4
Prr5l,SA_vs_Ar,0.5076088879259653,5.065998246748463e-4
Hipk3,SA_vs_Ar,0.3228186470727287,7.899645475914748e-10
Nedd9,SA_vs_Ar,0.6221552345738138,9.859899231531309e-10
Otud4,SA_vs_Ar,0.4749948176211669,3.768033033820052e-12
Usp38,SA_vs_Ar,0.6591806698035045,3.2960495733338533e-17
