gene,state,log2FC_ashr,wald_padj
CD82_like,SA_vs_LT,-0.4246904659332909,2.9206409408470448e-5
G11535,SA_vs_LT,-0.4041739388557933,2.989792139564008e-4
G1404,SA_vs_LT,-0.842474988481897,5.576110047558757e-8
G15124,SA_vs_LT,-0.2618541491299152,9.477124393038638e-4
PDZRN3_like,SA_vs_LT,-0.4467453026837505,3.914034370383069e-6
G17390,SA_vs_LT,-0.7989814309470796,1.0193705049011131e-10
G21460,SA_vs_LT,-0.25488680716129003,1.1472087805368442e-4
G30983,SA_vs_LT,-0.2689573474232807,7.434433615020653e-5
G32880,SA_vs_LT,-0.4040608945762587,1.173233865113321e-4
NPM1_G37307,SA_vs_LT,-0.19404111383018458,6.294119683933099e-5
ATF6_containing,SA_vs_LT,-0.2610539906151059,4.590216497981401e-7
Rbm33,SA_vs_LT,-0.24500235133946757,3.5318849796091714e-5
Spon1,SA_vs_LT,-0.15840472583820586,1.272914189629145e-4
Ampd3,SA_vs_LT,-0.16614740667697073,4.017251888020151e-4
Nrip3,SA_vs_LT,-0.2825461117711256,1.8972374347914805e-4
Trim66,SA_vs_LT,-0.26876147587006494,1.995293017356621e-4
Col7a1,SA_vs_LT,-0.6209014337685915,1.916244796767885e-8
Qrich1,SA_vs_LT,-0.27063480276670937,6.03944411773742e-7
Usp4,SA_vs_LT,-0.2103702604903532,7.936827778020963e-4
Rhoa,SA_vs_LT,-0.1889502338729161,5.032415999101434e-6
Rnf123,SA_vs_LT,-0.20500954575596095,3.890467222819373e-6
Tusc2,SA_vs_LT,-0.22362046589121928,1.6005003314336777e-6
Hexa,SA_vs_LT,-0.22996584891738125,9.608041770773125e-8
Abhd14a,SA_vs_LT,-0.2598450283582255,8.933052024010875e-4
Rpl29,SA_vs_LT,-0.19417189852285063,7.44394235528903e-4
Ephb1,SA_vs_LT,-0.22906924546007137,2.0437798498585e-4
Vapb,SA_vs_LT,-0.2304085849250886,3.2182555019689357e-7
Atp5e,SA_vs_LT,-0.18339237546525577,8.096499534117455e-5
Edn3,SA_vs_LT,-0.5721095407589678,4.2406229406740945e-6
Gdap1l1,SA_vs_LT,-0.3318325077443309,7.178149956844173e-9
