gene,state,log2FC_ashr,wald_padj
ZNF112,SA_vs_LT,0.6516243080956301,1.290550464219691e-9
ZBED8,SA_vs_LT,0.46102153997985995,5.902619885051178e-7
MIR138-1,SA_vs_LT,1.0945535396330477,1.0801401784980209e-24
PANTR1_containing,SA_vs_LT,1.01393229969932,1.7688518269261415e-6
ENSSTOG00000031411,SA_vs_LT,0.47323674155775153,1.598994347969748e-4
ENSSTOG00000032437,SA_vs_LT,0.32818861119842563,7.76813061440709e-4
ENSSTOG00000034702,SA_vs_LT,1.6570570618477802,1.3285729670694055e-30
G10915,SA_vs_LT,1.1417684887933526,3.257251960045579e-10
PGRMC2_like_G11440,SA_vs_LT,0.15975132213505108,7.589222440136448e-4
G13329,SA_vs_LT,0.6240118584914311,1.1831236760008014e-6
MIR138-2_containing,SA_vs_LT,0.6456389920772023,5.208269721903904e-9
G14950,SA_vs_LT,1.0389869808756413,8.696878018703882e-33
RYBP_like,SA_vs_LT,0.379250493012396,1.020862208752417e-8
G16214,SA_vs_LT,0.6019397230619186,1.1514781865978444e-4
G16353,SA_vs_LT,0.3614637290299575,4.8631418881415355e-5
G16444,SA_vs_LT,0.9257138258696082,5.17438575978701e-13
G16448,SA_vs_LT,0.9298462313498878,2.5942360846975486e-11
SRSF3_G17416,SA_vs_LT,0.6855152747725582,7.629152829406218e-8
HRK_containing,SA_vs_LT,0.28982646205181795,2.692361360147766e-4
G18650,SA_vs_LT,1.1482775047855773,3.715486858715917e-21
G18683,SA_vs_LT,0.38745528558245057,1.25925650145421e-4
G21808,SA_vs_LT,0.4484314840225155,1.8782406171830054e-5
G22451,SA_vs_LT,0.27829235002781477,2.0762087247142516e-10
KIAA1958_containing,SA_vs_LT,0.9757199909672027,2.482976647189523e-12
MIR219A2_containing,SA_vs_LT,1.5671351239534677,9.892992411942211e-12
MOSMO_G239,SA_vs_LT,0.28774027129968116,2.9052776606132733e-4
G2612,SA_vs_LT,0.3412872282186464,4.028362477625631e-5
G26731,SA_vs_LT,0.3218507574495558,6.438365767259535e-4
G27318,SA_vs_LT,0.9551786486660583,2.4394346747962947e-7
G27324,SA_vs_LT,0.9165287335389177,2.0548187009497846e-7
ANKRD34B_containing,SA_vs_LT,0.3458871976983049,9.242045656142058e-4
G29246,SA_vs_LT,2.811431986487497,6.969762217397918e-69
ZCCHC3,SA_vs_LT,0.6284393860796873,1.4274649958756645e-10
TSHZ2_G30132,SA_vs_LT,0.4397813930556354,3.932563721787064e-5
G3182,SA_vs_LT,0.6935073454998377,7.980561766646264e-15
G32348,SA_vs_LT,0.6499844892319563,6.506360999541138e-4
G32610,SA_vs_LT,0.6395847655951327,1.6821203153884467e-8
ARHGAP6_G3421,SA_vs_LT,0.4310565939267343,2.5531336764355553e-6
G34984,SA_vs_LT,0.9469995593423755,1.9460316293777237e-10
TERF1_like,SA_vs_LT,0.28366855696832305,9.383806908482591e-4
G35463,SA_vs_LT,0.6000299333635836,1.7266398600712017e-4
NAA50_G35781,SA_vs_LT,0.3319777832612702,4.4169012177883426e-4
G38115,SA_vs_LT,0.9739501712128219,2.084763241499792e-14
PRR18_containing,SA_vs_LT,0.5015352242897306,3.5113432359751864e-4
G3859,SA_vs_LT,1.4604370069766899,8.81393720765103e-17
G3860,SA_vs_LT,0.8695659486015321,4.592911114514565e-11
MIR29B2CHG_containing_G39119,SA_vs_LT,3.530833977411835,1.4555096084770016e-47
ZBTB37_like,SA_vs_LT,0.790914189224328,1.6706203493704634e-11
G40490,SA_vs_LT,0.689434595034963,2.465409132234733e-16
RPL27A_containing_G5064,SA_vs_LT,0.16843333639764566,9.037927926968386e-5
MIR101-1_containing,SA_vs_LT,1.9236476446629414,2.5373779172590824e-26
G8062,SA_vs_LT,0.696975722127484,2.1290786662637484e-5
SOX11_G8196,SA_vs_LT,0.8253559961849127,1.432324727707483e-22
POU3F3,SA_vs_LT,0.31025780370007705,4.927323065797968e-5
POU3F3_like,SA_vs_LT,0.3391286412049219,3.730053548126573e-5
G8970,SA_vs_LT,0.4280560690064031,6.848362693122634e-4
G8982,SA_vs_LT,0.6672125905537709,9.893108023777183e-7
ZNF208_containing_G9075,SA_vs_LT,0.5794536713215557,5.398216219708712e-16
MIRLET7D_containing,SA_vs_LT,4.091203350006121,6.028882753470162e-87
PDE4D_like,SA_vs_LT,0.48653274332440766,6.240421745518553e-8
G9747,SA_vs_LT,1.1184898755555028,1.1079297953806515e-7
G9748,SA_vs_LT,1.2192699709310315,7.579748728873701e-10
G9749,SA_vs_LT,1.2309667633172767,8.59936544380526e-9
G9756,SA_vs_LT,1.2175404390551634,2.4323562277657656e-11
Igsf22,SA_vs_LT,0.42429867441980856,2.1152841514433782e-6
Spty2d1,SA_vs_LT,0.8206177884509324,2.4190934027922526e-22
Plekha7,SA_vs_LT,0.3580622688856617,5.941742162778547e-7
Tle3,SA_vs_LT,0.23590372593141432,1.4909904756975787e-4
Rras2,SA_vs_LT,0.5868161245712715,1.19673495153959e-7
Tead1,SA_vs_LT,0.2961757445993616,2.159128568416748e-6
Zbed5,SA_vs_LT,0.22804602877912136,4.746555746864148e-4
Wee1,SA_vs_LT,0.6087956914994314,1.8253966545732195e-7
Ifrd2,SA_vs_LT,0.2725059513761118,7.8854383142432e-4
Rassf1,SA_vs_LT,0.5354939311947344,1.4494982117931471e-11
ACY1_like,SA_vs_LT,0.36894325207177375,1.7891094117597565e-6
Aste1,SA_vs_LT,0.43685864971315447,9.092973587682492e-7
Msl2,SA_vs_LT,0.2593457010340695,3.303370858119733e-5
Hcn4,SA_vs_LT,0.3113155447272389,1.046558896523287e-4
Pmepa1,SA_vs_LT,0.2717910765755137,2.930843138563756e-4
Srsf6,SA_vs_LT,0.2820560372058044,1.0805130140332493e-6
Ubn1,SA_vs_LT,0.2821425316952088,6.706371348671244e-5
CUNH16orf72,SA_vs_LT,0.32016205620996213,6.619279682174304e-7
Man2a1,SA_vs_LT,0.3179186925475207,1.5963545685052655e-4
Wdr36,SA_vs_LT,0.2949368600368372,4.332047324376725e-5
Fam53c,SA_vs_LT,0.20376894117737274,8.374501678255488e-5
Arid3b,SA_vs_LT,0.48910066660432144,1.8317507984878396e-4
Prr5l,SA_vs_LT,0.5561111217036103,2.842765196423492e-4
Hipk3,SA_vs_LT,0.34786621993493044,3.308971399540477e-11
Nedd9,SA_vs_LT,0.5316218902247706,8.759996542792935e-8
Otud4,SA_vs_LT,0.48008263787527755,2.3425739672422164e-12
Usp38,SA_vs_LT,0.5656224513248546,2.5352551609615107e-13
Inpp4b,SA_vs_LT,0.320941611694047,1.1714183461166465e-4
