gene,state,log2FC_ashr,wald_padj
Spon1,SA_vs_SpD,-0.1639368800442596,1.4234768898812732e-4
Nrep,SA_vs_SpD,-0.3826180090301413,8.580699605262177e-4
Trib2,SA_vs_SpD,-0.2547769967565627,7.273937987447882e-5
Rbp1,SA_vs_SpD,-0.9472007681442847,4.711481821487323e-9
Clstn2,SA_vs_SpD,-0.6244483568929696,6.700991037590684e-12
Calb1,SA_vs_SpD,-0.18031767224836234,5.860369834598614e-4
Wif1,SA_vs_SpD,-0.6686994427848971,6.299663166645647e-4
Pgr,SA_vs_SpD,-0.6803337245901354,1.4069442987007115e-5
Hr,SA_vs_SpD,-0.5806964689933016,4.6606323061422377e-7
Dzip1,SA_vs_SpD,-0.19884277551620214,6.9606146332494986e-6
Ntm,SA_vs_SpD,-0.17907451655545567,1.0822195364329756e-5
Lrrc55,SA_vs_SpD,-0.2912931451732964,4.3882271517515966e-6
CUNH14orf132,SA_vs_SpD,-0.22797968176524788,2.2774827271115393e-6
Evl,SA_vs_SpD,-0.15634079002005158,6.750317106300497e-4
Fezf1,SA_vs_SpD,-0.5379656170736845,2.563199012618718e-9
Lrtm2,SA_vs_SpD,-0.2532010441168499,4.782909720683613e-5
Fam19a5,SA_vs_SpD,-0.15748634472681902,2.7685984269108755e-4
Dbp,SA_vs_SpD,-0.48916113535006583,7.532749576370005e-4
Cbln1,SA_vs_SpD,-0.28591504547534763,2.374330051694167e-6
Cbln2,SA_vs_SpD,-0.3926319481361013,4.068989441554217e-5
Mmp15,SA_vs_SpD,-0.3182568271620742,1.729549129546015e-4
Tagln3,SA_vs_SpD,-0.15808539420849693,8.29223482544976e-4
C1ql2,SA_vs_SpD,-0.5608290158146265,2.374330051694167e-6
Npy,SA_vs_SpD,-0.6709917133179646,4.53076220517824e-6
Arhgap36,SA_vs_SpD,-0.3089765494731716,4.625035161774997e-5
OXT_gene4371,SA_vs_SpD,-0.9239480252315999,5.796828978983504e-4
Tnc,SA_vs_SpD,-0.6194213510856569,1.729549129546015e-4
Sfxn5,SA_vs_SpD,-0.3128657128933722,9.877933056485455e-6
Rasd2,SA_vs_SpD,-0.3494161866743603,1.2533842589219847e-4
Dscam,SA_vs_SpD,-0.18851963748790584,1.4234768898812732e-4
Arhgdig,SA_vs_SpD,-0.2050552130637134,5.307038921914245e-4
Crym,SA_vs_SpD,-2.327861009818784,4.745164611856442e-15
Cdipt,SA_vs_SpD,-0.17460389612410732,1.7141136207765933e-4
Sulf2,SA_vs_SpD,-0.1928421980307541,3.368346538117543e-4
Plekho2,SA_vs_SpD,-0.2881225526103989,2.1928075878119318e-4
Col15a1,SA_vs_SpD,-0.5111797636204477,8.816087069337881e-4
Cga,SA_vs_SpD,-2.4723187571876646,6.302275230063423e-5
Sytl4,SA_vs_SpD,-0.8626107756096262,9.52006215688563e-7
Dio2,SA_vs_SpD,-1.721331793365975,2.563199012618718e-9
