gene,state,log2FC_ashr,wald_padj
ZNF112,Ar_vs_SpD,-0.6634696609623912,9.325237614235772e-8
MIR138-1,Ar_vs_SpD,-1.1758556535174727,4.034155930010607e-10
PANTR1_containing,Ar_vs_SpD,-0.9095137508953033,1.3853675490488408e-5
ABCF1_containing,Ar_vs_SpD,-0.5945932118422997,4.051337471837135e-5
ENSSTOG00000031411,Ar_vs_SpD,-0.6997691170837927,2.7389412248824683e-10
ENSSTOG00000034702,Ar_vs_SpD,-2.078239009401157,1.6893918507019704e-34
MIR4453HG_containing,Ar_vs_SpD,-0.4582258549302536,8.006634467633576e-7
G13022,Ar_vs_SpD,-0.8121635159110074,2.4399344264804545e-5
G13329,Ar_vs_SpD,-0.7200814536793112,1.9818729295085812e-7
MIR138-2_containing,Ar_vs_SpD,-1.0124160579981136,1.6812856721565965e-17
G14950,Ar_vs_SpD,-1.831217130485384,1.9890899140158146e-30
RYBP_like,Ar_vs_SpD,-0.4032232207858758,4.4565833417067787e-8
G16353,Ar_vs_SpD,-1.0608669710429037,1.4108517045863209e-11
G16444,Ar_vs_SpD,-1.6277512437397836,4.431195836121569e-18
G17128,Ar_vs_SpD,-0.4443554301217059,2.0705030207913476e-4
AACSP1_containing,Ar_vs_SpD,-0.7102014047523861,7.873986694525759e-9
G18650,Ar_vs_SpD,-1.3267013167708743,5.8466906020494915e-8
G21728,Ar_vs_SpD,-1.5142346056592753,3.376716383768977e-14
G22494,Ar_vs_SpD,-0.4172601117427951,1.6097928436073088e-4
G23238,Ar_vs_SpD,-0.6187616109383365,4.972791103964706e-4
MIR219A2_containing,Ar_vs_SpD,-1.8746909508693712,1.0369270042065206e-22
G26032,Ar_vs_SpD,-0.3103913911212656,5.028247152243906e-4
G2696,Ar_vs_SpD,-0.721592430260025,3.8570664383004615e-6
TSHZ2_G30132,Ar_vs_SpD,-0.6696233712329848,2.151132610667952e-5
G30823,Ar_vs_SpD,-1.0714441652772675,2.5958837661220656e-9
MIR124-2HG_containing,Ar_vs_SpD,-0.6672880944978414,1.1748814863123516e-12
G3182,Ar_vs_SpD,-0.6603047397785828,6.290136516130234e-10
G32610,Ar_vs_SpD,-1.0598052549278856,2.899034648478531e-12
G34888,Ar_vs_SpD,-1.0569560999096204,2.6712325808717833e-11
G35463,Ar_vs_SpD,-0.5820858986169709,4.9125235701626065e-5
PTCHD4_containing,Ar_vs_SpD,-0.5639655872384248,9.447953916032816e-5
G38032,Ar_vs_SpD,-0.9136566474753213,1.3632778972140725e-8
PRR18_containing,Ar_vs_SpD,-0.41522094478551075,5.669099279078895e-8
G3859,Ar_vs_SpD,-1.625586927108008,2.928395224024693e-8
G3860,Ar_vs_SpD,-0.8285551915547468,2.4164885492194827e-11
G38760,Ar_vs_SpD,-0.4964147014957212,1.424545104701987e-7
MIR29B2CHG_containing_G39119,Ar_vs_SpD,-3.523366846141554,3.578962976803809e-64
G3940,Ar_vs_SpD,-0.2756472760887451,8.32990345996197e-4
ZBTB37_like,Ar_vs_SpD,-0.44179901082126977,7.496000104726066e-4
G40490,Ar_vs_SpD,-0.43154597576679166,1.3114337739119115e-6
G41041,Ar_vs_SpD,-0.9213382325369974,2.7433387982673955e-12
G5128,Ar_vs_SpD,-0.9953779813736499,2.451201857216614e-6
G6222,Ar_vs_SpD,-1.1489998806578356,1.5217202102346355e-9
G652,Ar_vs_SpD,-2.4483687685511444,4.974690790394069e-15
MIR101-1_containing,Ar_vs_SpD,-2.7656698777885853,7.662478949352584e-61
G8982,Ar_vs_SpD,-0.5276569821618049,3.209616902266779e-4
ZNF208_containing_G9075,Ar_vs_SpD,-0.4122628470204112,5.9312700477982105e-6
MIRLET7D_containing,Ar_vs_SpD,-3.4108471782342393,5.472510208524878e-48
Spty2d1,Ar_vs_SpD,-0.6782783686788143,5.636560923148947e-10
Zbed5,Ar_vs_SpD,-0.39828594328374023,6.539685969331556e-8
Mrvi1,Ar_vs_SpD,-0.4182285472931188,6.902057828146791e-4
Rbm5,Ar_vs_SpD,-0.2811047093567954,4.1992700825748785e-4
Aste1,Ar_vs_SpD,-0.5591643953895346,1.2985686814238387e-6
Srsf6,Ar_vs_SpD,-0.3316989928249082,3.0148080460087665e-6
Igip,Ar_vs_SpD,-0.4049715249811532,9.278975362188577e-10
Arid3b,Ar_vs_SpD,-0.6773859777170899,7.560956714875642e-8
Rnf144a,Ar_vs_SpD,-0.3097023483065544,1.8473429996851263e-4
Usp38,Ar_vs_SpD,-0.41290694578181564,3.166306065667337e-4
Elf2,Ar_vs_SpD,-0.35520644066610796,2.0988674458919095e-4
Plppr4,Ar_vs_SpD,-0.4279874285345851,2.1494061529332096e-5
Mtf2,Ar_vs_SpD,-0.2627903494012797,3.295664372541992e-4
Znf644,Ar_vs_SpD,-0.9327405309669007,3.290469647776638e-16
Znf830,Ar_vs_SpD,-0.5617144841066297,2.7805261940625096e-6
Tlcd1,Ar_vs_SpD,-0.3967507539028863,8.577530913719523e-4
Nufip2,Ar_vs_SpD,-0.4004398261049588,2.8662435985194217e-5
Fam57a,Ar_vs_SpD,-0.46293212384250226,2.019066295440095e-5
Serpinf1,Ar_vs_SpD,-1.1872172499985132,2.59755345783125e-4
Hic1,Ar_vs_SpD,-0.5904597082190425,5.773768074746408e-5
Kiaa2026,Ar_vs_SpD,-0.4990329589546473,2.578862628321683e-7
Kdm4c,Ar_vs_SpD,-0.41230784191255515,1.8313665231362856e-5
TARDBP,Ar_vs_SpD,-0.45086984921590945,2.0633024386561657e-4
Pxylp1,Ar_vs_SpD,-0.6168958407667242,6.053433619763303e-8
U2surp,Ar_vs_SpD,-0.2157948540129997,7.871129543902377e-4
Ano3,Ar_vs_SpD,-0.6405330892132262,6.975112187520002e-7
Fzd2,Ar_vs_SpD,-0.9142401652641886,4.6918939678265836e-8
Dbf4b,Ar_vs_SpD,-0.7722596958718234,2.2364297295261553e-6
Map3k14,Ar_vs_SpD,-0.4722372869903125,2.3028038842968352e-5
Ern1,Ar_vs_SpD,-0.6012093571403034,4.823645310284657e-9
ABCA8,Ar_vs_SpD,-0.7864704433497929,5.628495164716207e-6
Bud13,Ar_vs_SpD,-1.0086839000850305,3.9909712932297095e-10
Sc5d,Ar_vs_SpD,-0.5007720954908901,4.1328660809262265e-10
MIR100HG_like,Ar_vs_SpD,-0.5605129308022531,5.437462520439371e-5
Znf202,Ar_vs_SpD,-0.4245790462984368,1.4077086472080392e-5
Znf3,Ar_vs_SpD,-0.3189158045746205,8.719267602074847e-4
Gal3st4,Ar_vs_SpD,-0.4424605489652522,7.074510372126387e-4
LOC106144977,Ar_vs_SpD,-0.42954766594332006,3.763542699388417e-4
Prkrip1,Ar_vs_SpD,-0.3826005451899411,2.578809550014127e-8
IPW_like,Ar_vs_SpD,-0.4781590413163209,1.1086473682248309e-5
Runx1t1,Ar_vs_SpD,-0.44984552815900625,1.15212640230133e-5
Irak3,Ar_vs_SpD,-0.3823135396624686,1.4783525883462552e-4
Mdm2,Ar_vs_SpD,-0.33186496474759286,1.7039084588272682e-4
Cpm,Ar_vs_SpD,-0.8431940909377958,4.30577597202973e-9
Ahr,Ar_vs_SpD,-0.40389467987473543,3.34224444220807e-4
Twistnb,Ar_vs_SpD,-0.7090671366042944,2.1581823006735198e-10
LOC110598614,Ar_vs_SpD,-1.088776737505663,1.5438514735989107e-24
Rapgef5,Ar_vs_SpD,-0.3897215131991955,1.0691125162259092e-5
Lig4,Ar_vs_SpD,-1.1924605742180272,2.472743915650137e-16
Hmgcr,Ar_vs_SpD,-0.6770606136632494,1.1158254930145607e-10
Zbed3,Ar_vs_SpD,-0.34057549412761523,2.177709453644625e-5
Esco1,Ar_vs_SpD,-0.49490623666853834,5.4973643820296755e-5
Ss18,Ar_vs_SpD,-0.2874947018918803,3.044209432002803e-4
Msantd4,Ar_vs_SpD,-0.40367813158959104,5.7894937220042065e-6
Birc3,Ar_vs_SpD,-0.5169853000016896,6.66284847894621e-5
Mylip,Ar_vs_SpD,-0.6533554274312411,1.1179054193119406e-4
Itgbl1,Ar_vs_SpD,-0.5897258903363681,2.0988674458919095e-4
Irf2,Ar_vs_SpD,-0.3211000663508403,3.99170853696468e-5
Msmo1,Ar_vs_SpD,-0.665628329404222,1.3643081639648988e-7
Rap2a,Ar_vs_SpD,-0.3144313892033401,6.205649682558298e-4
Mob1a,Ar_vs_SpD,-0.28984727139474437,3.209616902266779e-4
Slc4a5,Ar_vs_SpD,-0.9888823535707919,9.490832965456702e-4
Mogs,Ar_vs_SpD,-0.5568416070874842,4.5251264415617684e-8
Hk2,Ar_vs_SpD,-0.4880665469526262,4.982528003553069e-4
Angel2,Ar_vs_SpD,-0.49838637086423276,1.7566353380324637e-5
Dzip1,Ar_vs_SpD,-0.280180980029255,3.095644109671896e-5
Yod1,Ar_vs_SpD,-0.496416512781872,1.4990464062268143e-5
Cldn10,Ar_vs_SpD,-0.4290215420587325,2.6900558854128277e-4
Kmt5a,Ar_vs_SpD,-0.3064173027301917,4.12550309259008e-4
Mphosph9,Ar_vs_SpD,-0.33566208510557893,1.1466104993669668e-4
Rsrc2,Ar_vs_SpD,-0.35493946544971666,1.322377717072666e-9
Sh2b3,Ar_vs_SpD,-0.5767573832796747,7.678357385180363e-11
Slitrk5,Ar_vs_SpD,-0.3489238848334269,1.9804083183635415e-6
Cited2,Ar_vs_SpD,-0.4733101915848784,1.622844046120597e-8
Tp53inp2,Ar_vs_SpD,-1.1190025441616462,5.449239935998111e-23
Ugt8,Ar_vs_SpD,-1.5349389984597452,2.6854507227715403e-15
N4bp2l1,Ar_vs_SpD,-0.2409691943358492,7.256299430928264e-4
Stard13,Ar_vs_SpD,-0.5036269829630122,1.6401368608073831e-10
Amd1,Ar_vs_SpD,-0.6634548769218568,1.5331597249929092e-9
Lpar6,Ar_vs_SpD,-1.2846810498527637,1.1705718370663786e-12
Proser1,Ar_vs_SpD,-0.6074474195799746,1.3127753265665995e-8
Mcf2l2,Ar_vs_SpD,-0.5260885011435473,2.4921983190436862e-5
Ttc14,Ar_vs_SpD,-0.3873780341189082,3.5344444539865076e-7
Ppp1r15b,Ar_vs_SpD,-0.5606523730833263,3.5372503565737934e-11
Zc3h11a,Ar_vs_SpD,-0.3640051190775698,2.1915046482461935e-6
Kdm5b,Ar_vs_SpD,-0.4511912038168292,2.379216256008532e-6
Rfxap,Ar_vs_SpD,-0.3509295012314708,6.755166722584884e-4
Znf281,Ar_vs_SpD,-0.8709818082668775,7.625170910807084e-16
Zbtb41,Ar_vs_SpD,-0.39554575663868263,4.1887398470818327e-4
CFHR1_containing,Ar_vs_SpD,-0.8390664077558121,3.21600344301806e-5
Usp37,Ar_vs_SpD,-0.45574056743290137,2.2104297768916765e-4
Plcd4,Ar_vs_SpD,-0.6373316717191838,3.210362913468587e-5
Znf181,Ar_vs_SpD,-0.5753557666579593,4.723973211368094e-6
Cebpg,Ar_vs_SpD,-0.44572908642920744,4.989692811142867e-4
Kctd6,Ar_vs_SpD,-0.4837314574215872,3.755371576984337e-8
Fubp1,Ar_vs_SpD,-0.3578462397683127,6.321894429694096e-5
Zbtb44,Ar_vs_SpD,-0.2974808969059177,2.871913500157829e-4
Pus3,Ar_vs_SpD,-0.38809293908638415,6.672374206059159e-4
Epc1,Ar_vs_SpD,-0.28354914381889845,2.0170026256229403e-4
CUNH3orf70,Ar_vs_SpD,-0.2756937316484196,7.262955579207071e-4
Ephb3,Ar_vs_SpD,-0.4247822184427115,2.452213695368255e-4
Abcc5,Ar_vs_SpD,-0.32941775770164305,2.0898385832105324e-4
Nrf1,Ar_vs_SpD,-0.36200478422566806,4.3229212197410416e-5
Ahcyl2,Ar_vs_SpD,-0.3117129171926046,1.8766844986979603e-4
Wnt5a,Ar_vs_SpD,-0.5993378836157459,2.5430833467507166e-6
Adamtsl4,Ar_vs_SpD,-0.5643918477726838,6.43301200344897e-4
