gene,state,log2FC_ashr,wald_padj
CD82_like,Ar_vs_SpD,0.561371556586736,5.733059293559888e-6
ENSSTOG00000032306,Ar_vs_SpD,0.5454672378340277,5.698772634843877e-4
SHQ1_like,Ar_vs_SpD,0.3936692226758221,1.1640082709189206e-5
COX14_like_G25155,Ar_vs_SpD,0.32391552018819714,5.266906119024334e-4
G27581,Ar_vs_SpD,0.6861112563557276,6.916102824509475e-5
G28963,Ar_vs_SpD,0.5524841210720534,4.1941079930807876e-4
SCAND1,Ar_vs_SpD,0.4375438277391484,6.310128493093194e-4
G32880,Ar_vs_SpD,0.4450839665842226,4.095597764753056e-4
RBBP7,Ar_vs_SpD,0.32027738354543694,2.7775158047688516e-6
NPM1_G37307,Ar_vs_SpD,0.390632687745287,3.5828302212680348e-6
G39779,Ar_vs_SpD,0.8459562094598525,7.62323647927184e-5
G613,Ar_vs_SpD,0.4764778772444846,4.3416542610717475e-4
G8875,Ar_vs_SpD,0.6882427997738719,2.5584220148250427e-6
Ldha,Ar_vs_SpD,0.35209013591488836,2.457207255739922e-4
Parp3,Ar_vs_SpD,0.47843462005102155,1.6074865808690354e-6
Alas1,Ar_vs_SpD,0.21051105557998337,5.990838096811337e-4
NUDT16,Ar_vs_SpD,0.4711503026924865,2.2795888927479177e-4
TF,Ar_vs_SpD,0.9062343312749861,6.101936085732704e-19
Cdip1,Ar_vs_SpD,0.29023203776052864,1.6424588422105728e-4
Mettl22,Ar_vs_SpD,0.5213322239677193,1.3723871101778636e-6
Nubp1,Ar_vs_SpD,0.38880176609254186,1.13838744139972e-4
Litaf,Ar_vs_SpD,0.47373452896413654,2.3807847066137141e-4
Hspa9,Ar_vs_SpD,0.28838533222005386,1.1866476655089553e-4
Ctnna1,Ar_vs_SpD,0.23416662192459456,7.774300703438154e-4
Ik,Ar_vs_SpD,0.21482866319956756,5.789610834183771e-4
Id2,Ar_vs_SpD,0.586830631069233,3.458782278665632e-8
Fjx1,Ar_vs_SpD,0.4167387118813714,1.7643489917243033e-4
Txndc5,Ar_vs_SpD,0.24349184446735744,8.776739309468977e-4
Eci2,Ar_vs_SpD,0.3661278796098853,1.8148567782640392e-4
TUBB2B_gene10683,Ar_vs_SpD,0.3436741769815694,2.84342777826303e-4
TUBB2A,Ar_vs_SpD,0.3825170937534566,2.1494061529332096e-5
Commd4,Ar_vs_SpD,0.42504648524410654,1.8613633211785052e-4
Fam69a,Ar_vs_SpD,0.3530248217071357,1.2320651808537993e-8
Myo1d,Ar_vs_SpD,0.4793542972502117,1.3699932728924303e-8
Coprs,Ar_vs_SpD,0.37996900842817816,4.7904768935808334e-4
Poldip2,Ar_vs_SpD,0.22731048142101207,9.935355919770512e-4
Prpf8,Ar_vs_SpD,0.2698667789253835,1.8599199314400473e-5
Idh3a,Ar_vs_SpD,0.265176544377203,4.4954468176031505e-4
Eftud2,Ar_vs_SpD,0.23330098480261968,1.6048011367790608e-6
Zpr1,Ar_vs_SpD,0.2690741170685553,4.3959542384872146e-4
Vps11,Ar_vs_SpD,0.26231168793825577,8.899361216414275e-6
Rnf26,Ar_vs_SpD,0.31838837192817887,1.923338472417977e-6
Pop7,Ar_vs_SpD,0.42022569207429744,1.6132681868204302e-4
Mdh2,Ar_vs_SpD,0.3374592469118319,1.7498861615370575e-4
Sbds,Ar_vs_SpD,0.28363018440168536,7.147365744836017e-4
Tmem248,Ar_vs_SpD,0.21797090519639073,1.2222583948689092e-4
Chchd2,Ar_vs_SpD,0.3345883160342563,5.028247152243906e-4
Cct6a,Ar_vs_SpD,0.23883361389225002,5.245369953547786e-4
Lamp1,Ar_vs_SpD,0.2649150303413106,1.7225242200196228e-6
Pcid2,Ar_vs_SpD,0.28357971876008997,3.5963344347843967e-4
Bzw2,Ar_vs_SpD,0.3648195220811829,2.3995151398184306e-4
Naxd,Ar_vs_SpD,0.2861450543957258,1.2133472825350547e-5
Nsa2,Ar_vs_SpD,0.3101917473039125,2.191470075945595e-4
Tbca,Ar_vs_SpD,0.42247299220201173,2.1418160534948872e-4
Asah1,Ar_vs_SpD,0.2998429463001466,7.125971381156202e-4
Phyhip,Ar_vs_SpD,0.3727112761903846,2.0793533674657287e-5
Ppp3cc,Ar_vs_SpD,0.2879318730969787,2.4902842638780477e-4
R3hcc1,Ar_vs_SpD,0.46381264673127937,4.766115032418288e-5
Dguok,Ar_vs_SpD,0.36829744935230063,6.861141809225567e-5
Eif2d,Ar_vs_SpD,0.2927596789936523,8.376121037378547e-4
Ubc,Ar_vs_SpD,0.354706317062704,3.5344444539865076e-7
Cdk2ap1,Ar_vs_SpD,0.31769411726277624,5.028247152243906e-4
Abcb9,Ar_vs_SpD,0.2811547582923831,1.923544444958113e-4
Psmd9,Ar_vs_SpD,0.3087521642669008,1.690253009880926e-4
Pole3,Ar_vs_SpD,0.30499838956318737,7.059813738682533e-4
Abca1,Ar_vs_SpD,0.5592555342313071,3.586243918084739e-4
Map7,Ar_vs_SpD,0.23029063486158474,7.128920724802645e-4
Hebp2,Ar_vs_SpD,0.30998402881003756,1.0908441773103271e-4
Trpc4ap,Ar_vs_SpD,0.22576453890436118,2.9544488689833548e-8
Mcub,Ar_vs_SpD,0.5434137216440581,4.482320078772888e-7
Larp7,Ar_vs_SpD,0.29599506041083895,4.3759479313780215e-4
Chi3l1,Ar_vs_SpD,2.849129600532245,3.2430562649053637e-12
Rnpep,Ar_vs_SpD,0.3306362819332067,6.642688076989541e-4
Aamp,Ar_vs_SpD,0.2962369878217236,1.639526560298926e-5
Pnkd,Ar_vs_SpD,0.29808426939047256,7.324554527030248e-6
Retreg2,Ar_vs_SpD,0.3235077937371542,8.639003450468196e-8
Resp18,Ar_vs_SpD,0.40521359709426324,4.118855046555059e-4
Chpf,Ar_vs_SpD,0.29486698300604497,5.042644264164276e-4
Hspb6,Ar_vs_SpD,0.3729943919855862,7.196383407603414e-4
Fam107a,Ar_vs_SpD,0.32676363360012467,2.4717792836409904e-4
Pepd,Ar_vs_SpD,0.26852574342995,9.208710161816514e-4
Uri1,Ar_vs_SpD,0.3112490468271627,7.009612368739433e-5
UQCRFS1_like_gene13576,Ar_vs_SpD,0.3080025095357402,1.6010961298632966e-4
St3gal4,Ar_vs_SpD,0.33027218106097667,5.724420019872527e-4
Crbn,Ar_vs_SpD,0.2768019444178934,4.4161388932312837e-4
Bhlhe40,Ar_vs_SpD,0.4331003406830604,4.842634656928212e-6
Psmd2,Ar_vs_SpD,0.35248619654132074,4.2908127000755135e-14
Tkt,Ar_vs_SpD,0.26426868191160746,8.04253810227967e-4
Akr1b1,Ar_vs_SpD,0.34215783789721077,2.815593636061234e-4
