gene,state,log2FC_ashr,wald_padj
G27581,Ent_vs_Ar,-0.8446884219718961,5.233320188712412e-5
G28963,Ent_vs_Ar,-0.6922825617149077,4.2516823096246456e-4
G5507,Ent_vs_Ar,-0.6124131054678856,3.4506757482917797e-4
G9503,Ent_vs_Ar,-0.6546873914857168,8.507678116780559e-4
TF,Ent_vs_Ar,-0.3292883393077015,5.214872849924836e-4
Hebp2,Ent_vs_Ar,-0.3206293408969234,4.3444157267288784e-5
Gadd45b,Ent_vs_Ar,-0.5140859466872123,1.0316859499614233e-4
Sgsh,Ent_vs_Ar,-0.32296405876765183,2.895021534386613e-4
Csrnp1,Ent_vs_Ar,-0.8793068129763183,2.905437907808776e-9
Dusp1,Ent_vs_Ar,-0.9821705996676312,5.357692950993309e-10
Cabp7,Ent_vs_Ar,-0.30825724975471464,5.360878806923231e-5
Junb,Ent_vs_Ar,-0.7992456606493055,1.4234523737023503e-6
Zfp36,Ent_vs_Ar,-1.1253002498993625,1.5400738745303906e-15
Slc18a3,Ent_vs_Ar,-0.42703523081926775,5.24938361928636e-4
Nefm,Ent_vs_Ar,-0.24465972666203115,5.009742909507064e-4
Fos,Ent_vs_Ar,-1.0712593943891284,1.0597630195938982e-6
Dysf,Ent_vs_Ar,-0.3102750493351058,5.233320188712412e-5
Kcns3,Ent_vs_Ar,-0.4607970429496442,4.399951470113683e-6
Hoxc6,Ent_vs_Ar,-0.7848659576039442,5.233320188712412e-5
ENSSTOG00000021167,Ent_vs_Ar,-3.4935196283034324,1.1614146025923496e-22
G10940,Ent_vs_Ar,-0.9274046114142656,1.5122447604709912e-5
G15924,Ent_vs_Ar,-0.5928909999113776,9.813264885896228e-4
G5599,Ent_vs_Ar,-1.174852478782305,1.7086317187652478e-7
Cyr61,Ent_vs_Ar,-1.8337083367812754,2.391826515022922e-7
Gadd45g,Ent_vs_Ar,-0.6413992898516402,1.58050017628626e-4
