gene,state,log2FC_ashr,wald_padj
ZNF112,Ent_vs_SA,-0.42369175525669744,2.299293611710898e-4
ENSSTOG00000029362,Ent_vs_SA,-0.8309230927359672,5.388456529490508e-8
PANTR1_containing,Ent_vs_SA,-1.1440876678570413,2.70456877514792e-7
ENSSTOG00000034702,Ent_vs_SA,-1.4838442844689372,6.583502690029976e-22
G13329,Ent_vs_SA,-0.4388392342962717,4.1790429548308253e-4
G14950,Ent_vs_SA,-1.1929511767231558,2.0165937135381854e-14
G16353,Ent_vs_SA,-0.5320624324349783,1.3264748448023743e-4
G16444,Ent_vs_SA,-0.6719481355994484,6.0293247660806055e-5
AACSP1_containing,Ent_vs_SA,-0.5035483920334637,2.444684766691863e-5
G21728,Ent_vs_SA,-0.7444488779580473,2.8874201355910632e-5
MIR219A2_containing,Ent_vs_SA,-0.6505400757558735,1.2745312749407823e-4
G2995,Ent_vs_SA,-0.6155381777272546,3.1153742861368634e-4
G32610,Ent_vs_SA,-0.5390005550532198,8.063350688568788e-5
G35463,Ent_vs_SA,-0.5206778199675048,2.745298059460092e-4
G3859,Ent_vs_SA,-0.9353863874984422,1.367580273360567e-4
G3860,Ent_vs_SA,-0.7755917093321691,2.251653736895392e-10
MIR29B2CHG_containing_G39119,Ent_vs_SA,-1.9014880102339848,3.238143623032323e-23
G3936,Ent_vs_SA,-0.6167261601421425,3.923271909310372e-4
G40490,Ent_vs_SA,-0.3413137899231152,6.815532047558269e-5
G6222,Ent_vs_SA,-0.8232124353639336,5.533369211235079e-6
MIR101-1_containing,Ent_vs_SA,-0.9991559548472623,8.562836309748626e-15
POU3F3,Ent_vs_SA,-0.37757086337946816,6.565773618472056e-5
G8982,Ent_vs_SA,-0.8372723825980775,1.7128158484768673e-6
MIRLET7D_containing,Ent_vs_SA,-0.6252524051784645,1.5409605897576996e-4
G9756,Ent_vs_SA,-1.2073743939487096,2.2306260850910573e-6
Spty2d1,Ent_vs_SA,-0.7221716882608702,1.6770174545877618e-10
Tle3,Ent_vs_SA,-0.3285797796207223,4.749461418963405e-6
CALCA,Ent_vs_SA,-0.6464676824806016,7.004969371889804e-4
Zbed5,Ent_vs_SA,-0.3547888173369918,1.2864953460515696e-6
Ppm1m,Ent_vs_SA,-0.4852041583656546,1.962417934599006e-4
Srsf6,Ent_vs_SA,-0.3310337811530067,2.5741902097324584e-6
Ubn1,Ent_vs_SA,-0.31320264559497785,3.1786002297106103e-4
Tmco6,Ent_vs_SA,-0.3996521587938383,3.3879394977800515e-4
Arid3b,Ent_vs_SA,-0.4294355658900536,1.8690637011251624e-4
Rreb1,Ent_vs_SA,-0.6707763234779284,1.488636490435576e-4
Ppp1r3g,Ent_vs_SA,-0.550030827320766,3.6284541781093114e-6
CUNH15orf39,Ent_vs_SA,-0.42892796727108923,2.9069731056024194e-4
Boc,Ent_vs_SA,-0.48202684736650353,1.067106190493327e-4
Pla1a,Ent_vs_SA,-0.3661863476846129,8.428757857969581e-4
Mtf2,Ent_vs_SA,-0.4041293823351796,1.1024518353147204e-8
Znf830,Ent_vs_SA,-0.36637190730192587,8.996687999679697e-4
