gene,state,log2FC_ashr,wald_padj
H1F0_ENSSTOG00000014808,IBA_vs_Ar,-0.7321388331647576,1.1649636983603796e-4
ENSSTOG00000029792,IBA_vs_Ar,-0.4530931983218109,4.903460088675152e-4
ENSSTOG00000032306,IBA_vs_Ar,-0.7848069158391773,1.9796108473230352e-5
ENSSTOG00000032827,IBA_vs_Ar,-0.5286272911672187,2.0647015797271644e-5
G15124,IBA_vs_Ar,-0.43144408612053675,2.9687087231568363e-4
G1658,IBA_vs_Ar,-0.7567155036190479,1.7420148702671087e-4
G17390,IBA_vs_Ar,-0.6851645412162926,2.0716059171916674e-4
TNS1_G19812,IBA_vs_Ar,-0.4993281516498075,2.962429153866865e-4
G27581,IBA_vs_Ar,-1.0499391969529603,6.739669366374098e-8
G28963,IBA_vs_Ar,-0.5607394362230411,4.791019425867995e-4
TMSB4X_G3417,IBA_vs_Ar,-0.3949874600637406,1.3575079032498974e-4
GEMIN8_like,IBA_vs_Ar,-0.35968182273728877,1.5788115630499799e-4
PIR_like,IBA_vs_Ar,-0.5668555807506998,1.4054409440056098e-5
G3591,IBA_vs_Ar,-0.7768370569421745,9.188007701315603e-4
ID4,IBA_vs_Ar,-0.3541530597667686,2.438076455560277e-4
G38373,IBA_vs_Ar,-0.5685290214562223,6.930595254861856e-4
G39779,IBA_vs_Ar,-1.0127676045401706,7.679844763496765e-6
NEFL,IBA_vs_Ar,-0.3217695404781567,8.009637967244309e-4
G613,IBA_vs_Ar,-0.4912218330335856,3.9741501896934495e-4
G7743,IBA_vs_Ar,-0.9687234262165144,2.935514729195203e-5
G9503,IBA_vs_Ar,-0.8238647474487452,9.493707099889878e-6
NUDT16,IBA_vs_Ar,-0.43933524235562804,5.975340019719406e-4
TF,IBA_vs_Ar,-0.5909048784169573,2.5278196037254667e-9
Npepl1,IBA_vs_Ar,-0.3066024314009646,4.033668735447664e-4
Edn3,IBA_vs_Ar,-0.42381915775964435,1.9877113005183414e-4
ADA_containing,IBA_vs_Ar,-0.44103501655028315,7.987969640751832e-4
Mettl22,IBA_vs_Ar,-0.3604052536524912,6.937670174224993e-4
Sil1,IBA_vs_Ar,-0.4565064658469227,1.7420951279999115e-4
Tmem18,IBA_vs_Ar,-0.5639368707373151,6.04529433448288e-5
Id2,IBA_vs_Ar,-1.0618002072364474,4.6602371837032915e-21
Ldlrad3,IBA_vs_Ar,-0.38401194048365056,2.3409643690804342e-5
Fars2,IBA_vs_Ar,-0.4480833638446296,6.979940769549573e-4
Commd4,IBA_vs_Ar,-0.40571224259597294,3.915820280523722e-4
Atg3,IBA_vs_Ar,-0.2913877773764471,1.1539036018809562e-4
Rabl3,IBA_vs_Ar,-0.27623143308400183,4.921916185250582e-4
Cspg4,IBA_vs_Ar,-0.5189486746292559,2.2600440645592016e-5
Dpyd,IBA_vs_Ar,-0.3686037278412205,9.222042946720878e-5
Fam69a,IBA_vs_Ar,-0.32502697831765864,2.350546234135573e-7
Myo1d,IBA_vs_Ar,-0.3879040822607383,5.066968138539178e-6
Lyrm9,IBA_vs_Ar,-0.286113890025713,2.821340801476737e-4
Aldoc,IBA_vs_Ar,-0.330381434551756,9.083990841577173e-6
Chst2,IBA_vs_Ar,-0.7544794961201934,4.118214785168315e-16
CUNH17orf58,IBA_vs_Ar,-0.34498466624040797,9.539013810936574e-4
Cep112,IBA_vs_Ar,-0.39134577700657297,9.817662428339623e-5
Fah,IBA_vs_Ar,-0.41785867106168056,6.766217386587694e-4
Rnf26,IBA_vs_Ar,-0.23019967507692926,9.234669099014219e-4
JHY,IBA_vs_Ar,-0.32827984426346446,6.405246811514243e-4
Fzd9,IBA_vs_Ar,-0.9237089940107799,9.961201501191629e-8
Gas6,IBA_vs_Ar,-0.2817570689576177,7.424764776204083e-4
Gem,IBA_vs_Ar,-0.7582516402641223,1.5016117566624359e-5
Osbpl1a,IBA_vs_Ar,-0.2854253531464272,1.9274216260050793e-5
Acat1,IBA_vs_Ar,-0.38112214627943464,2.1170023626501136e-6
Cdkal1,IBA_vs_Ar,-0.415439700262613,9.221181326342943e-4
Pdlim3,IBA_vs_Ar,-0.4779114836695555,2.807960811342709e-4
Lgi3,IBA_vs_Ar,-0.3465454432364466,2.7092459712572874e-6
Sorbs3,IBA_vs_Ar,-0.35911059567520975,1.5099388446286353e-4
Dctn1,IBA_vs_Ar,-0.20483874188444112,1.5430128605471667e-4
Lrrtm4,IBA_vs_Ar,-0.8266224932876296,3.624722730345058e-11
Ubc,IBA_vs_Ar,-0.3462139437489123,8.136328786030915e-7
Hip1r,IBA_vs_Ar,-0.4800625642634431,7.731473064250006e-8
Aldh2,IBA_vs_Ar,-0.32691437099290815,9.083990841577173e-6
Bspry,IBA_vs_Ar,-0.4786643155083421,2.2639861300738004e-5
Ctgf,IBA_vs_Ar,-0.8249830529706436,1.4431379508707552e-6
Hebp2,IBA_vs_Ar,-0.40280149582337355,5.015624847340562e-7
Flt3,IBA_vs_Ar,-0.2982187511305428,8.442686445698028e-6
Trpc4ap,IBA_vs_Ar,-0.16400697298672676,1.2021143804691248e-4
Necab3,IBA_vs_Ar,-0.4274725249867201,4.2688333870189995e-7
Mcub,IBA_vs_Ar,-0.39882301011710697,1.6763595453470417e-4
Larp7,IBA_vs_Ar,-0.34856078774555005,3.5050769561631e-5
Mical1,IBA_vs_Ar,-0.4439001830714076,3.2357996780320254e-4
Alg5,IBA_vs_Ar,-0.3908212152562856,6.8856489378996e-4
Aamp,IBA_vs_Ar,-0.24669095783217537,4.925947564808585e-4
Pnkd,IBA_vs_Ar,-0.23484964546910547,6.409766701217319e-4
Tyrobp,IBA_vs_Ar,-0.6253312891456969,3.907985477936132e-4
Aplp1,IBA_vs_Ar,-0.4079523302327059,1.718480888173366e-5
Mag,IBA_vs_Ar,-0.3086560546930834,2.9295842362696587e-4
Lsr,IBA_vs_Ar,-0.4473328151306755,2.4276468812178375e-4
Pop4,IBA_vs_Ar,-0.3567247022967069,1.566338203553262e-4
St6galnac3,IBA_vs_Ar,-0.3460535402007954,3.646581544000599e-4
St3gal4,IBA_vs_Ar,-0.35865136266192355,2.1071682709692112e-4
Mindy3,IBA_vs_Ar,-0.3092199862077475,8.833651745443123e-4
Cntn6,IBA_vs_Ar,-0.3332645537212401,2.2995384150361267e-4
Bhlhe40,IBA_vs_Ar,-0.44369079086321367,3.1943794689549804e-6
Map6d1,IBA_vs_Ar,-0.47787898500018355,1.0118511403104338e-5
EXOC4_like_gene13945,IBA_vs_Ar,-0.32228683820241055,1.777430840949144e-4
Ca14,IBA_vs_Ar,-0.3409732964870327,1.7374733609961963e-4
S100a6,IBA_vs_Ar,-0.6824240862123035,2.2124060369928857e-4
S100a16,IBA_vs_Ar,-0.6333221432990839,7.937764278130272e-6
S100a1,IBA_vs_Ar,-0.4400496740227361,3.625455733591032e-5
Adam15,IBA_vs_Ar,-0.32347913809699685,5.885903214408612e-4
Mtx1,IBA_vs_Ar,-0.35556146016661494,6.827983744053086e-4
LOC110598749,IBA_vs_Ar,-0.5475470978960043,2.969064695656468e-4
CUNH1orf61,IBA_vs_Ar,-0.45705959646197963,1.3335992509152923e-5
Hapln2,IBA_vs_Ar,-0.522958733307298,1.1834288219990915e-6
LOC101959835,IBA_vs_Ar,-0.3913754333340772,7.023206154967751e-4
Grin3b,IBA_vs_Ar,-0.46512930520881185,7.023206154967751e-4
Gadd45b,IBA_vs_Ar,-0.5820650351602997,1.7661542841603466e-6
Plin3,IBA_vs_Ar,-0.6629286851758326,5.1888025385578734e-8
Tubb4a,IBA_vs_Ar,-0.7236094066963916,1.589842938787405e-7
Pnpla6,IBA_vs_Ar,-0.21719605316447188,1.93236952328597e-4
Mlh1,IBA_vs_Ar,-0.2690671746215773,4.019330433704764e-4
Mrpl58,IBA_vs_Ar,-0.39875790412303797,9.560790571898309e-4
Tmem94,IBA_vs_Ar,-0.3501291308990345,7.112758248882112e-6
Itgb4,IBA_vs_Ar,-0.5580532873786789,7.4888748965334774e-6
Tmc6,IBA_vs_Ar,-0.4622980334284827,8.626149083150017e-6
Lgals3bp,IBA_vs_Ar,-0.407563920011977,5.452352149745086e-4
Gaa,IBA_vs_Ar,-0.5759031379106796,3.147334313716986e-4
Csrnp1,IBA_vs_Ar,-0.8870985359544664,3.532275699395267e-10
