gene,state,log2FC_ashr,wald_padj
ZNF112,IBA_vs_Ar,0.8677351019107852,2.4469819733903784e-11
MIR138-1,IBA_vs_Ar,1.0584254155699897,9.838147954140954e-9
ENSSTOG00000034702,IBA_vs_Ar,1.8226841968707943,1.024528488049989e-26
MIR4453HG_containing,IBA_vs_Ar,0.3360354403737176,3.945750045460413e-4
MIR138-2_containing,IBA_vs_Ar,0.7801875501612546,5.341427573761323e-11
G136,IBA_vs_Ar,0.4393254208234261,8.071789201770247e-4
G14950,IBA_vs_Ar,1.8221107089000013,3.786576418360673e-30
PPP4R2_G15164,IBA_vs_Ar,0.4129268624027851,3.4446453704836005e-4
RYBP_like,IBA_vs_Ar,0.5778423361305094,3.3042280728749002e-15
G16353,IBA_vs_Ar,0.5340834759971576,1.1757563755110228e-4
G16444,IBA_vs_Ar,1.6354384025790834,1.6690309215906875e-18
AACSP1_containing,IBA_vs_Ar,1.0130041027005903,9.916618641058018e-16
G18650,IBA_vs_Ar,1.1816538802625927,5.088693713095076e-7
ZNF699_like_G19270,IBA_vs_Ar,0.6677227504402823,6.678610894377469e-5
G21728,IBA_vs_Ar,1.267874112616455,1.1092325722405821e-10
MIR219A2_containing,IBA_vs_Ar,1.5818545304480773,4.2073315140413346e-17
G2696,IBA_vs_Ar,0.5711999429177407,1.2073846965741315e-4
G30823,IBA_vs_Ar,1.0770419152849802,1.4133641751398823e-9
MIR124-2HG_containing,IBA_vs_Ar,0.33480451931406485,3.325967942522713e-4
G3182,IBA_vs_Ar,0.8822967006200316,8.831310649941593e-16
G32610,IBA_vs_Ar,1.0743634079033506,8.310636312728389e-13
G34888,IBA_vs_Ar,1.0213493281275698,8.187441696439072e-11
SERP1,IBA_vs_Ar,0.3041478223475262,6.190572645262725e-4
G38032,IBA_vs_Ar,0.7730557082783311,8.260917006155104e-7
G3859,IBA_vs_Ar,1.3080324828283256,1.5849521289844211e-6
G3860,IBA_vs_Ar,0.49666821254439447,2.008364011544298e-5
G38760,IBA_vs_Ar,0.35870915375004714,1.720771670925873e-4
MIR29B2CHG_containing_G39119,IBA_vs_Ar,3.361345815349873,4.532218263741649e-57
G40490,IBA_vs_Ar,0.7944237207187577,3.585474684327891e-18
G41041,IBA_vs_Ar,0.778238927355292,2.589032364508657e-9
G6222,IBA_vs_Ar,0.7879973499896464,1.0118511403104338e-5
G652,IBA_vs_Ar,2.6031070690068905,1.788496865988195e-16
MIR101-1_containing,IBA_vs_Ar,2.6475959419426247,1.2015568175821545e-54
POU3F3_like,IBA_vs_Ar,0.41627802770179445,4.3909586631355987e-4
ZNF208_containing_G9075,IBA_vs_Ar,0.473982959896893,2.365421340577933e-7
MIRLET7D_containing,IBA_vs_Ar,3.094537307205689,2.0981789267045294e-38
Spty2d1,IBA_vs_Ar,0.7709106548674051,6.06297963392599e-12
Tle3,IBA_vs_Ar,0.2731065096528124,2.3729922993683575e-4
Ctr9,IBA_vs_Ar,0.3493418931770993,1.6293605862960975e-6
Tub,IBA_vs_Ar,0.3359767591465062,6.910244262973877e-4
Ip6k2,IBA_vs_Ar,0.27618335626610213,1.6787849797949387e-4
Ppm1m,IBA_vs_Ar,0.5433551318306657,3.89284718546226e-5
Aste1,IBA_vs_Ar,0.6435860527125994,7.26746523020746e-8
Cdv3,IBA_vs_Ar,0.1500858981899223,3.7429989208086065e-4
Ubn1,IBA_vs_Ar,0.46943226862322956,1.6759739227293544e-7
CUNH16orf72,IBA_vs_Ar,0.3627681664159932,1.9590732615582907e-6
Man2a1,IBA_vs_Ar,0.4029186133504725,8.203221735820967e-6
Fam53c,IBA_vs_Ar,0.32981714914815696,2.580568691470202e-5
HARS2_like,IBA_vs_Ar,0.27687122622781024,4.8381603020476466e-4
Arid3b,IBA_vs_Ar,0.5609651091883513,5.776861369387799e-6
Otud4,IBA_vs_Ar,0.4106786935202499,7.530904905520019e-4
Gab1,IBA_vs_Ar,0.38053789067548166,5.792319955950151e-4
Usp38,IBA_vs_Ar,0.9803128666103006,1.2529955731067862e-14
Naa15,IBA_vs_Ar,0.23832524281426862,9.419627035438659e-4
Sin3a,IBA_vs_Ar,0.35587062726166885,6.0475426237485336e-5
Gtf2e1,IBA_vs_Ar,0.2774090002820811,2.610049450995063e-4
Snx33,IBA_vs_Ar,0.3862348922351976,2.1376262466781638e-4
Plppr4,IBA_vs_Ar,0.5944152799349893,1.1061425702637684e-8
Arhgap29,IBA_vs_Ar,0.5654017518212028,1.772168729436661e-4
Mtf2,IBA_vs_Ar,0.36208960345839275,4.4697523106687887e-7
Znf644,IBA_vs_Ar,1.0587819328316426,1.5167520547857468e-20
Rffl,IBA_vs_Ar,0.45683187970615957,3.464485624926102e-7
Znf830,IBA_vs_Ar,0.5379204373862647,8.230491967113676e-6
Fam222b,IBA_vs_Ar,0.5336261188572111,1.3562900313702157e-12
Nufip2,IBA_vs_Ar,0.45345787936102633,2.4785751557558287e-6
Fam57a,IBA_vs_Ar,0.7367420291769424,1.959605061684504e-10
Hic1,IBA_vs_Ar,1.0110924774708934,9.573226115396015e-10
Srr,IBA_vs_Ar,0.4457140642858138,9.750247967437744e-4
Mettl16,IBA_vs_Ar,0.29637295511022305,4.8753529394967335e-4
Kiaa2026,IBA_vs_Ar,0.42164022884334895,1.3359221599664657e-5
TARDBP,IBA_vs_Ar,0.47826972093523346,1.140651055480576e-4
Ireb2,IBA_vs_Ar,0.5028690652797481,1.8560376526156478e-8
Pxylp1,IBA_vs_Ar,0.39606783870303813,3.686311145823966e-4
Fzd2,IBA_vs_Ar,0.5612309302118389,1.6885073624671543e-4
Dbf4b,IBA_vs_Ar,0.6338069418532185,4.699073617373041e-5
Plekhm1,IBA_vs_Ar,0.3896516857672594,4.5436637301418784e-7
TACO1_containing,IBA_vs_Ar,0.3997860369252167,1.666133394730039e-5
Map3k3,IBA_vs_Ar,0.31070841579460823,3.0983756245522474e-5
Ern1,IBA_vs_Ar,0.6595046706610168,3.4859743640268327e-10
Bud13,IBA_vs_Ar,1.1459219661342201,5.324235330411152e-13
Sc5d,IBA_vs_Ar,0.34037381999147703,2.9935642640637483e-5
MIR100HG_like,IBA_vs_Ar,0.528537364224697,1.4483146121741004e-4
Znf202,IBA_vs_Ar,0.40835326912584086,3.484130088630843e-5
Zkscan1,IBA_vs_Ar,0.27520787905705496,2.809514483302204e-4
Znf3,IBA_vs_Ar,0.4578759959147997,1.891267758550685e-6
Gal3st4,IBA_vs_Ar,0.49442555352448586,2.6955549474550443e-4
Cux1,IBA_vs_Ar,0.34160553256521564,2.71148900050825e-6
Prkrip1,IBA_vs_Ar,0.4979466127380289,2.1744294460019494e-13
Nsun5,IBA_vs_Ar,0.4739223025288958,5.081122752575155e-7
Tbl2,IBA_vs_Ar,0.5303833314845177,7.732272153630118e-13
Runx1t1,IBA_vs_Ar,0.5255967468412447,4.920178033613911e-7
Lemd3,IBA_vs_Ar,0.3684470816562775,7.879312868462566e-4
Irak3,IBA_vs_Ar,0.3812103368019036,1.736972980867564e-4
Mdm2,IBA_vs_Ar,0.4303085104286605,9.505387619400706e-7
Cpm,IBA_vs_Ar,0.9698720475589195,2.461520792037315e-11
Ahr,IBA_vs_Ar,0.5151334732937909,8.838123406743802e-6
Twistnb,IBA_vs_Ar,0.8439010962178857,1.2259455911345845e-13
Tm7sf3,IBA_vs_Ar,0.4158562073456014,4.238967027966821e-6
Ints13,IBA_vs_Ar,0.6422034172765466,7.731473064250006e-8
Lig4,IBA_vs_Ar,1.3541920682809179,3.823866689037709e-21
