gene,state,log2FC_ashr,wald_padj
G27632,IBA_vs_Ent,-0.6043031468155455,1.839638409805411e-4
PIR_like,IBA_vs_Ent,-0.5103834433190103,9.920700340117562e-5
G38373,IBA_vs_Ent,-0.5806089017419483,4.032350968670124e-4
G5954,IBA_vs_Ent,-0.5403621414765455,4.0920096778781313e-4
Edn3,IBA_vs_Ent,-0.5433912336884092,6.12181587720832e-6
Id2,IBA_vs_Ent,-0.5752108813678866,3.1001566463090753e-7
Ldlrad3,IBA_vs_Ent,-0.40156515925570907,2.040191009504843e-5
Cspg4,IBA_vs_Ent,-0.5509691275631291,1.4390105198247155e-5
Dpyd,IBA_vs_Ent,-0.5939408806035192,1.2370119519384432e-9
Wsb1,IBA_vs_Ent,-0.34694818635513847,9.213839555750092e-4
Chst2,IBA_vs_Ent,-0.5542678224994466,3.365218498310542e-9
Slco1a2,IBA_vs_Ent,-0.5284597098394225,1.5041425395673523e-4
Osbpl1a,IBA_vs_Ent,-0.2977086688248615,1.0426493748043483e-5
Acat1,IBA_vs_Ent,-0.2871154296845274,5.141554955107583e-4
Lrrtm4,IBA_vs_Ent,-0.49111053629736046,4.141258333088002e-5
St6galnac3,IBA_vs_Ent,-0.46745582212643627,3.5002342542421713e-6
Map6d1,IBA_vs_Ent,-0.49701306193798245,1.1516333846630687e-5
Podxl,IBA_vs_Ent,-0.4739292429780267,5.822359604544385e-7
Cntf,IBA_vs_Ent,-0.41863272131296847,5.922454915696796e-4
Tbc1d5,IBA_vs_Ent,-0.3337071821447888,6.355530534356954e-4
Tex45,IBA_vs_Ent,-0.46828119169214616,6.618260681116588e-4
Pde4b,IBA_vs_Ent,-0.2375601087281403,3.693996198072336e-4
Tmem94,IBA_vs_Ent,-0.2662071491770285,8.077275088493518e-4
Als2cl,IBA_vs_Ent,-0.4314146495871328,7.886183877362751e-4
SULT1B1_containing_gene15921,IBA_vs_Ent,-0.6291544218754631,4.346834734030062e-5
Carns1,IBA_vs_Ent,-0.744351462700548,2.5131537660674755e-8
Stn1,IBA_vs_Ent,-0.3135455420845185,4.773667719819782e-4
Grm7,IBA_vs_Ent,-0.3327871768273847,6.569266810902998e-4
Dusp1,IBA_vs_Ent,-0.7952631755698474,7.397597487304731e-8
Dock2,IBA_vs_Ent,-0.5906058267005053,1.0609916060208261e-6
Mob3b,IBA_vs_Ent,-0.4596491648477114,2.4009209351206687e-6
Fam69c,IBA_vs_Ent,-0.47166193914559235,3.1448541318830754e-7
Adgrb3,IBA_vs_Ent,-0.2661327058040627,6.719214444613206e-4
Pard3b,IBA_vs_Ent,-0.39032514589205997,5.734907039229492e-4
Extl1,IBA_vs_Ent,-0.5280455986229122,3.15038410278649e-7
Echdc1,IBA_vs_Ent,-0.2904431977842356,5.207320865809931e-4
Rab5b,IBA_vs_Ent,-0.1498117001462046,3.647387791287523e-6
Grik2,IBA_vs_Ent,-0.26384775410499667,8.832066992103598e-4
Grm3,IBA_vs_Ent,-0.4685857880442688,4.725969886738601e-5
Dnm2,IBA_vs_Ent,-0.2882970922998357,1.9886896476901562e-5
Sds,IBA_vs_Ent,-0.543328602958256,5.972186845383891e-4
Ptprm,IBA_vs_Ent,-0.2844224693870712,2.3183653012931842e-4
Piwil4,IBA_vs_Ent,-0.6097957704368919,1.3382434992876489e-6
B3gat1,IBA_vs_Ent,-0.27919905749129503,1.595092758305462e-6
Ipo13,IBA_vs_Ent,-0.2724322481775471,6.311145411279882e-5
Efs,IBA_vs_Ent,-0.5211639884776074,6.883461620574619e-4
Aif1,IBA_vs_Ent,-0.6537356987671649,2.5361450323931204e-5
Gpr146,IBA_vs_Ent,-0.345319213017685,8.000337899401733e-5
Gjb1,IBA_vs_Ent,-0.422184470848162,3.99233836427319e-5
Sdk1,IBA_vs_Ent,-0.6334885724294852,6.937996226244682e-8
Mgll,IBA_vs_Ent,-0.32520566291597736,1.2260957383082845e-4
Ldb3,IBA_vs_Ent,-0.7429756673850784,3.3331325349488917e-7
Tuba8,IBA_vs_Ent,-0.5315680169757431,6.853869718769467e-6
NXF2B_like,IBA_vs_Ent,-0.38333168627391573,2.686736059892672e-4
SERPINA13P_like,IBA_vs_Ent,-0.6077719735339159,1.0609916060208261e-6
Znf628,IBA_vs_Ent,-0.49280759421293946,1.5911681372300757e-4
Myh14,IBA_vs_Ent,-0.30294534716661164,6.883461620574619e-4
Adamts4,IBA_vs_Ent,-0.5604879680613497,1.2097568191004385e-5
PCDH15_gene24547,IBA_vs_Ent,-0.5229237643813707,3.943029398225146e-5
VWA8,IBA_vs_Ent,-0.5478245739445833,2.4854724659219023e-6
Kif6,IBA_vs_Ent,-0.47639367082487877,3.99233836427319e-5
Sorcs2,IBA_vs_Ent,-0.34518398007205686,2.3547380811707493e-4
Mindy4,IBA_vs_Ent,-0.4000224103271857,6.431784982537045e-4
Zdhhc9,IBA_vs_Ent,-0.3680714686189712,4.419998781917082e-5
Cog5,IBA_vs_Ent,-0.27496179476354504,6.464201401465661e-4
Adamts6,IBA_vs_Ent,-0.6423900629524023,2.374794979367476e-5
Pdgfra,IBA_vs_Ent,-0.37274859854241266,1.153209925489124e-5
MIR9-3HG_containing,IBA_vs_Ent,-0.6192508936239444,4.096506564233452e-6
Adcy8,IBA_vs_Ent,-0.26335614890794745,4.927254105789437e-4
Dennd1a,IBA_vs_Ent,-0.3771756993478596,1.5202633635330948e-8
Sh2d3c,IBA_vs_Ent,-0.40788833945733255,2.692881832584279e-4
Cercam,IBA_vs_Ent,-0.5623696476878818,1.4694214443085954e-5
Nrde2,IBA_vs_Ent,-0.28495715136186334,3.099608881339131e-4
Mycbpap,IBA_vs_Ent,-0.41903759256992573,6.264786356142898e-4
Sp2,IBA_vs_Ent,-0.37575694487122835,2.771691668475799e-5
Wnk4,IBA_vs_Ent,-0.3991220939316701,6.596681037136711e-4
Pla2g6,IBA_vs_Ent,-0.3668972461118542,4.856909487183957e-4
H1F0_gene5906,IBA_vs_Ent,-0.3206150010084368,1.5274815963418827e-4
Card10,IBA_vs_Ent,-0.3774412082086221,5.8555053764783e-4
Anks1b,IBA_vs_Ent,-0.2808447039903822,8.508658703766334e-4
Clip4,IBA_vs_Ent,-0.2975577277870123,3.7788543790161363e-4
Plekhg3,IBA_vs_Ent,-0.275718255974016,1.8656950034678817e-5
Smoc1,IBA_vs_Ent,-0.40752739419207373,8.390385891337964e-5
Klhl4,IBA_vs_Ent,-0.3721441223355579,1.5981670760304443e-4
Olig2,IBA_vs_Ent,-0.3448119526387378,8.192569875140212e-4
Cobll1,IBA_vs_Ent,-0.43329571035135833,2.8879868729967146e-7
Haghl,IBA_vs_Ent,-0.38382527054020416,7.834049212089145e-4
Thada,IBA_vs_Ent,-0.34951186323330097,7.766673931477101e-4
Tuba1a,IBA_vs_Ent,-0.3390148247560692,8.723024331417224e-4
Gpd1,IBA_vs_Ent,-0.9354971849408465,3.553357054296217e-5
Phactr3,IBA_vs_Ent,-0.29129078707658906,2.2616673320983034e-4
Snx1,IBA_vs_Ent,-0.30875936976361695,2.630938189181447e-5
Acot11,IBA_vs_Ent,-0.4471968342468974,3.064054513472652e-5
Tdrd7,IBA_vs_Ent,-0.1930282190591145,7.261692200289648e-4
Coro2b,IBA_vs_Ent,-0.2920998275404038,2.681543044679422e-4
G14318,IBA_vs_Ent,-0.9032561896091443,1.3382434992876489e-6
Lingo2,IBA_vs_Ent,-0.6245542502328659,3.62439105146013e-5
B3gnt7,IBA_vs_Ent,-1.386443989886887,3.642218985509531e-8
