gene,state,log2FC_ashr,wald_padj
H1F0_ENSSTOG00000014808,IBA_vs_LT,-0.7912232852007246,5.289512911398851e-5
ENSSTOG00000032306,IBA_vs_LT,-0.6373552570135091,3.087361791235516e-4
G27581,IBA_vs_LT,-0.9585257820769889,4.2298491829154773e-7
PIR_like,IBA_vs_LT,-0.5188399936237345,1.2398833366064477e-4
G7743,IBA_vs_LT,-0.9164610235762273,5.2107933197931596e-5
G9503,IBA_vs_LT,-0.7660433568618529,2.9258930785323396e-5
Dennd5a,IBA_vs_LT,-0.2384490546989539,6.348761288022126e-4
Apeh,IBA_vs_LT,-0.23103640358453584,3.531960185819758e-4
Edn3,IBA_vs_LT,-0.6779296017058657,2.8941524738365167e-8
Fbxl17,IBA_vs_LT,-0.33535572378542167,2.09962123226312e-5
Id2,IBA_vs_LT,-0.9109118002914003,4.946252096728914e-16
Trib2,IBA_vs_LT,-0.28480533822655213,1.7220467198611537e-4
Ldlrad3,IBA_vs_LT,-0.39256059409335886,2.5231866004651324e-5
Cspg4,IBA_vs_LT,-0.5217436513161106,5.312775668895422e-5
Dpyd,IBA_vs_LT,-0.4011080202144596,3.250045515611119e-5
Wsb1,IBA_vs_LT,-0.3942945748185476,2.106151970749481e-4
Chst2,IBA_vs_LT,-0.6012436639657912,1.0980645650109174e-10
Cep112,IBA_vs_LT,-0.3641092510867674,3.459214402537117e-4
JHY,IBA_vs_LT,-0.3480418083407295,2.9945502649833045e-4
Osbpl1a,IBA_vs_LT,-0.35175165082114257,8.341154649160233e-8
Acat1,IBA_vs_LT,-0.26466292133753727,9.361210403627931e-4
Sirt5,IBA_vs_LT,-0.6594867652888148,8.971413935462997e-5
Lgi3,IBA_vs_LT,-0.328289481693316,9.216543001391265e-6
Sorbs3,IBA_vs_LT,-0.36522907896978635,1.5235837432576768e-4
Lrrtm4,IBA_vs_LT,-0.9195436608728931,9.716387339739864e-14
Acad10,IBA_vs_LT,-0.4481802269088919,5.729303777879286e-5
Rnft2,IBA_vs_LT,-0.3463119156021239,4.209524846365657e-5
Bspry,IBA_vs_LT,-0.3798472460253567,9.387887901308481e-4
Mccc1,IBA_vs_LT,-0.2607969190780233,4.331602142878564e-4
Slc4a3,IBA_vs_LT,-0.2580595342881391,9.385753052041537e-4
Lsr,IBA_vs_LT,-0.5388312537685466,4.171333564983436e-5
Pop4,IBA_vs_LT,-0.31843311709598787,6.975910044105948e-4
Bhlhe40,IBA_vs_LT,-0.38764785542981234,7.613100879426426e-5
Map6d1,IBA_vs_LT,-0.5239276245007403,4.7969774311209605e-6
EXOC4_like_gene13945,IBA_vs_LT,-0.30665082498064844,3.048793134794071e-4
Podxl,IBA_vs_LT,-0.4967827917717107,1.3608867134651646e-7
Tbc1d5,IBA_vs_LT,-0.34078925709907537,4.0590473944674413e-4
Gipc3,IBA_vs_LT,-0.591630868800826,2.528887979100835e-4
Pnpla6,IBA_vs_LT,-0.22695131780095354,4.652445621451695e-5
Glb1,IBA_vs_LT,-0.28455795583016624,6.975910044105948e-4
Tmem94,IBA_vs_LT,-0.29131524273420795,1.763245478469708e-4
Itgb4,IBA_vs_LT,-0.43801960304057846,5.17654911728746e-4
Als2cl,IBA_vs_LT,-0.6218790057090449,6.945046288469292e-6
Map4,IBA_vs_LT,-0.20734957381539007,4.370633785887028e-4
Notch3,IBA_vs_LT,-0.45257493452624953,3.1219438433079886e-4
Carns1,IBA_vs_LT,-0.548398393244476,3.791650633186274e-5
HSP90AA1_gene15992,IBA_vs_LT,-0.5674082569031993,9.123824478701268e-6
Ltbp3,IBA_vs_LT,-0.28562369342894767,3.172939435450526e-4
Nrxn2,IBA_vs_LT,-0.2433896473314476,7.260151802168008e-4
Stn1,IBA_vs_LT,-0.2898931763635091,8.653412542444129e-4
Grm7,IBA_vs_LT,-0.5704933314182922,8.835901805450448e-9
Ak7,IBA_vs_LT,-0.946354208713454,1.5130961270392888e-5
Wars,IBA_vs_LT,-0.22226370076092997,1.9861686814290816e-4
Dusp1,IBA_vs_LT,-1.58534364740929,3.110248601675012e-25
Mob3b,IBA_vs_LT,-0.48474738592143085,5.982053313702212e-7
CABCOCO1_like,IBA_vs_LT,-0.4644123312341232,8.271324222397197e-4
Erich1,IBA_vs_LT,-0.3543475879679173,1.3576294735289903e-4
Fam69c,IBA_vs_LT,-0.4080559854556035,6.720024226409939e-6
Kif26a,IBA_vs_LT,-0.5426966516897936,7.519664295463359e-4
Extl1,IBA_vs_LT,-0.5857705803803155,1.2828201400760085e-8
Spg7,IBA_vs_LT,-0.370168429605762,2.3211092241623457e-4
Adcy2,IBA_vs_LT,-0.34367924487060697,4.630996395178912e-4
Ctnnd2,IBA_vs_LT,-0.31191411656786205,2.9844947521135345e-4
Rab5b,IBA_vs_LT,-0.1411641800794201,7.986341867537711e-6
Grik2,IBA_vs_LT,-0.27276293542685237,3.9648006976200287e-4
Adamtsl1,IBA_vs_LT,-0.5225011951094698,2.7850247752307574e-4
Dnm2,IBA_vs_LT,-0.27462024572350985,2.7249988334371998e-5
Hnrnpul1,IBA_vs_LT,-0.18027650582022364,1.3576294735289903e-4
PPP5C,IBA_vs_LT,-0.1931846597048422,7.232415662882017e-4
Sds,IBA_vs_LT,-0.7109672316726005,7.424080454376804e-5
Ptprm,IBA_vs_LT,-0.33371014886017025,1.0215241797958622e-5
Piwil4,IBA_vs_LT,-0.5006406116288822,7.59830103931506e-5
Shpk,IBA_vs_LT,-0.3750439797995373,3.9648006976200287e-4
B3gat1,IBA_vs_LT,-0.3019227878515484,7.817809185266704e-8
Fam122b,IBA_vs_LT,-0.2568016129401508,7.216661798267302e-4
Tsc2,IBA_vs_LT,-0.30188340633738686,2.850377824893725e-4
LOC101968480,IBA_vs_LT,-0.3852567274781049,6.000308489525312e-4
Ipo13,IBA_vs_LT,-0.34050311497058616,3.022289934130522e-7
Atp13a5,IBA_vs_LT,-0.5466853803603857,3.854091375235943e-4
Mast2,IBA_vs_LT,-0.327336689351359,1.4968005322904415e-4
Bag6,IBA_vs_LT,-0.16618785182258275,2.5223670329302e-4
Aif1,IBA_vs_LT,-0.5127758818238101,9.199182731585914e-4
Rin3,IBA_vs_LT,-0.44217934809032805,3.934503663902581e-4
Phkb,IBA_vs_LT,-0.2683128061343462,5.634244354293459e-4
Dcaf8,IBA_vs_LT,-0.17690280255625598,5.6096950681110995e-5
Inpp5j,IBA_vs_LT,-0.3673594704353834,2.850377824893725e-4
Gjb1,IBA_vs_LT,-0.3669349149672422,2.850377824893725e-4
Sdk1,IBA_vs_LT,-0.5596489474694641,2.0311404956411344e-6
Acacb,IBA_vs_LT,-0.3051076959636513,3.5334397205236584e-4
Mgll,IBA_vs_LT,-0.3036838973374973,2.3842659130080319e-4
Ldb3,IBA_vs_LT,-0.9071593042606446,1.7870188921320544e-9
Grid1,IBA_vs_LT,-0.2838636714845302,1.3592384129964312e-5
Tuba8,IBA_vs_LT,-0.5987961873457984,6.273894331484746e-7
NXF2B_like,IBA_vs_LT,-0.5301781139386269,7.882521059706435e-7
SERPINA13P_like,IBA_vs_LT,-0.5306869445525376,2.4193769677471426e-5
Znf628,IBA_vs_LT,-0.7042046365189876,3.264222317247388e-7
Pgghg,IBA_vs_LT,-0.44912988672983967,8.366901849275408e-4
Myh14,IBA_vs_LT,-0.381617926690198,1.911444228178993e-5
Adamts4,IBA_vs_LT,-0.5274204820308905,5.1494281180435806e-5
PCDH15_gene24547,IBA_vs_LT,-0.5031786268058167,9.791706992969518e-5
Mtss1l,IBA_vs_LT,-0.3941411355426447,1.8171576505973744e-5
Tbcd,IBA_vs_LT,-0.30446855810643736,2.7850247752307574e-4
LOC101965332,IBA_vs_LT,-0.4618644808420433,7.386665204219421e-4
LOC101963404,IBA_vs_LT,-0.6223425350619853,2.4456133934512266e-4
VWA8,IBA_vs_LT,-0.5184583676492868,9.346034039019343e-6
