gene,state,log2FC_ashr,wald_padj
FIBIN,IBA_vs_SA,-0.6625521997963738,6.126773081779411e-4
PANTR1_containing,IBA_vs_SA,-0.7444340239056847,1.5516916309853436e-4
ENSSTOG00000031411,IBA_vs_SA,-0.3689018894828814,3.0064335214712625e-4
G10765,IBA_vs_SA,-0.3504926302068877,4.648162285767522e-4
G15624,IBA_vs_SA,-0.45651131698862524,3.329349404571642e-4
G22451,IBA_vs_SA,-0.3026117817093087,1.5923993780783752e-5
G22711,IBA_vs_SA,-0.7599635293120182,1.0741994839838721e-6
GPM6B_like,IBA_vs_SA,-0.3444888307377653,9.199427327300969e-6
PHKA2_like,IBA_vs_SA,-0.356480449431424,6.782447131988325e-5
G35463,IBA_vs_SA,-0.49321690306731136,4.307521586793645e-4
ID4,IBA_vs_SA,-0.3269533125928382,4.5177638550628383e-4
PRR18_containing,IBA_vs_SA,-0.35850797812298946,2.664927975666172e-6
G3860,IBA_vs_SA,-0.5100159670836714,8.561151588237463e-6
G5304,IBA_vs_SA,-0.4406699794836533,5.435731145345352e-6
Calcb,IBA_vs_SA,-0.7309853875478812,6.122763089535138e-5
CALCA,IBA_vs_SA,-0.8901271470175052,3.553920277607913e-5
Zbed5,IBA_vs_SA,-0.32853044768064815,6.186202693240402e-6
Pkp4,IBA_vs_SA,-0.5701391510888488,1.1110785709813912e-7
Dennd5a,IBA_vs_SA,-0.24850551522192718,4.059746186689499e-4
Hyal1,IBA_vs_SA,-0.6291400375353664,1.3619037205199634e-6
Stx16,IBA_vs_SA,-0.21870475195157094,1.921395993359081e-4
Ctsz,IBA_vs_SA,-0.40136913922357226,5.598678303034198e-4
ADA_like,IBA_vs_SA,-0.5559296939051129,4.2699461217981625e-5
ADA_containing,IBA_vs_SA,-0.5590759458368345,8.568070043440189e-5
L3mbtl1,IBA_vs_SA,-0.35407775490449356,8.52258453690359e-4
Sec14l5,IBA_vs_SA,-0.7145133738909885,1.585461931219742e-4
Prr5l,IBA_vs_SA,-0.3954806733218535,1.8319479154793898e-4
Fam219b,IBA_vs_SA,-0.3529993319013667,1.6903723030866645e-4
Arhgap31,IBA_vs_SA,-0.3932485409914436,2.342090393795973e-4
Acvr1c,IBA_vs_SA,-0.8898405600500925,2.4863016215545094e-8
Rabl3,IBA_vs_SA,-0.30087949400135655,7.397148361479211e-5
