gene,state,log2FC_ashr,wald_padj
ATF6_containing,IBA_vs_SA,0.27332021686527713,5.434883903966978e-4
Gtf2h1,IBA_vs_SA,0.2867574264353862,9.575526056242241e-5
Camkv,IBA_vs_SA,0.3343306001463155,9.792423404877695e-5
Hexa,IBA_vs_SA,0.23639738840465163,9.505044355396573e-4
Alas1,IBA_vs_SA,0.29032629972889656,1.0407974107881417e-6
Tmem108,IBA_vs_SA,0.36648477634060916,7.397148361479211e-5
Rae1,IBA_vs_SA,0.4025573257518482,2.772838689392644e-8
Ttpal,IBA_vs_SA,0.29689771434675166,3.1221941915063686e-4
Glyr1,IBA_vs_SA,0.22852793364675755,8.116994912412337e-4
Etf1,IBA_vs_SA,0.28597653223498115,1.0126640970300547e-4
Cstf3,IBA_vs_SA,0.3575417264522991,4.6669714944683286e-5
Cd200,IBA_vs_SA,0.3960162896883034,2.8271298512902396e-5
Hmg20a,IBA_vs_SA,0.21226263723070862,5.8373181298862585e-5
Lrrc8d,IBA_vs_SA,0.24282061283115547,4.5177638550628383e-4
ABR,IBA_vs_SA,0.26496533185739984,9.222010452777622e-4
Pik3cb,IBA_vs_SA,0.35489241638646607,2.5500575111314867e-6
Idh3a,IBA_vs_SA,0.2638489878258146,3.688960916932169e-4
Dusp3,IBA_vs_SA,0.1915964414916467,7.451177824102872e-4
Gosr2,IBA_vs_SA,0.25556733778691976,1.3932240810370243e-4
Dcaf7,IBA_vs_SA,0.2807820235472786,2.1958482184581597e-6
Kpna2,IBA_vs_SA,0.4047628064647632,6.347640012628955e-7
Arcn1,IBA_vs_SA,0.2500139245016678,2.23045268925321e-4
Vps11,IBA_vs_SA,0.2086735713629083,5.610050473908305e-4
Nectin1,IBA_vs_SA,0.27282995660148635,2.7203321431446453e-4
Pom121c,IBA_vs_SA,0.3130318840582142,1.803011417821693e-4
Tbl2,IBA_vs_SA,0.2774695400867359,1.6359175604365315e-4
Tmem248,IBA_vs_SA,0.23189206214050867,3.8489006552407546e-5
Aasdhppt,IBA_vs_SA,0.3364712380295616,1.89529896548373e-4
Nup153,IBA_vs_SA,0.27452600002848176,9.437629196365802e-4
E2f3,IBA_vs_SA,0.5007041696537577,2.9893356812025493e-5
Lrrtm1,IBA_vs_SA,0.3475016867155907,1.585461931219742e-4
Bri3bp,IBA_vs_SA,0.386577776155325,2.342090393795973e-4
Ddx55,IBA_vs_SA,0.2253342567005482,8.529386272374139e-4
Tmed2,IBA_vs_SA,0.21598611963046965,8.813890486330612e-4
Abcb9,IBA_vs_SA,0.2801236807691481,1.6700357320654016e-4
Brap,IBA_vs_SA,0.26959995933038816,9.158375104402067e-4
Fbxo21,IBA_vs_SA,0.21381080486696238,8.231677600420495e-4
Prpf4,IBA_vs_SA,0.29917851254281924,7.660814256209642e-4
Ugcg,IBA_vs_SA,0.28935965904216204,8.8750346014324e-4
Acss2,IBA_vs_SA,0.6020644528351878,1.3182747508403558e-9
Wdfy1,IBA_vs_SA,0.25875872223126767,8.200127298194669e-4
Uba2,IBA_vs_SA,0.30978433194930693,1.0975814272696019e-6
Trim2,IBA_vs_SA,0.2696374218774055,3.991149898974327e-4
Trnt1,IBA_vs_SA,0.28560809556554057,4.3400150799531924e-5
Arl8b,IBA_vs_SA,0.25936709648130313,6.250232524283057e-5
Psmd2,IBA_vs_SA,0.276689184453988,8.583288995639297e-9
Sv2a,IBA_vs_SA,0.2572186083715432,8.950435844659872e-4
Prune1,IBA_vs_SA,0.3656404517947003,5.17093575258581e-7
Rfx5,IBA_vs_SA,0.26444391598089695,4.856591271703211e-4
Ubap2l,IBA_vs_SA,0.2933481415001566,2.7397091915824887e-6
Chrnb2,IBA_vs_SA,0.2541046767790575,5.242846873411591e-5
CUNH11orf98,IBA_vs_SA,0.23833781095370352,7.583728997712227e-4
Ddb1,IBA_vs_SA,0.2511384028991623,1.7809632305536413e-7
Atic,IBA_vs_SA,0.26838171748001266,9.873985571707804e-4
Wbp11,IBA_vs_SA,0.3375038100271336,8.583288995639297e-9
Mansc1,IBA_vs_SA,0.3403918045909733,2.447327092685423e-6
Thop1,IBA_vs_SA,0.37241491928387144,1.2824479889913168e-4
Sgsh,IBA_vs_SA,0.3123400425427754,5.137340621528364e-4
Actg1,IBA_vs_SA,0.2739977579895013,6.773874067000602e-4
Eps15l1,IBA_vs_SA,0.1770586694583104,4.6839475032390724e-4
Arl10,IBA_vs_SA,0.3847246580952281,3.325634276741183e-6
Grk6,IBA_vs_SA,0.25418669371467695,2.2201284972828988e-4
Agtrap,IBA_vs_SA,0.4624840420716207,9.505044355396573e-4
Kiaa2013,IBA_vs_SA,0.36998553246745614,8.583288995639297e-9
Sssca1,IBA_vs_SA,0.33371058470161225,5.862112416250957e-7
Cpeb3,IBA_vs_SA,0.3975025732831196,2.23045268925321e-4
Rbsn,IBA_vs_SA,0.24471674206343244,2.4215489813819664e-4
Emc1,IBA_vs_SA,0.33837686721135307,2.5533850152601313e-5
Hnrnpf,IBA_vs_SA,0.18426034816072112,2.8180768221726507e-4
Syndig1,IBA_vs_SA,0.38234947497617433,9.541974658107407e-6
Cldn12,IBA_vs_SA,0.3033131192600509,7.986438861985318e-4
Ube4b,IBA_vs_SA,0.21268695446395935,8.702338033285677e-4
Pgd,IBA_vs_SA,0.38417892539373755,7.662927213355557e-8
Chmp1b,IBA_vs_SA,0.25385993381558664,3.9724747847180746e-4
Napg,IBA_vs_SA,0.24379306683205273,6.303205976221203e-4
Rcan3,IBA_vs_SA,0.3483223451498763,1.0797528601017567e-5
Nxpe3,IBA_vs_SA,0.32929461196799714,9.87154734689059e-4
COX15_like,IBA_vs_SA,0.24967539048484053,3.121925642192657e-4
Psmd6,IBA_vs_SA,0.2595832388729212,9.67158008086177e-4
Dhdds,IBA_vs_SA,0.3973199968216312,2.9904727091275536e-7
Usp10,IBA_vs_SA,0.22723893341291282,1.6333823239956742e-5
Mbtps1,IBA_vs_SA,0.17390011015254514,8.685097811119702e-4
Cd63,IBA_vs_SA,0.31391214272936,4.5946132204152093e-4
CUNH5orf15,IBA_vs_SA,0.25610912931385293,2.656241240954771e-4
Sesn2,IBA_vs_SA,0.441429175405558,5.766984192080435e-7
Fam104a,IBA_vs_SA,0.3357296334574442,5.920027301905634e-6
Prkaca,IBA_vs_SA,0.2285704948238033,6.90655996374624e-4
Cdc42ep3,IBA_vs_SA,0.39005339378240356,1.1523158013120763e-4
Sae1,IBA_vs_SA,0.3220221923587907,3.6376596081305623e-4
Nup62,IBA_vs_SA,0.27287552745331345,3.294451073206123e-4
Rnf10,IBA_vs_SA,0.22529922803344302,1.6612001315562462e-5
Pmpca,IBA_vs_SA,0.24314688875559592,1.659284009420928e-6
Rab12,IBA_vs_SA,0.2994756948032529,1.7018259786835837e-5
CUNH1orf216,IBA_vs_SA,0.23981422572456776,1.4044528572038687e-5
Mybbp1a,IBA_vs_SA,0.20481205958578708,1.386302275694158e-4
Pelp1,IBA_vs_SA,0.2354891412708285,9.837528602151776e-4
Vps26b,IBA_vs_SA,0.22944218042254697,2.4697594903449127e-4
Shisa2,IBA_vs_SA,0.4831202393410125,5.944791816450336e-4
Ctps1,IBA_vs_SA,0.3154145336332116,8.50150327364215e-5
Dnaja3,IBA_vs_SA,0.29475824474609247,1.0407974107881417e-6
Unkl,IBA_vs_SA,0.24558817305630917,7.471507419273436e-4
Ube2i,IBA_vs_SA,0.2416920159503322,4.0563618196543563e-4
Higd1a,IBA_vs_SA,0.34329475675242327,1.2750217074495432e-4
Ero1a,IBA_vs_SA,0.37603769727592445,2.211215373728711e-5
Amigo1,IBA_vs_SA,0.371506218081539,2.2322565850532207e-4
Irgq,IBA_vs_SA,0.2818296461781915,3.353388465989566e-4
Cd3eap,IBA_vs_SA,0.530953039882892,7.155237521428942e-6
Reep1,IBA_vs_SA,0.34986736845732086,4.0043099877271076e-4
Tgoln2,IBA_vs_SA,0.23619287957890966,1.6756929348794196e-4
Arfgap3,IBA_vs_SA,0.30368096486719176,2.77776924093715e-4
Pspc1,IBA_vs_SA,0.31752247062611477,6.919326129772394e-5
Pik3r3,IBA_vs_SA,0.2854938870432584,2.0585844941615306e-4
Lrrc41,IBA_vs_SA,0.19811767294222365,8.427227430748185e-4
TRIM26_containing,IBA_vs_SA,0.2318336500627267,4.648162285767522e-4
Bzw1,IBA_vs_SA,0.3121127629298994,1.110459703258922e-4
Sqstm1,IBA_vs_SA,0.3800786095750097,7.555145326021017e-11
Usp22,IBA_vs_SA,0.29801955202647445,1.922676930182782e-6
Stard7,IBA_vs_SA,0.2477196228634668,8.672415704642934e-6
Thap4,IBA_vs_SA,0.3143511892584024,2.7138829441405017e-4
Pdap1,IBA_vs_SA,0.26407919973236954,6.59254381945791e-4
Zfand2a,IBA_vs_SA,0.3161900212608835,9.949826686451882e-4
Bnip3l,IBA_vs_SA,0.3126825317394638,1.103512808640445e-4
Ogfod1,IBA_vs_SA,0.2752517977135395,2.7709642318265174e-4
Fscn1,IBA_vs_SA,0.272453448992858,4.2554385175311574e-5
Coro1c,IBA_vs_SA,0.32935194244324767,4.4402084340942175e-07
Kctd10,IBA_vs_SA,0.2116095602947017,1.803011417821693e-4
Ciapin1,IBA_vs_SA,0.2554174551580841,7.389449425077696e-4
Ttl,IBA_vs_SA,0.20937020209760973,5.26561995090221e-4
Gpat4,IBA_vs_SA,0.2815649425029678,3.86910331027192e-5
Csnk2a2,IBA_vs_SA,0.2899289152738857,4.358238852604491e-6
Gpr17,IBA_vs_SA,0.781982646476267,3.664464773233322e-4
Copg1,IBA_vs_SA,0.22803144047927731,4.24513923168676e-4
Pdcd6,IBA_vs_SA,0.3114804439857111,1.7736538204333172e-4
Tollip,IBA_vs_SA,0.22005913322245213,4.410514015195455e-5
CUNH16orf70,IBA_vs_SA,0.25287878869008096,9.24661477295259e-4
Abcf1,IBA_vs_SA,0.1925478926228127,1.4393839508903959e-4
Tubb,IBA_vs_SA,0.35525706724964196,5.527765701467455e-10
Atp6v0d1,IBA_vs_SA,0.29952346924074097,1.8663076015536833e-4
Rnf115,IBA_vs_SA,0.29227143478190293,3.794385910632934e-6
Supt16h,IBA_vs_SA,0.26040140906749115,1.2243806795395415e-4
Znf667,IBA_vs_SA,0.32193530210633,5.247318247557222e-5
Rcan2,IBA_vs_SA,0.29114314626330334,1.6756929348794196e-4
Lap3,IBA_vs_SA,0.23603901861709825,9.22959353905693e-4
Rnf4,IBA_vs_SA,0.27003418676469876,5.353707663583938e-6
Tmem161b,IBA_vs_SA,0.5185036838519962,4.741118951915463e-6
Herpud2,IBA_vs_SA,0.2919618004630359,6.7668099523570556e-6
Ykt6,IBA_vs_SA,0.2630981242139447,6.122763089535138e-5
Ddx56,IBA_vs_SA,0.25363580081200476,1.1166511975685628e-4
Prkar2b,IBA_vs_SA,0.2529790961319394,8.344405180622605e-4
Znf622,IBA_vs_SA,0.26547536348801826,4.089999076978176e-4
Soat1,IBA_vs_SA,0.5814440968877624,2.8991145895057283e-5
Zfp41,IBA_vs_SA,0.22852559667804945,9.222010452777622e-4
Ttc13,IBA_vs_SA,0.2559419039570291,3.990805477960118e-5
Galnt2,IBA_vs_SA,0.20533588685062198,2.0507965808310418e-5
Dpysl4,IBA_vs_SA,0.2691349366175829,5.83308509887706e-4
Ippk,IBA_vs_SA,0.32571146380675237,1.0616804331850637e-4
Fam49b,IBA_vs_SA,0.22404770593759046,4.0145561898596204e-5
Sqle,IBA_vs_SA,0.4030778795774651,5.444735566192363e-6
Dlst,IBA_vs_SA,0.19861481536822426,2.905374815182766e-5
Zdhhc22,IBA_vs_SA,0.37711101803953356,2.3158124634512018e-4
Tmem181,IBA_vs_SA,0.3680938439279604,7.37735346664874e-8
Sod2,IBA_vs_SA,0.26905872717271606,2.3772656624794668e-4
Mtmr4,IBA_vs_SA,0.35733200982116387,6.239571343536588e-4
Lrrc59,IBA_vs_SA,0.29655885093248435,3.5502560714016763e-6
Slc35b1,IBA_vs_SA,0.37094218970026055,6.998159807658724e-7
Psmd3,IBA_vs_SA,0.19696641674715124,4.936198183215636e-4
Casc3,IBA_vs_SA,0.24974068188368506,1.6347229607436024e-4
Rtcb,IBA_vs_SA,0.1842550000350904,9.16567764994848e-4
Txnrd1,IBA_vs_SA,0.4491386934162333,1.8160934093371878e-12
Ehd3,IBA_vs_SA,0.2358613041656531,3.1241482749592486e-5
Relt,IBA_vs_SA,0.36948545571979313,2.720311342094386e-4
Dgat2,IBA_vs_SA,0.3448163579902687,9.22959353905693e-4
Sytl2,IBA_vs_SA,0.35781648054540094,1.11187818575981e-5
Rpusd1,IBA_vs_SA,0.3292499100503826,9.139623318421272e-4
Bfar,IBA_vs_SA,0.2633119781456603,4.059746186689499e-4
Rrn3,IBA_vs_SA,0.3064263564453021,1.1512876681507339e-4
CUNHXorf38,IBA_vs_SA,0.21014445642128193,1.6903723030866645e-4
Frmd5,IBA_vs_SA,0.30072257655014695,2.45078585991379e-6
Hspa13,IBA_vs_SA,0.3490687096261011,5.610050473908305e-4
Lta4h,IBA_vs_SA,0.31407778902756395,1.5122080663433716e-4
Gorasp2,IBA_vs_SA,0.2872477033624698,2.1990526349837953e-5
Ndfip2,IBA_vs_SA,0.2820846167239106,5.024023470836885e-4
Lsm14b,IBA_vs_SA,0.21083553402056732,5.853126185322338e-4
Hrh3,IBA_vs_SA,0.8413333471218244,6.430983439591489e-10
Slc39a6,IBA_vs_SA,0.37802866535182983,3.0931339643997267e-4
Slc33a1,IBA_vs_SA,0.3120105202499538,1.3559513747637625e-4
Ssr3,IBA_vs_SA,0.2721320296446786,2.904889258204694e-5
Ppif,IBA_vs_SA,0.3721786267457047,1.3982502822772996e-6
Anxa7,IBA_vs_SA,0.27471515423852183,4.791239362361794e-5
Btf3l4,IBA_vs_SA,0.3298963375110655,4.676585263185104e-5
Nppc,IBA_vs_SA,0.6845228314013232,1.0157098533744984e-9
CUNH2orf72,IBA_vs_SA,0.278687458553957,9.642793383443085e-4
TCAF1_like,IBA_vs_SA,0.25367950194920363,1.4393839508903959e-4
Chpf2,IBA_vs_SA,0.2895540313739534,2.6020673425077506e-4
Aacs_rna21691,IBA_vs_SA,0.411524056002361,5.347527775085198e-5
Mocs3,IBA_vs_SA,0.41148707951483127,3.8150825025661976e-4
