gene,state,log2FC_ashr,wald_padj
KCTD4,SA_vs_Ar,0.8902579674772765,7.298681397116746e-6
ZNF112,SA_vs_Ar,0.777571878223275,5.291432232900344e-10
MIR138-1,SA_vs_Ar,1.2238880949987412,6.160165764960093e-11
ENSSTOG00000029359,SA_vs_Ar,0.6829706484357166,1.7093749982697044e-4
ENSSTOG00000029362,SA_vs_Ar,0.5763971296169436,1.4940147581327278e-5
ENSSTOG00000029624,SA_vs_Ar,0.444589804945304,5.5413744566000336e-6
PANTR1_containing,SA_vs_Ar,1.4417037865387186,1.2529551583459442e-10
ABCF1_containing,SA_vs_Ar,0.5684957903408575,5.347230549055926e-5
ENSSTOG00000031411,SA_vs_Ar,0.739006207472936,1.56971389436854e-11
ENSSTOG00000034050,SA_vs_Ar,0.5270300322111056,7.549046354930653e-4
ENSSTOG00000034702,SA_vs_Ar,2.442606972187411,1.3982823181646348e-47
MIR4453HG_containing,SA_vs_Ar,0.5263478950491071,1.3127087566971387e-8
ZNF83_containing_G11891,SA_vs_Ar,0.43080862985639323,8.21058467965617e-6
G1274,SA_vs_Ar,0.3003328666119931,6.439945075304369e-4
G13022,SA_vs_Ar,0.6188276645760062,2.493303656139928e-4
G13329,SA_vs_Ar,0.8620675673799362,8.360610042772984e-10
MIR138-2_containing,SA_vs_Ar,1.108215017003933,1.1420905249523357e-20
G136,SA_vs_Ar,0.5630689507824365,2.5504688681683893e-5
HSPH1,SA_vs_Ar,0.4834975465005541,4.875238929402456e-4
G14950,SA_vs_Ar,2.168969938503205,3.3168503033607885e-42
RYBP_like,SA_vs_Ar,0.5054541970768333,4.885322642119155e-12
G16353,SA_vs_Ar,1.0886409414641414,3.047696824728691e-12
G16444,SA_vs_Ar,1.8876532453210415,6.478284705673465e-24
AACSP1_containing,SA_vs_Ar,0.7242197778540628,2.1557429148665606e-9
G18650,SA_vs_Ar,1.5709182674551596,1.457332462681051e-10
G21728,SA_vs_Ar,1.7230435446835672,3.858170581045031e-18
G21911,SA_vs_Ar,0.4659357679618785,7.861667481899449e-4
G22451,SA_vs_Ar,0.2735893078907415,1.4578551164832427e-4
KIAA1958_containing,SA_vs_Ar,0.7901543846472066,2.5200867587729156e-5
G23238,SA_vs_Ar,0.789102035232873,4.02226313680205e-5
MIR219A2_containing,SA_vs_Ar,2.1532774944626154,2.4757033655562846e-29
G23925,SA_vs_Ar,0.6435768422545568,2.628207263694412e-4
G2696,SA_vs_Ar,0.647396893913989,1.1797466821637828e-5
G2995,SA_vs_Ar,0.7414796581862788,1.9131268427318645e-5
TSHZ2_G30132,SA_vs_Ar,0.6490435186674841,2.0964264364337876e-5
G30823,SA_vs_Ar,1.2457661428813815,4.03529312131413e-12
MIR124-2HG_containing,SA_vs_Ar,0.6042345140526887,5.7461596189551e-11
G3182,SA_vs_Ar,0.7685856515528177,6.655277198162253e-13
G32610,SA_vs_Ar,1.3347642473510026,1.0323805828618579e-18
TCEANC_containing,SA_vs_Ar,0.4038545098121208,1.0125855330473886e-4
G34888,SA_vs_Ar,1.009666368949502,1.189515691945244e-10
G35463,SA_vs_Ar,1.0036712230812674,4.4723139578217457e-10
G38032,SA_vs_Ar,0.7918433340423222,1.8822443926656493e-7
PRR18_containing,SA_vs_Ar,0.3151424927052669,5.7712453386285335e-5
G3859,SA_vs_Ar,2.2453285545693156,1.0197250795538804e-13
G3860,SA_vs_Ar,1.1767951524780784,2.4794659493493363e-21
G38760,SA_vs_Ar,0.6147289364321097,7.517060906071462e-11
MIR29B2CHG_containing_G39119,SA_vs_Ar,3.8722106249166144,5.735282031028692e-78
G3936,SA_vs_Ar,0.7183139255485663,3.723782183483107e-5
ZBTB37_like,SA_vs_Ar,0.7113664966764062,6.64385730877951e-7
G40490,SA_vs_Ar,0.6158912888446276,3.854695968124138e-12
G41041,SA_vs_Ar,1.0113943936386989,1.3155956028073504e-14
G5128,SA_vs_Ar,1.268028495137559,4.489599206023133e-9
G6222,SA_vs_Ar,1.2747730618218165,1.780296604195754e-11
G652,SA_vs_Ar,3.0448050137841443,2.070376914611676e-22
MIR101-1_containing,SA_vs_Ar,2.9229302404187734,4.256104515929563e-68
POU3F3,SA_vs_Ar,0.3957839695377221,3.653710035830187e-5
POU3F3_like,SA_vs_Ar,0.5933223420511493,9.048009345135986e-7
G8931,SA_vs_Ar,0.760138742550656,5.620229332572883e-5
G8982,SA_vs_Ar,0.6142274700513478,4.405346925500825e-5
ZNF208_containing_G9075,SA_vs_Ar,0.36937216503376424,6.718152884353806e-5
MIRLET7D_containing,SA_vs_Ar,3.535154944613728,2.574616221705184e-51
G9747,SA_vs_Ar,1.3305683680451366,9.38441532832155e-5
G9749,SA_vs_Ar,1.3209140748548394,8.009125151040826e-5
G9756,SA_vs_Ar,1.6571260930779617,3.8073072210710823e-10
Spty2d1,SA_vs_Ar,0.7958180002655915,4.2422518183769587e-13
Tle3,SA_vs_Ar,0.26795445698346587,2.858872757457e-4
Zbed5,SA_vs_Ar,0.500387728630563,8.14527502455192e-12
Ctr9,SA_vs_Ar,0.2976350913821917,5.5327931933632905e-5
Rnf141,SA_vs_Ar,0.4294333047655184,5.345718210443714e-4
Hyal1,SA_vs_Ar,0.5097955938332617,1.560008693856404e-5
Ppm1m,SA_vs_Ar,0.5867487455246788,6.2108780390805306e-6
Aste1,SA_vs_Ar,0.6210323214063299,7.338364342412644e-8
Msl2,SA_vs_Ar,0.327696248195253,1.6966165622813231e-4
Srsf6,SA_vs_Ar,0.466810765805602,2.6102217090810614e-11
Ubn1,SA_vs_Ar,0.3976514841217902,1.0298049287084107e-5
Man2a1,SA_vs_Ar,0.3614400069101935,7.325423038344714e-5
Nrep,SA_vs_Ar,0.37198481073777695,8.637518714102117e-4
Igip,SA_vs_Ar,0.28981845495786646,2.2399569054344875e-5
ANKHD1_gene10482,SA_vs_Ar,0.3878827950684165,2.0668233486097253e-4
Tmco6,SA_vs_Ar,0.43038405186809964,1.4762076317696886e-4
Arid3b,SA_vs_Ar,0.8888918942504745,5.8296862163706255e-12
Rnf144a,SA_vs_Ar,0.3345960655719023,5.72285364040108e-5
Prr5l,SA_vs_Ar,0.5947816763246132,5.66878766093663e-8
Fam219b,SA_vs_Ar,0.3459775433964914,3.766590503885676e-4
Rreb1,SA_vs_Ar,0.7750126934941192,9.0627416056427e-6
CUNH15orf39,SA_vs_Ar,0.44504073908090835,1.810264168763204e-4
Otud4,SA_vs_Ar,0.5062473156960674,4.104657553483148e-5
Usp38,SA_vs_Ar,0.5295925645111726,5.781544867275441e-6
Setd7,SA_vs_Ar,0.32006684963249,7.440284349447381e-4
Elf2,SA_vs_Ar,0.4865140817621489,3.751463870703973e-7
Slc7a11,SA_vs_Ar,0.5479062457326616,8.700384211760421e-4
Boc,SA_vs_Ar,0.6842481397150924,6.405279634449849e-8
Arhgap31,SA_vs_Ar,0.3920735162854605,3.4190738454844313e-4
Gtf2e1,SA_vs_Ar,0.3507385826834918,2.1715800774022463e-6
Slc15a2,SA_vs_Ar,0.4254732732597548,2.970763014355364e-4
Plppr4,SA_vs_Ar,0.39054617539472236,1.2558670876664654e-4
Rwdd3,SA_vs_Ar,0.4528565168738639,1.3345712911481394e-4
Arhgap29,SA_vs_Ar,0.4846253451324529,6.47172118266825e-4
Mtf2,SA_vs_Ar,0.5132182930625931,2.2824914472103423e-13
Znf644,SA_vs_Ar,0.9947677897825427,3.461987377399832e-18
Znf326,SA_vs_Ar,0.42517478733384073,8.214264097468773e-5
Rffl,SA_vs_Ar,0.3613679376024854,6.596688306927589e-5
Znf830,SA_vs_Ar,0.7047246402351086,7.58973748685566e-9
Tmem98,SA_vs_Ar,0.46453083528751854,3.751693592920787e-5
Crlf3,SA_vs_Ar,0.482947984089282,8.296546939556409e-7
Fam222b,SA_vs_Ar,0.3824450880035212,5.62694380623591e-7
Nufip2,SA_vs_Ar,0.5720414434700861,2.737148074756304e-9
Ankrd13b,SA_vs_Ar,0.27107760819534144,5.122209328147634e-5
Ermn,SA_vs_Ar,0.4375753047012236,4.689775457874165e-6
Fam57a,SA_vs_Ar,0.5276309948202111,1.3712237573231316e-6
Myo1c,SA_vs_Ar,0.27116880748895517,9.02901900262571e-4
Scarf1,SA_vs_Ar,0.42759824659957746,5.035171914367967e-4
Hic1,SA_vs_Ar,0.8061087954577243,2.4932656606445694e-7
Srr,SA_vs_Ar,0.5694987750015077,3.628597369084772e-5
Kiaa2026,SA_vs_Ar,0.443571114516868,4.856812647204059e-6
Kdm4c,SA_vs_Ar,0.46136322340943575,1.8998080026579994e-6
TARDBP,SA_vs_Ar,0.5211283539706819,2.3240480829541064e-5
Pxylp1,SA_vs_Ar,0.6725149227246828,2.9161363552139914e-9
Zbtb38,SA_vs_Ar,0.31905199058926464,9.720682663551485e-4
U2surp,SA_vs_Ar,0.346658833902328,2.283681896584716e-8
Lgr4,SA_vs_Ar,0.36042355015165306,1.6966165622813231e-4
Ano3,SA_vs_Ar,0.45559495272509326,1.9148265045430948e-4
