"","gene","module"
"PURA","PURA",0
"FAM120C","FAM120C",1
"SHC3_like","SHC3_like",1
"CCND1_ENSSTOG00000000408","CCND1_ENSSTOG00000000408",0
"CYSTM1","CYSTM1",2
"UBE2N_ENSSTOG00000002166","UBE2N_ENSSTOG00000002166",0
"TMEM184C_ENSSTOG00000003964","TMEM184C_ENSSTOG00000003964",13
"GJB6","GJB6",0
"NMU","NMU",2
"PLEKHA1_like","PLEKHA1_like",0
"KCTD4","KCTD4",2
"GCSH","GCSH",0
"CEBPG","CEBPG",1
"BCL2L1_ENSSTOG00000007643","BCL2L1_ENSSTOG00000007643",1
"IER2","IER2",1
"RRAGA","RRAGA",0
"TACR3","TACR3",0
"MORF4L1_ENSSTOG00000009157","MORF4L1_ENSSTOG00000009157",1
"SOX2","SOX2",0
"ZNF112","ZNF112",1
"NFYB_ENSSTOG00000014416","NFYB_ENSSTOG00000014416",2
"H2AFX","H2AFX",0
"RHOB_ENSSTOG00000014644","RHOB_ENSSTOG00000014644",0
"H1F0_ENSSTOG00000014808","H1F0_ENSSTOG00000014808",1
"ENSSTOG00000014826","ENSSTOG00000014826",2
"ZBED8","ZBED8",1
"BLOC1S4_ENSSTOG00000015106","BLOC1S4_ENSSTOG00000015106",7
"KIAA0232","KIAA0232",2
"GBP6_ENSSTOG00000015156","GBP6_ENSSTOG00000015156",10
"Telomerase-vert","Telomerase-vert",1
"RNase_MRP","RNase_MRP",1
"5S_rRNA_ENSSTOG00000018487","5S_rRNA_ENSSTOG00000018487",0
"7SK_ENSSTOG00000018507","7SK_ENSSTOG00000018507",0
"RNaseP_nuc_ENSSTOG00000018579","RNaseP_nuc_ENSSTOG00000018579",1
"snoU89","snoU89",1
"SCARNA16","SCARNA16",1
"RTL8C_ENSSTOG00000019454","RTL8C_ENSSTOG00000019454",0
"PLEKHB2_ENSSTOG00000019474","PLEKHB2_ENSSTOG00000019474",2
"RPS6_ENSSTOG00000019647","RPS6_ENSSTOG00000019647",1
"LDOC1","LDOC1",1
"TOMM40","TOMM40",0
"MRPL9","MRPL9",2
"DKC1_like_ENSSTOG00000020149","DKC1_like_ENSSTOG00000020149",1
"ENSSTOG00000020191","ENSSTOG00000020191",5
"RTL8A_ENSSTOG00000020310","RTL8A_ENSSTOG00000020310",3
"RPL24_ENSSTOG00000020333","RPL24_ENSSTOG00000020333",0
"SPIN2B_like_ENSSTOG00000020423","SPIN2B_like_ENSSTOG00000020423",0
"RCN1_ENSSTOG00000020670","RCN1_ENSSTOG00000020670",0
"RPL5_ENSSTOG00000020981","RPL5_ENSSTOG00000020981",1
"KLF2","KLF2",1
"UQCRFS1_like_ENSSTOG00000021334","UQCRFS1_like_ENSSTOG00000021334",2
"SNORA7","SNORA7",0
"ENSSTOG00000021438","ENSSTOG00000021438",2
"PTP4A1_ENSSTOG00000021612","PTP4A1_ENSSTOG00000021612",9
"UBE2G1_like_ENSSTOG00000021672","UBE2G1_like_ENSSTOG00000021672",3
"THAP11","THAP11",0
"SNRPE","SNRPE",2
"C14orf119","C14orf119",3
"U1_ENSSTOG00000021984","U1_ENSSTOG00000021984",0
"PABPC1L2B_ENSSTOG00000022096","PABPC1L2B_ENSSTOG00000022096",1
"MTLN","MTLN",3
"ENSSTOG00000022616","ENSSTOG00000022616",2
"HDHD2_ENSSTOG00000022710","HDHD2_ENSSTOG00000022710",0
"ARL4C","ARL4C",0
"U2_ENSSTOG00000023421","U2_ENSSTOG00000023421",0
"RPS24_ENSSTOG00000023496","RPS24_ENSSTOG00000023496",0
"CD82_like","CD82_like",2
"SREBF2","SREBF2",0
"DAP_containing","DAP_containing",3
"ATG12","ATG12",0
"NOG","NOG",1
"DUT","DUT",0
"NCS1_containing","NCS1_containing",0
"RPL37A_ENSSTOG00000025537","RPL37A_ENSSTOG00000025537",2
"TMEM74B","TMEM74B",1
"HLA-A_like_ENSSTOG00000025614","HLA-A_like_ENSSTOG00000025614",0
"SPIN2B_ENSSTOG00000025630","SPIN2B_ENSSTOG00000025630",0
"TMEM215","TMEM215",0
"RPS6_ENSSTOG00000025963","RPS6_ENSSTOG00000025963",1
"ACTG1_containing","ACTG1_containing",5
"ATXN1_containing","ATXN1_containing",0
"SLC17A5_like_ENSSTOG00000026847","SLC17A5_like_ENSSTOG00000026847",0
"NDN","NDN",1
"SCARNA7","SCARNA7",1
"HMGB1_ENSSTOG00000027122","HMGB1_ENSSTOG00000027122",0
"U1_ENSSTOG00000027312","U1_ENSSTOG00000027312",6
"RPL10A","RPL10A",2
"ATP6V1D_like","ATP6V1D_like",2
"CYCS_ENSSTOG00000028032","CYCS_ENSSTOG00000028032",4
"CCDC43_ENSSTOG00000028105","CCDC43_ENSSTOG00000028105",0
"GAS7_containing","GAS7_containing",0
"SNORD22_ENSSTOG00000028495","SNORD22_ENSSTOG00000028495",2
"HNRNPA0","HNRNPA0",5
"HIST1H2BK","HIST1H2BK",0
"MAGEH1","MAGEH1",0
"RPS3A_ENSSTOG00000028898","RPS3A_ENSSTOG00000028898",2
"RAP2B","RAP2B",14
"RPL39_ENSSTOG00000029048","RPL39_ENSSTOG00000029048",3
"ENSSTOG00000029288","ENSSTOG00000029288",2
"ENSSTOG00000029322","ENSSTOG00000029322",0
"ENSSTOG00000029323","ENSSTOG00000029323",0
"ENSSTOG00000029329","ENSSTOG00000029329",2
"ENSSTOG00000029362","ENSSTOG00000029362",1
"ENSSTOG00000029419","ENSSTOG00000029419",1
"ENSSTOG00000029436","ENSSTOG00000029436",0
"ENSSTOG00000029460","ENSSTOG00000029460",1
"TUG1_ENSSTOG00000029508","TUG1_ENSSTOG00000029508",0
"TINCR","TINCR",1
"ENSSTOG00000029532","ENSSTOG00000029532",0
"ENSSTOG00000029562","ENSSTOG00000029562",13
"AGL_like_ENSSTOG00000029593","AGL_like_ENSSTOG00000029593",2
"ENSSTOG00000029606","ENSSTOG00000029606",0
"ENSSTOG00000029624","ENSSTOG00000029624",3
"ENSSTOG00000029630","ENSSTOG00000029630",0
"ENSSTOG00000029634","ENSSTOG00000029634",3
"ENSSTOG00000029642","ENSSTOG00000029642",1
"ZNF146_ENSSTOG00000029664","ZNF146_ENSSTOG00000029664",1
"MOSPD1","MOSPD1",0
"ENSSTOG00000029701","ENSSTOG00000029701",0
"ENSSTOG00000029805","ENSSTOG00000029805",1
"ENSSTOG00000029823","ENSSTOG00000029823",0
"ENSSTOG00000029825","ENSSTOG00000029825",4
"ENSSTOG00000029863","ENSSTOG00000029863",2
"ARPP19_like","ARPP19_like",1
"ENSSTOG00000029904","ENSSTOG00000029904",0
"ENSSTOG00000029917","ENSSTOG00000029917",0
"EIF4B_ENSSTOG00000029945","EIF4B_ENSSTOG00000029945",1
"C20orf204","C20orf204",3
"ENSSTOG00000030034","ENSSTOG00000030034",3
"TMA7_ENSSTOG00000030110","TMA7_ENSSTOG00000030110",7
"ENSSTOG00000030117","ENSSTOG00000030117",3
"ENSSTOG00000030147","ENSSTOG00000030147",1
"SLC39A14","SLC39A14",1
"ENSSTOG00000030219","ENSSTOG00000030219",0
"PANTR1_containing","PANTR1_containing",5
"ENSSTOG00000030229","ENSSTOG00000030229",0
"ENSSTOG00000030237","ENSSTOG00000030237",10
"ENSSTOG00000030244","ENSSTOG00000030244",0
"ENSSTOG00000030280","ENSSTOG00000030280",2
"CYCS_ENSSTOG00000030292","CYCS_ENSSTOG00000030292",6
"ENSSTOG00000030329","ENSSTOG00000030329",3
"ENSSTOG00000030405","ENSSTOG00000030405",1
"KAZN_containing","KAZN_containing",0
"ZNF503-AS2_containing","ZNF503-AS2_containing",0
"ENSSTOG00000030442","ENSSTOG00000030442",6
"ENSSTOG00000030455","ENSSTOG00000030455",2
"HDAC1_containing","HDAC1_containing",0
"ENSSTOG00000030566","ENSSTOG00000030566",0
"AGL","AGL",0
"ENSSTOG00000030607","ENSSTOG00000030607",4
"C11orf96","C11orf96",6
"ENSSTOG00000030661","ENSSTOG00000030661",0
"LINC00672","LINC00672",4
"ENSSTOG00000030683","ENSSTOG00000030683",0
"OSBPL11_containing","OSBPL11_containing",0
"ENSSTOG00000030738","ENSSTOG00000030738",5
"ENSSTOG00000030760","ENSSTOG00000030760",6
"LINC00959","LINC00959",0
"CD24_like","CD24_like",2
"NEAT1_3_ENSSTOG00000030917","NEAT1_3_ENSSTOG00000030917",3
"COX6B1_like","COX6B1_like",2
"ENSSTOG00000030984","ENSSTOG00000030984",5
"UBE2R2","UBE2R2",0
"ENSSTOG00000030988","ENSSTOG00000030988",0
"PHYH_containing_ENSSTOG00000031003","PHYH_containing_ENSSTOG00000031003",2
"MIAT_exon5_3","MIAT_exon5_3",0
"Metazoa_SRP_ENSSTOG00000031089","Metazoa_SRP_ENSSTOG00000031089",0
"ENSSTOG00000031105","ENSSTOG00000031105",0
"ENSSTOG00000031111","ENSSTOG00000031111",1
