"","gene","r","module_color","module_n"
"1","FAM120C",0.705456995450835,"turquoise",1
"2","CYSTM1",0.780374089099848,"violet",32
"3","UBE2N_ENSSTOG00000002166",0.700081367177076,"green",5
"4","TMEM184C_ENSSTOG00000003964",0.705299821021819,"saddlebrown",29
"5","RRAGA",0.212807913942668,"brown",3
"6","MORF4L1_ENSSTOG00000009157",0.806860087118198,"green",5
"7","ZNF112",0.935978059187932,"turquoise",1
"8","H1F0_ENSSTOG00000014808",0.737403877238851,"grey",0
"9","ENSSTOG00000014826",0.626985674818461,"yellow",4
"10","ZBED8",0.819901984136616,"turquoise",1
"11","KIAA0232",0.194724811086866,"grey",0
"12","PLEKHB2_ENSSTOG00000019474",0.129265952785705,"grey",0
"13","RPS6_ENSSTOG00000019647",0.608300290198567,"yellow",4
"14","MRPL9",0.654047726066609,"black",7
"15","RTL8A_ENSSTOG00000020310",0.217419336994903,"grey",0
"16","RPL24_ENSSTOG00000020333",0.57321835635803,"paleturquoise",31
"17","RPL5_ENSSTOG00000020981",0.673318837409945,"brown",3
"18","ENSSTOG00000021438",0.540693503899564,"red",6
"19","UBE2G1_like_ENSSTOG00000021672",0.852112966752936,"purple",10
"20","MTLN",-0.05712687998416,"grey",0
"21","RPS24_ENSSTOG00000023496",0.643174807305992,"yellow",4
"22","DAP_containing",0.745353579855417,"black",7
"23","NCS1_containing",0.755995992544444,"blue",2
"24","RPS6_ENSSTOG00000025963",0.79553731466229,"black",7
"25","RPL10A",0.823398155914393,"brown",3
"26","ATP6V1D_like",0.688922618867048,"brown",3
"27","RPS3A_ENSSTOG00000028898",0.739232888172708,"cyan",14
"28","ZNF146_ENSSTOG00000029664",0.624981580760575,"turquoise",1
"29","ENSSTOG00000029825",0.732835210226902,"blue",2
"30","TMA7_ENSSTOG00000030110",0.714360934032209,"yellow",4
"31","PANTR1_containing",0.0180727045778303,"grey",0
"32","ENSSTOG00000030386",0.723483571265246,"blue",2
"33","LINC00672",0.778064227861539,"lightcyan",16
"34","COX6B1_like",0.726024144474735,"yellow",4
"35","ENSSTOG00000031411",-0.138853527774347,"grey",0
"36","FKBP1A_ENSSTOG00000031532",0.629476126506897,"greenyellow",11
"37","MAP4_like",0.659081990077874,"green",5
"38","ENSSTOG00000031812",0.498292228804114,"midnightblue",15
"39","ENSSTOG00000032022",0.75831663804433,"brown",3
"40","ENSSTOG00000032161",0.920602241847394,"blue",2
"41","PPP1R2_like",0.750326068813761,"purple",10
"42","NCL_like",0.0769519579983094,"grey",0
"43","COX6B1_ENSSTOG00000032450",0.784365147194883,"yellow",4
"44","MEF2D_containing",0.741064609123314,"blue",2
"45","ENSSTOG00000032645",0.182739732885666,"grey",0
"46","ENSSTOG00000032651",0.0594495201666667,"grey",0
"47","LINC01578_containing",0.866135106563614,"grey",0
"48","ENSSTOG00000032929",0.739749614681533,"grey",0
"49","ENSSTOG00000033366",0.0480979626077913,"grey",0
"50","SP2-AS1_containing",0.557810929568244,"lightcyan",16
"51","TRAK1_like_ENSSTOG00000033928",0.419351964434116,"brown",3
"52","ENSSTOG00000034585",0.461469522932335,"yellow",4
"53","FAM89B_like",0.684833431205827,"magenta",9
"54","G10018",0.460393913404513,"yellow",4
"55","G10020",0.0842914115515133,"grey",0
"56","G10026",-0.164594746066979,"grey",0
"57","G10028",-0.134418424499806,"grey",0
"58","AFF1_like",-0.20365787791281,"grey",0
"59","G10098",0.668518991626384,"darkolivegreen",33
"60","G10104",-0.0482174549144638,"grey",0
"61","CAMK2G_like",0.641621572417892,"brown",3
"62","G10112",0.688841281710703,"cyan",14
"63","G10161",-0.362129831890529,"grey",0
"64","SDAD1_like_G10180",0.792052423959581,"cyan",14
"65","G10182",0.70542818047858,"cyan",14
"66","G10187",0.342814188006428,"grey",0
"67","G10191",0.449156697580084,"pink",8
"68","G10236",0.685749978603645,"lightyellow",19
"69","G10242",-0.107601746217999,"grey",0
"70","G10245",0.690206440905605,"green",5
"71","G10270",-0.27093459018765,"grey",0
"72","KIT_containing",0.491712246640486,"yellow",4
"73","GABRA4_containing",0.456184615949515,"turquoise",1
"74","G10437",0.793318761175591,"purple",10
"75","G10440",0.042027292261612,"grey",0
"76","GABRB1_containing",0.683475542914289,"blue",2
"77","SLC30A9_containing",0.447526203489296,"yellow",4
"78","APBB2_like_G10465",0.818193366704029,"lightyellow",19
"79","RELL1",0.627720242066699,"cyan",14
"80","TBC1D19_containing",-0.0604857424586764,"grey",0
"81","SPOCK2_containing",0.648176440618192,"magenta",9
"82","SEPSECS_containing",0.695329361824072,"turquoise",1
"83","KCNIP4",0.844431706539173,"lightcyan",16
"84","ZNF518B_containing",0.496632578139626,"salmon",13
"85","G1065",-0.0678632275052233,"grey",0
"86","WDR1",0.597938760036981,"yellow",4
"87","UNC5B_containing",-0.563684809145379,"grey",0
"88","G10691",0.589744449714007,"brown",3
"89","RPL21_G1075",0.57842523543488,"yellow",4
"90","G10765",0.589413163970674,"yellow",4
"91","G10799",0.601924667010355,"brown",3
"92","G10810",0.6736229277501,"midnightblue",15
"93","TMEM271_containing",0.946368272573699,"blue",2
"94","AUTS2_G10872",0.184425587284381,"grey",0
"95","G10883",0.478240090516468,"turquoise",1
"96","G10887",0.502692295732947,"purple",10
