"","gene","r","module_color","module_n"
"1","PURA",-0.311954223386657,"grey",0
"2","FAM120C",0.527161080368787,"red",6
"3","CYSTM1",0.747673705058798,"yellow",4
"4","UBE2N_ENSSTOG00000002166",0.586860868287622,"grey",0
"5","TMEM184C_ENSSTOG00000003964",0.42410307955312,"grey",0
"6","RRAGA",-0.0211530907715434,"grey",0
"7","MORF4L1_ENSSTOG00000009157",0.394288633157035,"turquoise",1
"8","SOX2",0.146157967190029,"grey",0
"9","ZNF112",0.875798102162193,"blue",2
"10","RHOB_ENSSTOG00000014644",0.268390093102453,"grey",0
"11","H1F0_ENSSTOG00000014808",0.626351101463652,"turquoise",1
"12","ENSSTOG00000014826",0.712211224658776,"turquoise",1
"13","ZBED8",0.861596452564317,"blue",2
"14","KIAA0232",-0.387631193446353,"grey",0
"15","PLEKHB2_ENSSTOG00000019474",0.327659266562391,"turquoise",1
"16","RPS6_ENSSTOG00000019647",0.502949404715447,"turquoise",1
"17","MRPL9",0.247602816117424,"grey",0
"18","RTL8A_ENSSTOG00000020310",0.00240441522626893,"grey",0
"19","RPL24_ENSSTOG00000020333",-0.061094566034558,"grey",0
"20","RPL5_ENSSTOG00000020981",-0.19852876178644,"grey",0
"21","PTP4A1_ENSSTOG00000021612",0.503175979687071,"black",7
"22","UBE2G1_like_ENSSTOG00000021672",0.226054346427205,"grey",0
"23","MTLN",0.558036959827197,"green",5
"24","CD82_like",0.778814579487031,"turquoise",1
"25","DAP_containing",0.673431459902183,"salmon",13
"26","NCS1_containing",0.264841479208293,"grey",0
"27","RPS6_ENSSTOG00000025963",0.54189842827815,"turquoise",1
"28","U1_ENSSTOG00000027312",0.600799010758104,"brown",3
"29","RPL10A",0.708687371254297,"turquoise",1
"30","ATP6V1D_like",0.711453767302746,"yellow",4
"31","MAGEH1",0.0012446976714143,"grey",0
"32","RPS3A_ENSSTOG00000028898",0.588756301162842,"black",7
"33","TINCR",0.620109045526015,"turquoise",1
"34","ZNF146_ENSSTOG00000029664",0.7423210248744,"blue",2
"35","EIF4B_ENSSTOG00000029945",0.547158158691293,"green",5
"36","ENSSTOG00000030034",0.590754654875544,"green",5
"37","TMA7_ENSSTOG00000030110",0.392986724067895,"turquoise",1
"38","PANTR1_containing",0.496215603462077,"red",6
"39","LINC00672",0.679822034901188,"green",5
"40","ENSSTOG00000031411",0.728129427810812,"red",6
"41","FKBP1A_ENSSTOG00000031532",0.639550556102236,"black",7
"42","MAP4_like",0.545704300044592,"black",7
"43","ENSSTOG00000031812",0.639086542774394,"magenta",9
"44","ENSSTOG00000032022",0.831465627255087,"turquoise",1
"45","PPP1R2_like",0.700684484899073,"black",7
"46","NCL_like",0.271849416743098,"grey",0
"47","COX6B1_ENSSTOG00000032450",0.740481168082136,"turquoise",1
"48","MEF2D_containing",0.67023490001503,"blue",2
"49","ENSSTOG00000032645",-0.227749412934998,"grey",0
"50","ENSSTOG00000032651",-0.389882259438367,"grey",0
"51","LINC01578_containing",0.660360563131663,"turquoise",1
"52","ENSSTOG00000032929",0.64557247692363,"turquoise",1
"53","Metazoa_SRP_ENSSTOG00000032958",0.419265323042816,"brown",3
"54","SMIM26",0.266880472510785,"grey",0
"55","ENSSTOG00000033366",-0.192210986191137,"grey",0
"56","ENSSTOG00000033635",0.600882786252555,"magenta",9
"57","SP2-AS1_containing",0.654275391990007,"red",6
"58","TRAK1_like_ENSSTOG00000033928",0.590285733611129,"yellow",4
"59","ENSSTOG00000034585",0.465769941705271,"pink",8
"60","FAM89B_like",-0.110446310566689,"grey",0
"61","G10018",0.588756118305018,"purple",10
"62","G10028",0.0619959329294629,"grey",0
"63","AFF1_like",0.0753591246024223,"grey",0
"64","HMGN2_G1006",-0.071395237537941,"grey",0
"65","G10098",0.594756768370018,"green",5
"66","G10099",0.666872273774901,"turquoise",1
"67","G10104",0.417416807596573,"brown",3
"68","CAMK2G_like",0.597438065012158,"greenyellow",11
"69","G10112",-0.555105904974426,"grey",0
"70","G10161",0.52978026077836,"turquoise",1
"71","SDAD1_like_G10180",0.639043168156404,"midnightblue",15
"72","G10182",0.666455201714324,"cyan",14
"73","G10187",0.50628878958866,"turquoise",1
"74","G10191",0.531351653374647,"brown",3
"75","G10236",0.632067331565505,"blue",2
"76","G10245",0.183329351721844,"grey",0
"77","G10279",0.435485165175021,"blue",2
"78","GABRA4_containing",0.476287537382111,"red",6
"79","G10437",0.858671464229136,"red",6
"80","G10440",0.838470096019356,"magenta",9
"81","GABRB1_containing",0.645901451472239,"midnightblue",15
"82","SLC30A9_containing",0.543170045499512,"midnightblue",15
"83","APBB2_like_G10465",0.639411915158675,"purple",10
"84","G10504",0.754920915367303,"blue",2
"85","TBC1D19_containing",0.220802512975931,"grey",0
"86","G10538",0.538833591761068,"red",6
"87","SPOCK2_containing",0.775690364348509,"pink",8
"88","SEPSECS_containing",0.615970997108327,"red",6
"89","KCNIP4",0.784346085792713,"magenta",9
"90","G10628",0.462645906711475,"green",5
"91","ZNF518B_containing",0.582075956911571,"blue",2
"92","G1065",0.0834995498559948,"grey",0
"93","WDR1",0.460489108777033,"turquoise",1
"94","UNC5B_containing",0.799791690382432,"tan",12
"95","G10691",-0.054057519469448,"grey",0
"96","RPL21_G1075",0.0330703342597852,"grey",0
"97","G10765",0.883174799325427,"green",5
"98","G10799",0.65209207500461,"salmon",13
"99","G10810",-0.30642069428289,"grey",0
"100","TMEM271_containing",-0.371834099154919,"grey",0
"101","AUTS2_G10872",0.434593808242067,"green",5
"102","G10883",-0.287071633451657,"grey",0
"103","G10887",0.164444200310057,"grey",0
"104","GLUD1",0.616936231182422,"pink",8
"105","G10933",0.748957034549473,"magenta",9
"106","CXXC4",0.534916980729368,"red",6
"107","DNAJB14_containing",0.757337723215676,"black",7
"108","G11048",0.690682329700207,"yellow",4
"109","G11064",-0.19770205261556,"grey",0
"110","BMPR1B_containing",0.802318339201376,"blue",2
"111","G11083",0.414917097212486,"turquoise",1
"112","NUS1_like_G11141",0.557738051321278,"black",7
"113","HNRNPC",0.468301836882891,"pink",8
"114","G11210",0.00581527375593997,"grey",0
"115","G11221",0.49590882054336,"brown",3
"116","G11224",0.538824466548483,"greenyellow",11
"117","MIR4453HG_containing",0.67745313126724,"blue",2
"118","FBXW7",0.633805667344588,"blue",2
"119","TMEM184C_like",0.566855720934031,"tan",12
"120","OTUD3",0.668707981220284,"blue",2
"121","G11328",0.385796090228232,"red",6
"122","RNF150_like",0.614693116790997,"grey60",17
"123","HHIP_like",0.780325084980424,"purple",10
"124","G11362",0.681483640321886,"red",6
"125","SLC7A11_containing",-0.0486145593004148,"grey",0
"126","PGRMC2_like_G11440",0.744479122615356,"blue",2
"127","TET1_containing",0.753608827038094,"blue",2
"128","KCNA6_G11483",0.295247742806349,"grey",0
"129","G11535",0.728815082126917,"turquoise",1
"130","G11537",0.0777736150769583,"grey",0
"131","G11630",-0.605963780498568,"grey",0
"132","G11663",0.730215953761906,"grey60",17
"133","CACNG8_containing",0.764267353975096,"magenta",9
"134","ZNF331_containing",-0.357505763680755,"grey",0
"135","G11885",0.719768829387588,"turquoise",1
"136","ZNF415_containing",0.705351917183556,"blue",2
"137","ZNF83_containing_G11891",0.64919573224265,"red",6
"138","G11897",-0.0613447316665547,"grey",0
