"","gene","r","module_color","module_n"
"1","PURA",0.724028014603108,"midnightblue",15
"2","FAM120C",0.666384951154932,"blue",2
"3","CYSTM1",0.782417598339573,"turquoise",1
"4","UBE2N_ENSSTOG00000002166",0.86838929130865,"green",5
"5","TMEM184C_ENSSTOG00000003964",0.672178869406069,"black",7
"6","BCL2L1_ENSSTOG00000007643",0.589216244353674,"brown",3
"7","RRAGA",0.815288514576869,"turquoise",1
"8","MORF4L1_ENSSTOG00000009157",0.616075982071442,"turquoise",1
"9","CDK5R1",0.854931281968526,"brown",3
"10","ZNF112",0.89877143309285,"blue",2
"11","H1F0_ENSSTOG00000014808",0.759021881217401,"magenta",9
"12","ENSSTOG00000014826",0.851480966990316,"turquoise",1
"13","KIAA0232",0.619318335112369,"blue",2
"14","RPS6_ENSSTOG00000019647",0.643899753720939,"turquoise",1
"15","LDOC1",0.535830124849245,"darkred",21
"16","MRPL9",0.286889034433571,"grey",0
"17","RPL24_ENSSTOG00000020333",0.513586819711207,"midnightblue",15
"18","RPL5_ENSSTOG00000020981",0.575781173334825,"lightyellow",19
"19","UBE2G1_like_ENSSTOG00000021672",0.306079434501358,"turquoise",1
"20","FAM122A",0.0844811824220998,"grey",0
"21","MTLN",-0.0919489823866438,"grey",0
"22","ENSSTOG00000022616",0.539649488570965,"midnightblue",15
"23","RPS24_ENSSTOG00000023496",0.445673793440799,"turquoise",1
"24","CD82_like",0.657114448007993,"turquoise",1
"25","DAP_containing",0.489442927801959,"turquoise",1
"26","ATG12",0.643212388337147,"brown",3
"27","NCS1_containing",-0.062669167854727,"grey",0
"28","RPS6_ENSSTOG00000025963",0.705687473661838,"turquoise",1
"29","U1_ENSSTOG00000027312",0.428454497479089,"salmon",13
"30","RPL10A",0.755464305093766,"turquoise",1
"31","ATP6V1D_like",0.580005535773329,"turquoise",1
"32","CYCS_ENSSTOG00000028032",0.393237702378961,"grey",0
"33","HNRNPA0",0.400589215245709,"grey",0
"34","RPS3A_ENSSTOG00000028898",-0.0418351143399242,"grey",0
"35","EIF4B_ENSSTOG00000029945",0.658159050968506,"brown",3
"36","ENSSTOG00000030034",0.598962629511491,"turquoise",1
"37","TMA7_ENSSTOG00000030110",0.500001220482563,"turquoise",1
"38","PANTR1_containing",0.56853751478899,"salmon",13
"39","ENSSTOG00000030237",0.702468783783859,"turquoise",1
"40","LINC00672",0.592796944575292,"turquoise",1
"41","COX6B1_like",0.735696957483499,"turquoise",1
"42","ENSSTOG00000031411",0.556956173312977,"blue",2
"43","FKBP1A_ENSSTOG00000031532",0.370362106145888,"grey",0
"44","MAP4_like",0.590842515156476,"brown",3
"45","ENSSTOG00000031812",0.736774695150816,"lightcyan",16
"46","PTGES3_like",0.838732751080173,"tan",12
"47","HMGN2_ENSSTOG00000031991",0.352295357148284,"turquoise",1
"48","ENSSTOG00000032022",0.684400821313458,"turquoise",1
"49","PPP1R2_like",0.77531766578423,"black",7
"50","NCL_like",0.520292719594598,"green",5
"51","COX6B1_ENSSTOG00000032450",0.693416071151917,"yellow",4
"52","MEF2D_containing",0.681321404941186,"yellow",4
"53","ENSSTOG00000032645",0.274178540185912,"grey",0
"54","ENSSTOG00000032651",-0.213105421442054,"grey",0
"55","LINC01578_containing",0.664863830039365,"turquoise",1
"56","ENSSTOG00000032827",0.627230594041789,"turquoise",1
"57","ENSSTOG00000032941",0.495259589970963,"turquoise",1
"58","Metazoa_SRP_ENSSTOG00000032958",0.480951176783617,"salmon",13
"59","GNAS_ENSSTOG00000033348",0.615738180229731,"tan",12
"60","ENSSTOG00000033366",-0.159348636922951,"grey",0
"61","TRAK1_like_ENSSTOG00000033928",0.0414591852310997,"grey",0
"62","ENSSTOG00000034585",0.608842674376287,"turquoise",1
"63","FAM89B_like",0.876991867268806,"grey60",17
"64","G10018",-0.373053187592887,"grey",0
"65","G10028",-0.176306882162716,"grey",0
"66","AFF1_like",0.402544186075592,"turquoise",1
"67","G10098",0.519398934980956,"white",27
"68","CAMK2G_like",0.744554823751768,"turquoise",1
"69","G10112",0.454370694828157,"turquoise",1
"70","CCNI_like",0.50995165847143,"green",5
"71","G10161",0.654436739654891,"red",6
"72","G10187",0.27503646296739,"turquoise",1
"73","G10191",0.450769676049174,"grey",0
"74","G10206",0.648578537214656,"royalblue",20
"75","G10236",0.0504316004218375,"grey",0
"76","G10245",0.631690147306122,"midnightblue",15
"77","G10270",0.209184508057961,"turquoise",1
"78","KIT_containing",0.58833096293297,"darkgreen",22
"79","ADIPOR1_G1038",0.642461495790899,"darkturquoise",23
"80","G10410",0.0936224203235308,"grey",0
"81","G10437",0.586757704289747,"skyblue",28
"82","G10440",-0.0660894330618939,"grey",0
"83","GABRB1_containing",0.551646083564824,"darkgreen",22
"84","SLC30A9_containing",0.558732895028389,"brown",3
"85","APBB2_like_G10465",0.730510418838582,"turquoise",1
"86","TBC1D19_containing",0.570960017120015,"midnightblue",15
"87","SPOCK2_containing",0.859818300971489,"greenyellow",11
"88","KCNIP4",0.717241122178179,"lightyellow",19
"89","G10599",0.607601894166128,"lightyellow",19
"90","G10628",-0.0726168841845646,"grey",0
"91","ZNF518B_containing",0.489192908070153,"blue",2
"92","G1065",0.579524035599043,"red",6
"93","WDR1",0.504554898671158,"turquoise",1
"94","UNC5B_containing",0.680836422793618,"purple",10
"95","G10744",0.850547853021044,"royalblue",20
"96","RPL21_G1075",0.632772178487979,"turquoise",1
"97","G10765",0.782002867139423,"skyblue",28
"98","G10799",-0.0686509137904287,"grey",0
"99","G10810",0.884319075910345,"royalblue",20
"100","TMEM271_containing",0.682314632215881,"darkgreen",22
"101","AUTS2_G10872",0.483798601716898,"darkred",21
"102","G10883",0.2690748389508,"turquoise",1
"103","G10887",0.0193030263122197,"grey",0
"104","GLUD1",0.711623749815417,"pink",8
"105","CXXC4",0.704767678639345,"lightyellow",19
"106","DNAJB14_containing",0.643828348083779,"turquoise",1
"107","G11048",0.405003211013384,"turquoise",1
"108","BMPR1B_containing",0.681998444470892,"midnightblue",15
"109","NUS1_like_G11141",0.529219498159539,"green",5
"110","HNRNPC",0.576025080150333,"grey60",17
"111","G11210",0.689829719602814,"lightyellow",19
"112","G11224",0.758266143964084,"lightyellow",19
"113","MIR4453HG_containing",0.737216846188998,"blue",2
"114","FBXW7",0.774337576024589,"lightyellow",19
"115","TMEM184C_like",0.783725261307474,"midnightblue",15
"116","ABHD3_like",-0.526231823970954,"grey",0
"117","OTUD3",0.624199541267663,"cyan",14
"118","RNF150_like",0.709789746773569,"midnightblue",15
"119","HHIP_like",0.535246686195498,"red",6
"120","G11362",0.538051886377837,"purple",10
"121","SLC7A11_containing",0.58464942009208,"darkorange",26
"122","TMEM184C_G11404",-0.0355033549091365,"grey",0
"123","PGRMC2_like_G11440",0.754644977977561,"darkgreen",22
"124","CTNNA3_containing",0.915035041833154,"salmon",13
"125","TET1_containing",0.800335949500723,"blue",2
"126","KCNA6_G11483",0.647876342091903,"blue",2
"127","G11535",0.454155729365626,"midnightblue",15
"128","G11537",0.687801190469546,"lightyellow",19
"129","G11647",0.46884145747035,"turquoise",1
"130","G11663",0.384412262321619,"blue",2
"131","G11742",-0.407772370482884,"grey",0
"132","CACNG8_containing",0.684258794062649,"tan",12
"133","ZNF331_containing",0.665149028452562,"darkgreen",22
"134","DDX50",0.736776427815696,"midnightblue",15
"135","ZNF415_containing",0.706634802544368,"midnightblue",15
"136","ZNF83_containing_G11891",0.789583565883969,"blue",2
"137","G11897",0.533299795589544,"turquoise",1
"138","ANK3_like",0.568155285990449,"red",6
"139","FXYD7",0.376791040430536,"turquoise",1
"140","FTH1_G11993",0.67391671664145,"lightyellow",19
"141","MORF4L1_G12041",0.577793187306076,"turquoise",1
"142","G12119",0.705677545878035,"lightyellow",19
"143","G12251",0.856896551877221,"royalblue",20
"144","G12252",0.864780841851715,"pink",8
"145","G1232",0.340545148727393,"grey",0
"146","G12328",0.606485930533977,"turquoise",1
"147","G1234",0.671275878612141,"darkred",21
"148","G12343",0.674898495693192,"blue",2
"149","G12344",0.76642132310643,"purple",10
"150","ASAH2",0.500327883308521,"turquoise",1
"151","PTEN_containing",0.584452322188101,"turquoise",1
"152","G12596",0.493773177797821,"cyan",14
"153","G12601",0.522578564484337,"turquoise",1
"154","G12628",0.565673041853983,"turquoise",1
"155","G1274",0.819630129136819,"purple",10
"156","SYT3",0.750192964143714,"lightyellow",19
"157","G1289",0.730601144260869,"turquoise",1
"158","G12914",-0.402874378282043,"grey",0
"159","G12941",-0.242673577294227,"grey",0
"160","G12968",0.587272886882837,"red",6
"161","G13022",0.727655877363612,"royalblue",20
"162","G13109",0.546227461542955,"turquoise",1
"163","G13115",0.629713971539168,"grey60",17
"164","MAF",0.579018943165023,"darkorange",26
"165","MAF_containing",0.713855650506283,"tan",12
"166","H3F3AP4_like",0.0350736904986171,"grey",0
"167","G13286",0.7659882010538,"turquoise",1
"168","G13329",0.769382619780736,"blue",2
"169","NFAT5_containing",0.766710345850422,"blue",2
"170","G1341",-0.318692073371295,"grey",0
"171","RPS12",0.661140581798173,"turquoise",1
"172","G13487",0.685435725508445,"blue",2
"173","GOT2_G13506",0.645704480604674,"turquoise",1
"174","G13527",0.653707827992286,"cyan",14
"175","MIR138-2_containing",0.687527178735472,"blue",2
"176","NUDT21_containing",0.684163880035555,"midnightblue",15
"177","G136",0.572403356492956,"blue",2
"178","G1366",0.734862855551611,"red",6
"179","G13691",0.597213565808583,"greenyellow",11
"180","ZNF25",-0.263764343230985,"grey",0
"181","WSB2",0.803274230866343,"lightyellow",19
"182","G13788",0.753651331726344,"lightcyan",16
"183","G13793",0.631855969601089,"blue",2
"184","FZD3_containing",0.759436590803362,"blue",2
"185","G13817",0.129193535921029,"grey",0
"186","G13856",0.881672563269419,"red",6
"187","G13867",0.823882104564228,"tan",12
"188","ADRA1A_containing",-0.416167295703608,"grey",0
"189","G13871",0.647156772274463,"green",5
"190","EBF2",0.357319194564472,"grey",0
"191","STMN4",0.130638524017961,"grey",0
"192","G13897",0.0361356468345993,"grey",0
"193","SLC25A37_containing_G13922",0.609879834248176,"pink",8
"194","SLC25A37_containing_G13931",0.671132627690341,"red",6
"195","G14044",0.714507055536892,"darkgreen",22
"196","G14093",-0.480414009046424,"grey",0
"197","G14132",0.626675719175874,"turquoise",1
