unique_gene_symbol,hy_imp,med_imp,fore_imp,hy_rank,med_rank,fore_rank
Ubxn4,4.092108077962802e-4,1.3057591836312878e-4,1.8945284370590478e-4,1,2312,1486
Gria3,4.08958688983332e-4,3.05274488643309e-4,2.6828634776201847e-4,2,211,727
HIST2H2BE_containing_gene13999,4.079425269640837e-4,1.1577729444490086e-4,0,3,2825,12501
Grm5,4.078246906404451e-4,2.9591132796737665e-5,2.6299062246360854e-4,4,8901,1012
LOC110597502,4.0770728438429963e-4,8.548786283967745e-5,3.277333345180091e-4,5,3875,137
Tmem198,4.074873113754796e-4,4.814182856526842e-5,1.353792113993842e-4,6,6564,2388
MIR124-2HG_containing,4.074084306951078e-4,3.0125849403512183e-4,1.51736486486171e-4,7,233,2033
Kcnd2,4.073766117270106e-4,8.075753133737361e-5,1.9297470359216153e-4,8,4162,1446
Sorcs2,4.0735500833138997e-4,2.889117064556181e-4,1.272912831843678e-4,9,521,2613
LOC110596965,4.0723942852341504e-4,0,2.7836282596901496e-4,10,12575.5,425
Mbnl2,4.071732066111216e-4,1.1592826963642075e-4,2.7930931489176375e-4,11,2822,408
Dscam,4.068338253577478e-4,4.767996222443254e-5,1.7613667594032587e-4,12,6617,1625
Fzd2,4.0682450309667843e-4,7.22976644527193e-5,3.457360900691519e-4,13,4674,70
Wwtr1,4.0653943719531096e-4,2.8268090643363095e-4,2.288141723231614e-4,14,756,1143
Slc41a1,4.0653906189277186e-4,1.5625787384270577e-4,1.7485595792896268e-4,15,1714,1643
Slc6a11,4.064626194959474e-4,3.720042580157792e-4,2.041504246521051e-4,16,12,1289
Brox,4.064361144928004e-4,2.9093433886097494e-4,1.1022337355173096e-4,17,451,3086
Tbkbp1,4.064333883647813e-4,1.1461801809710551e-4,1.275998771215167e-4,18,2862,2607
RBBP7,4.064184579423128e-4,1.9845577958434488e-4,2.731182922711408e-5,19,1146,8685
Astn2,4.0629219282428697e-4,2.4999516308323077e-4,2.336911256269636e-4,20,823,1126
Ntm,4.0615004873110935e-4,2.900166154703143e-4,1.7109593586469874e-4,21,473,1742
Sez6l,4.0611267489357747e-4,1.5181837732378806e-4,3.18760399783325e-4,22,1818,172
G21460,4.057945515249221e-4,9.821826340197163e-5,2.4434305900015193e-4,23,3340,1077
Ctnna2,4.057528338520552e-4,1.41112134688266e-4,2.9141875268554523e-4,24,2088,292
GLRA2_like,4.0562434542140414e-4,0,2.652499500215193e-4,25,12575.5,935
Lingo2,4.05377073961699e-4,1.2484421367369914e-4,2.1724251983058594e-4,26,2512,1197
Sesn3,4.0527199265643954e-4,6.7192372864532e-5,5.934851802790048e-5,27,4977,5281
Chtop,4.0484799685497065e-4,1.8243324010920473e-4,2.7209337395445643e-4,28,1429,586
Kpna4,4.043535018995167e-4,8.87396834914621e-5,1.3928274370180366e-5,29,3701,11298
Mtpn,4.041441950367987e-4,2.175934300079355e-4,1.2652920474037836e-4,30,1007,2634
Ccdc85a,3.66375907575336e-4,3.098268946505411e-5,2.6556221726484723e-4,31,8665,905
Lrp4,3.657378293243919e-4,3.763045557668383e-5,7.000735138942658e-5,32,7721,4629
Cenpj,3.6538834778910195e-4,3.7521006538074103e-4,1.7453253196530826e-4,33,9,1650
Ttc7b,3.6468887662771275e-4,1.5206185564941045e-4,1.9146006944335036e-4,34,1806,1470
Kif21b,0.00036375324213926055,8.832664866633987e-5,2.4324850299311036e-5,35,3726,9225
Frmd8,3.6335654978507647e-4,3.1448855675899647e-4,0,36,132,12501
Rims4,3.554410341354938e-4,8.660980471444558e-5,3.279832978007619e-5,37,3808,7805
LOC101977304,3.5365581911135456e-4,2.7561965421596825e-5,3.389041874084256e-4,38,9236,128
Slit1,3.526647175695192e-4,5.091209741064921e-5,1.2335207973718595e-4,39,6263,2714
Bex4,3.519525957692368e-4,4.537400984663587e-4,2.064883022068534e-4,40,1,1265
Clasp2,3.5163959567017535e-4,7.333388930946263e-5,8.167094014183796e-5,41,4621,4022
Nrep,3.51458756448313e-4,2.305710807094826e-4,3.090035183611345e-4,42,886,192
Nrxn3,3.514151557044895e-4,8.595625790752321e-5,2.6839435363613175e-4,43,3843,725
Kdsr,3.508477739470742e-4,6.417510976576852e-5,2.7431960354886955e-4,44,5175,489
Dzip1,3.5028836911425173e-4,2.7386663888017397e-4,3.3934739653565147e-4,45,769,122
GLRA2_G3412,3.495146801983786e-4,0,0,46,12575.5,12501
Lamc1,3.4939549651963044e-4,1.0635517180372287e-4,9.623552274485977e-5,47,3080,3533
Thtpa,3.490619935113551e-4,2.850896827996056e-4,1.4365961916234003e-4,48,730,2161
LINC00599_containing,3.482264899236156e-4,2.867864885200606e-4,1.3765388333489048e-4,49,645,2317
Atp1b2,3.479171794900351e-4,3.734600060082286e-4,3.3608851324647897e-5,50,10,7705
Mtss1l,3.468243555408856e-4,0.00028653074262681005,2.119149117696872e-4,51,661,1222
Arhgdig,3.466616194876183e-4,9.000525172060061e-5,3.4115324068680097e-4,52,3649,108
Nrarp,3.4663857526822593e-4,1.8292290866600853e-4,2.5646369895026216e-4,53,1423,1043
Plrg1,3.465358431736983e-4,1.2137199996265774e-4,2.8592882275054187e-4,54,2663,345
S1pr1,3.465139569186877e-4,1.8589325535277199e-4,1.1793086967383027e-4,55,1373,2873
Trim28,3.460484257843647e-4,1.299576353016403e-4,1.9481631125161565e-4,56,2329,1405
Cacng7,3.457476974034872e-4,7.251388783572627e-5,2.74595083234415e-4,57,4663,478
Ago2,3.450358780288253e-4,7.243148838556095e-5,1.2320589902664226e-4,58,4668,2718
Taf8,3.44389313391499e-4,1.3094542957334574e-4,7.509143673063468e-5,59,2302,4322
Unc119b,3.4428013339528357e-4,9.656421672516904e-5,1.5565759353785647e-4,60,3398,1986
MEG3_containing,3.439235331728764e-4,8.515909183209281e-5,9.171831905296991e-5,61,3899,3661
Csnk1a1,3.435110974246356e-4,1.552157319721002e-4,1.5406530001596668e-4,62,1745,2005
Fam57a,3.434908516223499e-4,9.71366499850676e-5,2.644771451239303e-4,63,3378,969
Rps6kl1,3.434332596368172e-4,3.0762027388610595e-4,3.5483178617861896e-4,64,189,52
Unc13c,3.433354905168794e-4,2.9064149290653835e-4,2.7277324139793563e-4,65,460,553
Ldha,3.4328724215849406e-4,2.904175902007642e-4,3.7993389321946865e-4,66,465,23
LOC101960968,3.4318708826452796e-4,9.181698598796548e-5,6.786841035317364e-5,67,3566,4741
Kcnc2,3.431369329017929e-4,1.4536602290756865e-4,2.694041435231819e-4,68,1973,681
Klhl21,3.4287015728033204e-4,3.6164497261373434e-4,2.7461461544194855e-4,69,40,477
CUNH11orf49,3.4269235530858655e-4,2.9218819484630584e-4,3.4200129205097426e-4,70,407,97
Kdm3a,3.419883917158455e-4,2.9311753017301694e-4,4.367549244372604e-4,71,367,7
Rnpep,3.419371278855502e-4,1.5733148109633275e-4,1.5684352418055938e-4,72,1691,1963
Bmt2,3.409333573856144e-4,1.4418028326828865e-4,1.7768376894999982e-4,73,2006,1604
Plpp3,3.409323908493382e-4,2.858173601939849e-4,3.199822909026144e-4,74,702,166
RAP1B,3.402605471251813e-4,2.0360028386146728e-4,1.5918198148904815e-4,75,1106,1932
CBLN4,3.391183799745106e-4,0,0,76,12575.5,12501
Acan,3.3899108810660217e-4,3.7325924574871876e-5,0,77,7754,12501
Kat5,3.3858430820926454e-4,1.1540776871273568e-4,1.2112539489148018e-4,78,2836,2778
Plod2,3.3732843867377414e-4,9.50472022912913e-5,3.365709038039327e-5,79,3454,7696
Amd1,3.372671894372744e-4,2.925928593117338e-4,1.8681502821488863e-4,80,385,1510
CACNA1C_containing_gene16475,3.353163475198368e-4,2.451460418082359e-4,0,81,839,12501
Piezo1,3.352745101291478e-4,8.726766046650533e-5,2.6953407908372566e-4,82,3765,676
Apmap,3.3464150480238045e-4,2.6330017859805178e-5,2.6394520814820685e-5,83,9459,8854
Ncoa6,3.329387595825834e-4,3.5967383108548805e-4,6.231697065678886e-5,84,54,5081
Cachd1,3.316567501065079e-4,1.688691268948333e-4,1.5513958875482056e-5,85,1536,10917
Arpc1b,3.306276748981468e-4,1.1003718577991693e-4,1.7266169347633745e-4,86,2973,1698
Mmp15,3.3062113344121215e-4,3.006966753412157e-4,1.8901335533648633e-5,87,237,10173
SHC3_containing,3.3031974333905354e-4,2.1764800166484055e-4,1.107011875045582e-4,88,1006,3076
UBE2QL1_containing,3.2953773894410277e-4,1.0890453693069972e-4,7.380519778148892e-5,89,3006,4388
Axl,3.288804240059983e-4,3.202919756406544e-4,5.309824663482813e-5,90,105,5718
Frat2,3.259907316813777e-4,2.8567915916868534e-4,7.547931329160459e-5,91,705,4299
ZNF311_like,3.2593135859870196e-4,1.3837476610514292e-4,1.0604408481002549e-4,92,2146,3241
Sh3d19,3.252068625673165e-4,2.9962534124906534e-5,1.6373137151062263e-5,93,8833,10733
Slc1a3,3.24931615899097e-4,3.121394665976319e-4,3.2200949528354534e-5,94,156,7904
Tceal7,3.243635470332888e-4,3.8783562409696936e-5,1.545599354320806e-5,95,7555,10937
STMP1_like_gene15128,3.243582688459489e-4,1.993036617528294e-4,1.1433033378135057e-4,96,1138,2979
Asic1,3.2424800641439665e-4,5.08969836773909e-5,5.247315248591241e-5,97,6267,5766
Fuca1,3.2405683097297167e-4,1.6446407272028725e-4,9.752752248729672e-5,98,1570,3497
