"","gene","r","module_color","module_n"
"1","PURA",0.787793322540856,"tan",12
"2","FAM120C",0.730043753317992,"turquoise",1
"3","SHC3_like",0.431168486804244,"turquoise",1
"4","CYSTM1",0.608827581879985,"blue",2
"5","UBE2N_ENSSTOG00000002166",0.765495081369701,"brown",3
"6","TMEM184C_ENSSTOG00000003964",0.728975544812982,"orange",25
"7","KCTD4",0.345503261311546,"yellow",4
"8","BCL2L1_ENSSTOG00000007643",0.185882177879665,"grey",0
"9","RRAGA",0.214618339648379,"blue",2
"10","MORF4L1_ENSSTOG00000009157",0.809249446813081,"brown",3
"11","ZNF112",0.910858712236318,"turquoise",1
"12","H1F0_ENSSTOG00000014808",0.579668600682062,"grey",0
"13","ENSSTOG00000014826",0.600127086445058,"blue",2
"14","ZBED8",0.769552493018124,"turquoise",1
"15","KIAA0232",0.331694490364152,"grey",0
"16","RTL8C_ENSSTOG00000019454",0.142800656723561,"grey",0
"17","PLEKHB2_ENSSTOG00000019474",-0.17622443488267,"grey",0
"18","RPS6_ENSSTOG00000019647",0.635954544806976,"brown",3
"19","LDOC1",0.608656185655846,"blue",2
"20","MRPL9",0.561292331259399,"green",5
"21","RTL8A_ENSSTOG00000020310",0.370516157390536,"grey",0
"22","RPL24_ENSSTOG00000020333",0.503659649628822,"greenyellow",11
"23","RPL5_ENSSTOG00000020981",0.653020915689106,"blue",2
"24","ENSSTOG00000021438",0.719190822425656,"turquoise",1
"25","PTP4A1_ENSSTOG00000021612",0.703604167177673,"midnightblue",15
"26","UBE2G1_like_ENSSTOG00000021672",0.846673756243816,"lightgreen",18
"27","MTLN",0.0397703379350917,"grey",0
"28","RPS24_ENSSTOG00000023496",0.738886845632636,"brown",3
"29","CD82_like",0.815918342017354,"blue",2
"30","DAP_containing",0.72815566616372,"blue",2
"31","ATG12",-0.117586982773766,"grey",0
"32","NCS1_containing",0.713520351784601,"yellow",4
"33","RPL37A_ENSSTOG00000025537",0.479493011125702,"blue",2
"34","RPS6_ENSSTOG00000025963",0.792559243814991,"blue",2
"35","RPL10A",0.80557460167089,"blue",2
"36","ATP6V1D_like",0.691106204179871,"blue",2
"37","GAS7_containing",0.286092824180874,"turquoise",1
"38","MAGEH1",0.556925706639425,"yellow",4
"39","RPS3A_ENSSTOG00000028898",0.765456217265317,"greenyellow",11
"40","ENSSTOG00000029288",0.476558004190414,"yellow",4
"41","ENSSTOG00000029436",0.596497666481643,"turquoise",1
"42","TINCR",-0.501059781490682,"grey",0
"43","ENSSTOG00000029532",0.657667003530441,"yellow",4
"44","ZNF146_ENSSTOG00000029664",0.607346435706819,"turquoise",1
"45","ENSSTOG00000029823",0.887969688855731,"yellow",4
"46","ENSSTOG00000029825",0.71974830041179,"yellow",4
"47","EIF4B_ENSSTOG00000029945",0.409049776221988,"blue",2
"48","ENSSTOG00000030034",0.718127352926384,"brown",3
"49","TMA7_ENSSTOG00000030110",0.606533990491322,"brown",3
"50","PANTR1_containing",-0.116317646742821,"grey",0
"51","ENSSTOG00000030229",0.391160041853596,"grey",0
"52","ENSSTOG00000030237",0.71901384452587,"blue",2
"53","ENSSTOG00000030386",0.783073946236378,"yellow",4
"54","ENSSTOG00000030661",0.0273428403220201,"grey",0
"55","LINC00672",0.813085612476016,"salmon",13
"56","COX6B1_like",0.733834232987919,"brown",3
"57","MIAT_exon5_3",0.725005639591755,"royalblue",20
"58","AGL_containing_ENSSTOG00000031387",0.182917198766707,"grey",0
"59","ENSSTOG00000031411",0.0763368677607993,"grey",0
"60","FKBP1A_ENSSTOG00000031532",0.691542556305893,"midnightblue",15
"61","MAP4_like",0.601672278504929,"brown",3
"62","ENSSTOG00000031812",0.538903229274705,"lightcyan",16
"63","ENSSTOG00000032022",0.755965694469969,"blue",2
"64","ENSSTOG00000032161",0.912459589500577,"yellow",4
"65","PPP1R2_like",0.788177658625141,"greenyellow",11
"66","NCL_like",0.263725596015365,"grey",0
"67","COX6B1_ENSSTOG00000032450",0.714038732279827,"brown",3
"68","SMKR1_like",0.824611831702306,"yellow",4
"69","MEF2D_containing",0.644449523799185,"yellow",4
"70","ENSSTOG00000032617",0.639281093666618,"yellow",4
"71","ENSSTOG00000032645",0.125037555965342,"grey",0
"72","ENSSTOG00000032651",0.0942679574634179,"grey",0
"73","LINC01578_containing",0.822020272856898,"brown",3
"74","ENSSTOG00000032929",0.416451068543088,"brown",3
"75","Metazoa_SRP_ENSSTOG00000032958",0.0984314279419285,"grey",0
"76","ZNF121_like",0.740786785213789,"turquoise",1
"77","ENSSTOG00000032997",0.576129034574138,"yellow",4
"78","ENSSTOG00000033080",0.81395718046768,"orangered4",39
"79","SMIM26",0.596411404653335,"brown",3
"80","MOV10_containing",0.755020824386576,"orangered4",39
"81","ENSSTOG00000033366",0.106877594254392,"grey",0
"82","ATF6_like",0.117045043468708,"grey",0
"83","ENSSTOG00000033635",0.684853878250082,"orangered4",39
"84","NEAT1_1_ENSSTOG00000033733",0.454828746150526,"black",7
"85","ENSSTOG00000033764",-0.121145644877851,"grey",0
"86","ENSSTOG00000033826",-0.290542835469547,"grey",0
"87","ENSSTOG00000033833",0.255597785680947,"grey",0
"88","SP2-AS1_containing",0.623371083761777,"yellow",4
"89","TRAK1_like_ENSSTOG00000033928",0.558042162113487,"grey",0
"90","ENSSTOG00000034143",0.657210880684852,"purple",10
"91","ENSSTOG00000034318",0.563570269107868,"midnightblue",15
"92","ENSSTOG00000034585",0.535607935333199,"green",5
"93","ENSSTOG00000034702",0.953619008314251,"turquoise",1
"94","FAM89B_like",0.778298741293253,"sienna3",35
"95","LINC00634",-0.091872648066455,"grey",0
"96","ENSSTOG00000034809",0.596882017424572,"green",5
"97","TTC3_like_ENSSTOG00000034948",0.294226278166249,"grey",0
"98","G10012",0.586000048827717,"saddlebrown",29
"99","G10018",0.50333419825515,"green",5
"100","G10020",0.475319377248168,"grey60",17
"101","AFF1_containing",0.392713278981457,"blue",2
"102","G10026",-0.223416531523589,"grey",0
"103","G10028",-0.168590652837276,"grey",0
"104","AFF1_like",0.00681616566857165,"grey",0
"105","HMGN2_G1006",0.704940314325251,"greenyellow",11
"106","HSD17B11_G10065",0.784794928124771,"greenyellow",11
"107","G10085",0.613939558162824,"grey",0
"108","G10098",0.536773026857909,"saddlebrown",29
"109","G10099",0.707473740305927,"saddlebrown",29
"110","G1010",0.765992296571476,"turquoise",1
"111","G10104",0.270979175815941,"grey",0
"112","CAMK2G_like",0.674676449319405,"blue",2
"113","G10112",0.7225191918677,"greenyellow",11
"114","CCNI_like",-0.351525235934229,"grey",0
"115","G10161",-0.0449019572846345,"grey",0
"116","SDAD1_like_G10180",0.706112851714456,"brown",3
"117","G10182",0.678274455991033,"salmon",13
"118","G10187",0.476170632953316,"pink",8
"119","G10190",0.322632161979722,"yellow",4
"120","G10191",0.731472765656685,"skyblue3",37
"121","G10206",0.67023936462274,"grey60",17
"122","G10221",-0.144306260372452,"grey",0
"123","G10236",0.52914989022842,"red",6
"124","G10242",-0.118811613169821,"grey",0
"125","G10245",0.661026506094437,"brown",3
"126","G10270",-0.0657854707844147,"grey",0
"127","G10279",0.421276893902803,"grey",0
"128","G10308",0.520279695162089,"turquoise",1
"129","G10335",0.568252356241503,"grey60",17
"130","G1034",0.460989028073096,"black",7
"131","PPAT_containing",0.385925350422138,"red",6
"132","KIT_containing",0.6589971316072,"salmon",13
"133","CHIC2_like",0.746096093654185,"greenyellow",11
"134","ADIPOR1_G1038",0.575912011227486,"black",7
"135","G10410",0.100485967910014,"grey",0
"136","G10411",0.0571430373078352,"grey",0
"137","GABRA4",0.348131866621655,"yellow",4
"138","GABRA4_containing",0.426581037580483,"turquoise",1
"139","G10437",0.760468256155622,"red",6
"140","G10439",0.823242769432782,"red",6
"141","G10440",0.547766022311022,"green",5
"142","GABRB1_containing",0.74880948435461,"yellow",4
"143","SLC30A9_containing",0.590402010803532,"saddlebrown",29
"144","APBB2_like_G10465",0.816269721188139,"violet",32
"145","G10504",0.766065411815567,"purple",10
"146","G10510",0.020097803888496,"grey",0
"147","RELL1",0.501174178290771,"brown",3
"148","G10522",0.636202586505247,"yellow",4
"149","TBC1D19_containing",0.18903610870301,"grey",0
"150","SPOCK2_containing",0.79390471330401,"darkmagenta",34
"151","SEPSECS_containing",0.686216837890808,"turquoise",1
"152","KCNIP4",0.850537239336478,"salmon",13
"153","G10599",0.145071771493581,"grey",0
"154","G10628",0.0586888774466424,"grey",0
"155","G10635",0.629574461064627,"grey60",17
"156","ZNF518B_containing",0.509210817844771,"purple",10
"157","G1065",0.475075676838823,"sienna3",35
"158","WDR1",0.609461705079673,"brown",3
"159","UNC5B_containing",0.645981873241139,"darkorange",26
"160","G10685",-0.375611343583831,"grey",0
"161","G10691",0.567282144391334,"blue",2
"162","G10733",0.833495784517531,"yellow",4
"163","ADRA2C_containing",-0.654004447644215,"grey",0
"164","G10738",0.718579869308591,"turquoise",1
"165","G10744",0.0104320486876627,"grey",0
"166","RPL21_G1075",0.626003835789004,"brown",3
"167","G10765",0.758075832447144,"salmon",13
"168","G10799",0.613995570814553,"blue",2
"169","G10810",0.547214424246702,"turquoise",1
"170","G10822",0.931013143423753,"turquoise",1
"171","G10853",0.933121805971957,"turquoise",1
"172","TMEM271_containing",0.960024978967939,"yellow",4
"173","AUTS2_G10872",-0.0995491454012906,"grey",0
"174","G10883",0.439044091676981,"turquoise",1
"175","G10887",0.452196296989432,"yellow",4
"176","G10904",0.917430931513486,"darkred",21
"177","G10908",0.630516241771755,"green",5
"178","G10912",0.738771871052944,"saddlebrown",29
"179","G10915",0.8607907471036,"turquoise",1
"180","G10917",0.744627709512518,"saddlebrown",29
"181","GLUD1",0.408901208113516,"brown",3
"182","G10933",0.511917954856179,"saddlebrown",29
"183","G10934",0.7578442865273,"blue",2
"184","NDST3",0.763260642656503,"white",27
"185","SGMS2_like",0.705897218396297,"red",6
"186","CXXC4",0.795243770463735,"salmon",13
"187","DNAJB14_containing",0.937937513747327,"greenyellow",11
"188","G11048",0.731427167485348,"grey",0
"189","G11064",0.344272288196777,"grey",0
"190","G11069",0.150068717240638,"grey",0
"191","G11079",0.131350436428839,"grey",0
"192","BMPR1B_containing",0.608173708713604,"orange",25
"193","G11083",0.620791207371091,"midnightblue",15
"194","GPRIN3_containing",-0.131750052422794,"grey",0
"195","G11109",0.743265039320386,"brown",3
"196","G11127",0.643494468812713,"grey60",17
"197","NUS1_like_G11141",0.863640409395394,"pink",8
"198","HNRNPC",0.511093156099246,"green",5
"199","G11159",0.825873461384773,"orangered4",39
"200","GRIA2_like",0.691513917981318,"darkorange",26
"201","G11198",0.635431561013692,"orangered4",39
"202","G1121",-0.444970365706828,"grey",0
"203","G11210",0.864464768910269,"greenyellow",11
"204","G11221",0.520387740637553,"lightgreen",18
"205","G11224",0.631825508008121,"yellow",4
"206","MIR4453HG_containing",0.654263328918699,"cyan",14
"207","FBXW7",0.801324780690673,"yellow",4
"208","TMEM184C_like",0.756448111409006,"orange",25
"209","ABHD3_like",0.700214002638491,"green",5
"210","OTUD3",0.696161510539241,"turquoise",1
"211","G11328",0.81780436473875,"yellow",4
"212","RNF150_like",0.891121248748393,"yellow",4
"213","G11333",0.340657719159916,"lightyellow",19
"214","HHIP_like",0.617605425922059,"orange",25
"215","G11362",0.599900073906942,"white",27
"216","SLC7A11_containing",0.596148330921979,"red",6
"217","CCSER1_like",0.759788948870505,"salmon",13
"218","TMEM184C_G11404",0.594605127575396,"orange",25
"219","G11410",0.454296036100679,"turquoise",1
"220","MAP2K6",0.467561206470194,"lightgreen",18
"221","G11419",0.543930551338272,"paleturquoise",31
"222","G11422",0.799121237603087,"yellow",4
"223","PGRMC2_like_G11440",0.619348332623956,"red",6
"224","TET1_containing",0.827501606956252,"red",6
"225","KCNA6_G11483",0.58990945981225,"purple",10
"226","TMEM155_containing",0.93467178207236,"yellow",4
"227","G11535",0.59265169250734,"blue",2
"228","G11537",0.704315046772058,"orange",25
"229","G11542",0.46731920353061,"turquoise",1
"230","G11554",-0.00362104791669378,"grey",0
"231","G11561",0.787319843185676,"midnightblue",15
"232","G11572",0.622187421138229,"red",6
"233","G11603",0.726889356649351,"purple",10
"234","G11629",-0.763523567790873,"grey",0
"235","G11630",0.569199094242523,"turquoise",1
"236","G11663",-0.23929329661862,"grey",0
"237","SYT3_like",-0.335536661041639,"grey",0
"238","G11727",0.535687989806509,"turquoise",1
"239","G11742",0.61616505694804,"turquoise",1
"240","G11761",0.685445302395066,"turquoise",1
"241","G11764",0.716426301312459,"turquoise",1
"242","CACNG8_containing",0.823882140654501,"yellow",4
"243","G11769",0.564366653321463,"yellow",4
"244","G11804",0.556884764174812,"turquoise",1
"245","ZNF331_containing",0.50126449671444,"midnightblue",15
"246","G11838",0.616206191068918,"red",6
"247","G11843",0.420193159669873,"yellow",4
"248","G11885",0.718031076925418,"blue",2
"249","DDX50",0.348080372282512,"turquoise",1
"250","ZNF415_containing",0.671210953129632,"turquoise",1
"251","ZNF83_containing_G11891",0.582733990885135,"turquoise",1
"252","G11897",0.616855481135928,"blue",2
"253","G11899",-0.238520390389269,"grey",0
"254","CEBPG_containing",0.729996657601765,"blue",2
"255","ANK3_like",0.337225897556307,"grey",0
"256","G11953",0.721908719666206,"darkturquoise",23
"257","FXYD7",-0.509312078684965,"grey",0
"258","G11979",0.448999914740001,"turquoise",1
"259","FTH1_G11993",0.333014331393307,"brown",3
"260","ZNF260_containing_G12038",0.802625790220293,"turquoise",1
"261","MORF4L1_G12041",0.763004712046543,"brown",3
"262","G12058",0.706827784325126,"turquoise",1
"263","G12077",0.707284644342001,"turquoise",1
"264","G12080",0.0761426901126341,"grey",0
"265","G12081",0.848064922532053,"turquoise",1
"266","G12096",0.694920575606512,"turquoise",1
"267","G12097",0.775391623664548,"grey60",17
"268","G12119",0.383241654060792,"yellow",4
"269","IPMK_containing",0.753526530171557,"red",6
"270","ZNF793_containing_G12143",-0.0511196681442762,"grey",0
"271","G12155",0.812117120864883,"saddlebrown",29
"272","G12251",0.680930299687868,"grey60",17
"273","G12252",0.74782399022371,"grey60",17
"274","G12288",-0.108631887780002,"grey",0
"275","G1230",0.714022899023129,"pink",8
"276","G1232",0.0811810170530978,"grey",0
"277","G12328",0.606975842177096,"darkgrey",24
"278","G1234",0.706523184313181,"green",5
"279","G12343",0.671737581004842,"turquoise",1
"280","G12344",0.72651998871276,"lightcyan",16
"281","PRKG1",0.401023706566075,"yellow",4
"282","G12413",0.752991051601972,"skyblue",28
"283","G12421",0.91544932191954,"turquoise",1
"284","G12423",0.679571191944327,"turquoise",1
"285","PTEN_containing",0.718579114825199,"lightgreen",18
"286","G12577",0.604222523871189,"sienna3",35
"287","G12596",-0.241394882948565,"grey",0
"288","G12601",-0.332638792648523,"grey",0
"289","G12605",-0.433826085087678,"grey",0
"290","G12628",0.562549089927913,"green",5
"291","G12638",0.25660645104427,"turquoise",1
"292","G1274",0.561612276409132,"turquoise",1
"293","G1284",0.0751998393283438,"grey",0
"294","G1289",0.828263855961484,"steelblue",30
"295","RBM39_G12903",0.299137758204359,"grey",0
"296","RBM39_G12912",0.656549237487711,"red",6
"297","G12914",0.521791718403499,"green",5
"298","G12918",0.841441719089529,"orangered4",39
"299","ECE1",0.940345284998627,"orangered4",39
"300","G12932",0.885456177190795,"orangered4",39
"301","G12941",0.65408556156579,"darkgreen",22
"302","G12968",0.660846494056471,"darkturquoise",23
"303","G13005",-0.257491488797802,"grey",0
"304","G13022",0.775833625756298,"turquoise",1
"305","G13044",0.733136461341808,"blue",2
"306","G13109",0.538690587534748,"yellowgreen",36
"307","G13115",0.562820738431172,"turquoise",1
"308","MAF",0.204039947916128,"grey",0
"309","G13237",0.78425132170417,"darkred",21
"310","MAF_containing",0.603989382763839,"darkmagenta",34
"311","G13248",0.575615380589634,"turquoise",1
"312","G13250",-0.152580752942057,"grey",0
"313","H3F3AP4_like",0.662101872383008,"lightyellow",19
"314","G13276",0.677459229340775,"turquoise",1
"315","G13286",0.463161265120449,"blue",2
"316","HSPBAP1_containing",-0.207229332663092,"grey",0
"317","G13329",0.901289460683899,"cyan",14
"318","NFAT5_containing",0.731991618449138,"turquoise",1
"319","G13352",0.672355026264052,"red",6
"320","G13372",-0.0143015889421464,"grey",0
"321","G1341",0.288805819598601,"grey",0
"322","RPS12",0.786850916410463,"brown",3
"323","G1346",0.316908360357146,"turquoise",1
"324","G13462",0.872860797224008,"paleturquoise",31
"325","CDH11",0.829281982017691,"turquoise",1
"326","G13487",0.765908914669811,"purple",10
"327","G13500",0.548344229365633,"darkred",21
"328","GOT2_G13506",0.79498182725929,"brown",3
"329","G13527",0.740591726328894,"lightgreen",18
"330","MIR138-2_containing",0.848614347765106,"turquoise",1
"331","NUDT21_containing",0.415589655872617,"brown",3
"332","G1359",0.0952857570736252,"grey",0
"333","G136",0.0385971783423448,"grey",0
"334","G1366",0.753098507556064,"brown",3
"335","G13691",0.476625421881593,"red",6
