"","module_color","hubgene","module_n","n"
"1","turquoise","Mapk14",1,2092
"2","blue","Mrps7",2,1768
"3","brown","Mff",3,1423
"4","yellow","Fbxl16",4,1335
"5","green","Lgi3",5,713
"6","red","Senp7",6,472
"7","black","Cd63",7,444
"8","pink","Hspa13",8,319
"9","magenta","Pcnx3",9,286
"10","purple","Cpm",10,282
"11","greenyellow","Xiap",11,270
"12","tan","Mapk8ip3",12,256
"13","salmon","NCAM2_containing_gene23294",13,246
"14","cyan","EGFEM1P_containing_gene15217",14,238
"15","midnightblue","Mtpn",15,215
"16","lightcyan","Zmiz1",16,211
"17","grey60","Pura",17,200
"18","lightgreen","Cers6",18,194
"19","lightyellow","Pi4kb",19,167
"20","royalblue","Tnrc18",20,156
"21","darkred","G3859",21,136
"22","darkgreen","Ptpra",22,134
"23","darkturquoise","Leng8",23,131
"24","darkgrey","Apbb1",24,128
"25","orange","TMTC1_containing",25,122
"26","darkorange","Rgs8",26,116
"27","white","TMEM135_like",27,114
"28","skyblue","Gtf2h1",28,104
"29","saddlebrown","G245",29,103
"30","steelblue","Luc7l",30,101
"31","paleturquoise","G39681",31,101
"32","violet","Pik3r3",32,99
"33","darkolivegreen","Aldh1l1",33,96
"34","darkmagenta","Cacng7",34,93
"35","sienna3","Mbd3",35,91
"36","yellowgreen","Nfasc",36,81
"37","skyblue3","Rrn3",37,67
"38","plum1","Slc4a5",38,62
"39","orangered4","ECE1",39,55
