"","topcorgene","module_color","module_n","module_genes","membership"
"1","Crebl2","grey",0,NA,0.827150478356114
"2","Fam98b","grey",0,NA,0.732851281117405
"3","Exd2","grey",0,NA,0.732199445851481
"4","Ipcef1","grey",0,NA,0.716069608641738
"5","HEATR5B_like","grey",0,NA,0.712591227655426
"6","Chml","grey",0,NA,0.699689415072685
"7","Wdpcp","grey",0,NA,0.685807869859986
"8","Scp2","grey",0,NA,0.678541106823796
"9","Dock1","grey",0,NA,0.654698735155977
"10","Tspan1","grey",0,NA,0.650554728847916
"11","Pyurf","grey",0,NA,0.639646112395576
"12","Ints3","grey",0,NA,0.636559876039015
"13","Ahcy","grey",0,NA,0.631580113028608
"14","Tomm7","grey",0,NA,0.630966320863679
"15","Abcb7","grey",0,NA,0.629119347456124
"16","Nudt5","grey",0,NA,0.619171398743429
"17","Glyctk","grey",0,NA,0.616612718106321
"18","Fnta","grey",0,NA,0.615827963711567
"19","Zfand1","grey",0,NA,0.615569445931433
"20","Cwc27","grey",0,NA,0.61302194733328
"21","Cbll1","turquoise",1,3050,0.985064435768364
"22","Amd1","turquoise",1,3050,0.977632600439703
"23","Cep350","turquoise",1,3050,0.97052798536739
"24","Rfwd3","turquoise",1,3050,0.96978501124761
"25","G40583","turquoise",1,3050,0.967390005714482
"26","Fbxo28","turquoise",1,3050,0.963604969910513
"27","DIPK2A_like","turquoise",1,3050,0.96318343828579
"28","Spry3","turquoise",1,3050,0.962969244853315
"29","Crkl","turquoise",1,3050,0.962171891236744
"30","Rps6kb1","turquoise",1,3050,0.961031069614375
"31","Kdm5a","turquoise",1,3050,0.961017018452621
"32","Ythdc1","turquoise",1,3050,0.960621082141713
"33","Zbtb34","turquoise",1,3050,0.959309034470392
"34","Mex3c","turquoise",1,3050,0.959170857401421
"35","Lig4","turquoise",1,3050,0.958935675218884
"36","TACO1_containing","turquoise",1,3050,0.95889361594604
"37","Fadd","turquoise",1,3050,0.958774888564557
"38","Znf280b","turquoise",1,3050,0.957439960156929
"39","Clk4","turquoise",1,3050,0.956131347048906
"40","Ctdsp2","turquoise",1,3050,0.956111558374034
"41","Slc25a4","blue",2,2323,0.94941248028157
"42","COX5B_like_gene22048","blue",2,2323,0.949348700313997
"43","Capns1","blue",2,2323,0.944589000171193
"44","Lamtor1","blue",2,2323,0.942517652627133
"45","Cltb","blue",2,2323,0.940601485068463
"46","Ubc","blue",2,2323,0.937322916886633
"47","Pigt","blue",2,2323,0.937127527289305
"48","Pnpla6","blue",2,2323,0.936111032315257
"49","Actb","blue",2,2323,0.935201779214986
"50","Mapk3","blue",2,2323,0.934810563198515
"51","Mlf2","blue",2,2323,0.933515441662056
"52","Spag7","blue",2,2323,0.932388615988227
"53","Ech1","blue",2,2323,0.931748316207109
"54","Exosc4","blue",2,2323,0.930485231409835
"55","G31494","blue",2,2323,0.929734003838778
"56","Ube2v1","blue",2,2323,0.929584580500573
"57","Idh3g","blue",2,2323,0.929202268838049
"58","Eif4h","blue",2,2323,0.928670229165305
"59","Rab5c","blue",2,2323,0.928586657951882
"60","Tbc1d20","blue",2,2323,0.926091696305664
"61","Hspa9","brown",3,972,0.960975392233343
"62","Slc35b1","brown",3,972,0.955234895556999
"63","Abhd2","brown",3,972,0.947282706669462
"64","Vapa","brown",3,972,0.934366355913179
"65","Psma4","brown",3,972,0.9332988091937
"66","Dlst","brown",3,972,0.931813104549096
"67","Rnf115","brown",3,972,0.931693325263929
"68","Atp6v1g1","brown",3,972,0.929538470128402
"69","Atp5c1","brown",3,972,0.928874214192153
"70","Anxa7","brown",3,972,0.924713789736131
"71","Psmc2","brown",3,972,0.923716152971417
"72","Cap1","brown",3,972,0.919492557637345
"73","Cd63","brown",3,972,0.91793314329158
"74","Ctsd","brown",3,972,0.916637968971451
"75","Pmpcb","brown",3,972,0.916572883188211
"76","Psma7","brown",3,972,0.916263544316272
"77","Tmem248","brown",3,972,0.915217222457709
"78","Atp5f1","brown",3,972,0.913812344498055
"79","Rtfdc1","brown",3,972,0.910875179051976
"80","Hadha","brown",3,972,0.908189141848346
"81","Ptprm","yellow",4,919,0.940672559110055
"82","Grm7","yellow",4,919,0.928224534877734
"83","Lrrtm4","yellow",4,919,0.921313197504919
"84","Nrxn1","yellow",4,919,0.91317698803855
"85","Ap3b2","yellow",4,919,0.909152422861007
"86","Nrg3","yellow",4,919,0.898977094593675
"87","Rabl6","yellow",4,919,0.894347860872489
"88","Prpf40b","yellow",4,919,0.894220532444525
"89","Lingo2","yellow",4,919,0.893887455165693
"90","Adgrb3","yellow",4,919,0.893616428824479
"91","Phc1","yellow",4,919,0.893132992355216
"92","Sars2","yellow",4,919,0.890603174252627
"93","R3hdm2","yellow",4,919,0.890329616781832
"94","Adcy2","yellow",4,919,0.889377954062068
"95","Rnft2","yellow",4,919,0.888990586739096
"96","Shc2","yellow",4,919,0.887047330322392
"97","G10765","yellow",4,919,0.886109326731101
"98","Nf1","yellow",4,919,0.883951961535798
"99","Tmem94","yellow",4,919,0.882745831247206
"100","LOC101967169","yellow",4,919,0.881272658717089
"101","LOC106144648","green",5,651,0.945441244385856
"102","Luzp1","green",5,651,0.938166483136867
"103","PABPC1L2B_like_gene25887","green",5,651,0.932269306899153
"104","Srsf4","green",5,651,0.922028300134257
"105","G25819","green",5,651,0.918856209485986
"106","Inpp4b","green",5,651,0.913910989852714
"107","Pdia2","green",5,651,0.912527120878525
"108","Tmem257","green",5,651,0.91138764921993
"109","Fam78b","green",5,651,0.910187133495402
"110","TPM4_containing","green",5,651,0.903906839346535
"111","TSHZ2_G30132","green",5,651,0.903772113931085
"112","OIP5-AS1_like","green",5,651,0.902068378086989
"113","Ece2","green",5,651,0.891827819113867
"114","Hnrnpa2b1","green",5,651,0.89083920496894
"115","KCNA3","green",5,651,0.886731051204639
"116","RAB30_containing","green",5,651,0.885701841851893
"117","Spop","green",5,651,0.885188307833587
"118","Tbkbp1","green",5,651,0.883761851791813
"119","G21909","green",5,651,0.881956933825916
"120","Marf1","green",5,651,0.880026233666654
"121","Tbl2","red",6,628,0.952323800601085
"122","Casc3","red",6,628,0.940018240996169
"123","Txnrd1","red",6,628,0.939697247872539
"124","Icmt","red",6,628,0.929153027906023
"125","Sqstm1","red",6,628,0.927604034855595
"126","Ubap2l","red",6,628,0.923643053823755
"127","Timm29","red",6,628,0.915983282497914
"128","Pcyt1a","red",6,628,0.910824180204412
"129","Cnot1","red",6,628,0.910491853989892
"130","Hnrnpf","red",6,628,0.909073254611316
"131","Kdelr2","red",6,628,0.908901937303926
"132","Fam104a","red",6,628,0.906558481523342
"133","Akirin1","red",6,628,0.902640655939475
"134","Mycbp","red",6,628,0.901799479241944
"135","Egln1","red",6,628,0.901779006722994
"136","Txnl1","red",6,628,0.901189055178327
"137","Rala","red",6,628,0.900061656038438
"138","Limk2","red",6,628,0.896175421215673
"139","Ncoa1","red",6,628,0.893993549156651
"140","Inafm2","red",6,628,0.889426917937297
"141","Dnm1","black",7,587,0.93140560357615
"142","Gap43","black",7,587,0.919521669848517
"143","Snap25","black",7,587,0.892295644637924
"144","Syt1","black",7,587,0.888421344263939
"145","Gabra1","black",7,587,0.886556587143843
"146","Slc24a3","black",7,587,0.885520881296603
"147","Cntnap2","black",7,587,0.883637857780833
"148","Vsnl1","black",7,587,0.883083393462554
"149","Myt1l","black",7,587,0.881183972153547
"150","Sptb","black",7,587,0.8798319703017
"151","Cntnap1","black",7,587,0.879178438564384
"152","Tspyl4","black",7,587,0.879123695371712
"153","Gabrb2","black",7,587,0.878822426267822
"154","Camta1","black",7,587,0.877092673187275
"155","Nsg2","black",7,587,0.876394505454995
"156","Ncdn","black",7,587,0.875645423967404
"157","Dlg2","black",7,587,0.875017494659922
"158","Prkce","black",7,587,0.868707681711054
"159","Dlgap1","black",7,587,0.868668103540585
"160","Hapln4","black",7,587,0.86829458023691
"161","Trmt11","pink",8,562,0.934834581527277
"162","Sdccag3","pink",8,562,0.918552100901397
"163","OST4_containing","pink",8,562,0.915341573495001
"164","G7215","pink",8,562,0.905848872238012
"165","Scaf8","pink",8,562,0.904641426134888
"166","CUNH3orf62","pink",8,562,0.903333057933778
"167","G33788","pink",8,562,0.901700910675943
"168","Eid1","pink",8,562,0.898280804441776
"169","Ppp1r15a","pink",8,562,0.89054991488526
"170","Casc4","pink",8,562,0.890231099471114
"171","Faf1","pink",8,562,0.882775045125037
"172","G32880","pink",8,562,0.87632284458786
"173","Npm1","pink",8,562,0.876273496564106
"174","G5074","pink",8,562,0.873762050684647
"175","UQCRC2_containing","pink",8,562,0.872051982283901
"176","G4177","pink",8,562,0.866501006536343
"177","Exoc7","pink",8,562,0.864609039783065
"178","Dazap2","pink",8,562,0.8638732096225
"179","G20435","pink",8,562,0.86372130131543
"180","Snx14","pink",8,562,0.861417868822406
"181","Col11a1","magenta",9,501,0.941753352713152
"182","Wsb1","magenta",9,501,0.941507912879333
"183","Slc7a2","magenta",9,501,0.923168887263231
"184","NRG3_containing","magenta",9,501,0.922210185214564
"185","Eln","magenta",9,501,0.921654956276073
"186","Arglu1","magenta",9,501,0.908524426209761
"187","Map3k6","magenta",9,501,0.901668754613608
"188","Tenm1","magenta",9,501,0.897475943935171
"189","Pgap3","magenta",9,501,0.892483254994622
"190","Col4a2","magenta",9,501,0.883133709056727
"191","Kdm4c","magenta",9,501,0.881777631043625
"192","Adamtsl5","magenta",9,501,0.880126929394319
"193","ERBB4_like","magenta",9,501,0.879348351116615
"194","Znf236","magenta",9,501,0.877899945448111
"195","FSTL5_like_gene23539","magenta",9,501,0.877252257344506
"196","G26558","magenta",9,501,0.874981704637234
"197","Rps6kl1","magenta",9,501,0.874581394428021
"198","Coro2b","magenta",9,501,0.874068926803159
"199","Negr1","magenta",9,501,0.871263207269485
"200","Dnah9","magenta",9,501,0.869424646727805
"201","Dmwd","purple",10,381,0.926832941428302
"202","Ppp2r1a","purple",10,381,0.904176202759961
"203","Sult4a1","purple",10,381,0.903861293711845
"204","Rnf187","purple",10,381,0.903779707752174
"205","Fam69b","purple",10,381,0.899856085047066
"206","Rundc3a","purple",10,381,0.897743480003252
"207","Mapk8ip2","purple",10,381,0.895830843933022
"208","Rell2","purple",10,381,0.89450441071324
"209","Ccdc92","purple",10,381,0.893476884304246
"210","CUNH16orf45","purple",10,381,0.893363222980586
"211","Cend1","purple",10,381,0.89037240920834
"212","Gsk3a","purple",10,381,0.889513332295818
"213","Tom1l2","purple",10,381,0.884688148155676
"214","Ap2a1","purple",10,381,0.883842069354208
"215","Clptm1","purple",10,381,0.882961552525009
"216","Syngr1","purple",10,381,0.881429460772863
"217","Rogdi","purple",10,381,0.880925243700213
"218","Snurf","purple",10,381,0.875079973373442
"219","Lingo1","purple",10,381,0.870665365410702
"220","Dmtn","purple",10,381,0.867409928739156
"221","Cnp","greenyellow",11,297,0.944779201013678
"222","Ca9","greenyellow",11,297,0.937988187330692
