"","topcorgene","hubgene","module_color","module_n","module_genes"
"1","Crebl2",NA,"grey",0,NA
"2","Cbll1","Cbll1","turquoise",1,3050
"3","Slc25a4","COX5B_like_gene22048","blue",2,2323
"4","Hspa9","Hspa9","brown",3,972
"5","Ptprm","Ptprm","yellow",4,919
"6","LOC106144648","LOC106144648","green",5,651
"7","Tbl2","Tbl2","red",6,628
"8","Dnm1","Dnm1","black",7,587
"9","Trmt11","Trmt11","pink",8,562
"10","Col11a1","Col11a1","magenta",9,501
"11","Dmwd","Dmwd","purple",10,381
"12","Cnp","Cnp","greenyellow",11,297
"13","Sec61a1","Sec61a1","tan",12,227
"14","Hspd1","Hspd1","salmon",13,207
"15","Gnao1","Gnao1","cyan",14,187
"16","Pom121c","Pom121c","midnightblue",15,185
"17","Slc6a13","Slc6a13","lightcyan",16,167
"18","Rapgef5","G13793","grey60",17,167
"19","Nsf","Nsf","lightgreen",18,128
"20","Znf280d","Znf280d","lightyellow",19,126
"21","Lrrc4b","Lrrc4b","royalblue",20,115
"22","Ppp2r5e","Ppp2r5e","darkred",21,105
"23","G16730","G16730","darkgreen",22,41
