"","gene","r","module_color","module_n"
"1","FAM120C",0.745621530185339,"blue",2
"2","CYSTM1",0.693774516438685,"pink",8
"3","UBE2N_ENSSTOG00000002166",0.786592816365536,"turquoise",1
"4","TMEM184C_ENSSTOG00000003964",0.576380730819505,"green",5
"5","KCTD4",0.579212248799054,"salmon",13
"6","RRAGA",0.0324495149575612,"grey",0
"7","MORF4L1_ENSSTOG00000009157",0.810537104176726,"yellow",4
"8","ZNF112",0.913667184217091,"blue",2
"9","H1F0_ENSSTOG00000014808",0.683769419337725,"yellow",4
"10","ENSSTOG00000014826",0.678729818293054,"turquoise",1
"11","ZBED8",0.799758990372837,"blue",2
"12","KIAA0232",-0.246422741338969,"grey",0
"13","PLEKHB2_ENSSTOG00000019474",0.0751409877519439,"grey",0
"14","RPS6_ENSSTOG00000019647",0.511613199853387,"turquoise",1
"15","MRPL9",0.633837245425433,"pink",8
"16","RTL8A_ENSSTOG00000020310",-0.292997686842899,"grey",0
"17","RPL24_ENSSTOG00000020333",0.486241916209105,"salmon",13
"18","RPL5_ENSSTOG00000020981",0.698534224505459,"turquoise",1
"19","ENSSTOG00000021438",0.71428231591344,"blue",2
"20","UBE2G1_like_ENSSTOG00000021672",0.861778574698372,"orange",25
"21","MTLN",0.0620669096563467,"grey",0
"22","RPS24_ENSSTOG00000023496",0.673961989311666,"yellow",4
"23","DAP_containing",0.680560691315856,"green",5
"24","NCS1_containing",0.702885834957941,"brown",3
"25","RPS6_ENSSTOG00000025963",0.80201295756265,"turquoise",1
"26","RPL10A",0.884634473103656,"turquoise",1
"27","ATP6V1D_like",0.701680892132987,"turquoise",1
"28","RPS3A_ENSSTOG00000028898",0.66537630254118,"yellow",4
"29","ENSSTOG00000029288",0.644246132368715,"darkred",21
"30","ZNF146_ENSSTOG00000029664",0.611426392857729,"blue",2
"31","ENSSTOG00000029823",0.892343099472984,"brown",3
"32","ENSSTOG00000029825",0.765526173493769,"brown",3
"33","EIF4B_ENSSTOG00000029945",0.345856252916201,"turquoise",1
"34","ENSSTOG00000030034",0.736332552319494,"green",5
"35","TMA7_ENSSTOG00000030110",0.515672673752347,"green",5
"36","PANTR1_containing",0.265194382964291,"grey",0
"37","ENSSTOG00000030386",0.717614651961905,"brown",3
"38","LINC00672",0.834008275100477,"greenyellow",11
"39","COX6B1_like",0.708333228423424,"turquoise",1
"40","MIAT_exon5_3",0.621621511187463,"black",7
"41","ENSSTOG00000031411",0.0261200445698486,"grey",0
"42","FKBP1A_ENSSTOG00000031532",0.721893711232987,"darkturquoise",23
"43","MAP4_like",0.553272409064548,"turquoise",1
"44","ENSSTOG00000031812",0.541152159778909,"cyan",14
"45","ENSSTOG00000032022",0.746745269500721,"turquoise",1
"46","ENSSTOG00000032161",0.923774079833659,"brown",3
"47","PPP1R2_like",0.898268762309619,"darkturquoise",23
"48","NCL_like",-0.0920707704093408,"grey",0
"49","COX6B1_ENSSTOG00000032450",0.722549917930357,"turquoise",1
"50","MEF2D_containing",0.665488776075918,"blue",2
