"","class","rank","dataSetID","dataSetName","inGroups","pValue","Bonferroni","FDR","nCommonGenes","fracOfEffectiveClassSize","expectedFracOfEffectiveClassSize","enrichmentRatio","classSize","effectiveClassSize","fracOfEffectiveSetSize","effectiveSetSize","shortDataSetName","overlapGenes"
"1","0",3,"BioSystems.KEGG.hsa01100","Metabolic pathways (KEGG)","KEGG",3.11259846957161e-41,1.96871853200405e-36,3.57948824000736e-38,138,0.0789473684210526,0.0207331583837264,3.80778301886792,1777,1748,0.108490566037736,1272,"Metabolic pathways","AGL|AHCY|ALAD|ALDH9A1|ALDH3A2|ASL|ASPA|BCAT2|BDH1|BHMT|POLR3D|CYP51A1|DGKQ|DDC|DHFR|DPAGT1|EXT2|ACSL1|ACSL3|FKTN|GALE|GANC|GATM|GBA|GK|GLDC|GOT1|HSD17B10|HMBS|HSD17B4|NDST1|IDH1|IMPA1|IMPDH1|INPP1|IVD|CYP4F3|MAN1A1|MAN2A1|MGAT5|ALDH6A1|MPST|MTAP|MTHFR|MTR|NME3|NT5E|OAT|PGM1|PIGA|PIGC|PLCG2|PLD2|PMM2|POLD1|POLR2A|POLR2I|PPOX|QARS|RPE|ST6GAL1|SMPD2|SUOX|TST|UROS|PLA2G7|PIP5K1B|DGKE|PDXK|PLPP2|CDS2|PAPSS1|PCYT1B|GAL3ST1|PTDSS1|COX17|NME6|B3GALT5|PAICS|FUT9|POLD3|AHCYL1|ACOT2|POLR3A|POLG2|SEPHS2|PIGN|MTHFD1L|GLCE|GBGT1|COQ2|HPGDS|C1GALT1C1|RRM2B|COQ6|CRYL1|HSD17B12|UPB1|COQ3|ACSM5|RFK|CSGALNACT2|CSGALNACT1|CMAS|SPHK2|AGPAT4|NT5M|XYLT1|XYLT2|POLR1E|NMNAT1|ETNPPL|PYCR3|TRAK2|DCTPP1|ACSS3|PANK2|HKDC1|ST6GALNAC5|UCK1|POLR1B|POLR3GL|NTPCR|NT5C1A|DGAT2|GPT2|PIGO|PIGY|SELENOI|NAPRT|GALNT13|B3GALT6|PIGU|CMBL|HGSNAT|POLR3H|AK9|LCLAT1"
"2","0",10,"BioSystems.KEGG.hsa00230","Purine metabolism (KEGG)","KEGG",1.01105753572105e-19,6.39493891343562e-15,2.36849589386505e-17,35,0.0200228832951945,0.00285243924304412,7.01956521739131,1777,1748,0.2,175,"Purine metabolism","ADCY5|ADCY6|NUDT2|POLR3D|GMPR|GUCY1A1|IMPDH1|NME3|NT5E|PGM1|POLD1|POLR2A|POLR2I|PDE8B|PAPSS1|ENTPD4|NME6|PAICS|POLD3|PDE10A|POLR3A|NUDT5|ENPP4|PDE7B|RRM2B|PDE11A|ADCY10|NT5M|POLR1E|POLR1B|POLR3GL|NTPCR|NT5C1A|POLR3H|AK9"
"3","0",15,"BioSystems.KEGG.hsa04144","Endocytosis (KEGG)","KEGG",3.02646762927757e-17,1.91424077551806e-12,5.90815054172242e-15,39,0.0223112128146453,0.0042379097325227,5.26467391304348,1777,1748,0.15,260,"Endocytosis","BIN1|ARF6|CBLB|DAB2|ERBB3|FLT1|HLA-B|HLA-C|HRAS|HSPA2|MET|PLD2|SH3GL3|SNX1|SRC|TGFBR2|TRAF6|WIPF1|CLTCL1|PIP5K1B|EEA1|SNX4|VPS4B|RAB11FIP3|IQSEC1|RNF41|SNF8|SPART|NEDD4L|ACAP2|LDLRAP1|EHD4|EHD2|VPS36|VTA1|PARD3|ARAP3|RUFY1|AGAP1"
"4","0",21,"BioSystems.KEGG.hsa00240","Pyrimidine metabolism (KEGG)","KEGG",2.3441123359273e-14,1.48265105247402e-09,3.75354696828865e-12,23,0.0131578947368421,0.00171146354582647,7.68809523809524,1777,1748,0.219047619047619,105,"Pyrimidine metabolism","NUDT2|POLR3D|NME3|NT5E|POLD1|POLR2A|POLR2I|ENTPD4|NME6|POLD3|POLR3A|RRM2B|UPB1|NT5M|POLR1E|DCTPP1|UCK1|POLR1B|POLR3GL|NT5C1A|TXNRD3|POLR3H|AK9"
"5","0",25,"BioSystems.KEGG.hsa04360","Axon guidance (KEGG)","KEGG",1.65883345934878e-13,1.0492121630381e-08,2.47455698829741e-11,28,0.0160183066361556,0.00285243924304412,5.61565217391304,1777,1748,0.16,175,"Axon guidance","ABL1|EPHA7|EPHA8|EPHB4|GNAI1|HRAS|LIMK1|MET|PLCG2|MAPK1|PTK2|RYK|CXCL12|SLIT3|SMO|SRC|TRPC3|TRPC4|PLXNC1|PAK4|RND1|WNT4|PARD3|SEMA3G|PAK5|NTN4|UNC5B|BUB1B-PAK6"
"6","0",29,"BioSystems.KEGG.hsa05200","Pathways in cancer (KEGG)","KEGG",6.58085519643139e-12,4.16239091174285e-07,7.99896494450593e-10,40,0.022883295194508,0.00643836286287102,3.55421023665382,1777,1748,0.10126582278481,395,"Pathways in cancer","ABL1|ADCY5|ADCY6|CBLB|COL4A1|CREBBP|FGF13|FLT3|FOS|GNAI1|MSH6|HRAS|IGF1|IKBKB|JUP|MET|MYC|PLCG2|MAPK1|MAP2K1|PTK2|RXRG|CXCL12|SKP2|SMO|STAT1|TCF7L2|TGFA|TGFBR2|TRAF1|TRAF2|TRAF6|AXIN1|FZD6|FGF22|LEF1|WNT4|BIRC7|WNT3A|EGLN3"
"7","0",39,"BioSystems.KEGG.hsa04024","cAMP signaling pathway (KEGG)","KEGG",1.15641586931029e-10,7.31433037338758e-06,1.13400470905234e-08,26,0.0148741418764302,0.00322733125784421,4.60880544576197,1777,1748,0.131313131313131,198,"cAMP signaling pathway","ADCY5|ADCY6|ADORA1|ATP1B3|ATP2A2|CALM1|CHRM1|CREB1|CREBBP|DRD1|FOS|GNAI1|GRIN2D|LIPE|NPY|PLD2|MAPK1|MAP2K1|SOX9|TSHR|VAV2|RAPGEF3|VAV3|ADCY10|ARAP3|CREB3L1"
"8","0",44,"BioSystems.KEGG.hsa04142","Lysosome (KEGG)","KEGG",3.44749544434529e-10,2.1805408685484e-05,3.14652361983896e-08,20,0.011441647597254,0.00200485729653958,5.70696359137504,1777,1748,0.16260162601626,123,"Lysosome","AP3S1|CLN3|CTNS|CTSH|CTSK|DNASE2|GBA|LIPA|MAN2B1|SORT1|CLTCL1|AP3B1|CTSF|AP1S2|AP4M1|ENTPD4|AP4B1|AP4S1|NAGPA|HGSNAT"
"9","0",51,"BioSystems.KEGG.hsa05205","Proteoglycans in cancer (KEGG)","KEGG",1.02663958685078e-09,6.49349538683116e-05,8.83468760113083e-08,25,0.0143020594965675,0.00330882952193118,4.32239237524095,1777,1748,0.123152709359606,203,"Proteoglycans in cancer","CBLB|ERBB3|FLNC|GAB1|GPC3|GPC1|HRAS|IGF1|LUM|MET|MYC|PLCG2|MAPK1|MAP2K1|PTK2|PTPN6|SDC2|SMO|SRC|VAV2|FZD6|FRS2|WNT4|PPP1R12C|WNT3A"
"10","0",56,"BioSystems.KEGG.hsa04810","Regulation of actin cytoskeleton (KEGG)","KEGG",2.54475950977039e-09,0.000160956038992977,2.00443386043558e-07,25,0.0143020594965675,0.00345552639728774,4.13889458572601,1777,1748,0.117924528301887,212,"Regulation of actin cytoskeleton","CHRM1|DIAPH1|DOCK1|FGF13|NCKAP1L|HRAS|LIMK1|MYH9|PFN2|PIP4K2A|MAPK1|MAP2K1|PTK2|SRC|VAV2|PIP5K1B|BCAR1|PAK4|VAV3|FGF22|PPP1R12C|PAK5|PIKFYVE|SPATA13|BUB1B-PAK6"
"11","0",57,"BioSystems.KEGG.hsa04012","ErbB signaling pathway (KEGG)","KEGG",2.60195212791938e-09,0.000164573472090901,2.04185449244294e-07,16,0.0091533180778032,0.00140177014229597,6.52982810920121,1777,1748,0.186046511627907,86,"ErbB signaling pathway","ABL1|CBLB|ERBB3|GAB1|HRAS|MYC|PLCG2|MAPK1|MAP2K1|PTK2|SRC|TGFA|NRG2|PAK4|PAK5|BUB1B-PAK6"
"12","0",62,"BioSystems.KEGG.hsa03018","RNA degradation (KEGG)","KEGG",4.19025796227224e-09,0.000265033816113719,3.14393613420782e-07,15,0.0085812356979405,0.00125507326693941,6.83723884810841,1777,1748,0.194805194805195,77,"RNA degradation","CNOT3|CNOT9|LSM6|EXOSC7|LSM5|LSM4|CNOT10|DCPS|EXOSC1|CNOT6|LSM2|ZCCHC7|DIS3L|DCP2|DCP1B"
"13","0",68,"BioSystems.KEGG.hsa04015","Rap1 signaling pathway (KEGG)","KEGG",9.79251105940511e-09,0.000619376324507373,6.7250415255958e-07,24,0.0137299771167048,0.00342292709165295,4.0111801242236,1777,1748,0.114285714285714,210,"Rap1 signaling pathway","ADCY5|ADCY6|ADORA2B|CALM1|FGF13|FLT1|GNAI1|HRAS|IGF1|MET|PFN2|MAPK1|MAP2K1|SRC|VAV2|BCAR1|DOCK4|RAPGEF3|PRKD3|FGF22|APBB1IP|PARD3|ARAP3|MAGI3"
"14","0",71,"BioSystems.KEGG.hsa04146","Peroxisome (KEGG)","KEGG",1.23134977201425e-08,0.000778828730799016,8.26782092143329e-07,15,0.0085812356979405,0.00135287118384378,6.34298061812467,1777,1748,0.180722891566265,83,"Peroxisome","CAT|ACSL1|ACSL3|HSD17B4|IDH1|PEX1|PEX10|DDO|PXMP4|PEX5L|PEX26|PECR|MPV17L|NUDT7|NUDT19"
"15","0",73,"BioSystems.KEGG.hsa04510","Focal adhesion (KEGG)","KEGG",1.59501341362971e-08,0.00100884598412079,1.0476074601462e-06,23,0.0131578947368421,0.0032436309106616,4.05653266331658,1777,1748,0.115577889447236,199,"Focal adhesion","COL4A1|DIAPH1|DOCK1|FLNC|FLT1|HRAS|IGF1|MET|MAPK1|MAP2K1|RELN|PTK2|SPP1|SRC|TNXB|VAV2|ZYX|BCAR1|PAK4|VAV3|PPP1R12C|PAK5|BUB1B-PAK6"
"16","0",78,"BioSystems.KEGG.hsa04916","Melanogenesis (KEGG)","KEGG",2.88194481864174e-08,0.0018228300977909,1.80121551165109e-06,16,0.0091533180778032,0.00164626493455689,5.56005165733965,1777,1748,0.158415841584158,101,"Melanogenesis","ADCY5|ADCY6|CALM1|CREB1|CREBBP|GNAI1|HRAS|POMC|MAPK1|MAP2K1|TCF7L2|FZD6|LEF1|WNT4|WNT3A|CREB3L1"
