"","topcorgene","hubgene","module_color","module_n","module_genes"
"1","Tmem168",NA,"grey",0,NA
"2","Cbll1","Cbll1","turquoise",1,2497
"3","Pigt","Pigt","blue",2,1964
"4","Slc35b1","Slc35b1","brown",3,1065
"5","Grm7","Grm7","yellow",4,794
"6","Tbl2","Tbl2","green",5,669
"7","Canx","Canx","red",6,509
"8","Syngr1","Syngr1","black",7,467
"9","LOC106144648","LOC106144648","pink",8,438
"10","Dlg2","Dlg2","magenta",9,308
"11","Fgf12","Fgf12","purple",10,290
"12","Col11a1","Col11a1","greenyellow",11,260
"13","Cnp","Cnp","tan",12,240
"14","Gnao1","Gnao1","salmon",13,211
"15","Hspd1","Hspd1","cyan",14,204
"16","G40994","G40994","midnightblue",15,158
"17","Slc6a13","Slc6a13","lightcyan",16,141
"18","Ipo7","Ipo7","grey60",17,140
"19","Stard13","Stard13","lightgreen",18,119
"20","Slc14a1","Slc14a1","lightyellow",19,108
"21","Katnb1","Cmip","royalblue",20,106
"22","Ppa2","Ppa2","darkred",21,81
