"","class","rank","dataSetID","dataSetName","inGroups","pValue","Bonferroni","FDR","nCommonGenes","fracOfEffectiveClassSize","expectedFracOfEffectiveClassSize","enrichmentRatio","classSize","effectiveClassSize","fracOfEffectiveSetSize","effectiveSetSize","shortDataSetName","overlapGenes"
"1","0",6,"BioSystems.KEGG.hsa01100","Metabolic pathways (KEGG)","KEGG",2.49289078334818e-20,2.00677708059528e-15,7.19274939281464e-18,77,0.0703839122486289,0.0207331583837264,3.39475110091638,1100,1094,0.0605345911949686,1272,"Metabolic pathways","ACP2|ACY1|ALDH1A1|ALDH3A2|ASL|BLVRA|CPOX|CYP51A1|DHCR7|DHFR|DNMT1|DNMT3A|ACSL4|FASN|GAD2|GANC|GATM|B4GALT1|GLS|HK3|HMGCS2|IDH1|ALDH6A1|NT5E|PCCA|PGM1|PIK3C2B|PLCB4|PLCG1|PLD1|POLD1|ST8SIA1|TYMS|ALDH5A1|HSD17B8|TUSC3|AKR1C3|B3GALT2|INPP4B|ALDH1A2|SGPL1|MTMR2|P4HA2|NDST3|PCYT1B|MAN1A2|POLR1A|MTHFD1L|MAT2B|ST8SIA5|GMPPB|DSE|POMT2|MECR|UPB1|COQ3|TRIT1|PANK4|ETNK1|SMPD4|CSGALNACT1|POLE4|NDST4|ETNPPL|GALNT12|ALG13|LPCAT1|HKDC1|NUDT12|ACSS1|GPT2|AK7|AFMID|GNPDA2|HGSNAT|HEXD|PIGW"
"2","0",11,"BioSystems.KEGG.hsa04360","Axon guidance (KEGG)","KEGG",1.46290602089318e-15,1.17763934681901e-10,3.19143454422495e-13,25,0.0228519195612431,0.00285243924304412,8.01136066858188,1100,1094,0.142857142857143,175,"Axon guidance","ABL1|CAMK2A|EFNB3|EPHA5|EPHA8|PAK1|PIK3CD|PLCG1|PLXNB1|PTCH1|PTK2|CXCL12|SRC|TRPC3|SEMA3B|NCK2|SEMA5A|SEMA6C|SSH1|SEMA3G|NTN4|SEMA6D|PARD6G|NTNG2|BUB1B-PAK6"
"3","0",20,"BioSystems.KEGG.hsa05200","Pathways in cancer (KEGG)","KEGG",6.97379432201235e-14,5.61390442921994e-09,1.35929889327359e-11,34,0.0310786106032907,0.00643836286287102,4.82709832689237,1100,1094,0.0860759493670886,395,"Pathways in cancer","ABL1|ADCY5|ADCY7|XIAP|BCL2|BCR|RUNX1T1|CDK6|CDKN1B|CRKL|CTBP2|CTNNA2|EP300|FGF9|FGF11|FGF13|MITF|PIK3CD|PLCB4|PLCG1|PLD1|PPARD|PRKCG|PTCH1|PTEN|PTK2|RXRB|CXCL12|STAT1|VHL|WNT9A|FGF17|AKT3|RASSF5"
"4","0",21,"BioSystems.KEGG.hsa04510","Focal adhesion (KEGG)","KEGG",2.45632799840798e-13,1.97734403871842e-08,4.58780519424228e-11,24,0.0219378427787934,0.0032436309106616,6.76335976041083,1100,1094,0.120603015075377,199,"Focal adhesion","ACTN1|XIAP|BCL2|CAPN2|CAV1|CRKL|DIAPH1|DOCK1|ELK1|FLNC|TNC|ITGA5|PAK1|PIK3CD|PRKCG|RELN|PTEN|PTK2|SRC|THBS3|TLN1|AKT3|PARVA|BUB1B-PAK6"
"5","0",31,"BioSystems.KEGG.hsa05166","HTLV-I infection (KEGG)","KEGG",5.53448435391112e-11,4.45525990489845e-06,7.89939699450080e-09,24,0.0219378427787934,0.00417271112125312,5.25745543875686,1100,1094,0.09375,256,"HTLV-I infection","ADCY5|ADCY7|XIAP|CREM|EGR1|ELK1|EP300|HLA-A|HLA-C|ITGB2|MAP3K3|PIK3CD|POLD1|TLN1|TNFRSF1A|VCAM1|WNT9A|ZFP36|CDC16|AKT3|CRTC1|ANAPC7|POLE4|CRTC2"
"6","0",33,"BioSystems.KEGG.hsa05205","Proteoglycans in cancer (KEGG)","KEGG",1.40665196247418e-10,1.13235482979171e-05,1.92535100319472e-08,21,0.0191956124314442,0.00330882952193118,5.80133013931791,1100,1094,0.103448275862069,203,"Proteoglycans in cancer","ANK1|CAMK2A|CAV1|DCN|ELK1|FLNC|ITGA5|ITPR3|LUM|PAK1|PIK3CD|PLAU|PLCG1|PRKCG|PTCH1|PTK2|RDX|SRC|TLR4|WNT9A|AKT3"
"7","0",35,"BioSystems.KEGG.hsa04015","Rap1 signaling pathway (KEGG)","KEGG",2.64521184974524e-10,2.12939553904492e-05,3.53720189210119e-08,21,0.0191956124314442,0.00342292709165295,5.60795246800731,1100,1094,0.1,210,"Rap1 signaling pathway","ADCY5|ADCY7|ANGPT2|CRKL|FGF9|FGF11|FGF13|ITGB2|PIK3CD|PLCB4|PLCG1|PRKCG|PRKD1|SRC|TLN1|FGF17|FARP2|AKT3|APBB1IP|RASSF5|PARD6G"
"8","0",36,"BioSystems.KEGG.hsa04010","MAPK signaling pathway (KEGG)","KEGG",2.98439760389808e-10,2.40244007113796e-05,3.97097532419497e-08,23,0.0210237659963437,0.00415641146843572,5.05815320643797,1100,1094,0.0901960784313725,255,"MAPK signaling pathway","CACNA1F|CACNA2D1|CACNB2|CDC25B|CRKL|ELK1|FGF9|FGF11|FGF13|FLNC|NR4A1|HSPA2|MAP3K3|PAK1|PRKCG|PTPRR|TNFRSF1A|FGF17|CACNA1G|TAOK2|AKT3|DUSP10|CACNG5"
"9","0",38,"BioSystems.KEGG.hsa04810","Regulation of actin cytoskeleton (KEGG)","KEGG",3.15306788057965e-10,2.53821964386662e-05,4.16784834789264e-08,21,0.0191956124314442,0.00345552639728774,5.55504725604498,1100,1094,0.0990566037735849,212,"Regulation of actin cytoskeleton","ACTN1|CRKL|DIAPH1|DOCK1|FGF9|FGF11|FGF13|ITGA5|ITGAE|ITGB2|PAK1|PIK3CD|PIP4K2A|PTK2|RDX|SRC|FGF17|WASF1|SSH1|SCIN|BUB1B-PAK6"
"10","0",39,"BioSystems.KEGG.hsa04921","Oxytocin signaling pathway (KEGG)","KEGG",3.52756483941797e-10,2.83968969573147e-05,4.64001584269848e-08,18,0.0164533820840951,0.00249384688106143,6.59759113883213,1100,1094,0.117647058823529,153,"Oxytocin signaling pathway","ADCY5|ADCY7|CACNA1F|CACNA2D1|CACNB2|CAMK4|CAMK2A|ELK1|ITPR3|KCNJ9|NPR1|PLCB4|PRKAA2|PRKAB1|PRKCG|SRC|CAMKK2|CACNG5"
