"","topcorgene","module_color","module_n","module_genes","membership"
"1","Plppr4","grey",0,NA,0.885376085763386
"2","Tub","grey",0,NA,0.871676504723093
"3","N4bp1","grey",0,NA,0.868534790311711
"4","Runx1t1","grey",0,NA,0.865885863662421
"5","Lrrtm2","grey",0,NA,0.862056830096911
"6","B4galt5","grey",0,NA,0.861630682303249
"7","Rnf111","grey",0,NA,0.858834334070951
"8","Cbx5","grey",0,NA,0.857942596553592
"9","Btbd3","grey",0,NA,0.856808150616869
"10","KCNA3_containing","grey",0,NA,0.853448681548383
"11","Fam126b","grey",0,NA,0.84816701976472
"12","Xpo7","grey",0,NA,0.843283390827067
"13","Irs1","grey",0,NA,0.831727057856226
"14","Zfhx2","grey",0,NA,0.826886561125266
"15","Zcchc2","grey",0,NA,0.821768867285682
"16","Trim32","grey",0,NA,0.818985603296687
"17","Socs7","grey",0,NA,0.816680527740787
"18","Fbxo45","grey",0,NA,0.814692501607446
"19","Man1a2","grey",0,NA,0.812356886931957
"20","Rnf19a","grey",0,NA,0.811882268523113
"21","Ssu72","turquoise",1,3492,0.978500642656466
"22","Psmb6","turquoise",1,3492,0.975376204431616
"23","Mdh2","turquoise",1,3492,0.96941100186327
"24","Mlf2","turquoise",1,3492,0.9659289878918
"25","Psmd8","turquoise",1,3492,0.963402762729692
"26","Prdx2","turquoise",1,3492,0.960864056083419
"27","Atp5o","turquoise",1,3492,0.958408216317685
"28","Bag1","turquoise",1,3492,0.955435577578306
"29","Ndufa10","turquoise",1,3492,0.95423374485894
"30","Phb2","turquoise",1,3492,0.95400277169162
"31","Cltb","turquoise",1,3492,0.953116108951497
"32","Lonp1","turquoise",1,3492,0.950722559000098
"33","COX5B_like_gene22048","turquoise",1,3492,0.948179412832248
"34","Aurkaip1","turquoise",1,3492,0.948159170004222
"35","Guk1","turquoise",1,3492,0.947404143843282
"36","Csnk2b","turquoise",1,3492,0.947043441605087
"37","Nme2","turquoise",1,3492,0.946407188427945
"38","Napa","turquoise",1,3492,0.945075763871256
"39","Cdc37","turquoise",1,3492,0.944554501756314
"40","Ecsit","turquoise",1,3492,0.943419699534595
"41","Zbtb34","blue",2,1128,0.975970525680252
"42","G14950","blue",2,1128,0.968016232514124
"43","Cpm","blue",2,1128,0.961945433194617
"44","G16444","blue",2,1128,0.960427708876139
"45","Mex3c","blue",2,1128,0.960146541203224
"46","Znf197","blue",2,1128,0.959468128884519
"47","HSPA14_like","blue",2,1128,0.959236978074392
"48","ZNF284_containing","blue",2,1128,0.957811390449721
"49","Zfp62","blue",2,1128,0.957186517088831
"50","Amd1","blue",2,1128,0.955005387329923
"51","Znf646","blue",2,1128,0.954522658663639
"52","Zkscan8","blue",2,1128,0.950706274582445
"53","Zfp3","blue",2,1128,0.949362826462859
"54","Krit1","blue",2,1128,0.948529864595356
"55","Mphosph9","blue",2,1128,0.948336823654827
"56","Pygo1","blue",2,1128,0.948221950901696
"57","Tmem170a","blue",2,1128,0.947636733033322
"58","Clk4","blue",2,1128,0.947289945675775
"59","SP1_like","blue",2,1128,0.946059547028422
"60","Znf644","blue",2,1128,0.945892974104494
"61","Mindy2","brown",3,696,0.966835570895301
"62","Rsf1","brown",3,696,0.957657429691794
"63","Med13","brown",3,696,0.952246704909785
"64","Smad5","brown",3,696,0.951618885628123
"65","Lnpep","brown",3,696,0.945654452238775
"66","Ttll7","brown",3,696,0.943349224460125
"67","Helz","brown",3,696,0.941487421266964
"68","Nfat5","brown",3,696,0.939178817407756
"69","Tcf12","brown",3,696,0.93861137211984
"70","Pik3c2a","brown",3,696,0.938609926225587
"71","Pik3ca","brown",3,696,0.938412873486708
"72","Taf1","brown",3,696,0.937675669616548
"73","Znf292","brown",3,696,0.933413124237104
"74","Nsd1","brown",3,696,0.930834202024559
"75","Gapvd1","brown",3,696,0.929301155369216
"76","Trip11","brown",3,696,0.926194264377148
"77","Lcor","brown",3,696,0.924899881027243
"78","Herc2","brown",3,696,0.92283073380956
"79","Lifr","brown",3,696,0.921674573876462
"80","Bptf","brown",3,696,0.92004123417899
"81","Tmsb10","yellow",4,671,0.920990438670227
"82","Lrrc75b","yellow",4,671,0.903380269221225
"83","S100a1","yellow",4,671,0.886628330411667
"84","Cd81","yellow",4,671,0.882001347590301
"85","Proca1","yellow",4,671,0.87643300682931
"86","NFIA_like","yellow",4,671,0.875889063268169
"87","MAGI2_G16473","yellow",4,671,0.872891724112835
"88","Prdx6","yellow",4,671,0.872017278402528
"89","Plekhm2","yellow",4,671,0.870001749826222
"90","Rpl23a","yellow",4,671,0.869297321163014
"91","G13856","yellow",4,671,0.865748074953509
"92","Fam173a","yellow",4,671,0.864479506821657
"93","G5665","yellow",4,671,0.859827416771836
"94","Fis1","yellow",4,671,0.858395172841298
"95","Cd151","yellow",4,671,0.858026682303824
"96","Lamtor4","yellow",4,671,0.858016054975171
