"","module_color","hubgene","module_n","n"
"1","turquoise","Ssu72",1,3492
"2","blue","Zbtb34",2,1128
"3","brown","Mindy2",3,696
"4","yellow","Tmsb10",4,671
"5","green","Slc6a5",5,635
"6","red","Atp6v1a",6,608
"7","black","Slc33a1",7,559
"8","pink","Mobp",8,465
"9","magenta","Dmtn",9,375
"10","purple","FAM222B",10,305
"11","greenyellow","Cntn1",11,273
"12","tan","Tada3",12,254
"13","salmon","Rtn4",13,237
"14","cyan","CABCOCO1_like",14,194
"15","midnightblue","Enpp2",15,189
"16","lightcyan","Myo6",16,157
"17","grey60","Znf236",17,133
"18","lightgreen","G14318",18,132
"19","lightyellow","RPL27A_containing_G5064",19,120
"20","royalblue","Mapk8ip3",20,119
"21","darkred","Leng8",21,115
"22","darkgreen","Akirin2",22,114
"23","darkturquoise","Cdyl2",23,105
"24","darkgrey","Dmtf1",24,86
"25","orange","Cul9",25,86
"26","darkorange","Gnb5",26,82
"27","white","Col1a2",27,68
